,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-GREENSBORO_homegame,NORTH-CAROLINA-GREENSBORO_homegame2,NORTH-CAROLINA-GREENSBORO_home,NORTH-CAROLINA-GREENSBORO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-15-15-north-carolina-greensboro,56.7,17,12.2,5,114.9,57.1,20,0.6890000000000001,53,0.5660000000000001,30,0.132,7,1.0,7,2,200,119.4,0.0,0,14,80,,14.9,10,0.528,28,0.46399999999999997,13,37.0,20,0.71,17.6,12,25,0.68,17,0.8,8,"December 15, 2019",39.3,11,12.0,3,119.4,100.0,19,0.515,65,0.431,28,0.2,13,0.769,10,3,200,114.9,42.9,15,10,77,,6.0,4,0.369,24,0.45799999999999996,11,63.0,34,0.541,12.4,10,41,0.415,17,0.727,8,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,67.3,Away,NORTH-CAROLINA-STATE,NC State,UNC Greensboro,southern,10,False,True,True,Home,False,11,17,65,34,54,13,17,53,0,1,87,178,617,0.5,341,657,0.5190258751902588,60,131,500,0.442,0.8
11,2019-12-18-19-vermont,40.0,8,6.7,2,94.6,74.1,20,0.461,51,0.392,20,0.235,12,0.583,7,3,200,96.4,25.0,8,19,54,,5.4,3,0.431,22,0.318,7,47.5,28,0.47600000000000003,11.1,7,29,0.44799999999999995,13,0.75,9,"December 18, 2019",27.8,5,13.8,4,96.4,75.0,24,0.44299999999999995,44,0.409,18,0.47700000000000004,21,0.667,14,5,200,94.6,25.9,7,16,53,,3.6,2,0.318,14,0.214,3,52.5,31,0.491,15.8,10,30,0.5,15,0.583,7,"Roy L. Patrick Gymnasium, Burlington, Vermont",VERMONT,Vermont,56.3,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,11,False,False,False,Away,True,7,13,51,28,59,3,15,44,1,0,98,195,682,0.5014662756598239,375,711,0.5274261603375527,73,148,553,0.4656419529837251,0.7272727272727273
12,2019-12-21-19-north-carolina-greensboro,71.4,10,0.0,0,106.3,60.5,23,0.38,46,0.304,14,0.37,17,0.882,15,4,200,79.4,25.0,8,11,50,,6.3,4,0.457,21,0.33299999999999996,7,44.3,31,0.462,20.7,14,25,0.28,7,0.667,8,"December 21, 2019",59.3,16,16.0,4,79.4,75.0,24,0.478,67,0.40299999999999997,27,0.075,5,0.6,3,3,200,106.3,39.5,15,18,67,,4.8,3,0.478,32,0.313,10,55.7,39,0.483,13.7,11,35,0.486,17,0.769,10,"Fleming Gymnasium, Greensboro, North Carolina",NORTHERN-KENTUCKY,Northern Kentucky,62.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,12,True,False,True,Home,True,10,17,67,39,70,7,7,46,1,0,105,208,733,0.4986357435197818,403,770,0.5233766233766234,76,163,597,0.4639865996649916,0.75
13,2019-12-28-17-north-carolina-greensboro,27.3,3,2.4,1,135.9,51.7,15,0.284,44,0.25,11,0.273,12,0.75,9,0,200,43.6,16.7,5,20,34,,9.0,7,0.5,22,0.136,3,33.9,20,0.342,39.4,32,22,0.364,8,0.0,0,"December 28, 2019",31.6,12,9.1,2,43.6,83.3,25,0.634,67,0.5670000000000001,38,0.40299999999999997,27,0.778,21,3,200,135.9,48.3,14,14,106,,29.5,23,0.373,25,0.36,9,66.1,39,0.664,15.1,14,42,0.69,29,0.7859999999999999,11,"Greensboro Coliseum, Greensboro, North Carolina","William Peace
			","William Peace
			",78.3,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,13,True,False,True,Home,True,9,29,67,39,59,3,8,44,1,0,115,225,800,0.496875,442,840,0.5261904761904762,83,170,643,0.45800933125972,0.7692307692307693
14,2020-01-01-19-north-carolina-greensboro,24.0,6,0.0,0,98.6,71.1,27,0.596,47,0.532,25,0.23399999999999999,11,0.636,7,9,200,86.3,13.6,3,18,63,,8.2,6,0.213,10,0.6,6,50.0,30,0.603,30.7,23,37,0.514,19,0.4,6,"January 1, 2020",19.2,5,5.4,2,86.3,86.4,19,0.484,62,0.419,26,0.355,22,0.545,12,3,200,98.6,28.9,11,13,72,,23.3,17,0.371,23,0.348,8,50.0,30,0.4970000000000001,14.3,12,39,0.462,18,0.8,12,"Greensboro Coliseum, Greensboro, North Carolina",MERCER,Mercer,72.8,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,14,True,False,True,Home,True,8,18,62,30,60,6,19,47,1,0,124,254,867,0.5074971164936563,481,899,0.5350389321468298,86,178,687,0.4468704512372635,0.7857142857142857
15,2020-01-04-19-wofford,50.0,15,3.3,1,115.3,80.6,25,0.474,78,0.385,30,0.308,24,0.75,18,4,250,108.2,28.6,12,23,92,,14.1,12,0.5770000000000001,45,0.311,14,50.7,37,0.515,9.2,9,33,0.485,16,0.75,12,"January 4, 2020",43.8,14,6.1,2,108.2,71.4,30,0.639,61,0.525,32,0.426,26,0.769,20,6,250,115.3,19.4,6,23,98,,7.1,6,0.508,31,0.452,14,49.3,36,0.6679999999999999,18.1,16,30,0.6,18,0.6,9,"Richardson Indoor Stadium, Spartanburg, South Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,67.9,Home,WOFFORD,Wofford,UNC Greensboro,southern,15,False,False,False,Away,False,14,16,78,37,73,14,18,61,0,1,132,272,929,0.5059203444564048,511,959,0.5328467153284672,92,197,734,0.4564032697547684,0.8
16,2020-01-08-19-north-carolina-greensboro,47.1,8,7.1,3,83.8,71.4,25,0.413,46,0.37,17,0.7170000000000001,33,0.7879999999999999,26,3,200,94.1,33.3,9,20,64,,11.8,8,0.37,17,0.235,4,54.8,34,0.519,21.9,17,29,0.44799999999999995,13,0.8240000000000001,14,"January 8, 2020",31.8,7,17.2,5,94.1,66.7,18,0.4270000000000001,55,0.4,22,0.309,17,0.588,10,5,200,83.8,28.6,10,28,57,,13.2,9,0.23600000000000002,13,0.231,3,45.2,28,0.452,18.3,14,42,0.452,19,0.706,12,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,68.4,Away,EAST-TENNESSEE-STATE,ETSU,UNC Greensboro,southern,16,False,True,True,Home,False,3,19,55,28,62,4,13,46,0,1,146,288,1007,0.5034756703078451,548,1032,0.5310077519379846,106,215,795,0.4704402515723271,0.75
17,2020-01-11-19-furman,60.6,20,8.0,2,100.0,77.4,24,0.579,63,0.524,33,0.254,16,0.813,13,5,200,117.8,28.6,8,22,86,,21.9,16,0.349,22,0.318,7,54.2,32,0.609,13.6,11,41,0.634,26,0.722,13,"January 11, 2020",58.3,14,4.9,2,117.8,71.4,20,0.5820000000000001,49,0.49,24,0.551,27,0.593,16,4,200,100.0,22.6,7,16,73,,5.5,4,0.49,24,0.375,9,45.8,27,0.59,21.8,17,25,0.6,15,0.778,14,"Bon Secours Wellness Arena, Greenville, South Carolina",FURMAN,Furman,72.7,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,17,False,False,False,Away,True,7,26,63,32,59,9,15,49,1,0,149,307,1062,0.4995291902071563,576,1094,0.526508226691042,110,228,841,0.4673008323424495,0.7058823529411765
18,2020-01-15-19-citadel,31.0,9,4.5,1,83.1,70.0,21,0.45299999999999996,74,0.392,29,0.21600000000000005,16,0.75,12,5,200,95.2,31.0,13,17,79,,20.5,17,0.37799999999999995,28,0.321,9,47.2,34,0.484,15.6,15,46,0.435,20,0.737,14,"January 15, 2020",70.8,17,6.5,3,95.2,69.0,29,0.5589999999999999,51,0.47100000000000003,24,0.33299999999999996,17,0.706,12,10,200,83.1,30.0,9,14,69,,9.6,8,0.569,29,0.31,9,52.8,38,0.584,35.4,32,22,0.682,15,0.375,6,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,82.8,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,18,False,False,False,Away,True,9,20,74,34,72,9,15,51,1,0,156,333,1125,0.504,608,1153,0.5273200346921075,119,243,890,0.4735955056179775,0.7222222222222222
19,2020-01-18-19-north-carolina-greensboro,30.0,6,0.0,0,101.4,67.6,25,0.433,52,0.385,20,0.327,17,0.41200000000000003,7,7,200,73.2,25.7,9,13,52,,8.5,6,0.34600000000000003,18,0.278,5,47.2,34,0.433,24.2,19,34,0.441,15,0.632,12,"January 18, 2020",25.0,8,2.9,1,73.2,74.3,26,0.523,66,0.485,32,0.182,12,0.25,3,5,200,101.4,32.4,12,19,72,,9.9,7,0.182,12,0.41700000000000004,5,52.8,38,0.502,14.4,12,54,0.5,27,0.75,15,"Greensboro Coliseum, Greensboro, North Carolina",CHATTANOOGA,Chattanooga,70.9,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,19,True,False,True,Home,True,5,27,66,38,72,5,15,52,1,0,165,353,1199,0.5008340283569641,642,1225,0.5240816326530612,128,258,941,0.4782146652497343,0.7368421052631579
