,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FAIRFIELD_homegame,FAIRFIELD_homegame2,FAIRFIELD_home,FAIRFIELD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-fairfield,63.6,14,10.6,5,90.1,72.2,26,0.491,55,0.4,22,0.309,17,0.8240000000000001,14,0,199,95.8,12.9,4,20,68,,5.6,4,0.418,23,0.435,10,44.8,30,0.539,17.2,13,32,0.375,12,1.0,1,"November 5, 2019",37.5,9,9.4,3,95.8,87.1,27,0.424,59,0.40700000000000003,24,0.33899999999999997,20,0.7,14,1,199,90.1,27.8,10,16,64,,4.2,3,0.203,12,0.16699999999999998,2,55.2,37,0.467,15.0,12,47,0.46799999999999997,22,0.0,0,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,71.6,Away,BUCKNELL,Bucknell,Fairfield,maac,0,False,True,True,Home,False,2,22,59,37,67,10,12,55,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-13-fairfield,43.5,10,3.0,1,96.8,80.6,25,0.542,48,0.479,23,0.354,17,0.588,10,0,200,100.0,13.3,4,16,62,,9.7,6,0.33299999999999996,16,0.375,6,47.5,29,0.5529999999999999,15.3,10,32,0.531,17,1.0,2,"November 9, 2019",61.9,13,3.1,1,100.0,86.7,26,0.48,50,0.42,21,0.32,16,0.75,12,2,200,96.8,19.4,6,17,60,,12.9,8,0.34,17,0.353,6,52.5,32,0.521,14.9,10,33,0.455,15,0.0,0,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,61.8,Away,MASSACHUSETTS,UMass,Fairfield,maac,1,False,True,True,Home,False,6,15,50,32,61,6,17,48,0,1,2,22,59,0.42372881355932196,37,67,0.5522388059701493,10,12,55,0.4909090909090909,0.0
2,2019-11-12-19-holy-cross,32.0,8,21.2,7,91.3,69.4,25,0.509,54,0.46299999999999997,25,0.35200000000000004,19,0.684,13,2,225,98.6,25.0,7,10,68,,13.0,9,0.315,17,0.294,5,50.0,32,0.539,16.1,12,37,0.541,20,0.33299999999999996,1,"November 12, 2019",60.9,14,13.5,5,98.6,75.0,21,0.45899999999999996,61,0.377,23,0.16399999999999998,10,0.7,7,3,225,91.3,30.6,11,17,63,,8.7,6,0.45899999999999996,28,0.35700000000000004,10,50.0,32,0.479,18.7,15,33,0.39399999999999996,13,0.0,0,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,61.2,Away,FAIRFIELD,Fairfield,Fairfield,maac,2,False,False,False,Away,True,5,20,54,32,64,10,13,61,1,0,8,37,109,0.44954128440366975,69,128,0.5390625,16,29,103,0.5145631067961165,0.0
3,2019-11-17-18-loyola-md,50.0,14,6.7,2,107.7,92.0,23,0.526,57,0.491,28,0.298,17,0.882,15,3,225,96.2,25.0,6,23,75,,11.5,9,0.298,17,0.235,4,59.2,29,0.5760000000000001,22.8,19,40,0.6,24,0.25,1,"November 17, 2019",79.3,23,0.0,0,96.2,75.0,18,0.637,51,0.569,29,0.588,30,0.633,19,2,225,107.7,8.0,2,17,84,,12.8,10,0.41200000000000003,21,0.33299999999999996,7,40.8,20,0.644,18.9,15,30,0.733,22,0.5,2,"Reitz Arena, Baltimore, Maryland",FAIRFIELD,Fairfield,69.5,Home,LOYOLA-MD,Loyola (MD),Fairfield,maac,3,False,False,False,Away,False,4,24,57,29,49,7,22,51,0,1,13,57,163,0.4693251533742331,101,192,0.5260416666666666,26,42,164,0.4939024390243902,0.3333333333333333
4,2019-11-19-20-maryland,72.2,13,13.2,5,113.8,65.7,23,0.47100000000000003,51,0.353,18,0.157,8,0.875,7,4,201,84.6,16.1,5,21,55,,9.2,6,0.49,25,0.48,12,42.4,28,0.502,20.4,14,26,0.231,6,0.2,1,"November 19, 2019",50.0,13,23.1,6,84.6,83.9,26,0.508,59,0.441,26,0.424,25,0.56,14,0,201,113.8,34.3,12,13,74,6.0,9.2,6,0.35600000000000004,21,0.381,8,57.6,38,0.522,10.3,8,38,0.474,18,1.0,4,"Xfinity Center, College Park, Maryland",FAIRFIELD,Fairfield,65.0,Home,MARYLAND,Maryland,Fairfield,maac,4,False,False,False,Away,False,12,6,51,28,66,8,18,59,0,1,17,81,220,0.484090909090909,130,241,0.5394190871369294,33,64,215,0.5279069767441861,0.25
5,2019-11-28-16-fairfield,45.0,9,13.5,5,72.3,77.5,31,0.469,48,0.41700000000000004,20,0.354,17,0.529,9,1,200,83.1,23.3,7,11,54,,10.8,7,0.25,12,0.41700000000000004,5,54.3,38,0.48100000000000004,21.3,15,36,0.41700000000000004,15,0.857,6,"November 28, 2019",47.1,8,0.0,0,83.1,76.7,23,0.341,63,0.27,17,0.095,6,0.667,4,5,200,72.3,22.5,9,13,47,,10.8,7,0.413,26,0.34600000000000003,9,45.7,32,0.35700000000000004,12.1,9,37,0.21600000000000005,8,0.16699999999999998,1,"HP Field House, Orlando, Florida",FAIRFIELD,Fairfield,65.0,Away,SOUTHERN-CALIFORNIA,USC,Fairfield,maac,5,False,True,True,Home,False,9,8,63,32,70,5,15,48,0,1,29,87,271,0.481549815498155,158,307,0.5146579804560261,41,82,274,0.5237226277372263,0.2
6,2019-11-29-19-davidson,16.7,4,7.1,2,108.1,80.0,20,0.51,50,0.48,24,0.28,14,0.35700000000000004,5,6,200,90.3,23.3,7,12,56,,4.8,3,0.36,18,0.16699999999999998,3,49.1,27,0.494,16.4,11,32,0.6559999999999999,21,0.14300000000000002,1,"November 29, 2019",40.9,9,6.3,2,90.3,76.7,23,0.51,52,0.423,22,0.308,16,0.875,14,4,200,108.1,20.0,5,17,67,,9.7,6,0.462,24,0.375,9,50.9,28,0.562,11.9,8,28,0.46399999999999997,13,0.429,3,"ESPN Wide World of Sports, Orlando, Florida",FAIRFIELD,Fairfield,61.6,Home,DAVIDSON,Davidson,Fairfield,maac,6,False,False,False,Away,False,3,21,50,27,55,9,13,52,0,1,38,95,334,0.4550898203592814,190,377,0.5039787798408488,46,97,322,0.515527950310559,0.16666666666666666
7,2019-12-01-10-fairfield,73.7,14,4.5,1,109.8,65.4,17,0.547,43,0.442,19,0.419,18,0.833,15,4,200,101.6,16.0,4,16,62,,14.8,9,0.628,27,0.33299999999999996,9,41.2,21,0.601,19.1,12,16,0.625,10,0.429,3,"December 1, 2019",72.7,16,0.0,0,101.6,84.0,21,0.5489999999999999,51,0.431,22,0.275,14,0.7859999999999999,11,6,200,109.8,34.6,9,16,67,,8.2,5,0.569,29,0.414,12,58.8,30,0.581,18.5,13,22,0.455,10,0.25,2,"HP Field House, Orlando, Florida",TEXAS-AM,Texas A&M,60.6,Home,FAIRFIELD,Fairfield,Fairfield,maac,7,True,False,True,Home,True,12,10,51,30,51,9,10,43,1,0,41,116,384,0.4622395833333333,217,432,0.5023148148148148,55,110,374,0.5147058823529411,0.14285714285714285
8,2019-12-08-14-fairfield,45.5,10,2.5,1,87.9,81.5,22,0.46299999999999997,54,0.40700000000000003,22,0.278,15,0.8,12,3,200,93.9,25.9,7,15,62,,7.6,5,0.315,17,0.353,6,53.7,29,0.507,16.5,12,37,0.4320000000000001,16,0.7,7,"December 8, 2019",39.1,9,2.7,1,93.9,74.1,20,0.47200000000000003,54,0.426,23,0.222,12,0.583,7,7,200,87.9,18.5,5,15,58,,7.6,5,0.259,14,0.35700000000000004,5,46.3,25,0.486,15.7,11,40,0.45,18,0.222,2,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",FAIRFIELD,Fairfield,65.9,Away,WILLIAM-MARY,William & Mary,Fairfield,maac,8,False,True,True,Home,False,5,18,54,25,54,6,16,54,0,1,53,126,435,0.4724137931034483,247,483,0.5113871635610766,64,120,417,0.5179856115107914,0.25
9,2019-12-21-14-oakland,28.0,7,5.3,2,76.6,69.7,23,0.429,63,0.397,25,0.19,12,0.583,7,7,225,79.2,22.6,7,18,61,,13.0,10,0.254,16,0.25,4,46.9,30,0.444,19.0,16,47,0.447,21,0.3,3,"December 21, 2019",43.5,10,10.6,5,79.2,77.4,24,0.415,59,0.39,23,0.237,14,0.7140000000000001,10,8,225,76.6,30.3,10,17,59,,7.8,6,0.35600000000000004,21,0.14300000000000002,3,53.1,34,0.449,23.5,20,38,0.526,20,0.385,5,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,68.2,Away,FAIRFIELD,Fairfield,Fairfield,maac,9,False,False,False,Away,True,4,21,63,30,64,3,20,59,1,0,58,144,489,0.4723926380368098,272,537,0.5065176908752328,70,136,471,0.5116772823779193,0.2222222222222222
