,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PENN-STATE_homegame,PENN-STATE_homegame2,PENN-STATE_home,PENN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-penn-state,44.4,8,3.7,1,116.7,59.4,19,0.37,54,0.33299999999999996,18,0.24100000000000002,13,0.462,6,1,200,63.9,21.9,7,22,46,,9.7,7,0.35200000000000004,19,0.21100000000000002,4,40.6,26,0.382,24.1,19,35,0.4,14,0.0,0,"November 5, 2019",65.5,19,31.4,11,63.9,78.1,25,0.603,58,0.5,29,0.414,24,0.583,14,0,200,116.7,40.6,13,17,84,,13.9,10,0.534,31,0.387,12,59.4,38,0.605,18.0,15,27,0.63,17,1.0,1,"Bryce Jordan Center, University Park, Pennsylvania",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,71.8,Home,PENN-STATE,Penn State,Penn State,big-ten,0,True,False,True,Home,True,12,17,58,38,64,4,14,54,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-penn-state,41.7,10,2.9,1,111.0,72.2,26,0.449,59,0.40700000000000003,24,0.33899999999999997,20,0.55,11,2,200,78.0,17.6,6,28,64,,4.9,4,0.305,18,0.278,5,45.7,32,0.467,21.0,18,41,0.46299999999999997,19,0.0,0,"November 9, 2019",53.3,16,4.9,2,78.0,82.4,28,0.546,65,0.462,30,0.508,33,0.606,20,0,200,111.0,27.8,10,19,91,,11.0,9,0.462,30,0.3670000000000001,11,54.3,38,0.564,13.1,12,35,0.5429999999999999,19,1.0,2,"Bryce Jordan Center, University Park, Pennsylvania",WAGNER,Wagner,81.6,Home,PENN-STATE,Penn State,Penn State,big-ten,1,True,False,True,Home,True,11,19,65,38,70,5,19,59,1,0,12,17,58,0.603448275862069,38,64,0.59375,4,14,54,0.3703703703703704,1.0
2,2019-11-14-18-georgetown,67.9,19,10.4,5,81.5,71.4,30,0.5479999999999999,63,0.444,28,0.27,17,0.706,12,0,200,100.0,25.7,9,21,81,,18.5,15,0.46,29,0.44799999999999995,13,50.6,39,0.57,22.1,20,34,0.441,15,1.0,3,"November 14, 2019",56.5,13,11.8,4,100.0,74.3,26,0.41,61,0.377,23,0.344,21,0.762,16,1,200,81.5,28.6,12,17,66,,11.1,9,0.213,13,0.308,4,49.4,38,0.465,23.0,21,48,0.396,19,0.667,2,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,81.0,Away,PENN-STATE,Penn State,Penn State,big-ten,2,False,False,False,Away,True,13,15,63,39,77,4,19,61,1,0,23,36,123,0.573170731707317,76,134,0.5671641791044776,9,33,113,0.4115044247787609,1.0
3,2019-11-19-18-penn-state,43.3,13,2.0,1,130.7,62.1,18,0.479,70,0.429,30,0.071,5,0.6,3,3,200,93.3,28.6,10,19,70,,6.7,5,0.386,27,0.259,7,43.8,28,0.484,16.2,14,43,0.535,23,0.4,2,"November 19, 2019",38.5,15,14.0,6,93.3,71.4,25,0.638,65,0.6,39,0.354,23,0.652,15,0,200,130.7,37.9,11,9,98,,10.7,8,0.24600000000000002,16,0.313,5,56.3,36,0.645,10.7,9,49,0.6940000000000001,34,1.0,4,"Bryce Jordan Center, University Park, Pennsylvania",BUCKNELL,Bucknell,75.2,Home,PENN-STATE,Penn State,Penn State,big-ten,3,True,False,True,Home,True,5,34,65,36,64,7,23,70,1,0,36,51,186,0.5645161290322581,115,211,0.5450236966824644,13,52,174,0.4109195402298851,1.0
4,2019-11-23-16-penn-state,45.5,10,9.5,4,86.6,68.9,31,0.52,51,0.431,22,0.21600000000000005,11,0.273,3,3,200,83.6,9.4,3,15,56,,3.0,2,0.451,23,0.391,9,44.2,34,0.498,21.2,15,28,0.46399999999999997,13,0.5,3,"November 23, 2019",60.9,14,14.3,4,83.6,90.6,29,0.37,69,0.33299999999999996,23,0.13,9,0.778,7,0,200,86.6,31.1,14,15,58,,17.9,12,0.391,27,0.185,5,55.8,43,0.396,7.6,6,42,0.429,18,1.0,5,"Bryce Jordan Center, University Park, Pennsylvania",YALE,Yale,66.8,Home,PENN-STATE,Penn State,Penn State,big-ten,4,True,False,True,Home,True,5,18,69,43,77,9,13,51,1,0,41,85,251,0.5836653386454184,151,275,0.5490909090909091,20,75,244,0.430327868852459,1.0
5,2019-11-27-17-penn-state,53.8,14,7.7,3,93.5,80.6,25,0.47600000000000003,62,0.419,26,0.306,19,0.789,15,1,200,96.1,24.2,8,18,74,,10.4,8,0.258,16,0.43799999999999994,7,51.6,33,0.521,17.6,15,46,0.413,19,0.833,5,"November 27, 2019",61.5,16,26.1,12,96.1,75.8,25,0.491,58,0.44799999999999995,26,0.31,18,0.833,15,1,200,93.5,19.4,6,20,72,,13.0,10,0.32799999999999996,19,0.263,5,48.4,31,0.541,19.5,16,39,0.5379999999999999,21,0.833,5,"Barclays Center, Brooklyn, New York",PENN-STATE,Penn State,77.3,Away,MISSISSIPPI,Ole Miss,Penn State,big-ten,5,False,True,True,Home,False,5,21,58,31,64,7,19,62,0,1,46,103,320,0.5375,194,352,0.5511363636363636,29,88,295,0.4457627118644068,1.0
6,2019-11-29-19-syracuse,66.7,18,11.8,4,84.2,86.1,31,0.478,67,0.40299999999999997,27,0.46299999999999997,31,0.677,21,1,200,111.8,52.6,20,21,85,,7.9,6,0.44799999999999995,30,0.33299999999999996,10,68.9,51,0.52,13.9,13,37,0.45899999999999996,17,0.857,6,"November 29, 2019",77.8,14,5.4,2,111.8,47.4,18,0.389,54,0.33299999999999996,18,0.611,33,0.667,22,3,200,84.2,13.9,5,21,64,,10.5,8,0.37,20,0.3,6,31.1,23,0.45899999999999996,14.9,12,34,0.353,12,0.5710000000000001,4,"Barclays Center, Brooklyn, New York",SYRACUSE,Syracuse,75.7,Away,PENN-STATE,Penn State,Penn State,big-ten,6,False,False,False,Away,True,10,17,67,51,74,6,12,54,1,0,51,124,378,0.5304232804232805,225,416,0.5408653846153846,36,107,357,0.4509803921568628,0.8333333333333334
7,2019-12-04-21-penn-state,52.9,9,5.0,2,98.7,60.5,23,0.32799999999999996,58,0.293,17,0.379,22,0.727,16,4,200,70.1,22.0,9,17,54,,9.1,7,0.207,12,0.33299999999999996,4,40.5,32,0.39399999999999996,21.9,19,46,0.28300000000000003,13,0.556,5,"December 4, 2019",40.0,12,13.0,6,70.1,78.0,32,0.478,68,0.441,30,0.25,17,0.647,11,1,200,98.7,39.5,15,21,76,,15.6,12,0.41200000000000003,28,0.179,5,59.5,47,0.5,15.6,14,40,0.625,25,0.875,7,"Bryce Jordan Center, University Park, Pennsylvania",WAKE-FOREST,Wake Forest,76.8,Home,PENN-STATE,Penn State,Penn State,big-ten,7,True,False,True,Home,True,5,25,68,47,79,4,13,58,1,0,61,141,445,0.5224719101123596,276,490,0.563265306122449,42,119,411,0.4428223844282239,0.8571428571428571
8,2019-12-07-12-ohio-state,28.0,7,10.7,3,147.2,64.7,11,0.508,59,0.424,25,0.33899999999999997,20,0.7,14,2,200,102.8,24.2,8,25,74,,6.9,5,0.4920000000000001,29,0.345,10,38.0,19,0.54,12.9,10,30,0.5,15,0.778,7,"December 7, 2019",48.4,15,6.7,2,102.8,75.8,25,0.7040000000000001,54,0.574,31,0.685,37,0.8109999999999999,30,0,200,147.2,35.3,6,18,106,6.0,6.9,5,0.48100000000000004,26,0.5379999999999999,14,62.0,31,0.74,10.2,8,28,0.607,17,1.0,9,"Value City Arena, Columbus, Ohio",PENN-STATE,Penn State,72.0,Home,OHIO-STATE,Ohio State,Penn State,big-ten,8,False,False,False,Away,False,10,15,59,19,50,14,17,54,0,1,66,166,513,0.5165692007797271,323,569,0.5676625659050967,46,132,469,0.42857142857142855,0.875
9,2019-12-10-19-penn-state,47.4,9,6.1,3,101.3,78.9,30,0.40399999999999997,57,0.33299999999999996,19,0.491,28,0.821,23,1,200,92.0,37.8,14,16,69,4.0,5.3,4,0.40399999999999997,23,0.348,8,58.7,44,0.491,22.4,20,34,0.324,11,0.909,10,"December 10, 2019",65.5,19,29.4,10,92.0,62.2,23,0.478,68,0.426,29,0.20600000000000002,14,0.7859999999999999,11,2,200,101.3,21.1,8,16,76,,13.3,10,0.27899999999999997,19,0.368,7,41.3,31,0.509,9.7,8,49,0.449,22,0.8,8,"Bryce Jordan Center, University Park, Pennsylvania",MARYLAND,Maryland,75.5,Home,PENN-STATE,Penn State,Penn State,big-ten,9,True,False,True,Home,True,7,22,68,31,75,8,11,57,1,0,76,181,572,0.5157342657342657,342,619,0.5525040387722132,60,149,523,0.4569789674952199,0.7777777777777778
