,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MICHIGAN_homegame,MICHIGAN_homegame2,MICHIGAN_home,MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-12-michigan,22.2,6,7.5,3,100.0,80.0,24,0.585,53,0.509,27,0.245,13,0.6920000000000001,9,2,225,101.4,19.2,5,15,71,10.0,8.6,6,0.302,16,0.5,8,51.8,29,0.6,18.1,13,37,0.514,19,0.8,8,"December 14, 2019",56.0,14,8.1,3,101.4,80.8,21,0.484,61,0.41,25,0.23,14,0.7859999999999999,11,3,225,100.0,20.0,6,12,70,5.0,5.7,4,0.344,21,0.429,9,48.2,27,0.517,14.1,11,40,0.4,16,0.727,8,"Crisler Arena, Ann Arbor, Michigan",MICHIGAN,Michigan,62.1,Away,OREGON,Oregon,Michigan,big-ten,10,False,True,True,Home,False,9,16,61,27,56,8,19,53,0,1,88,208,598,0.5685618729096991,332,653,0.5084226646248086,43,227,650,0.4484615384615385,0.8
11,2019-12-21-12-michigan,41.2,7,3.8,1,132.3,53.8,14,0.308,60,0.28300000000000003,17,0.183,11,0.636,7,10,200,67.7,21.1,8,19,44,,6.2,4,0.33299999999999996,20,0.15,3,34.4,22,0.337,14.5,11,40,0.35,14,0.16699999999999998,2,"December 21, 2019",50.0,14,15.0,6,67.7,78.9,30,0.632,53,0.528,28,0.47200000000000003,25,0.76,19,3,200,132.3,46.2,12,12,86,14.0,10.8,7,0.509,27,0.40700000000000003,11,65.6,42,0.6629999999999999,11.1,8,26,0.654,17,0.75,9,"Crisler Arena, Ann Arbor, Michigan",PRESBYTERIAN,Presbyterian,64.6,Home,MICHIGAN,Michigan,Michigan,big-ten,11,True,False,True,Home,True,11,17,53,42,64,3,14,60,1,0,97,224,659,0.5606980273141123,359,709,0.5063469675599436,51,246,703,0.4587482219061166,0.7272727272727273
12,2019-12-29-14-michigan,24.0,6,8.7,4,116.2,67.7,21,0.45,60,0.41700000000000004,25,0.15,9,0.667,6,9,200,81.1,9.7,3,10,60,,10.8,8,0.217,13,0.308,4,38.7,24,0.467,16.9,13,47,0.447,21,0.4,6,"December 29, 2019",52.8,19,4.3,2,81.1,90.3,28,0.597,67,0.537,36,0.10400000000000001,7,0.857,6,3,200,116.2,32.3,10,12,86,11.0,5.4,4,0.313,21,0.381,8,61.3,38,0.611,16.7,14,46,0.609,28,0.769,10,"Crisler Arena, Ann Arbor, Michigan",MASSACHUSETTS-LOWELL,UMass-Lowell,74.3,Home,MICHIGAN,Michigan,Michigan,big-ten,12,True,False,True,Home,True,8,28,67,38,62,4,21,60,1,0,108,241,712,0.5660112359550562,401,773,0.51875808538163,54,260,763,0.4469200524246396,0.75
13,2020-01-05-13-michigan-state,56.0,14,13.2,5,114.5,70.4,19,0.39899999999999997,69,0.36200000000000004,25,0.319,22,0.636,14,4,200,90.8,26.7,12,22,69,12.0,9.2,7,0.33299999999999996,23,0.217,5,43.1,31,0.434,11.3,10,46,0.435,20,0.7140000000000001,10,"January 5, 2020",57.1,16,26.1,12,90.8,73.3,33,0.594,53,0.528,28,0.623,33,0.727,24,3,200,114.5,29.6,8,18,87,14.0,3.9,3,0.28300000000000003,15,0.467,7,56.9,41,0.633,16.1,13,38,0.5529999999999999,21,0.8,12,"Breslin Events Center, East Lansing, Michigan",MICHIGAN,Michigan,75.6,Home,MICHIGAN-STATE,Michigan State,Michigan,big-ten,13,False,False,False,Away,False,5,20,69,31,72,7,21,53,0,1,116,269,779,0.5686777920410783,439,835,0.525748502994012,58,281,823,0.4471445929526124,0.7692307692307693
14,2020-01-09-19-michigan,24.1,7,10.8,4,101.2,88.2,30,0.451,71,0.408,29,0.268,19,0.737,14,7,250,94.0,35.3,12,23,78,,2.4,2,0.268,19,0.316,6,61.8,42,0.48700000000000004,15.9,15,52,0.442,23,0.562,9,"January 9, 2020",54.8,17,13.5,7,94.0,64.7,22,0.523,66,0.47,31,0.364,24,0.625,15,4,250,101.2,11.8,4,17,84,19.0,8.4,7,0.439,29,0.24100000000000002,7,38.2,26,0.5429999999999999,10.5,9,37,0.649,24,0.733,11,"Crisler Arena, Ann Arbor, Michigan",PURDUE,Purdue,66.2,Home,MICHIGAN,Michigan,Michigan,big-ten,14,True,False,True,Home,True,7,24,66,26,68,6,23,71,1,0,121,289,848,0.5548349056603774,470,907,0.5181918412348401,65,302,876,0.4560502283105023,0.7142857142857143
15,2020-01-12-13-minnesota,53.8,14,5.7,2,115.4,76.9,20,0.5,62,0.419,26,0.09699999999999999,6,0.833,5,5,200,103.1,18.2,6,19,67,19.0,6.2,4,0.452,28,0.35700000000000004,10,44.1,26,0.517,11.0,8,34,0.47100000000000003,16,0.688,11,"January 12, 2020",57.1,16,2.9,1,103.1,81.8,27,0.588,51,0.5489999999999999,28,0.529,27,0.556,15,7,200,115.4,23.1,6,7,75,,6.2,4,0.314,16,0.25,4,55.9,33,0.588,7.4,5,35,0.6859999999999999,24,0.562,9,"Williams Arena, Minneapolis, Minnesota",MICHIGAN,Michigan,64.8,Home,MINNESOTA,Minnesota,Michigan,big-ten,15,False,False,False,Away,False,10,16,62,26,59,4,24,51,0,1,128,313,914,0.5525164113785558,496,975,0.5087179487179487,71,325,947,0.45564941921858504,0.7333333333333333
16,2020-01-17-21-iowa,70.6,24,13.5,5,123.3,69.2,18,0.581,68,0.5,34,0.07400000000000001,5,0.8,4,6,200,113.7,18.8,6,22,83,19.0,11.0,8,0.5,34,0.324,11,41.4,24,0.59,10.2,8,34,0.6759999999999999,23,0.647,11,"January 17, 2020",81.5,22,5.9,2,113.7,81.3,26,0.594,53,0.509,27,0.5660000000000001,30,0.9,27,5,200,123.3,30.8,8,13,90,,2.7,2,0.302,16,0.563,9,58.6,34,0.669,17.5,14,37,0.486,18,0.722,13,"Carver-Hawkeye Arena, Iowa City, Iowa",MICHIGAN,Michigan,72.8,Home,IOWA,Iowa,Michigan,big-ten,16,False,False,False,Away,False,11,23,68,24,58,9,18,53,0,1,138,329,976,0.5491803278688525,522,1034,0.504835589941973,75,349,998,0.4624248496993988,0.6875
17,2020-01-22-19-michigan,33.3,9,2.5,1,82.9,74.4,29,0.5539999999999999,56,0.48200000000000004,27,0.28600000000000003,16,0.625,10,5,200,94.7,7.1,2,15,72,,5.3,4,0.33899999999999997,19,0.42100000000000004,8,46.3,31,0.5660000000000001,16.0,12,37,0.514,19,0.737,14,"January 22, 2020",37.5,9,2.7,1,94.7,92.9,26,0.39,68,0.353,24,0.20600000000000002,14,0.7140000000000001,10,7,200,82.9,25.6,10,14,63,,10.5,8,0.41200000000000003,28,0.179,5,53.7,36,0.42200000000000004,14.9,13,40,0.475,19,0.611,11,"Crisler Arena, Ann Arbor, Michigan",MICHIGAN,Michigan,75.6,Away,PENN-STATE,Penn State,Michigan,big-ten,17,False,True,True,Home,False,5,19,68,36,67,8,19,56,0,1,149,352,1044,0.5512452107279694,546,1092,0.5,84,367,1051,0.4690770694576594,0.6470588235294118
18,2020-01-25-12-michigan,25.0,6,0.0,0,98.4,71.4,25,0.48100000000000004,54,0.444,24,0.29600000000000004,16,0.75,12,5,200,101.6,13.3,4,19,64,21.0,1.6,1,0.204,11,0.364,4,44.6,29,0.519,11.6,8,43,0.465,20,0.75,15,"January 25, 2020",21.7,5,7.0,3,101.6,86.7,26,0.424,59,0.39,23,0.35600000000000004,21,0.5710000000000001,12,8,200,98.4,28.6,10,14,62,,4.8,3,0.28800000000000003,17,0.235,4,55.4,36,0.449,2.8,2,42,0.452,19,0.579,11,"Crisler Arena, Ann Arbor, Michigan",MICHIGAN,Michigan,63.3,Away,ILLINOIS,Illinois,Michigan,big-ten,18,False,True,True,Home,False,4,19,59,36,65,4,20,54,0,1,154,371,1112,0.5413669064748201,582,1159,0.5021570319240725,92,386,1107,0.4733514001806685,0.6111111111111112
19,2020-01-28-19-nebraska,46.4,13,15.8,6,93.2,87.9,29,0.563,56,0.5,28,0.429,24,0.667,16,8,200,108.2,32.3,10,16,79,,12.3,9,0.429,24,0.292,7,60.9,39,0.586,18.4,15,32,0.6559999999999999,21,0.6,12,"January 28, 2020",61.5,16,3.1,1,108.2,67.7,21,0.517,59,0.441,26,0.203,12,0.583,7,14,200,93.2,12.1,4,22,68,,6.8,5,0.35600000000000004,21,0.429,9,39.1,25,0.526,16.8,13,38,0.447,17,0.33299999999999996,7,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,73.1,Away,MICHIGAN,Michigan,Michigan,big-ten,19,False,False,False,Away,True,7,21,56,39,64,9,17,59,1,0,158,390,1171,0.5354397950469684,618,1224,0.5049019607843137,96,406,1161,0.4737295434969854,0.5789473684210527
20,2020-02-01-16-michigan,22.2,6,14.3,4,95.8,85.2,23,0.361,83,0.325,27,0.06,5,0.6,3,6,200,87.5,41.7,20,21,63,25.0,11.1,8,0.289,24,0.25,6,57.3,43,0.369,9.6,9,59,0.35600000000000004,21,0.727,16,"February 1, 2020",77.3,17,10.2,6,87.5,58.3,28,0.564,47,0.46799999999999997,22,0.511,24,0.667,16,8,200,95.8,14.8,4,12,69,,8.3,6,0.40399999999999997,19,0.474,9,42.7,32,0.591,20.7,15,28,0.46399999999999997,13,0.619,13,"Madison Square Garden (IV), New York, New York",RUTGERS,Rutgers,71.9,Home,MICHIGAN,Michigan,Michigan,big-ten,20,True,False,True,Home,True,9,13,47,32,75,6,21,83,1,0,165,411,1227,0.5366748166259169,657,1288,0.5100931677018633,105,423,1220,0.4758196721311476,0.6
21,2020-02-04-19-michigan,50.0,12,10.3,3,89.2,72.7,24,0.48200000000000004,57,0.42100000000000004,24,0.175,10,0.6,6,7,200,93.8,14.7,5,14,61,,4.6,3,0.316,18,0.389,7,43.3,29,0.494,7.5,5,39,0.436,17,0.682,15,"February 4, 2020",50.0,10,12.8,5,93.8,85.3,29,0.41700000000000004,60,0.33299999999999996,20,0.15,9,0.889,8,9,200,89.2,27.3,9,14,58,,4.6,3,0.517,31,0.32299999999999995,10,56.7,38,0.451,15.8,12,29,0.345,10,0.591,13,"Crisler Arena, Ann Arbor, Michigan",MICHIGAN,Michigan,64.5,Away,OHIO-STATE,Ohio State,Michigan,big-ten,21,False,True,True,Home,False,10,10,60,38,67,7,17,57,0,1,174,424,1274,0.5376766091051806,689,1363,0.5055025678650037,111,444,1303,0.4685341519570223,0.6190476190476191
22,2020-02-08-12-michigan,47.6,10,11.1,4,106.9,71.8,28,0.381,63,0.33299999999999996,21,0.381,24,0.833,20,8,200,94.4,27.5,11,18,68,16.0,9.7,7,0.365,23,0.261,6,49.4,39,0.457,8.7,7,40,0.375,15,0.667,16,"February 8, 2020",50.0,12,15.0,6,94.4,72.5,29,0.461,64,0.375,24,0.359,23,0.7829999999999999,18,9,200,106.9,28.2,11,17,77,,4.2,3,0.43799999999999994,28,0.39299999999999996,11,50.6,40,0.514,10.8,9,36,0.361,13,0.609,14,"Crisler Arena, Ann Arbor, Michigan",MICHIGAN-STATE,Michigan State,71.7,Home,MICHIGAN,Michigan,Michigan,big-ten,22,True,False,True,Home,True,11,13,64,40,79,6,15,63,1,0,184,434,1334,0.5322338830584707,727,1430,0.5083916083916084,118,461,1360,0.4691176470588235,0.5909090909090909
23,2020-02-12-21-northwestern,70.0,21,7.9,3,75.0,87.8,36,0.523,64,0.469,30,0.23399999999999999,15,0.8,12,9,200,109.7,19.4,6,14,79,,4.2,3,0.313,20,0.35,7,58.3,42,0.555,10.2,8,44,0.523,23,0.625,15,"February 12, 2020",84.2,16,11.4,5,109.7,80.6,25,0.364,59,0.322,19,0.254,15,0.733,11,17,200,75.0,12.2,5,14,54,,0.0,0,0.35600000000000004,21,0.23800000000000002,5,41.7,30,0.408,13.2,10,38,0.368,14,0.261,6,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,72.1,Away,MICHIGAN,Michigan,Michigan,big-ten,23,False,False,False,Away,True,7,23,64,42,72,5,14,59,1,0,195,447,1398,0.528969957081545,767,1509,0.508283631544069,124,476,1423,0.4652143359100492,0.6086956521739131
24,2020-02-16-13-michigan,25.0,7,8.1,3,136.9,60.9,14,0.484,61,0.45899999999999996,28,0.19699999999999998,12,0.5,6,9,200,100.0,21.2,7,18,65,,1.5,1,0.19699999999999998,12,0.25,3,37.5,21,0.48700000000000004,9.6,7,49,0.51,25,0.64,16,"February 16, 2020",54.8,17,12.2,6,100.0,78.8,26,0.657,54,0.574,31,0.40700000000000003,22,0.818,18,9,200,136.9,39.1,9,16,89,,3.1,2,0.315,17,0.529,9,62.5,35,0.69,11.2,8,37,0.595,22,0.64,16,"Crisler Arena, Ann Arbor, Michigan",INDIANA,Indiana,65.1,Home,MICHIGAN,Michigan,Michigan,big-ten,24,True,False,True,Home,True,9,22,54,35,56,3,25,61,1,0,202,470,1462,0.5287277701778386,809,1581,0.5117014547754586,129,490,1482,0.4612010796221322,0.625
25,2020-02-19-19-rutgers,28.6,6,8.9,4,82.5,69.2,27,0.511,47,0.447,21,0.38299999999999995,18,0.667,12,9,200,95.2,16.0,4,13,60,,9.5,6,0.489,23,0.261,6,48.4,31,0.54,15.4,10,24,0.625,15,0.654,17,"February 19, 2020",31.8,7,8.3,2,95.2,84.0,21,0.373,63,0.349,22,0.14300000000000002,9,0.556,5,9,200,82.5,30.8,12,17,52,,7.9,5,0.28600000000000003,18,0.16699999999999998,3,51.6,33,0.386,11.8,9,45,0.42200000000000004,19,0.667,18,"Rutgers Athletic Center, New Brunswick, New Jersey",RUTGERS,Rutgers,62.9,Away,MICHIGAN,Michigan,Michigan,big-ten,25,False,False,False,Away,True,6,15,47,31,64,3,19,63,1,0,211,492,1516,0.533311345646438,844,1637,0.5155772755039707,132,515,1543,0.4620868438107583,0.64
26,2020-02-22-14-purdue,68.0,17,6.4,3,90.0,69.4,25,0.431,65,0.385,25,0.354,23,0.652,15,9,200,101.4,23.7,9,13,71,,10.0,7,0.385,25,0.24,6,45.9,34,0.46799999999999997,3.8,3,40,0.475,19,0.667,18,"February 22, 2020",32.0,8,10.0,4,101.4,76.3,29,0.429,63,0.397,25,0.19,12,0.75,9,14,200,90.0,30.6,11,19,63,,1.4,1,0.254,16,0.25,4,54.1,40,0.45899999999999996,14.9,12,47,0.447,21,0.5,14,"Mackey Arena, West Lafayette, Indiana",PURDUE,Purdue,69.8,Away,MICHIGAN,Michigan,Michigan,big-ten,26,False,False,False,Away,True,6,19,65,34,74,4,21,63,1,0,217,507,1563,0.5326295585412668,875,1701,0.51440329218107,135,534,1606,0.4585927770859278,0.6538461538461539
27,2020-02-27-19-michigan,34.5,10,4.0,2,110.4,86.2,25,0.639,54,0.537,29,0.278,15,0.8,12,10,200,120.9,11.5,3,15,81,,1.5,1,0.426,23,0.478,11,50.9,28,0.6629999999999999,11.7,8,31,0.581,18,0.643,18,"February 27, 2020",25.8,8,12.9,4,120.9,88.5,23,0.542,60,0.517,31,0.25,15,0.6,9,10,200,110.4,13.8,4,17,74,19.0,7.5,5,0.16699999999999998,10,0.3,3,49.1,27,0.551,7.0,5,50,0.56,28,0.643,18,"Crisler Arena, Ann Arbor, Michigan",MICHIGAN,Michigan,67.1,Away,WISCONSIN,Wisconsin,Michigan,big-ten,27,False,True,True,Home,False,3,28,60,27,55,11,18,54,0,1,223,526,1628,0.5285626535626535,909,1775,0.5121126760563379,139,555,1669,0.457459556620731,0.6666666666666666
