,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-ILLINOIS_homegame,SOUTHERN-ILLINOIS_homegame2,SOUTHERN-ILLINOIS_home,SOUTHERN-ILLINOIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-southern-illinois,59.1,13,0.0,0,104.1,82.9,29,0.315,73,0.301,22,0.068,5,0.4,2,0,200,65.8,37.8,17,16,48,,4.1,3,0.315,23,0.087,2,57.5,46,0.318,16.6,15,50,0.4,20,0.0,0,"November 5, 2019",61.3,19,6.0,3,65.8,62.2,28,0.5479999999999999,63,0.4920000000000001,31,0.19,12,0.583,7,0,200,104.1,17.1,6,7,76,,8.2,6,0.397,25,0.28,7,42.5,34,0.5529999999999999,11.6,9,38,0.632,24,1.0,1,"The SIU Arena, Carbondale, Illinois","Illinois Wesleyan
			","Illinois Wesleyan
			",72.5,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,0,True,False,True,Home,True,7,24,63,34,80,2,20,73,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-southern-illinois,64.7,11,6.9,2,100.0,92.6,25,0.384,56,0.304,17,0.375,21,0.81,17,2,200,83.3,30.0,9,23,60,,9.7,7,0.5,28,0.321,9,59.6,34,0.455,17.7,14,28,0.28600000000000003,8,0.0,0,"November 8, 2019",62.5,15,10.7,3,83.3,70.0,21,0.539,51,0.47100000000000003,24,0.451,23,0.7390000000000001,17,0,200,100.0,7.4,2,19,72,,9.7,7,0.431,22,0.318,7,40.4,23,0.581,17.5,13,29,0.586,17,1.0,2,"Silver Spurs Arena, Kissimmee, Florida",TEXAS-SAN-ANTONIO,UTSA,72.0,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,1,True,False,True,Home,True,7,17,51,23,57,9,8,56,1,0,7,24,63,0.5476190476190477,34,80,0.425,2,20,73,0.3150684931506849,1.0
2,2019-11-09-15-southern-illinois,52.4,11,3.0,1,85.7,79.3,23,0.444,54,0.389,21,0.259,14,0.5710000000000001,8,0,200,88.9,23.5,8,16,56,,12.7,8,0.444,24,0.25,6,49.2,31,0.462,15.5,11,30,0.5,15,1.0,3,"November 9, 2019",60.0,12,3.3,1,88.9,76.5,26,0.45,50,0.4,20,0.24,12,0.75,9,1,200,85.7,20.7,6,14,54,,6.3,4,0.34,17,0.294,5,50.8,32,0.485,17.8,12,33,0.455,15,0.667,2,"Silver Spurs Arena, Kissimmee, Florida",SOUTHERN-ILLINOIS,Southern Illinois,62.7,Away,DELAWARE,Delaware,Southern Illinois,mvc,2,False,True,True,Home,False,5,15,50,32,63,6,15,54,0,1,14,41,114,0.543859649122807,57,137,0.4160583941605839,11,28,129,0.3449612403100775,1.0
3,2019-11-10-13-oakland,47.6,10,2.6,1,96.8,61.5,16,0.462,53,0.396,21,0.113,6,0.5,3,2,200,82.5,3.4,1,13,52,,15.9,10,0.5660000000000001,30,0.233,7,30.9,17,0.466,12.6,8,23,0.609,14,0.5,2,"November 10, 2019",45.8,11,13.0,3,82.5,96.6,28,0.49,52,0.462,24,0.25,13,0.769,10,1,200,96.8,38.5,10,9,61,,6.3,4,0.25,13,0.231,3,69.1,38,0.524,19.5,14,39,0.5379999999999999,21,0.75,3,"Silver Spurs Arena, Kissimmee, Florida",SOUTHERN-ILLINOIS,Southern Illinois,62.5,Home,OAKLAND,Oakland,Southern Illinois,mvc,3,False,False,False,Away,False,7,14,53,17,55,3,21,52,0,1,19,56,164,0.5152439024390244,89,200,0.445,17,43,183,0.3743169398907104,0.6666666666666666
4,2019-11-16-20-southern-illinois,50.0,15,8.8,3,92.3,88.5,23,0.5820000000000001,61,0.4920000000000001,30,0.115,7,0.7140000000000001,5,0,200,116.9,42.9,12,19,76,,10.8,7,0.525,32,0.344,11,64.8,35,0.591,16.9,13,29,0.655,19,1.0,4,"November 16, 2019",40.9,9,10.3,3,116.9,57.1,16,0.51,48,0.45799999999999996,22,0.33299999999999996,16,0.688,11,3,200,92.3,11.5,3,8,60,,9.2,6,0.292,14,0.35700000000000004,5,35.2,19,0.54,17.9,12,34,0.5,17,0.4,2,"The SIU Arena, Carbondale, Illinois",SOUTHERN-ILLINOIS,Southern Illinois,65.0,Away,SAN-FRANCISCO,San Francisco,Southern Illinois,mvc,4,False,True,True,Home,False,5,17,48,19,54,11,19,61,0,1,26,70,217,0.5023041474654378,106,255,0.415686274509804,20,64,235,0.4,0.5
5,2019-11-19-20-murray-state,40.9,9,10.5,4,116.2,67.9,19,0.447,57,0.386,22,0.42100000000000004,24,0.625,15,4,200,97.1,25.0,10,23,66,,8.8,6,0.368,21,0.33299999999999996,7,42.6,29,0.48200000000000004,12.9,10,36,0.41700000000000004,15,0.33299999999999996,2,"November 19, 2019",45.5,10,8.3,3,97.1,75.0,30,0.5,49,0.449,22,0.7959999999999999,39,0.769,30,1,200,116.2,32.1,9,18,79,,11.8,8,0.22399999999999998,11,0.455,5,57.4,39,0.585,12.0,9,38,0.447,17,0.75,3,"CFSB Center, Murray, Kentucky",SOUTHERN-ILLINOIS,Southern Illinois,68.0,Home,MURRAY-STATE,Murray State,Southern Illinois,mvc,5,False,False,False,Away,False,7,15,57,29,68,5,17,49,0,1,31,87,265,0.5037735849056604,125,309,0.4045307443365696,31,83,296,0.4375,0.4
6,2019-11-26-20-southern-illinois,55.6,10,12.0,3,108.5,84.2,16,0.42200000000000004,51,0.353,18,0.11800000000000001,6,0.833,5,5,200,81.4,29.0,9,14,48,,18.6,11,0.392,20,0.35,7,50.0,25,0.446,21.9,15,31,0.355,11,0.28600000000000003,2,"November 26, 2019",69.6,16,12.9,4,81.4,71.0,22,0.667,42,0.5479999999999999,23,0.214,9,0.889,8,4,200,108.5,15.8,3,12,64,,6.8,4,0.405,17,0.588,10,50.0,25,0.6920000000000001,23.3,14,25,0.52,13,0.429,3,"The SIU Arena, Carbondale, Illinois",NORTH-CAROLINA-CENTRAL,North Carolina Central,58.6,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,6,True,False,True,Home,True,10,13,42,25,50,7,11,51,1,0,38,102,322,0.4937888198757764,154,377,0.4084880636604775,36,100,345,0.4463768115942029,0.3333333333333333
7,2019-12-01-16-saint-louis,56.5,13,2.7,1,106.2,66.7,22,0.461,51,0.451,23,0.392,20,0.65,13,5,200,92.3,10.3,3,18,60,,12.3,8,0.21600000000000005,11,0.091,1,40.3,25,0.496,10.5,7,40,0.55,22,0.375,3,"December 1, 2019",54.2,13,17.5,7,92.3,89.7,26,0.48200000000000004,55,0.436,24,0.418,23,0.696,16,1,200,106.2,33.3,11,18,69,,6.2,4,0.327,18,0.278,5,59.7,37,0.523,14.5,11,37,0.514,19,0.875,7,"Chaifetz Arena, St. Louis, Missouri",SOUTHERN-ILLINOIS,Southern Illinois,65.2,Home,SAINT-LOUIS,Saint Louis,Southern Illinois,mvc,7,False,False,False,Away,False,1,22,51,25,62,5,19,55,0,1,48,115,364,0.5137362637362637,179,427,0.4192037470725996,43,111,396,0.4431818181818182,0.42857142857142855
8,2019-12-04-20-southern-illinois,41.7,10,4.2,1,120.6,60.7,17,0.5,54,0.444,24,0.16699999999999998,9,0.556,5,7,200,93.7,26.7,8,16,59,,14.3,9,0.37,20,0.3,6,43.1,25,0.506,19.5,14,34,0.529,18,0.3,3,"December 4, 2019",80.8,21,5.9,2,93.7,73.3,22,0.611,54,0.48100000000000004,26,0.204,11,0.909,10,5,200,120.6,39.3,11,12,76,,12.7,8,0.556,30,0.467,14,56.9,33,0.642,19.2,14,24,0.5,12,0.444,4,"The SIU Arena, Carbondale, Illinois",NORFOLK-STATE,Norfolk State,63.3,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,8,True,False,True,Home,True,14,12,54,33,58,6,18,54,1,0,49,137,415,0.5072289156626506,204,489,0.4171779141104294,48,130,451,0.4478935698447893,0.375
9,2019-12-07-15-southern-mississippi,47.6,10,2.9,1,107.5,81.0,17,0.581,43,0.488,21,0.628,27,0.7040000000000001,19,6,200,103.0,22.7,5,18,69,,9.0,6,0.535,23,0.348,8,51.2,22,0.618,23.7,17,20,0.65,13,0.4,4,"December 7, 2019",63.0,17,10.0,2,103.0,77.3,17,0.628,47,0.574,27,0.426,20,0.65,13,7,200,107.5,19.0,4,20,72,,19.4,13,0.27699999999999997,13,0.385,5,48.8,21,0.637,18.9,13,34,0.647,22,0.3,3,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTHERN-ILLINOIS,Southern Illinois,66.7,Home,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Illinois,mvc,9,False,False,False,Away,False,8,13,43,22,43,5,22,47,0,1,63,149,469,0.5191897654584222,237,547,0.43327239488117,54,148,505,0.4534653465346535,0.4444444444444444
