,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BUTLER_homegame,BUTLER_homegame2,BUTLER_home,BUTLER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-18-butler,33.3,7,6.7,3,129.0,60.7,17,0.395,57,0.368,21,0.14,8,0.25,2,1,200,75.8,34.3,12,14,47,,8.1,5,0.368,21,0.14300000000000002,3,46.0,29,0.387,18.8,14,36,0.5,18,0.0,0,"November 6, 2019",60.0,21,11.1,4,75.8,65.7,23,0.644,59,0.593,35,0.153,9,0.444,4,0,200,129.0,39.3,11,13,80,,9.7,6,0.237,14,0.429,6,54.0,34,0.632,11.3,8,45,0.644,29,1.0,1,"Hinkle Fieldhouse, Indianapolis, Indiana",IUPUI,IUPUI,61.5,Home,BUTLER,Butler,Butler,big-east,0,True,False,True,Home,True,6,29,59,34,63,3,18,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-19-butler,33.3,7,12.2,5,123.4,57.6,19,0.48,49,0.429,21,0.163,8,0.75,6,1,200,82.8,7.7,2,20,53,,3.1,2,0.22399999999999998,11,0.455,5,35.6,21,0.502,23.4,16,38,0.42100000000000004,16,0.5,1,"November 9, 2019",62.1,18,5.3,2,82.8,92.3,24,0.5579999999999999,60,0.483,29,0.33299999999999996,20,0.6,12,0,200,123.4,42.4,14,14,79,,9.4,6,0.317,19,0.474,9,64.4,38,0.568,6.8,5,41,0.488,20,1.0,2,"Hinkle Fieldhouse, Indianapolis, Indiana",NEW-ORLEANS,New Orleans,63.7,Home,BUTLER,Butler,Butler,big-east,1,True,False,True,Home,True,9,20,60,38,59,5,16,49,1,0,6,29,59,0.6440677966101694,34,63,0.5396825396825397,3,18,57,0.3947368421052632,1.0
2,2019-11-12-20-butler,70.6,12,12.2,5,94.1,72.7,24,0.392,51,0.33299999999999996,17,0.41200000000000003,21,0.762,16,2,200,82.4,26.7,8,25,56,,7.4,5,0.451,23,0.261,6,50.8,32,0.45899999999999996,19.9,15,28,0.39299999999999996,11,0.33299999999999996,1,"November 12, 2019",38.1,8,10.7,3,82.4,73.3,22,0.409,55,0.382,21,0.473,26,0.731,19,0,200,94.1,27.3,9,20,64,,10.3,7,0.255,14,0.214,3,49.2,31,0.475,11.9,9,41,0.439,18,1.0,3,"Hinkle Fieldhouse, Indianapolis, Indiana",MINNESOTA,Minnesota,67.7,Home,BUTLER,Butler,Butler,big-east,2,True,False,True,Home,True,3,18,55,31,63,6,11,51,1,0,15,49,119,0.6008403361344538,72,122,0.5901639344262295,8,34,106,0.4339622641509434,1.0
3,2019-11-16-20-butler,40.9,9,8.3,3,119.4,82.6,19,0.43,57,0.386,22,0.316,18,0.667,12,2,200,91.0,17.6,6,19,61,,7.5,5,0.474,27,0.185,5,43.9,25,0.465,12.2,9,30,0.5670000000000001,17,0.5,2,"November 16, 2019",65.5,19,10.0,3,91.0,82.4,28,0.615,52,0.5579999999999999,29,0.365,19,0.8420000000000001,16,0,200,119.4,17.4,4,15,80,,3.0,2,0.308,16,0.375,6,56.1,32,0.655,11.7,8,36,0.639,23,1.0,4,"Hinkle Fieldhouse, Indianapolis, Indiana",WOFFORD,Wofford,66.8,Home,BUTLER,Butler,Butler,big-east,3,True,False,True,Home,True,6,23,52,32,57,5,17,57,1,0,18,67,174,0.5402298850574713,103,185,0.5567567567567567,14,45,157,0.4203821656050956,1.0
4,2019-11-22-19-butler,50.0,8,9.7,3,107.9,77.8,21,0.39399999999999996,47,0.34,16,0.36200000000000004,17,0.765,13,2,200,79.4,18.5,5,9,50,,14.3,9,0.426,20,0.25,5,48.1,26,0.45399999999999996,18.1,12,27,0.40700000000000003,11,0.667,4,"November 22, 2019",53.8,14,11.1,3,79.4,81.5,22,0.535,57,0.456,26,0.158,9,0.778,7,0,200,107.9,22.2,6,16,68,,11.1,7,0.456,26,0.34600000000000003,9,51.9,28,0.555,12.9,9,31,0.5479999999999999,17,1.0,5,"Hinkle Fieldhouse, Indianapolis, Indiana",MOREHEAD-STATE,Morehead State,63.2,Home,BUTLER,Butler,Butler,big-east,4,True,False,True,Home,True,9,17,57,28,54,5,11,47,1,0,24,90,226,0.5575221238938053,135,242,0.5578512396694215,19,62,214,0.4228971962616823,1.0
5,2019-11-25-19-missouri,56.5,13,8.6,3,89.7,81.0,17,0.563,48,0.479,23,0.20800000000000002,10,0.9,9,0,200,108.6,45.5,10,12,63,,10.3,6,0.5,24,0.33299999999999996,8,62.8,27,0.597,21.1,14,24,0.625,15,1.0,6,"November 25, 2019",36.4,8,4.2,1,108.6,54.5,12,0.5,46,0.478,22,0.217,10,0.6,6,2,200,89.7,19.0,4,13,52,,15.5,9,0.239,11,0.182,2,37.2,16,0.512,19.2,12,35,0.5710000000000001,20,0.667,4,"Sprint Center, Kansas City, Missouri",MISSOURI,Missouri,57.8,Away,BUTLER,Butler,Butler,big-east,5,False,False,False,Away,True,8,15,48,27,43,2,20,46,1,0,33,107,283,0.5530035335689046,163,296,0.5506756756756757,24,73,261,0.41762452107279696,1.0
6,2019-11-26-21-butler,69.2,18,8.6,3,109.7,61.5,16,0.622,49,0.531,26,0.184,9,0.667,6,1,200,108.1,26.1,6,10,67,,9.7,6,0.408,20,0.45,9,44.9,22,0.629,22.1,15,29,0.586,17,0.875,7,"November 26, 2019",32.1,9,3.4,1,108.1,73.9,17,0.534,58,0.483,28,0.138,8,0.75,6,0,200,109.7,38.5,10,16,68,,11.3,7,0.397,23,0.261,6,55.1,27,0.55,14.0,10,35,0.629,22,1.0,7,"Sprint Center, Kansas City, Missouri",STANFORD,Stanford,62.0,Home,BUTLER,Butler,Butler,big-east,6,True,False,True,Home,True,6,22,58,27,49,9,17,49,1,0,41,122,331,0.5543806646525681,190,339,0.5604719764011801,26,93,307,0.42996742671009774,1.0
7,2019-12-03-19-mississippi,58.3,14,0.0,0,90.6,78.4,29,0.596,47,0.511,24,0.319,15,0.733,11,0,200,104.7,12.5,3,15,67,24.0,7.8,5,0.36200000000000004,17,0.47100000000000003,8,52.5,32,0.619,19.5,13,30,0.5329999999999999,16,1.0,8,"December 3, 2019",72.7,16,3.3,1,104.7,87.5,21,0.46399999999999997,55,0.4,22,0.273,15,0.467,7,3,200,90.6,21.6,8,16,58,,10.9,7,0.4,22,0.318,7,47.5,29,0.467,14.0,10,33,0.455,15,0.625,5,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,64.1,Away,BUTLER,Butler,Butler,big-east,7,False,False,False,Away,True,8,16,47,32,61,7,15,55,1,0,47,144,389,0.5514138817480719,217,388,0.5592783505154639,35,110,356,0.4564606741573034,1.0
8,2019-12-07-12-butler,57.1,12,3.6,1,116.9,90.0,18,0.5,48,0.43799999999999994,21,0.43799999999999994,21,0.667,14,3,200,95.4,14.3,4,18,62,,7.7,5,0.542,26,0.231,6,45.8,22,0.535,14.9,10,22,0.682,15,0.667,6,"December 7, 2019",76.0,19,9.1,2,95.4,85.7,24,0.615,48,0.521,25,0.45799999999999996,22,0.773,17,0,200,116.9,10.0,2,18,76,24.0,4.6,3,0.41700000000000004,20,0.45,9,54.2,26,0.65,13.5,9,28,0.5710000000000001,16,1.0,9,"Hinkle Fieldhouse, Indianapolis, Indiana",FLORIDA,Florida,64.7,Home,BUTLER,Butler,Butler,big-east,8,True,False,True,Home,True,9,16,48,26,48,6,15,48,1,0,55,160,436,0.5561926605504587,249,449,0.5545657015590201,42,125,411,0.4574209245742093,1.0
9,2019-12-10-21-baylor,45.0,9,15.2,5,85.5,69.7,23,0.441,51,0.392,20,0.196,10,0.7,7,1,200,83.9,23.1,6,16,52,18.0,6.5,4,0.294,15,0.33299999999999996,5,49.2,29,0.466,15.3,10,36,0.41700000000000004,15,0.9,9,"December 10, 2019",52.4,11,19.4,7,83.9,76.9,20,0.4,60,0.35,21,0.183,11,0.455,5,1,200,85.5,30.3,10,14,53,11.0,6.5,4,0.45,27,0.222,6,50.8,30,0.406,13.4,10,33,0.455,15,0.889,8,"Ferrell Center, Waco, Texas",BUTLER,Butler,62.5,Home,BAYLOR,Baylor,Butler,big-east,9,False,False,False,Away,False,5,15,51,29,59,6,15,60,0,1,64,176,484,0.5619834710743802,275,497,0.5533199195171026,48,140,459,0.4618736383442266,1.0
