,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-DAKOTA_homegame,NORTH-DAKOTA_homegame2,NORTH-DAKOTA_home,NORTH-DAKOTA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-07-20-north-dakota,43.5,10,4.5,2,107.5,66.7,20,0.41,67,0.34299999999999997,23,0.11900000000000001,8,0.75,6,0,200,76.3,4.9,2,14,61,,8.8,7,0.38799999999999996,26,0.34600000000000003,9,31.0,22,0.431,12.4,10,41,0.341,14,0.0,0,"November 7, 2019",51.5,17,7.3,3,76.3,95.1,39,0.5760000000000001,66,0.5,33,0.19699999999999998,13,0.769,10,0,200,107.5,33.3,10,9,86,,6.3,5,0.33299999999999996,22,0.455,10,69.0,49,0.596,20.9,19,44,0.523,23,1.0,1,"Betty Engelstad Sioux Center , Grand Forks, North Dakota","Crown College
			","Crown College
			",80.0,Home,NORTH-DAKOTA,North Dakota,North Dakota,summit,0,True,False,True,Home,True,10,23,66,49,71,9,14,67,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-21-gonzaga,32.0,8,0.0,0,129.3,61.3,19,0.396,72,0.34700000000000003,25,0.153,11,0.818,9,1,200,88.0,17.4,8,15,66,,8.0,6,0.431,31,0.226,7,35.1,27,0.4270000000000001,6.1,5,41,0.439,18,0.5,1,"November 12, 2019",41.5,17,19.5,8,88.0,82.6,38,0.627,71,0.5770000000000001,41,0.19699999999999998,14,0.5710000000000001,8,0,200,129.3,38.7,12,12,97,8.0,1.3,1,0.225,16,0.43799999999999994,7,64.9,50,0.625,11.5,10,55,0.618,34,1.0,3,"McCarthey Athletic Center, Spokane, Washington",NORTH-DAKOTA,North Dakota,74.9,Home,GONZAGA,Gonzaga,North Dakota,summit,1,False,False,False,Away,False,7,18,72,27,77,7,34,71,0,1,10,23,66,0.5757575757575758,49,71,0.6901408450704225,9,14,67,0.41044776119402987,1.0
2,2019-11-17-14-valparaiso,62.5,15,9.1,4,102.8,69.4,25,0.51,52,0.462,24,0.231,12,0.583,7,2,200,83.3,22.2,6,14,60,,6.9,5,0.28800000000000003,15,0.33299999999999996,5,49.2,31,0.52,24.9,19,37,0.514,19,0.33299999999999996,1,"November 17, 2019",66.7,20,8.1,3,83.3,77.8,21,0.5,68,0.441,30,0.191,13,0.462,6,1,200,102.8,30.6,11,13,74,,15.3,11,0.353,24,0.33299999999999996,8,50.8,32,0.499,13.0,11,44,0.5,22,0.75,3,"Athletics-Recreation Center, Valparaiso, Indiana",NORTH-DAKOTA,North Dakota,72.4,Home,VALPARAISO,Valparaiso,North Dakota,summit,2,False,False,False,Away,False,5,19,52,31,63,8,22,68,0,1,17,41,138,0.4818840579710145,76,148,0.5135135135135135,16,48,138,0.5217391304347826,0.5
3,2019-11-19-20-milwaukee,34.8,8,18.6,8,105.3,64.1,25,0.48100000000000004,53,0.434,23,0.509,27,0.7040000000000001,19,3,200,93.3,35.3,12,23,70,,6.7,5,0.396,21,0.23800000000000002,5,50.7,37,0.532,23.6,20,32,0.563,18,0.25,1,"November 19, 2019",53.6,15,12.5,4,93.3,64.7,22,0.5,64,0.43799999999999994,28,0.406,26,0.5770000000000001,15,1,200,105.3,35.9,14,25,79,,8.0,6,0.32799999999999996,21,0.381,8,49.3,36,0.517,14.7,13,43,0.465,20,0.8,4,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",NORTH-DAKOTA,North Dakota,74.6,Home,MILWAUKEE,Milwaukee,North Dakota,summit,3,False,False,False,Away,False,5,18,53,37,73,8,20,64,0,1,22,60,190,0.4894736842105264,107,211,0.5071090047393365,24,70,206,0.5145631067961165,0.3333333333333333
4,2019-11-24-19-minnesota,58.3,14,7.0,3,105.3,75.0,24,0.466,58,0.414,24,0.069,4,0.5,2,4,200,74.7,12.1,4,14,56,,9.3,7,0.397,23,0.261,6,43.1,28,0.467,24.1,19,35,0.514,18,0.2,1,"November 24, 2019",59.4,19,11.4,4,74.7,87.9,29,0.579,63,0.508,32,0.14300000000000002,9,0.667,6,3,200,105.3,25.0,8,14,79,,10.7,8,0.317,20,0.45,9,56.9,37,0.5870000000000001,18.3,15,43,0.535,23,0.5,3,"Williams Arena, Minneapolis, Minnesota",NORTH-DAKOTA,North Dakota,74.6,Home,MINNESOTA,Minnesota,North Dakota,summit,4,False,False,False,Away,False,6,18,58,28,65,9,23,63,0,1,27,78,243,0.4876543209876543,144,284,0.5070422535211268,32,90,270,0.5111111111111111,0.25
5,2019-11-26-21-north-dakota,50.0,9,2.6,1,151.3,57.1,12,0.42,56,0.321,18,0.179,10,0.3,3,0,200,65.8,7.7,3,20,50,,1.3,1,0.46399999999999997,26,0.423,11,25.0,15,0.41200000000000003,23.0,18,30,0.233,7,0.0,0,"November 26, 2019",56.1,23,6.7,2,65.8,92.3,36,0.7340000000000001,64,0.6409999999999999,41,0.391,25,0.84,21,4,200,151.3,42.9,9,13,115,,9.2,7,0.391,25,0.48,12,75.0,45,0.758,11.8,10,39,0.7440000000000001,29,0.33299999999999996,2,"Betty Engelstad Sioux Center , Grand Forks, North Dakota","North Central (MN)
			","North Central (MN)
			",76.3,Home,NORTH-DAKOTA,North Dakota,North Dakota,summit,5,True,False,True,Home,True,12,29,64,45,60,11,7,56,1,0,33,96,301,0.4833887043189369,172,349,0.492836676217765,41,113,333,0.524024024024024,0.2
6,2019-11-29-19-florida-gulf-coast,60.7,17,11.8,4,88.7,81.3,26,0.5529999999999999,57,0.491,28,0.298,17,0.882,15,4,200,109.9,37.0,10,18,78,,5.6,4,0.33299999999999996,19,0.368,7,61.0,36,0.599,20.9,17,38,0.5529999999999999,21,0.429,3,"November 29, 2019",52.4,11,7.9,3,109.9,63.0,17,0.45299999999999996,53,0.396,21,0.358,19,0.789,15,6,200,88.7,18.8,6,17,63,,15.5,11,0.358,19,0.316,6,39.0,23,0.508,17.5,13,34,0.441,15,0.25,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,70.6,Away,NORTH-DAKOTA,North Dakota,North Dakota,summit,6,False,False,False,Away,True,7,21,57,36,59,6,15,53,1,0,45,125,365,0.5273972602739726,217,409,0.530562347188264,52,120,389,0.5089974293059126,0.3333333333333333
7,2019-11-30-16-georgia-southern,52.4,11,0.0,0,93.2,68.9,31,0.47200000000000003,54,0.389,21,0.593,32,0.9059999999999999,29,4,200,109.6,35.5,11,23,80,,5.5,4,0.444,24,0.375,9,55.3,42,0.578,16.0,13,30,0.4,12,0.5,4,"November 30, 2019",15.8,3,10.0,3,109.6,64.5,20,0.33299999999999996,63,0.302,19,0.556,35,0.743,26,3,200,93.2,31.1,14,22,68,,13.7,10,0.27,17,0.235,4,44.7,34,0.4270000000000001,11.3,10,46,0.326,15,0.5710000000000001,4,"Alico Arena, Fort Myers, Florida",GEORGIA-SOUTHERN,Georgia Southern,73.4,Away,NORTH-DAKOTA,North Dakota,North Dakota,summit,7,False,False,False,Away,True,9,12,54,42,76,4,15,63,1,0,52,146,422,0.5308056872037915,253,468,0.5405982905982906,58,135,442,0.502262443438914,0.42857142857142855
8,2019-12-01-12-campbell,50.0,10,10.3,4,90.6,90.3,28,0.5,44,0.455,20,0.364,16,0.75,12,5,200,87.5,21.7,5,14,56,,4.7,3,0.386,17,0.235,4,61.1,33,0.5429999999999999,25.0,17,27,0.593,16,0.444,4,"December 1, 2019",36.4,8,7.4,2,87.5,78.3,18,0.46399999999999997,55,0.4,22,0.16399999999999998,9,0.778,7,2,200,90.6,9.7,3,16,58,,14.1,9,0.29100000000000004,16,0.43799999999999994,7,38.9,21,0.489,11.9,8,39,0.385,15,0.75,6,"Alico Arena, Fort Myers, Florida",NORTH-DAKOTA,North Dakota,63.9,Home,CAMPBELL,Campbell,North Dakota,summit,8,False,False,False,Away,False,4,16,44,33,54,7,15,55,0,1,61,158,476,0.5241596638655462,295,544,0.5422794117647058,62,150,505,0.4811881188118812,0.5
9,2019-12-06-21-montana,65.2,15,4.0,2,106.9,76.7,23,0.5,55,0.418,23,0.364,20,0.75,15,6,200,97.2,26.7,8,24,70,,5.6,4,0.4,22,0.409,9,51.7,31,0.5429999999999999,21.0,17,33,0.424,14,0.4,4,"December 6, 2019",33.3,9,18.2,6,97.2,73.3,22,0.509,55,0.491,27,0.491,27,0.778,21,5,200,106.9,23.3,7,18,77,,11.1,8,0.091,5,0.4,2,48.3,29,0.568,13.0,10,50,0.5,25,0.444,4,"Adams Center/Dahlberg Arena, Missoula, Montana",NORTH-DAKOTA,North Dakota,72.2,Home,MONTANA,Montana,North Dakota,summit,9,False,False,False,Away,False,9,14,55,31,60,2,25,55,0,1,65,174,520,0.5221153846153846,328,598,0.5484949832775919,69,165,560,0.4794642857142857,0.4444444444444444
