,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WOFFORD_homegame,WOFFORD_homegame2,WOFFORD_home,WOFFORD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-wofford,50.0,13,4.2,1,117.8,85.7,18,0.4920000000000001,62,0.419,26,0.09699999999999999,6,0.33299999999999996,2,0,200,86.3,26.5,9,16,63,,16.4,12,0.32299999999999995,20,0.45,9,49.1,27,0.486,22.7,19,42,0.405,17,0.0,0,"November 5, 2019",62.1,18,4.8,2,86.3,73.5,25,0.6829999999999999,52,0.5579999999999999,29,0.34600000000000003,18,0.833,15,0,200,117.8,14.3,3,10,86,,8.2,6,0.5379999999999999,28,0.46399999999999997,13,50.9,28,0.71,18.9,14,24,0.667,16,1.0,1,"Richardson Indoor Stadium, Spartanburg, South Carolina","Erskine
			","Erskine
			",73.2,Home,WOFFORD,Wofford,Wofford,southern,0,True,False,True,Home,True,13,16,52,28,55,9,17,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-19-wofford,64.7,11,14.3,3,136.9,76.9,20,0.41700000000000004,48,0.354,17,0.542,26,0.8079999999999999,21,2,200,93.8,30.8,8,20,61,,3.1,2,0.313,15,0.4,6,53.8,28,0.505,15.6,11,33,0.33299999999999996,11,0.0,0,"November 9, 2019",67.9,19,21.2,7,93.8,69.2,18,0.612,58,0.483,28,0.36200000000000004,21,0.857,18,0,200,136.9,23.1,6,22,89,,12.3,8,0.638,37,0.405,15,46.2,24,0.655,5.6,4,21,0.619,13,1.0,2,"Richardson Indoor Stadium, Spartanburg, South Carolina",HIGH-POINT,High Point,64.7,Home,WOFFORD,Wofford,Wofford,southern,1,True,False,True,Home,True,15,13,58,24,52,6,11,48,1,0,13,16,52,0.6826923076923077,28,55,0.509090909090909,9,17,62,0.4919354838709678,1.0
2,2019-11-12-19-wofford,51.6,16,7.7,3,123.4,71.0,22,0.6729999999999999,55,0.564,31,0.127,7,0.857,6,0,200,125.0,33.3,6,17,80,,6.3,4,0.473,26,0.462,12,57.1,28,0.6859999999999999,14.7,10,29,0.655,19,1.0,3,"November 12, 2019",35.7,10,3.4,1,125.0,66.7,12,0.524,63,0.444,28,0.20600000000000002,13,1.0,13,1,200,123.4,29.0,9,11,79,,4.7,3,0.381,24,0.41700000000000004,10,42.9,21,0.5710000000000001,8.0,6,39,0.462,18,0.667,2,"Richardson Indoor Stadium, Spartanburg, South Carolina",WOFFORD,Wofford,64.3,Away,WILLIAM-MARY,William & Mary,Wofford,southern,2,False,True,True,Home,False,10,18,63,21,49,12,19,55,0,1,28,29,110,0.6454545454545455,52,107,0.485981308411215,15,28,110,0.4590909090909091,1.0
3,2019-11-16-20-butler,40.9,9,8.3,3,119.4,82.6,19,0.43,57,0.386,22,0.316,18,0.667,12,2,200,91.0,17.6,6,19,61,,7.5,5,0.474,27,0.185,5,43.9,25,0.465,12.2,9,30,0.5670000000000001,17,0.5,2,"November 16, 2019",65.5,19,10.0,3,91.0,82.4,28,0.615,52,0.5579999999999999,29,0.365,19,0.8420000000000001,16,0,200,119.4,17.4,4,15,80,,3.0,2,0.308,16,0.375,6,56.1,32,0.655,11.7,8,36,0.639,23,1.0,4,"Hinkle Fieldhouse, Indianapolis, Indiana",WOFFORD,Wofford,66.8,Home,BUTLER,Butler,Wofford,southern,3,False,False,False,Away,False,5,17,57,25,57,6,23,52,0,1,38,47,173,0.6011560693641619,73,156,0.467948717948718,27,47,165,0.5303030303030303,0.6666666666666666
4,2019-11-18-20-missouri,47.1,8,7.1,2,119.0,80.8,21,0.426,47,0.36200000000000004,17,0.38299999999999995,18,0.889,16,3,200,88.9,29.2,7,19,56,,4.8,3,0.46799999999999997,22,0.273,6,56.0,28,0.504,21.5,15,25,0.44,11,0.4,2,"November 18, 2019",53.6,15,8.0,2,88.9,70.8,17,0.637,51,0.5489999999999999,28,0.275,14,0.7140000000000001,10,1,200,119.0,19.2,5,16,75,,11.1,7,0.451,23,0.391,9,44.0,22,0.65,14.9,10,28,0.679,19,0.75,3,"Mizzou Arena, Columbia, Missouri",WOFFORD,Wofford,63.1,Home,MISSOURI,Missouri,Wofford,southern,4,False,False,False,Away,False,6,11,47,28,50,9,19,51,0,1,43,64,230,0.5586956521739129,98,213,0.460093896713615,33,70,217,0.5506912442396313,0.5
5,2019-11-21-19-south-florida,50.0,11,3.7,1,111.3,68.2,15,0.5429999999999999,46,0.478,22,0.217,10,0.5,5,4,200,88.7,20.0,5,14,55,,14.5,9,0.413,19,0.316,6,42.6,20,0.542,24.1,16,27,0.593,16,0.33299999999999996,2,"November 21, 2019",42.3,11,0.0,0,88.7,80.0,20,0.649,47,0.5529999999999999,26,0.36200000000000004,17,0.47100000000000003,8,2,200,111.3,31.8,7,19,69,,14.5,9,0.426,20,0.45,9,57.4,27,0.626,21.6,15,27,0.63,17,0.5,2,"Sun Dome, Tampa, Florida",WOFFORD,Wofford,62.4,Home,SOUTH-FLORIDA,South Florida,Wofford,southern,5,False,False,False,Away,False,6,16,46,20,47,9,17,47,0,1,49,75,277,0.5361010830324909,126,263,0.4790874524714829,42,89,268,0.5671641791044776,0.4
6,2019-11-26-18-maryland-eastern-shore,66.7,16,9.1,3,63.6,80.0,28,0.545,56,0.429,24,0.161,9,0.667,6,4,200,101.5,30.0,9,11,67,,13.6,9,0.5539999999999999,31,0.419,13,56.9,37,0.556,17.8,13,25,0.44,11,0.429,3,"November 26, 2019",62.5,10,16.0,4,101.5,70.0,21,0.34600000000000003,52,0.308,16,0.154,8,0.75,6,7,200,63.6,20.0,7,10,42,,9.1,6,0.365,19,0.21100000000000002,4,43.1,28,0.376,24.5,18,33,0.364,12,0.0,0,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,65.5,Away,WOFFORD,Wofford,Wofford,southern,6,False,False,False,Away,True,13,11,56,37,65,4,12,52,1,0,55,91,323,0.5371517027863777,146,310,0.4709677419354839,51,106,315,0.5793650793650794,0.3333333333333333
7,2019-12-02-19-wofford,70.0,14,3.7,1,116.7,80.8,21,0.5,47,0.426,20,0.38299999999999995,18,0.667,12,6,200,89.4,24.0,6,12,59,,16.7,11,0.426,20,0.35,7,52.9,27,0.531,20.3,14,27,0.48100000000000004,13,0.25,2,"December 2, 2019",41.4,12,14.8,4,89.4,76.0,19,0.639,54,0.537,29,0.222,12,0.667,8,4,200,116.7,19.2,5,13,77,,13.6,9,0.5,27,0.40700000000000003,11,47.1,24,0.645,19.1,14,27,0.667,18,0.5,4,"Richardson Indoor Stadium, Spartanburg, South Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,66.1,Home,WOFFORD,Wofford,Wofford,southern,7,True,False,True,Home,True,11,18,54,24,51,7,13,47,1,0,68,102,379,0.5382585751978892,183,375,0.488,55,118,367,0.5463215258855586,0.42857142857142855
8,2019-12-07-19-wofford,32.1,9,3.7,1,115.7,70.4,19,0.4920000000000001,62,0.452,28,0.371,23,0.696,16,6,200,110.0,24.2,8,15,77,,7.1,5,0.387,24,0.20800000000000002,5,45.0,27,0.528,8.8,7,38,0.605,23,0.33299999999999996,3,"December 7, 2019",46.4,13,5.3,2,110.0,75.8,25,0.598,56,0.5,28,0.28600000000000003,16,0.875,14,4,200,115.7,29.6,8,17,81,,1.4,1,0.518,29,0.379,11,55.0,33,0.637,16.0,12,27,0.63,17,0.556,5,"Richardson Indoor Stadium, Spartanburg, South Carolina",GARDNER-WEBB,Gardner-Webb,69.8,Home,WOFFORD,Wofford,Wofford,southern,8,True,False,True,Home,True,11,17,56,33,60,5,23,62,1,0,79,120,433,0.5508083140877598,207,426,0.4859154929577465,62,131,414,0.5410628019323671,0.5
9,2019-12-13-19-wofford,47.4,9,0.0,0,149.3,62.5,15,0.413,52,0.365,19,0.596,31,0.742,23,0,200,88.0,32.4,11,19,66,,5.3,4,0.40399999999999997,21,0.23800000000000002,5,44.8,26,0.495,23.4,20,31,0.452,14,0.0,0,"December 13, 2019",69.2,27,12.9,4,88.0,67.6,23,0.8220000000000001,59,0.6609999999999999,39,0.373,22,0.682,15,4,200,149.3,37.5,9,22,112,,13.3,10,0.542,32,0.594,19,55.2,32,0.8059999999999999,16.9,14,27,0.741,20,0.6,6,"Richardson Indoor Stadium, Spartanburg, South Carolina","North Greenville
			","North Greenville
			",75.1,Home,WOFFORD,Wofford,Wofford,southern,9,True,False,True,Home,True,19,20,59,32,58,5,14,52,1,0,90,137,489,0.556237218813906,240,486,0.4938271604938271,67,154,476,0.5346638655462185,0.5555555555555556
