,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-FLORIDA_homegame,NORTH-FLORIDA_homegame2,NORTH-FLORIDA_home,NORTH-FLORIDA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-florida,61.9,13,0.0,0,105.7,55.0,22,0.465,57,0.368,21,0.175,10,0.6,6,1,200,84.3,28.6,10,18,59,,4.3,3,0.596,34,0.324,11,42.7,32,0.478,22.7,18,23,0.435,10,0.0,0,"November 5, 2019",51.7,15,13.0,3,84.3,71.4,25,0.442,69,0.42,29,0.261,18,0.722,13,0,200,105.7,45.0,18,16,74,6.0,10.0,7,0.217,15,0.2,3,57.3,43,0.47700000000000004,11.5,10,54,0.48100000000000004,26,1.0,1,"Stephen C. O'Connell Center, Gainesville, Florida",NORTH-FLORIDA,North Florida,69.7,Home,FLORIDA,Florida,North Florida,atlantic-sun,0,False,False,False,Away,False,11,10,57,32,75,3,26,69,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-19-north-florida,63.6,21,10.3,4,109.9,66.7,24,0.552,67,0.493,33,0.16399999999999998,11,0.636,7,0,200,100.0,25.7,9,10,81,,8.6,7,0.254,17,0.47100000000000003,8,46.5,33,0.561,18.2,16,50,0.5,25,0.0,0,"November 7, 2019",57.6,19,4.0,2,100.0,74.3,26,0.513,76,0.434,33,0.171,13,0.846,11,1,200,109.9,33.3,12,14,89,,6.2,5,0.48700000000000004,37,0.324,12,53.5,38,0.542,13.7,13,39,0.5379999999999999,21,0.5,1,"UNF Arena , Jacksonville, Florida","Florida National University
			","Florida National University
			",81.2,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,1,True,False,True,Home,True,12,21,76,38,71,8,25,67,1,0,11,10,57,0.4649122807017544,32,75,0.4266666666666667,3,26,69,0.4420289855072464,0.0
2,2019-11-11-19-north-florida,60.0,18,12.1,4,94.1,70.3,26,0.5,69,0.435,30,0.174,12,0.667,8,2,200,90.6,13.2,5,22,77,,10.6,9,0.36200000000000004,25,0.36,9,41.3,31,0.515,17.7,16,44,0.47700000000000004,21,0.33299999999999996,1,"November 11, 2019",60.0,15,6.8,3,90.6,86.8,33,0.5329999999999999,61,0.41,25,0.32799999999999996,20,0.75,15,1,200,94.1,29.7,11,17,80,,7.1,6,0.45899999999999996,28,0.536,15,58.7,44,0.5670000000000001,25.6,24,33,0.303,10,0.667,2,"UNF Arena , Jacksonville, Florida",GEORGIA-SOUTHERN,Georgia Southern,84.6,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,2,True,False,True,Home,True,15,10,61,44,75,9,21,69,1,0,23,31,133,0.4924812030075188,70,146,0.4794520547945205,11,51,136,0.4963235294117647,0.5
3,2019-11-14-19-north-florida,55.6,15,6.9,2,93.0,83.8,31,0.467,61,0.44299999999999995,27,0.115,7,0.857,6,2,200,88.7,27.3,9,13,63,,12.7,9,0.16399999999999998,10,0.3,3,57.1,40,0.49,20.0,16,51,0.47100000000000003,24,0.33299999999999996,1,"November 14, 2019",54.2,13,3.9,2,88.7,72.7,24,0.5,59,0.40700000000000003,24,0.237,14,0.5,7,1,200,93.0,16.2,6,11,66,,11.3,8,0.508,30,0.3670000000000001,11,42.9,30,0.503,15.6,12,29,0.44799999999999995,13,0.75,3,"UNF Arena , Jacksonville, Florida",SOUTHERN-MISSISSIPPI,Southern Miss,71.5,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,3,True,False,True,Home,True,11,13,59,30,70,3,24,61,1,0,38,41,194,0.5051546391752577,114,221,0.5158371040723982,20,72,205,0.4975609756097561,0.6666666666666666
4,2019-11-18-19-north-florida,33.3,5,2.7,1,166.7,41.9,18,0.316,49,0.306,15,0.245,12,0.667,8,0,200,56.5,20.6,7,17,39,,5.8,4,0.184,9,0.111,1,32.5,25,0.35600000000000004,27.9,21,40,0.35,14,0.0,0,"November 18, 2019",65.9,29,12.5,5,56.5,79.4,27,0.649,84,0.524,44,0.131,11,0.545,6,1,200,166.7,58.1,25,15,115,,21.7,15,0.56,47,0.447,21,67.5,52,0.644,6.3,6,37,0.622,23,0.8,4,"UNF Arena , Jacksonville, Florida","Trinity Baptist
			","Trinity Baptist
			",69.5,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,4,True,False,True,Home,True,21,23,84,52,77,1,14,49,1,0,49,54,253,0.5039525691699605,144,291,0.4948453608247423,23,96,266,0.4906015037593985,0.75
5,2019-11-21-19-iowa,62.5,15,10.0,5,122.1,55.8,24,0.4920000000000001,61,0.39299999999999996,24,0.16399999999999998,10,0.8,8,2,200,100.0,24.2,8,18,68,,5.9,4,0.475,29,0.414,12,42.1,32,0.517,13.3,10,32,0.375,12,0.667,4,"November 21, 2019",68.8,22,21.9,7,100.0,75.8,25,0.486,72,0.444,32,0.278,20,0.65,13,1,200,122.1,44.2,19,10,83,,4.4,3,0.306,22,0.273,6,57.9,44,0.509,6.9,6,50,0.52,26,0.75,3,"Carver-Hawkeye Arena, Iowa City, Iowa",NORTH-FLORIDA,North Florida,68.1,Home,IOWA,Iowa,North Florida,atlantic-sun,5,False,False,False,Away,False,12,12,61,32,76,6,26,72,0,1,70,77,337,0.5400593471810089,196,368,0.532608695652174,24,110,315,0.4634920634920635,0.8
6,2019-11-24-14-creighton,50.0,10,14.3,5,108.6,74.3,26,0.39299999999999996,61,0.32799999999999996,20,0.344,21,0.905,19,3,200,95.7,28.9,11,12,67,,4.3,3,0.44299999999999995,27,0.29600000000000004,8,50.7,37,0.47200000000000003,14.6,12,34,0.353,12,0.5710000000000001,4,"November 24, 2019",51.7,15,5.9,2,95.7,71.1,27,0.5479999999999999,62,0.46799999999999997,29,0.19399999999999998,12,0.667,8,1,200,108.6,25.7,9,14,76,,8.6,6,0.435,27,0.37,10,49.3,36,0.561,12.9,10,35,0.5429999999999999,19,0.8,4,"CenturyLink Center, Omaha, Nebraska",NORTH-FLORIDA,North Florida,70.3,Home,CREIGHTON,Creighton,North Florida,atlantic-sun,6,False,False,False,Away,False,8,12,61,37,73,10,19,62,0,1,82,89,398,0.5326633165829145,228,444,0.5135135135135135,30,136,387,0.4677002583979328,0.6666666666666666
7,2019-11-28-16-north-florida,50.0,16,5.1,2,110.5,75.0,27,0.597,62,0.516,32,0.33899999999999997,21,0.857,18,6,200,107.0,10.7,3,19,92,,7.0,6,0.40299999999999997,25,0.4,10,46.9,30,0.639,17.4,15,37,0.595,22,0.14300000000000002,1,"November 28, 2019",45.5,15,5.4,2,107.0,89.3,25,0.535,71,0.465,33,0.35200000000000004,25,0.76,19,3,200,110.5,25.0,9,20,95,,9.3,8,0.451,32,0.313,10,53.1,34,0.573,14.6,14,39,0.59,23,0.625,5,"Orleans Arena, Paradise, Nevada",LONG-ISLAND-UNIVERSITY,LIU,85.9,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,7,True,False,True,Home,True,10,23,71,34,64,10,22,62,1,0,90,101,459,0.514161220043573,265,517,0.5125725338491296,40,155,449,0.4788418708240534,0.5714285714285714
8,2019-11-29-16-north-florida,70.0,21,29.0,9,98.6,68.6,24,0.589,56,0.536,30,0.41100000000000003,23,0.652,15,3,200,109.5,38.5,10,16,81,,8.1,6,0.28600000000000003,16,0.375,6,55.7,34,0.605,19.5,16,40,0.6,24,0.625,5,"November 29, 2019",56.0,14,0.0,0,109.5,61.5,16,0.47600000000000003,63,0.397,25,0.23800000000000002,15,0.867,13,4,200,98.6,31.4,11,23,73,,9.5,7,0.508,32,0.313,10,44.3,27,0.52,18.7,16,31,0.484,15,0.556,5,"Orleans Arena, Paradise, Nevada",NORTH-FLORIDA,North Florida,74.0,Away,TENNESSEE-STATE,Tennessee State,North Florida,atlantic-sun,8,False,True,True,Home,False,10,15,63,27,61,6,24,56,0,1,100,124,530,0.5169811320754717,299,581,0.5146299483648882,50,177,511,0.4931506849315068,0.625
9,2019-12-02-19-north-florida,58.3,14,15.0,3,132.9,66.7,16,0.5,52,0.462,24,0.48100000000000004,25,0.72,18,7,200,100.0,29.0,9,15,70,,11.4,8,0.327,17,0.235,4,45.5,25,0.5479999999999999,18.2,14,35,0.5710000000000001,20,0.125,1,"December 2, 2019",75.9,22,11.4,4,100.0,71.0,22,0.682,55,0.527,29,0.364,20,0.9,18,4,200,132.9,33.3,8,18,93,,11.4,8,0.636,35,0.486,17,54.5,30,0.721,19.0,15,20,0.6,12,0.6,6,"UNF Arena , Jacksonville, Florida",HIGH-POINT,High Point,70.2,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,9,True,False,True,Home,True,17,12,55,30,55,4,20,52,1,0,110,139,593,0.5126475548060708,326,642,0.5077881619937694,56,201,567,0.5026455026455027,0.5555555555555556
10,2019-12-07-17-austin-peay,39.3,11,0.0,0,121.6,71.4,20,0.573,55,0.509,28,0.4,22,0.909,20,5,200,112.2,20.8,5,25,83,,4.1,3,0.382,21,0.33299999999999996,7,48.1,25,0.634,18.8,15,34,0.618,21,0.545,6,"December 7, 2019",59.4,19,11.8,4,112.2,79.2,19,0.593,59,0.542,32,0.525,31,0.645,20,4,200,121.6,28.6,8,17,90,,8.1,6,0.203,12,0.5,6,51.9,27,0.61,8.8,7,47,0.5529999999999999,26,0.5,4,"Winfield Dunn Center, Clarksville, Tennessee",NORTH-FLORIDA,North Florida,74.1,Home,AUSTIN-PEAY,Austin Peay,North Florida,atlantic-sun,10,False,False,False,Away,False,7,21,55,25,52,6,26,59,0,1,127,151,648,0.5270061728395061,356,697,0.5107604017216643,60,221,619,0.5024232633279483,0.6
11,2019-12-14-15-southern-mississippi,75.0,18,7.7,4,93.2,72.7,32,0.5529999999999999,57,0.42100000000000004,24,0.193,11,0.818,9,5,200,97.3,15.6,5,13,72,,8.1,6,0.737,42,0.35700000000000004,15,48.7,37,0.579,19.5,15,15,0.6,9,0.583,7,"December 14, 2019",53.6,15,6.7,1,97.3,84.4,27,0.435,69,0.406,28,0.217,15,0.6,9,8,200,93.2,27.3,12,11,69,,12.2,9,0.24600000000000002,17,0.235,4,51.3,39,0.45299999999999996,12.7,11,52,0.462,24,0.273,3,"Reed Green Coliseum, Hattiesburg, Mississippi",SOUTHERN-MISSISSIPPI,Southern Miss,73.7,Away,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,11,False,False,False,Away,True,15,9,57,37,76,4,24,69,1,0,134,172,703,0.5305832147937412,381,749,0.5086782376502003,66,247,678,0.5103244837758112,0.5454545454545454
12,2019-12-17-20-florida-state,61.5,16,3.8,2,128.9,60.0,18,0.58,56,0.46399999999999997,26,0.33899999999999997,19,0.8420000000000001,16,6,200,106.6,23.3,7,14,81,,5.3,4,0.607,34,0.382,13,41.7,25,0.623,19.9,16,22,0.591,13,0.5379999999999999,7,"December 17, 2019",48.8,20,18.2,4,106.6,76.7,23,0.611,72,0.569,41,0.19399999999999998,14,0.7140000000000001,10,2,200,128.9,40.0,12,13,98,19.0,14.5,11,0.264,19,0.316,6,58.3,35,0.623,12.3,11,53,0.66,35,0.818,9,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-FLORIDA,North Florida,75.8,Home,FLORIDA-STATE,Florida State,North Florida,atlantic-sun,12,False,False,False,Away,False,13,13,56,25,60,6,35,72,0,1,149,181,760,0.5322368421052631,418,825,0.5066666666666667,70,271,747,0.5033467202141901,0.5833333333333334
