,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALCORN-STATE_homegame,ALCORN-STATE_homegame2,ALCORN-STATE_home,ALCORN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-depaul,35.3,6,2.6,1,94.7,76.7,23,0.28,66,0.258,17,0.318,21,0.81,17,1,200,71.1,37.0,17,14,54,,11.8,9,0.364,24,0.125,3,52.6,40,0.355,18.4,17,42,0.33299999999999996,14,0.0,0,"November 5, 2019",41.4,12,11.9,5,71.1,63.0,29,0.56,58,0.5,29,0.259,15,0.467,7,0,200,94.7,23.3,7,21,72,,14.5,11,0.345,20,0.35,7,47.4,36,0.5529999999999999,20.8,17,38,0.579,22,1.0,1,"Wintrust Arena, Chicago, Illinois",ALCORN-STATE,Alcorn State,75.6,Home,DEPAUL,DePaul,Alcorn State,swac,0,False,False,False,Away,False,3,14,66,40,76,7,22,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-12-louisiana-monroe,39.3,11,2.4,1,97.3,80.8,21,0.445,73,0.384,28,0.11,8,0.875,7,2,225,96.0,29.3,12,21,72,,10.7,8,0.315,23,0.391,9,49.3,33,0.469,13.6,12,50,0.38,19,0.0,0,"November 9, 2019",42.9,12,6.0,3,96.0,70.7,29,0.5579999999999999,52,0.5379999999999999,28,0.48100000000000004,25,0.6,15,0,225,97.3,19.2,5,12,73,,6.7,5,0.212,11,0.182,2,50.7,34,0.5710000000000001,18.2,14,41,0.634,26,1.0,2,"Fant-Ewing Coliseum, Monroe, Louisiana",ALCORN-STATE,Alcorn State,66.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Alcorn State,swac,1,False,False,False,Away,False,9,19,73,33,67,2,26,52,0,1,3,14,66,0.2803030303030303,40,76,0.5263157894736842,7,22,58,0.5603448275862069,0.0
2,2019-11-12-19-alcorn-state,50.0,11,2.8,1,146.1,65.7,23,0.444,54,0.40700000000000003,22,0.259,14,0.7859999999999999,11,0,200,77.6,17.6,6,12,59,,3.9,3,0.37,20,0.2,4,42.0,29,0.486,25.0,20,34,0.529,18,0.0,0,"November 12, 2019",70.7,29,8.8,3,77.6,82.4,28,0.6779999999999999,73,0.562,41,0.26,19,0.632,12,2,200,146.1,34.3,12,17,111,,21.1,16,0.507,37,0.45899999999999996,17,58.0,40,0.677,9.0,8,36,0.667,24,0.33299999999999996,1,"Davey L. Whitney Complex, Alcorn State, Mississippi","Paul Quinn
			","Paul Quinn
			",76.3,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,2,True,False,True,Home,True,17,24,73,40,69,4,18,54,1,0,12,33,139,0.3669064748201439,73,143,0.5104895104895105,9,48,110,0.5590909090909091,0.0
3,2019-11-16-14-memphis,36.8,7,8.3,4,112.1,64.1,25,0.341,63,0.302,19,0.365,23,0.565,13,3,202,61.5,19.0,8,30,56,,11.0,10,0.429,27,0.185,5,40.7,33,0.379,25.5,25,36,0.389,14,0.25,1,"November 16, 2019",48.6,18,16.7,6,61.5,81.0,34,0.609,64,0.578,37,0.703,45,0.5329999999999999,24,1,202,112.1,35.9,14,22,102,13.0,13.2,12,0.25,16,0.25,4,59.3,48,0.597,18.5,19,48,0.688,33,0.75,3,"FedExForum, Memphis, Tennessee",ALCORN-STATE,Alcorn State,89.8,Home,MEMPHIS,Memphis,Alcorn State,swac,3,False,False,False,Away,False,5,14,63,33,81,4,33,64,0,1,29,57,212,0.4740566037735849,113,212,0.5330188679245284,13,66,164,0.5213414634146342,0.3333333333333333
4,2019-11-19-19-north-carolina-state,50.0,12,7.3,3,120.8,70.0,21,0.483,58,0.414,24,0.172,10,0.8,8,4,200,88.9,15.6,5,8,64,,8.3,6,0.259,15,0.5329999999999999,8,41.9,26,0.51,17.2,13,43,0.3720000000000001,16,0.2,1,"November 19, 2019",47.2,17,11.6,5,88.9,84.4,27,0.612,67,0.537,36,0.10400000000000001,7,0.7140000000000001,5,1,200,120.8,30.0,9,12,87,,12.5,9,0.38799999999999996,26,0.385,10,58.1,36,0.619,14.6,12,41,0.634,26,0.8,4,"Reynolds Coliseum, Raleigh, North Carolina",ALCORN-STATE,Alcorn State,72.0,Home,NORTH-CAROLINA-STATE,NC State,Alcorn State,swac,4,False,False,False,Away,False,8,16,58,26,62,10,26,67,0,1,34,71,275,0.4436363636363637,146,293,0.4982935153583618,17,99,228,0.5460526315789473,0.25
5,2019-11-21-18-alcorn-state,94.4,17,5.7,2,112.2,52.5,21,0.38299999999999995,60,0.3,18,0.317,19,0.526,10,0,200,68.3,24.4,10,13,56,,11.0,9,0.6,36,0.278,10,38.3,31,0.406,26.0,24,24,0.33299999999999996,8,0.0,0,"November 21, 2019",71.0,22,16.7,4,68.3,75.6,31,0.528,72,0.431,31,0.264,19,0.8420000000000001,16,4,200,112.2,47.5,19,19,92,,22.0,18,0.514,37,0.37799999999999995,14,61.7,50,0.568,18.3,18,35,0.486,17,0.33299999999999996,2,"Davey L. Whitney Complex, Alcorn State, Mississippi","Our Lady of the Lake
			","Our Lady of the Lake
			",81.5,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,5,True,False,True,Home,True,14,17,72,50,81,10,8,60,1,0,42,87,333,0.4504504504504505,172,355,0.4845070422535212,27,125,295,0.5610169491525424,0.2
6,2019-11-27-19-arkansas-little-rock,33.3,6,12.1,4,95.7,67.6,25,0.353,58,0.31,18,0.24100000000000002,14,0.643,9,5,200,71.4,24.4,10,26,50,,7.1,5,0.466,27,0.185,5,44.9,35,0.387,18.9,15,31,0.419,13,0.28600000000000003,2,"November 27, 2019",33.3,7,0.0,0,71.4,75.6,31,0.45299999999999996,53,0.396,21,0.528,28,0.679,19,3,200,95.7,32.4,12,15,67,,7.1,5,0.377,20,0.3,6,55.1,43,0.505,20.7,17,33,0.455,15,0.625,5,"Jack Stephens Center, Little Rock, Arkansas",ALCORN-STATE,Alcorn State,70.5,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Alcorn State,swac,6,False,False,False,Away,False,5,13,58,35,78,6,15,53,0,1,56,104,405,0.4641975308641975,222,436,0.5091743119266054,37,133,355,0.5309859154929577,0.3333333333333333
7,2019-12-09-19-alcorn-state,50.0,10,2.4,1,150.0,52.9,18,0.435,54,0.37,20,0.35200000000000004,19,0.789,15,0,200,86.1,16.1,5,16,62,,4.2,3,0.519,28,0.25,7,35.4,23,0.4920000000000001,18.3,14,26,0.5,13,0.0,0,"December 9, 2019",57.5,23,11.5,3,86.1,83.9,26,0.659,69,0.58,40,0.36200000000000004,25,0.68,17,5,200,150.0,47.1,16,13,108,,13.9,10,0.406,28,0.39299999999999996,11,64.6,42,0.6679999999999999,9.1,8,41,0.7070000000000001,29,0.375,3,"Davey L. Whitney Complex, Alcorn State, Mississippi","Rust
			","Rust
			",72.5,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,7,True,False,True,Home,True,11,29,69,42,65,7,13,54,1,0,61,117,463,0.4503239740820734,257,514,0.5,43,148,408,0.5208333333333334,0.2857142857142857
8,2019-12-16-20-tulane,43.5,10,9.4,3,95.8,80.0,28,0.519,52,0.442,23,0.077,4,0.75,3,6,200,80.3,8.3,2,19,57,,7.0,5,0.423,22,0.364,8,50.8,30,0.529,26.1,19,30,0.5,15,0.33299999999999996,3,"December 16, 2019",68.2,15,0.0,0,80.3,91.7,22,0.4270000000000001,62,0.355,22,0.306,19,0.789,15,2,200,95.8,20.0,7,7,68,,18.3,13,0.484,30,0.3,9,49.2,29,0.479,10.2,8,32,0.406,13,0.8,8,"Devlin Fieldhouse, New Orleans, Louisiana",ALCORN-STATE,Alcorn State,71.5,Home,TULANE,Tulane,Alcorn State,swac,8,False,False,False,Away,False,8,15,52,30,59,9,13,62,0,1,72,146,532,0.4774436090225564,299,579,0.5164075993091537,50,161,462,0.5108225108225108,0.375
9,2019-12-20-18-alcorn-state,65.4,17,2.4,1,164.9,46.7,14,0.525,61,0.426,26,0.131,8,0.875,7,0,200,95.9,16.7,5,13,71,,6.8,5,0.508,31,0.387,12,31.7,19,0.5479999999999999,15.7,12,30,0.467,14,0.0,0,"December 20, 2019",61.4,27,16.7,5,95.9,83.3,25,0.703,79,0.557,44,0.19,15,0.733,11,6,200,164.9,53.3,16,12,122,,12.2,9,0.48100000000000004,38,0.605,23,68.3,41,0.708,7.6,7,41,0.512,21,0.4,4,"Davey L. Whitney Complex, Alcorn State, Mississippi","Ecclesia
			","Ecclesia
			",74.5,Home,ALCORN-STATE,Alcorn State,Alcorn State,swac,9,True,False,True,Home,True,23,21,79,41,60,12,14,61,1,0,80,161,584,0.4811643835616438,329,638,0.5156739811912225,59,174,524,0.5009541984732825,0.3333333333333333
