,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DRAKE_homegame,DRAKE_homegame2,DRAKE_home,DRAKE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-07-20-drake,47.4,9,13.3,4,128.4,79.2,19,0.382,55,0.345,19,0.29100000000000004,16,0.813,13,2,200,82.1,23.5,8,9,55,,11.9,8,0.29100000000000004,16,0.25,4,46.6,27,0.439,16.2,12,39,0.385,15,0.0,0,"November 7, 2019",70.6,24,10.3,4,82.1,76.5,26,0.72,59,0.5760000000000001,34,0.034,2,0.5,1,0,200,128.4,20.8,5,13,86,,10.4,7,0.4920000000000001,29,0.586,17,53.4,31,0.7170000000000001,17.8,13,30,0.5670000000000001,17,1.0,1,"Knapp Center, Des Moines, Iowa",KENNESAW-STATE,Kennesaw State,67.3,Home,DRAKE,Drake,Drake,mvc,0,True,False,True,Home,True,17,17,59,31,58,4,15,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-19-cincinnati,68.2,15,8.8,3,117.4,66.7,20,0.387,62,0.355,22,0.27399999999999997,17,0.647,11,1,200,85.5,26.3,10,17,59,,10.1,7,0.306,19,0.21100000000000002,4,44.1,30,0.42100000000000004,13.7,11,43,0.419,18,0.5,1,"November 11, 2019",64.5,20,9.3,4,85.5,73.7,28,0.608,60,0.517,31,0.2,12,0.667,8,1,200,117.4,33.3,10,18,81,,10.1,7,0.433,26,0.423,11,55.9,38,0.616,15.5,12,34,0.588,20,0.5,1,"Fifth Third Arena, Cincinnati, Ohio",DRAKE,Drake,69.4,Home,CINCINNATI,Cincinnati,Drake,mvc,1,False,False,False,Away,False,4,18,62,30,68,11,20,60,0,1,17,17,59,0.7203389830508474,31,58,0.5344827586206896,4,15,55,0.3818181818181817,1.0
2,2019-11-13-20-drake,45.5,10,5.9,2,110.1,77.8,14,0.43,57,0.386,22,0.21100000000000002,12,0.75,9,2,200,84.1,9.7,3,18,58,,14.5,10,0.281,16,0.313,5,34.7,17,0.46299999999999997,15.0,11,41,0.415,17,0.33299999999999996,1,"November 13, 2019",63.0,17,19.5,8,84.1,90.3,28,0.667,45,0.6,27,0.444,20,0.8,16,1,200,110.1,22.2,4,12,76,,7.2,5,0.244,11,0.545,6,65.3,32,0.6970000000000001,22.9,16,34,0.618,21,0.667,2,"Knapp Center, Des Moines, Iowa",MISSOURI-KANSAS-CITY,UMKC,68.6,Home,DRAKE,Drake,Drake,mvc,2,True,False,True,Home,True,6,21,45,32,49,5,17,57,1,0,21,35,121,0.5495867768595041,61,126,0.4841269841269841,15,35,115,0.5,0.5
3,2019-11-17-16-drake,47.6,10,0.0,0,127.3,82.6,19,0.42100000000000004,63,0.33299999999999996,21,0.032,2,0.0,0,0,200,68.8,12.5,5,13,53,,7.8,6,0.444,28,0.39299999999999996,11,38.1,24,0.414,21.0,17,35,0.28600000000000003,10,0.0,0,"November 17, 2019",48.7,19,11.4,4,68.8,87.5,35,0.659,66,0.591,39,0.212,14,0.7859999999999999,11,1,200,127.3,17.4,4,8,98,,19.5,15,0.379,25,0.36,9,61.9,39,0.674,11.1,9,41,0.732,30,0.75,3,"Knapp Center, Des Moines, Iowa","Simpson (IA)
			","Simpson (IA)
			",76.8,Home,DRAKE,Drake,Drake,mvc,3,True,False,True,Home,True,9,30,66,39,63,11,10,63,1,0,27,56,166,0.5813253012048193,93,175,0.5314285714285715,20,52,172,0.4767441860465117,0.6666666666666666
4,2019-11-21-20-drake,31.8,7,10.7,3,108.8,69.6,16,0.429,56,0.39299999999999996,22,0.268,15,0.667,10,3,200,85.3,15.6,5,14,58,,16.2,11,0.23199999999999998,13,0.308,4,38.2,21,0.45899999999999996,14.9,11,43,0.419,18,0.5,3,"November 21, 2019",48.3,14,9.3,4,85.3,84.4,27,0.623,53,0.547,29,0.18899999999999997,10,0.8,8,1,200,108.8,30.4,7,15,74,,5.9,4,0.47200000000000003,25,0.32,8,61.8,34,0.6409999999999999,22.8,17,28,0.75,21,0.8,4,"Knapp Center, Des Moines, Iowa",LEHIGH,Lehigh,68.4,Home,DRAKE,Drake,Drake,mvc,4,True,False,True,Home,True,8,21,53,34,55,4,18,56,1,0,36,86,232,0.603448275862069,132,238,0.5546218487394958,31,62,235,0.4617021276595745,0.75
5,2019-11-25-13-drake,17.4,4,9.1,3,78.7,70.7,29,0.51,51,0.451,23,0.41200000000000003,21,0.7140000000000001,15,1,200,89.3,14.3,4,20,67,,10.7,8,0.41200000000000003,21,0.28600000000000003,6,47.8,33,0.5489999999999999,24.0,19,30,0.5670000000000001,17,0.8,4,"November 25, 2019",57.9,11,6.7,2,89.3,85.7,24,0.426,54,0.35200000000000004,19,0.46299999999999997,25,0.52,13,2,200,78.7,29.3,12,23,59,,12.0,9,0.389,21,0.381,8,52.2,36,0.44799999999999995,23.5,20,33,0.33299999999999996,11,0.667,4,"Germain Arena, Estero, Florida",DRAKE,Drake,74.9,Away,MIAMI-OH,Miami (OH),Drake,mvc,5,False,True,True,Home,False,8,11,54,36,69,6,17,51,0,1,44,107,285,0.6070175438596491,166,293,0.5665529010238908,35,80,291,0.4553264604810997,0.8
6,2019-11-26-11-northeastern,36.8,7,0.0,0,86.2,90.5,19,0.373,59,0.322,19,0.28800000000000003,17,0.882,15,2,200,90.8,30.6,11,19,59,,9.2,6,0.424,25,0.24,6,52.6,30,0.44,10.7,8,34,0.382,13,0.7140000000000001,5,"November 26, 2019",38.9,7,8.8,3,90.8,69.4,25,0.526,39,0.462,18,0.513,20,0.75,15,4,200,86.2,9.5,2,19,56,,6.2,4,0.436,17,0.294,5,47.4,27,0.5770000000000001,28.4,19,22,0.591,13,0.429,3,"Germain Arena, Estero, Florida",NORTHEASTERN,Northeastern,64.8,Away,DRAKE,Drake,Drake,mvc,6,False,False,False,Away,True,6,13,59,30,57,5,13,39,1,0,52,118,339,0.5781710914454278,202,362,0.5580110497237569,41,97,342,0.4634502923976608,0.6666666666666666
7,2019-11-27-13-murray-state,69.6,16,3.0,1,77.9,67.6,23,0.51,52,0.442,23,0.308,16,0.625,10,2,200,92.6,27.3,9,22,63,,7.4,5,0.34600000000000003,18,0.389,7,47.8,32,0.529,21.3,16,34,0.47100000000000003,16,0.75,6,"November 27, 2019",41.2,7,2.9,1,92.6,72.7,24,0.358,53,0.321,17,0.434,23,0.652,15,3,200,77.9,32.4,11,18,53,,11.8,8,0.377,20,0.2,4,52.2,35,0.415,20.2,16,33,0.39399999999999996,13,0.5710000000000001,4,"Germain Arena, Estero, Florida",MURRAY-STATE,Murray State,67.8,Away,DRAKE,Drake,Drake,mvc,7,False,False,False,Away,True,7,16,52,32,67,4,13,53,1,0,58,131,398,0.5477386934673367,232,419,0.5536992840095465,46,110,381,0.4698162729658792,0.7142857142857143
8,2019-12-03-20-drake,50.0,10,17.5,7,86.2,69.4,25,0.42200000000000004,58,0.345,20,0.10300000000000001,6,0.667,4,4,200,81.5,31.4,11,15,53,,7.7,5,0.431,25,0.36,9,50.7,36,0.435,20.9,16,33,0.33299999999999996,11,0.556,5,"December 3, 2019",66.7,14,18.2,6,81.5,68.6,24,0.42200000000000004,58,0.36200000000000004,21,0.207,12,0.583,7,2,200,86.2,30.6,11,11,56,,10.8,7,0.31,18,0.389,7,49.3,35,0.44,14.8,11,40,0.35,14,0.778,7,"Knapp Center, Des Moines, Iowa",MILWAUKEE,Milwaukee,64.8,Home,DRAKE,Drake,Drake,mvc,8,True,False,True,Home,True,7,14,58,35,71,9,11,58,1,0,65,147,450,0.5433333333333333,264,486,0.5432098765432098,50,123,434,0.4562211981566821,0.75
9,2019-12-07-18-drake,48.0,12,3.6,1,108.3,87.9,29,0.6,50,0.5,25,0.46,23,0.565,13,6,200,101.4,20.7,6,22,73,,9.7,7,0.38,19,0.526,10,56.5,35,0.599,21.0,16,31,0.484,15,0.33299999999999996,3,"December 7, 2019",37.5,9,16.1,5,101.4,79.3,23,0.529,51,0.47100000000000003,24,0.667,34,0.706,24,2,200,108.3,12.1,4,19,78,,12.5,9,0.451,23,0.261,6,43.5,27,0.581,13.2,10,28,0.643,18,0.8,8,"Knapp Center, Des Moines, Iowa",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,72.0,Home,DRAKE,Drake,Drake,mvc,9,True,False,True,Home,True,6,18,51,27,62,10,15,50,1,0,72,161,508,0.5295275590551181,299,557,0.5368043087971275,59,134,492,0.4522357723577236,0.7777777777777778
10,2019-12-14-19-dayton,68.8,11,3.7,1,111.4,75.0,18,0.33,56,0.28600000000000003,16,0.268,15,0.667,10,3,200,67.1,15.0,6,16,47,,2.9,2,0.41100000000000003,23,0.217,5,37.5,24,0.3720000000000001,17.2,13,33,0.33299999999999996,11,0.727,8,"December 14, 2019",70.4,19,12.1,4,67.1,85.0,34,0.5820000000000001,55,0.491,27,0.273,15,0.9329999999999999,14,1,200,111.4,25.0,6,16,78,14.0,8.6,6,0.509,28,0.35700000000000004,10,62.5,40,0.628,18.5,14,27,0.63,17,0.889,8,"University of Dayton Arena, Dayton, Ohio",DRAKE,Drake,70.1,Home,DAYTON,Dayton,Drake,mvc,10,False,False,False,Away,False,5,11,56,24,64,10,17,55,0,1,78,179,559,0.5295169946332737,326,619,0.5266558966074314,69,149,542,0.4658671586715867,0.8
