,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MARYLAND-EASTERN-SHORE_homegame,MARYLAND-EASTERN-SHORE_homegame2,MARYLAND-EASTERN-SHORE_home,MARYLAND-EASTERN-SHORE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-penn-state,44.4,8,3.7,1,116.7,59.4,19,0.37,54,0.33299999999999996,18,0.24100000000000002,13,0.462,6,1,200,63.9,21.9,7,22,46,,9.7,7,0.35200000000000004,19,0.21100000000000002,4,40.6,26,0.382,24.1,19,35,0.4,14,0.0,0,"November 5, 2019",65.5,19,31.4,11,63.9,78.1,25,0.603,58,0.5,29,0.414,24,0.583,14,0,200,116.7,40.6,13,17,84,,13.9,10,0.534,31,0.387,12,59.4,38,0.605,18.0,15,27,0.63,17,1.0,1,"Bryce Jordan Center, University Park, Pennsylvania",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,71.8,Home,PENN-STATE,Penn State,Maryland-Eastern Shore,meac,0,False,False,False,Away,False,4,14,54,26,64,12,17,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-liberty,23.8,5,3.8,1,110.0,68.0,17,0.469,49,0.429,21,0.265,13,0.6920000000000001,9,2,200,91.7,24.1,7,13,55,,11.7,7,0.265,13,0.308,4,44.4,24,0.498,19.2,13,36,0.47200000000000003,17,0.0,0,"November 10, 2019",57.7,15,5.6,2,91.7,75.9,22,0.6,50,0.52,26,0.2,10,0.6,6,0,200,110.0,32.0,8,10,66,,13.3,8,0.48,24,0.33299999999999996,8,55.6,30,0.603,18.1,12,26,0.6920000000000001,18,1.0,2,"Vines Center, Lynchburg, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,60.0,Home,LIBERTY,Liberty,Maryland-Eastern Shore,meac,1,False,False,False,Away,False,4,17,49,24,54,8,18,50,0,1,4,14,54,0.3703703703703704,26,64,0.40625,12,17,58,0.603448275862069,0.0
2,2019-11-12-19-longwood,42.9,9,13.3,4,121.4,85.0,17,0.4270000000000001,55,0.382,21,0.273,15,0.5329999999999999,8,3,200,78.6,25.8,8,18,55,,10.0,7,0.455,25,0.2,5,49.0,25,0.44299999999999995,19.6,15,30,0.5329999999999999,16,0.0,0,"November 12, 2019",53.3,16,0.0,0,78.6,74.2,23,0.7120000000000001,52,0.5770000000000001,30,0.327,17,0.647,11,1,200,121.4,15.0,3,16,85,,11.4,8,0.423,22,0.636,14,51.0,26,0.7070000000000001,17.9,13,30,0.5329999999999999,16,0.667,2,"Willett Hall, Farmville, Virginia",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,69.6,Home,LONGWOOD,Longwood,Maryland-Eastern Shore,meac,2,False,False,False,Away,False,5,16,55,25,51,14,16,52,0,1,8,31,103,0.4174757281553398,50,118,0.42372881355932196,20,35,108,0.6018518518518519,0.0
3,2019-11-16-18-morehead-state,50.0,10,15.9,7,102.7,67.6,23,0.444,54,0.37,20,0.204,11,0.455,5,4,200,71.6,17.1,6,19,53,,12.2,9,0.519,28,0.28600000000000003,8,42.0,29,0.447,25.4,20,26,0.462,12,0.0,0,"November 16, 2019",51.6,16,3.8,1,71.6,82.9,29,0.55,60,0.517,31,0.33299999999999996,20,0.5,10,0,200,102.7,32.4,11,14,76,,12.2,9,0.267,16,0.25,4,58.0,40,0.547,18.9,16,44,0.614,27,1.0,4,"Ellis T. Johnson Arena, Morehead, Kentucky",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,73.9,Home,MOREHEAD-STATE,Morehead State,Maryland-Eastern Shore,meac,3,False,False,False,Away,False,8,12,54,29,69,4,27,60,0,1,13,47,158,0.4208860759493671,75,169,0.4437869822485207,34,51,160,0.6375,0.0
4,2019-11-19-22-stanford,55.0,11,15.2,5,111.8,69.6,16,0.452,52,0.385,20,0.231,12,0.667,8,5,200,80.9,28.1,9,22,55,,13.2,9,0.365,19,0.368,7,45.5,25,0.47700000000000004,22.9,17,33,0.39399999999999996,13,0.0,0,"November 19, 2019",59.3,16,9.1,3,80.9,71.9,23,0.63,50,0.54,27,0.36,18,0.722,13,0,200,111.8,30.4,7,12,76,,11.8,8,0.34,17,0.529,9,54.5,30,0.649,24.7,19,33,0.545,18,1.0,5,"Maples Pavilion, Stanford, California",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,68.1,Home,STANFORD,Stanford,Maryland-Eastern Shore,meac,4,False,False,False,Away,False,7,13,52,25,55,9,18,50,0,1,21,59,212,0.4268867924528302,104,238,0.4369747899159664,38,78,220,0.6136363636363636,0.0
5,2019-11-21-20-oklahoma,41.7,10,4.8,2,123.0,63.0,17,0.534,58,0.414,24,0.086,5,0.4,2,6,200,86.5,9.4,3,22,64,,14.9,11,0.552,32,0.43799999999999994,14,33.9,20,0.53,22.0,17,26,0.385,10,0.0,0,"November 21, 2019",46.9,15,23.1,6,86.5,90.6,29,0.586,58,0.552,32,0.466,27,0.852,23,0,200,123.0,37.0,10,7,91,,16.2,12,0.276,16,0.25,4,66.1,39,0.642,15.7,13,42,0.667,28,1.0,5,"Lloyd Noble Center, Norman, Oklahoma",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,74.1,Home,OKLAHOMA,Oklahoma,Maryland-Eastern Shore,meac,5,False,False,False,Away,False,14,10,58,20,59,4,28,58,0,1,28,72,264,0.4318181818181818,129,293,0.4402730375426621,47,96,270,0.6166666666666667,0.0
6,2019-11-26-18-maryland-eastern-shore,66.7,16,9.1,3,63.6,80.0,28,0.545,56,0.429,24,0.161,9,0.667,6,4,200,101.5,30.0,9,11,67,,13.6,9,0.5539999999999999,31,0.419,13,56.9,37,0.556,17.8,13,25,0.44,11,0.429,3,"November 26, 2019",62.5,10,16.0,4,101.5,70.0,21,0.34600000000000003,52,0.308,16,0.154,8,0.75,6,7,200,63.6,20.0,7,10,42,,9.1,6,0.365,19,0.21100000000000002,4,43.1,28,0.376,24.5,18,33,0.364,12,0.0,0,"Hytche Athletic Center, Princess Anne, Maryland",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,65.5,Away,WOFFORD,Wofford,Maryland-Eastern Shore,meac,6,False,True,True,Home,False,4,12,52,28,65,13,11,56,0,1,42,82,322,0.4503105590062112,149,352,0.4232954545454545,51,124,328,0.6112804878048781,0.0
7,2019-11-29-19-delaware,36.4,8,9.4,3,111.9,75.9,22,0.386,66,0.33299999999999996,22,0.121,8,0.625,5,8,200,83.6,24.4,11,18,56,,6.0,4,0.364,24,0.292,7,44.6,33,0.401,10.3,8,42,0.35700000000000004,15,0.0,0,"November 29, 2019",43.5,10,11.9,5,83.6,75.6,34,0.51,52,0.442,23,0.48100000000000004,25,0.88,22,0,200,111.9,24.1,7,8,75,,4.5,3,0.385,20,0.35,7,55.4,41,0.5870000000000001,14.9,11,32,0.5,16,1.0,8,"Bob Carpenter Center, Newark, Delaware",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,67.3,Home,DELAWARE,Delaware,Maryland-Eastern Shore,meac,7,False,False,False,Away,False,7,15,66,33,74,7,16,52,0,1,46,94,374,0.4358288770053476,177,417,0.4244604316546763,64,135,384,0.6015625,0.0
8,2019-12-01-14-fordham,52.9,9,7.9,3,93.0,66.7,20,0.377,53,0.321,17,0.18899999999999997,10,0.5,5,9,200,63.4,8.8,3,14,45,,18.3,13,0.491,26,0.231,6,35.9,23,0.39,22.8,17,27,0.40700000000000003,11,0.0,0,"December 1, 2019",66.7,16,25.9,7,63.4,91.2,31,0.474,58,0.414,24,0.22399999999999998,13,0.846,11,2,200,93.0,33.3,10,13,66,,12.7,9,0.345,20,0.35,7,64.1,41,0.514,21.1,17,38,0.447,17,0.7140000000000001,5,"Rose Hill Gym, Bronx, New York",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,71.5,Home,FORDHAM,Fordham,Maryland-Eastern Shore,meac,8,False,False,False,Away,False,6,11,53,23,64,7,17,58,0,1,53,109,440,0.4284090909090909,210,491,0.4276985743380856,71,151,436,0.5905963302752294,0.0
9,2019-12-03-19-baylor,47.1,8,11.1,4,105.4,61.9,26,0.305,64,0.266,17,0.172,11,0.636,7,10,200,62.2,20.0,9,19,46,,9.5,7,0.297,19,0.263,5,40.2,35,0.332,17.9,15,45,0.267,12,0.0,0,"December 3, 2019",66.7,18,15.6,7,62.2,80.0,36,0.485,67,0.40299999999999997,27,0.32799999999999996,22,0.591,13,1,200,105.4,38.1,16,14,78,18.0,14.9,11,0.46299999999999997,31,0.355,11,59.8,52,0.504,13.5,12,36,0.444,16,0.857,6,"Ferrell Center, Waco, Texas",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,74.3,Home,BAYLOR,Baylor,Maryland-Eastern Shore,meac,9,False,False,False,Away,False,5,12,64,35,87,11,16,67,0,1,59,120,493,0.422920892494929,233,555,0.4198198198198198,78,168,494,0.5769230769230769,0.0
