,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ST-FRANCIS-NY_homegame,ST-FRANCIS-NY_homegame2,ST-FRANCIS-NY_home,ST-FRANCIS-NY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-fordham,60.9,14,10.0,4,100.0,70.0,28,0.52,51,0.451,23,0.17600000000000002,9,0.667,6,1,200,86.8,15.4,4,27,59,,10.3,7,0.49,25,0.28,7,48.5,32,0.534,22.5,16,26,0.615,16,0.0,0,"November 5, 2019",54.2,13,0.0,0,86.8,84.6,22,0.48200000000000004,57,0.42100000000000004,24,0.544,31,0.419,13,0,200,100.0,30.0,12,12,68,,14.7,10,0.298,17,0.41200000000000003,7,51.5,34,0.474,11.3,9,40,0.425,17,1.0,1,"Rose Hill Gym, Bronx, New York",ST-FRANCIS-NY,St. Francis (NY),68.0,Home,FORDHAM,Fordham,St. Francis (NY),northeast,0,False,False,False,Away,False,7,16,51,32,66,7,17,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-st-francis-ny,55.6,15,2.2,1,96.1,83.9,26,0.508,61,0.44299999999999995,27,0.213,13,0.769,10,1,200,94.7,17.6,6,16,72,,6.6,5,0.45899999999999996,28,0.28600000000000003,8,49.2,32,0.536,18.4,15,33,0.5760000000000001,19,0.5,1,"November 9, 2019",26.9,7,15.2,5,94.7,82.4,28,0.5,57,0.456,26,0.33299999999999996,19,0.8420000000000001,16,1,200,96.1,16.1,5,16,73,,7.9,6,0.21100000000000002,12,0.41700000000000004,5,50.8,33,0.5529999999999999,17.6,14,45,0.467,21,0.5,1,"Pope Physical Education Center, Brooklyn Heights, New York",LAFAYETTE,Lafayette,75.6,Home,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,1,True,False,True,Home,True,5,21,57,33,65,8,19,61,1,0,7,16,51,0.5196078431372549,32,66,0.4848484848484849,7,17,57,0.4824561403508772,0.0
2,2019-11-14-18-longwood,37.9,11,10.8,4,122.9,63.3,19,0.579,57,0.509,29,0.33299999999999996,19,0.579,11,2,199,110.0,38.5,10,21,77,,5.7,4,0.368,21,0.381,8,51.8,29,0.583,18.7,15,36,0.583,21,0.33299999999999996,1,"November 14, 2019",32.1,9,2.8,1,110.0,61.5,16,0.551,59,0.475,28,0.45799999999999996,27,0.778,21,1,199,122.9,36.7,11,21,86,,7.1,5,0.373,22,0.409,9,48.2,27,0.599,11.3,9,37,0.514,19,0.75,3,"Willett Hall, Farmville, Virginia",ST-FRANCIS-NY,St. Francis (NY),70.8,Home,LONGWOOD,Longwood,St. Francis (NY),northeast,2,False,False,False,Away,False,8,21,57,29,56,9,19,59,0,1,12,37,108,0.5092592592592593,65,131,0.4961832061068702,15,36,118,0.4957627118644068,0.5
3,2019-11-16-12-north-carolina-state,28.0,7,8.8,5,117.3,60.5,23,0.409,66,0.379,25,0.258,17,0.588,10,3,200,79.0,34.9,15,21,64,,6.2,5,0.22699999999999998,15,0.267,4,46.9,38,0.4320000000000001,21.4,20,51,0.41200000000000003,21,0.25,1,"November 16, 2019",41.7,15,5.9,3,79.0,65.1,28,0.514,73,0.493,36,0.384,28,0.7140000000000001,20,1,200,117.3,39.5,15,18,95,,11.1,9,0.21899999999999997,16,0.188,3,53.1,43,0.55,12.3,12,57,0.579,33,0.75,3,"Reynolds Coliseum, Raleigh, North Carolina",ST-FRANCIS-NY,St. Francis (NY),81.2,Home,NORTH-CAROLINA-STATE,NC State,St. Francis (NY),northeast,3,False,False,False,Away,False,4,21,66,38,81,3,33,73,0,1,20,58,165,0.5333333333333333,94,187,0.5026737967914439,24,55,177,0.5141242937853108,0.3333333333333333
4,2019-11-21-19-st-francis-ny,52.2,12,5.7,3,137.1,56.4,22,0.442,60,0.38299999999999995,23,0.217,13,0.385,5,0,200,65.2,5.0,2,15,58,,3.4,3,0.3670000000000001,22,0.318,7,30.4,24,0.43799999999999994,26.7,24,38,0.42100000000000004,16,0.0,0,"November 21, 2019",56.3,27,13.2,5,65.2,95.0,38,0.619,88,0.545,48,0.205,18,0.722,13,3,200,137.1,43.6,17,18,122,,10.1,9,0.39799999999999996,35,0.371,13,69.6,55,0.632,9.4,10,53,0.66,35,0.4,2,"Pope Physical Education Center, Brooklyn Heights, New York","Medgar Evers
			","Medgar Evers
			",88.9,Home,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,4,True,False,True,Home,True,13,35,88,55,79,7,16,60,1,0,24,79,231,0.4978354978354978,132,268,0.4925373134328358,27,88,250,0.514,0.25
5,2019-11-26-19-arkansas-little-rock,42.1,8,5.4,2,91.8,74.4,29,0.39799999999999996,54,0.35200000000000004,19,0.389,21,0.619,13,4,200,76.7,18.9,7,26,56,,4.1,3,0.37,20,0.25,5,47.4,36,0.43799999999999994,20.2,16,34,0.41200000000000003,14,0.33299999999999996,2,"November 26, 2019",61.1,11,5.9,2,76.7,81.1,30,0.39399999999999996,52,0.34600000000000003,18,0.6920000000000001,36,0.722,26,3,200,91.8,25.6,10,23,67,,13.7,10,0.28800000000000003,15,0.33299999999999996,5,52.6,40,0.485,16.1,13,37,0.35100000000000003,13,0.5710000000000001,4,"Jack Stephens Center, Little Rock, Arkansas",ST-FRANCIS-NY,St. Francis (NY),72.5,Home,ARKANSAS-LITTLE-ROCK,Little Rock,St. Francis (NY),northeast,5,False,False,False,Away,False,5,14,54,36,76,5,13,52,0,1,37,114,319,0.5313479623824452,187,347,0.5389048991354467,34,104,310,0.5,0.4
6,2019-11-30-13-saint-peters,40.9,9,8.7,4,104.7,51.3,20,0.425,60,0.3670000000000001,22,0.2,12,0.667,8,5,200,92.2,25.0,9,21,59,,10.9,7,0.3,18,0.389,7,38.7,29,0.449,9.7,7,42,0.35700000000000004,15,0.28600000000000003,2,"November 30, 2019",40.0,8,14.3,6,92.2,75.0,27,0.377,61,0.32799999999999996,20,0.39299999999999996,24,0.875,21,3,200,104.7,48.7,19,17,67,,7.8,5,0.24600000000000002,15,0.4,6,61.3,46,0.46299999999999997,13.3,11,46,0.304,14,0.25,1,"Yanitelli Center, Jersey City, New Jersey",ST-FRANCIS-NY,St. Francis (NY),64.1,Home,SAINT-PETERS,St. Peter's,St. Francis (NY),northeast,6,False,False,False,Away,False,7,15,60,29,75,6,14,61,0,1,42,128,373,0.5120643431635389,223,423,0.5271867612293144,39,117,362,0.4848066298342542,0.3333333333333333
7,2019-12-05-19-hartford,54.8,17,3.8,1,100.0,92.9,26,0.532,63,0.4920000000000001,31,0.365,23,0.7390000000000001,17,5,200,107.7,30.3,10,23,84,,7.7,6,0.302,19,0.263,5,59.0,36,0.568,17.0,15,44,0.591,26,0.375,3,"December 5, 2019",72.0,18,2.3,1,107.7,69.7,23,0.5870000000000001,52,0.48100000000000004,25,0.365,19,0.895,17,6,200,100.0,7.1,2,21,78,,6.4,5,0.5,26,0.423,11,41.0,25,0.639,23.0,18,26,0.5379999999999999,14,0.4,4,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,78.0,Away,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,7,False,False,False,Away,True,5,26,63,36,61,11,14,52,1,0,49,143,433,0.5,252,498,0.5060240963855421,45,131,423,0.4692671394799055,0.2857142857142857
8,2019-12-07-13-massachusetts-lowell,38.5,10,2.6,1,127.0,71.4,15,0.433,67,0.38799999999999996,26,0.134,9,0.556,5,6,200,85.1,28.9,11,17,63,,5.4,4,0.358,24,0.25,6,44.1,26,0.442,17.4,15,43,0.465,20,0.33299999999999996,3,"December 7, 2019",46.9,15,16.3,7,85.1,71.1,27,0.648,54,0.593,32,0.5,27,0.889,24,6,200,127.0,28.6,6,13,94,,9.5,7,0.278,15,0.4,6,55.9,33,0.703,14.3,11,39,0.667,26,0.455,5,"Costello Athletic Center, Lowell, Massachusetts",ST-FRANCIS-NY,St. Francis (NY),73.6,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,St. Francis (NY),northeast,8,False,False,False,Away,False,6,20,67,26,59,6,26,54,0,1,54,169,496,0.5040322580645161,288,559,0.5152057245080501,56,145,475,0.4821052631578948,0.375
9,2019-12-10-15-st-francis-ny,47.8,11,7.3,3,94.1,71.8,28,0.5529999999999999,47,0.489,23,0.34,16,0.688,11,8,200,92.6,18.5,5,19,63,,7.4,5,0.34,16,0.375,6,50.0,33,0.5770000000000001,23.9,17,31,0.5479999999999999,17,0.2,2,"December 10, 2019",41.7,10,9.7,3,92.6,81.5,22,0.434,61,0.39299999999999996,24,0.27899999999999997,17,0.647,11,6,200,94.1,28.2,11,18,64,,11.8,8,0.32799999999999996,20,0.25,5,50.0,33,0.46299999999999997,13.8,11,41,0.46299999999999997,19,0.4,4,"Pope Physical Education Center, Brooklyn Heights, New York",PRESBYTERIAN,Presbyterian,67.8,Home,ST-FRANCIS-NY,St. Francis (NY),St. Francis (NY),northeast,9,True,False,True,Home,True,5,19,61,33,66,6,17,47,1,0,60,189,563,0.4955595026642984,314,618,0.5080906148867314,62,171,529,0.49905482041587895,0.3333333333333333
