,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSISSIPPI-STATE_homegame,MISSISSIPPI-STATE_homegame2,MISSISSIPPI-STATE_home,MISSISSIPPI-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-mississippi-state,57.1,16,11.6,5,111.6,50.0,13,0.525,60,0.467,28,0.16699999999999998,10,0.6,6,1,200,100.0,37.5,12,20,69,,11.6,8,0.433,26,0.26899999999999996,7,43.1,25,0.5329999999999999,19.9,16,34,0.618,21,0.0,0,"November 5, 2019",45.2,14,14.7,5,100.0,62.5,20,0.588,57,0.544,31,0.298,17,0.588,10,0,200,111.6,50.0,13,15,77,,14.5,10,0.24600000000000002,14,0.35700000000000004,5,56.9,33,0.5920000000000001,21.8,18,43,0.605,26,1.0,1,"Humphrey Coliseum, Starkville, Mississippi",FLORIDA-INTERNATIONAL,Florida International,69.4,Home,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,0,True,False,True,Home,True,5,26,57,33,58,7,21,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-mississippi-state,33.3,8,3.6,1,97.1,60.0,15,0.415,65,0.369,24,0.062,4,1.0,4,1,200,84.1,25.0,9,24,58,,17.4,12,0.33799999999999997,22,0.273,6,39.3,24,0.433,13.0,10,43,0.419,18,0.5,1,"November 8, 2019",78.3,18,18.6,8,84.1,75.0,27,0.5539999999999999,46,0.5,23,0.522,24,0.667,16,0,200,97.1,40.0,10,13,67,,7.2,5,0.391,18,0.278,5,60.7,37,0.584,28.9,23,28,0.643,18,1.0,2,"Humphrey Coliseum, Starkville, Mississippi",SAM-HOUSTON-STATE,Sam Houston State,69.2,Home,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,1,True,False,True,Home,True,5,18,46,37,61,6,18,65,1,0,5,26,57,0.5877192982456141,33,58,0.5689655172413793,7,21,60,0.525,1.0
2,2019-11-14-19-mississippi-state,50.0,9,5.4,2,96.9,64.5,20,0.402,51,0.353,18,0.235,12,0.33299999999999996,4,2,200,70.3,30.6,11,23,45,,6.3,4,0.314,16,0.313,5,46.3,31,0.397,23.2,17,35,0.371,13,0.5,2,"November 14, 2019",55.0,11,11.4,4,70.3,69.4,25,0.439,49,0.408,20,0.612,30,0.633,19,0,200,96.9,35.5,11,18,62,,10.9,7,0.245,12,0.25,3,53.7,36,0.49,17.3,13,37,0.45899999999999996,17,1.0,3,"Humphrey Coliseum, Starkville, Mississippi",LOUISIANA-MONROE,Louisiana-Monroe,64.0,Home,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,2,True,False,True,Home,True,3,17,49,36,67,5,13,51,1,0,10,44,103,0.5728155339805825,70,119,0.5882352941176471,13,39,125,0.46799999999999997,1.0
3,2019-11-17-15-mississippi-state,45.5,10,7.3,3,118.8,52.9,18,0.397,58,0.379,22,0.259,15,0.867,13,3,200,85.5,25.0,9,21,59,,13.0,9,0.19,11,0.182,2,38.6,27,0.45299999999999996,15.7,12,47,0.426,20,0.25,1,"November 17, 2019",64.5,20,8.5,4,85.5,75.0,27,0.5489999999999999,61,0.508,31,0.39299999999999996,24,0.625,15,0,200,118.8,47.1,16,14,82,,8.7,6,0.32799999999999996,20,0.25,5,61.4,43,0.5660000000000001,16.4,14,41,0.634,26,1.0,4,"Humphrey Coliseum, Starkville, Mississippi",NEW-ORLEANS,New Orleans,69.3,Home,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,3,True,False,True,Home,True,5,26,61,43,70,2,20,58,1,0,13,61,152,0.5296052631578947,106,186,0.5698924731182796,18,52,176,0.4488636363636364,1.0
4,2019-11-21-14-tulane,73.1,19,8.8,3,95.7,85.7,30,0.733,43,0.605,26,0.488,21,0.81,17,0,200,115.9,50.0,9,15,80,,8.7,6,0.465,20,0.55,11,73.6,39,0.755,31.5,24,23,0.652,15,1.0,5,"November 21, 2019",56.5,13,4.3,1,115.9,50.0,9,0.466,59,0.39,23,0.203,12,0.917,11,1,200,95.7,14.3,5,14,66,,20.3,14,0.424,25,0.36,9,26.4,14,0.51,14.6,11,34,0.41200000000000003,14,0.75,3,"The HTC Center, Conway, South Carolina",TULANE,Tulane,69.3,Away,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,4,False,False,False,Away,True,11,15,43,39,53,9,14,59,1,0,18,87,213,0.5352112676056338,149,256,0.58203125,20,72,234,0.4358974358974359,1.0
5,2019-11-22-14-mississippi-state,64.5,20,11.1,5,111.8,70.6,24,0.679,53,0.585,31,0.302,16,0.688,11,1,200,122.1,29.2,7,18,83,17.0,5.9,4,0.45299999999999996,24,0.41700000000000004,10,53.4,31,0.685,17.8,13,29,0.7240000000000001,21,0.8,4,"November 22, 2019",32.1,9,3.4,1,122.1,70.8,17,0.478,67,0.418,28,0.19399999999999998,13,0.9229999999999999,12,1,200,111.8,29.4,10,19,76,,10.3,7,0.32799999999999996,22,0.364,8,46.6,27,0.519,7.6,6,45,0.444,20,0.833,5,"The HTC Center, Conway, South Carolina",MISSISSIPPI-STATE,Mississippi State,67.9,Away,VILLANOVA,Villanova,Mississippi State,sec,5,False,True,True,Home,False,8,20,67,27,58,10,21,53,0,1,29,102,256,0.568359375,188,309,0.6084142394822006,29,86,293,0.4419795221843004,1.0
6,2019-11-24-13-coastal-carolina,72.4,21,15.8,6,77.8,82.8,24,0.618,55,0.527,29,0.382,21,0.619,13,1,200,112.5,26.7,8,19,81,,9.7,7,0.418,23,0.435,10,54.2,32,0.623,17.9,14,32,0.594,19,0.857,6,"November 24, 2019",57.9,11,3.1,1,112.5,73.3,22,0.38,54,0.35200000000000004,19,0.35200000000000004,19,0.789,15,4,200,77.8,17.2,5,15,56,,9.7,7,0.29600000000000004,16,0.188,3,45.8,27,0.444,19.4,15,38,0.42100000000000004,16,0.429,3,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,72.0,Away,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,6,False,False,False,Away,True,10,19,55,32,59,3,16,54,1,0,37,122,323,0.5495356037151703,215,367,0.5858310626702997,39,107,346,0.4783236994219653,0.8333333333333334
7,2019-12-05-20-mississippi-state,46.2,12,3.3,1,111.7,62.1,18,0.574,54,0.48100000000000004,26,0.35200000000000004,19,0.632,12,2,200,123.3,40.0,12,15,74,,8.3,5,0.29600000000000004,16,0.625,10,50.8,30,0.5870000000000001,12.6,9,38,0.42100000000000004,16,0.75,6,"December 5, 2019",72.0,18,13.2,5,123.3,60.0,18,0.575,53,0.47200000000000003,25,0.226,12,0.5,6,2,200,111.7,37.9,11,18,67,,6.7,4,0.434,23,0.478,11,49.2,29,0.5710000000000001,18.2,13,30,0.467,14,0.75,6,"Humphrey Coliseum, Starkville, Mississippi",MISSISSIPPI-STATE,Mississippi State,60.4,Away,LOUISIANA-TECH,Louisiana Tech,Mississippi State,sec,7,False,True,True,Home,False,11,14,53,29,59,10,16,54,0,1,47,141,378,0.5595238095238095,247,426,0.57981220657277,42,123,400,0.465,0.8571428571428571
8,2019-12-14-11-kansas-state,34.8,8,32.0,8,88.4,73.1,19,0.431,58,0.397,23,0.431,25,0.68,17,2,200,97.1,30.8,12,22,67,,10.1,7,0.259,15,0.267,4,47.7,31,0.479,13.8,11,43,0.442,19,0.778,7,"December 14, 2019",50.0,7,11.6,5,97.1,69.2,27,0.395,43,0.326,14,0.8370000000000001,36,0.75,27,4,200,88.4,26.9,7,23,61,,7.2,5,0.419,18,0.33299999999999996,6,52.3,34,0.507,21.4,16,25,0.32,8,0.6,6,"Prudential Center, Newark, New Jersey",KANSAS-STATE,Kansas State,69.0,Away,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,8,False,False,False,Away,True,4,19,58,31,65,6,8,43,1,0,58,155,431,0.5614849187935035,276,485,0.5690721649484536,52,139,454,0.4779735682819383,0.75
9,2019-12-18-20-mississippi-state,65.2,15,2.6,1,128.3,43.8,14,0.565,54,0.426,23,0.222,12,0.583,7,7,200,113.3,34.5,10,25,68,,6.7,4,0.593,32,0.469,15,39.3,24,0.57,16.8,12,22,0.364,8,0.3,3,"December 18, 2019",41.7,10,31.8,7,113.3,65.5,19,0.5,52,0.462,24,0.5770000000000001,30,0.833,25,2,200,128.3,56.3,18,16,77,,8.3,5,0.26899999999999996,14,0.28600000000000003,4,60.7,37,0.581,14.4,11,38,0.526,20,0.8,8,"Humphrey Coliseum, Starkville, Mississippi",RADFORD,Radford,60.5,Home,MISSISSIPPI-STATE,Mississippi State,Mississippi State,sec,9,True,False,True,Home,True,4,20,52,37,61,15,8,54,1,0,62,174,489,0.5460122699386503,307,550,0.5581818181818182,58,147,497,0.4708249496981891,0.7777777777777778
