,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OHIO-STATE_homegame,OHIO-STATE_homegame2,OHIO-STATE_home,OHIO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-ohio-state,47.4,9,3.0,1,98.5,59.4,19,0.368,57,0.33299999999999996,19,0.40399999999999997,23,0.609,14,1,200,86.2,35.0,14,27,56,,9.2,6,0.368,21,0.19,4,45.8,33,0.41200000000000003,15.2,12,36,0.41700000000000004,15,0.0,0,"November 6, 2019",45.0,9,5.6,2,86.2,65.0,26,0.45899999999999996,49,0.408,20,0.5920000000000001,29,0.655,19,0,200,98.5,40.6,13,18,64,18.0,3.1,2,0.327,16,0.313,5,54.2,39,0.51,18.5,14,33,0.455,15,1.0,1,"Value City Arena, Columbus, Ohio",CINCINNATI,Cincinnati,64.9,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,0,True,False,True,Home,True,5,15,49,39,72,4,15,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-16-ohio-state,55.0,11,2.9,1,102.7,78.8,26,0.369,61,0.32799999999999996,20,0.32799999999999996,20,0.55,11,2,200,75.7,20.9,9,20,56,,9.5,7,0.377,23,0.217,5,46.1,35,0.397,14.7,12,38,0.395,15,0.33299999999999996,1,"November 10, 2019",67.9,19,10.5,4,75.7,79.1,34,0.57,57,0.491,28,0.386,22,0.5,11,0,200,102.7,21.2,7,19,76,18.0,2.7,2,0.40399999999999997,23,0.391,9,53.9,41,0.563,17.4,14,34,0.5589999999999999,19,1.0,2,"Value City Arena, Columbus, Ohio",MASSACHUSETTS-LOWELL,UMass-Lowell,74.0,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,1,True,False,True,Home,True,9,19,57,41,76,5,15,61,1,0,5,15,49,0.4591836734693878,39,72,0.5416666666666666,4,15,57,0.3684210526315789,1.0
2,2019-11-13-19-ohio-state,52.6,10,11.8,4,113.4,90.0,18,0.387,62,0.306,19,0.113,7,0.429,3,1,200,76.1,20.0,8,16,51,10.0,0.0,0,0.484,30,0.33299999999999996,10,43.3,26,0.39,15.6,12,32,0.281,9,0.5,1,"November 13, 2019",60.0,18,18.8,6,76.1,80.0,32,0.69,50,0.6,30,0.24,12,0.583,7,0,200,113.4,10.0,2,11,76,16.0,9.0,6,0.32,16,0.563,9,56.7,34,0.682,15.3,10,34,0.618,21,1.0,3,"Value City Arena, Columbus, Ohio",VILLANOVA,Villanova,66.5,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,2,True,False,True,Home,True,9,21,50,34,60,10,9,62,1,0,14,34,106,0.5188679245283019,80,148,0.5405405405405406,9,30,118,0.3686440677966102,1.0
3,2019-11-18-20-ohio-state,31.3,5,2.6,1,124.6,59.4,19,0.35100000000000003,57,0.281,16,0.33299999999999996,19,0.579,11,2,200,73.9,31.1,14,15,51,,5.8,4,0.386,22,0.364,8,42.9,33,0.386,19.7,16,35,0.22899999999999998,8,0.5,2,"November 18, 2019",63.3,19,25.7,9,73.9,68.9,31,0.53,66,0.455,30,0.28800000000000003,19,0.8420000000000001,16,0,200,124.6,40.6,13,18,86,10.0,7.2,5,0.409,27,0.37,10,57.1,44,0.573,9.7,8,39,0.513,20,1.0,4,"Value City Arena, Columbus, Ohio",STETSON,Stetson,69.0,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,3,True,False,True,Home,True,10,20,66,44,77,8,8,57,1,0,23,55,156,0.5737179487179487,114,208,0.5480769230769231,19,39,180,0.375,1.0
4,2019-11-22-19-ohio-state,58.8,10,3.6,1,126.9,63.0,17,0.389,54,0.315,17,0.111,6,0.667,4,5,200,68.7,20.0,7,15,46,,3.0,2,0.389,21,0.381,8,38.7,24,0.405,24.1,18,33,0.273,9,0.28600000000000003,2,"November 22, 2019",64.5,20,15.2,5,68.7,80.0,28,0.647,58,0.534,31,0.24100000000000002,14,0.7140000000000001,10,0,200,126.9,37.0,10,11,85,10.0,13.4,9,0.517,30,0.433,13,61.3,38,0.657,14.6,11,28,0.643,18,1.0,5,"Value City Arena, Columbus, Ohio",IPFW,Purdue-Fort Wayne,66.8,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,4,True,False,True,Home,True,13,18,58,38,62,8,9,54,1,0,33,75,222,0.5608108108108109,158,285,0.5543859649122806,27,47,237,0.3691983122362869,1.0
5,2019-11-25-18-ohio-state,38.1,8,6.9,2,106.0,67.9,19,0.42100000000000004,57,0.368,21,0.12300000000000001,7,0.5710000000000001,4,1,200,77.6,18.2,6,24,52,,7.5,5,0.439,25,0.24,6,41.0,25,0.431,17.8,13,32,0.469,15,0.833,5,"November 25, 2019",52.4,11,3.1,1,77.6,81.8,27,0.51,48,0.43799999999999994,21,0.625,30,0.733,22,0,200,106.0,32.1,9,18,71,10.0,6.0,4,0.396,19,0.368,7,59.0,36,0.57,18.6,14,29,0.483,14,1.0,6,"St. John Arena, Columbus, Ohio",KENT-STATE,Kent State,67.3,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,5,True,False,True,Home,True,7,14,48,36,61,6,15,57,1,0,46,93,280,0.5785714285714286,196,347,0.5648414985590778,35,56,291,0.372852233676976,1.0
6,2019-11-29-21-ohio-state,28.6,6,2.6,1,125.0,60.6,20,0.39299999999999996,56,0.375,21,0.35700000000000004,20,0.65,13,6,200,79.2,20.6,7,22,57,,1.4,1,0.196,11,0.182,2,40.3,27,0.435,17.8,14,45,0.42200000000000004,19,0.33299999999999996,3,"November 29, 2019",40.0,12,4.4,2,79.2,79.4,27,0.5479999999999999,63,0.47600000000000003,30,0.413,26,0.8079999999999999,21,0,200,125.0,39.4,13,15,90,10.0,5.6,4,0.397,25,0.36,9,59.7,40,0.597,11.8,10,38,0.5529999999999999,21,1.0,7,"Value City Arena, Columbus, Ohio",MORGAN-STATE,Morgan State,72.4,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,6,True,False,True,Home,True,9,21,63,40,67,2,19,56,1,0,53,107,328,0.5685975609756098,232,408,0.5686274509803921,41,71,348,0.3807471264367816,1.0
7,2019-12-04-21-north-carolina,65.4,17,10.3,4,72.1,75.6,34,0.5539999999999999,56,0.46399999999999997,26,0.268,15,0.8,12,0,200,108.8,40.0,10,18,74,6.0,7.4,5,0.46399999999999997,26,0.385,10,62.9,44,0.586,19.3,15,30,0.5329999999999999,16,1.0,8,"December 4, 2019",58.8,10,16.7,5,108.8,60.0,15,0.331,62,0.27399999999999997,17,0.21,13,0.615,8,2,200,72.1,24.4,11,15,49,7.0,8.8,6,0.371,23,0.304,7,37.1,26,0.359,12.9,10,39,0.256,10,0.75,6,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,67.7,Away,OHIO-STATE,Ohio State,Ohio State,big-ten,7,False,False,False,Away,True,10,16,56,44,70,7,10,62,1,0,62,128,391,0.5652173913043478,272,475,0.5726315789473684,43,90,404,0.38242574257425743,1.0
8,2019-12-07-12-ohio-state,28.0,7,10.7,3,147.2,64.7,11,0.508,59,0.424,25,0.33899999999999997,20,0.7,14,2,200,102.8,24.2,8,25,74,,6.9,5,0.4920000000000001,29,0.345,10,38.0,19,0.54,12.9,10,30,0.5,15,0.778,7,"December 7, 2019",48.4,15,6.7,2,102.8,75.8,25,0.7040000000000001,54,0.574,31,0.685,37,0.8109999999999999,30,0,200,147.2,35.3,6,18,106,6.0,6.9,5,0.48100000000000004,26,0.5379999999999999,14,62.0,31,0.74,10.2,8,28,0.607,17,1.0,9,"Value City Arena, Columbus, Ohio",PENN-STATE,Penn State,72.0,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,8,True,False,True,Home,True,14,17,54,31,50,10,15,59,1,0,72,144,447,0.5637583892617449,316,545,0.5798165137614679,50,100,466,0.3755364806866953,1.0
9,2019-12-15-18-minnesota,47.8,11,7.9,3,112.0,59.1,13,0.442,60,0.38299999999999995,23,0.38299999999999995,23,0.7829999999999999,18,1,200,94.7,22.9,8,20,71,3.0,10.7,8,0.33299999999999996,20,0.35,7,36.8,21,0.501,16.6,14,40,0.4,16,0.9,9,"December 15, 2019",51.6,16,10.0,4,94.7,77.1,27,0.605,57,0.544,31,0.35100000000000003,20,0.75,15,5,200,112.0,40.9,9,17,84,,10.7,8,0.33299999999999996,19,0.368,7,63.2,36,0.632,19.6,16,38,0.632,24,0.5,5,"Williams Arena, Minneapolis, Minnesota",OHIO-STATE,Ohio State,75.2,Home,MINNESOTA,Minnesota,Ohio State,big-ten,9,False,False,False,Away,False,7,16,60,21,57,7,24,57,0,1,86,161,501,0.5788423153692615,347,595,0.5831932773109244,60,115,525,0.3904761904761905,1.0
