,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GRAND-CANYON_homegame,GRAND-CANYON_homegame2,GRAND-CANYON_home,GRAND-CANYON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-grand-canyon,58.6,17,4.7,2,96.1,81.3,26,0.619,59,0.4920000000000001,29,0.18600000000000005,11,0.818,9,0,200,107.9,20.0,6,18,82,,9.2,7,0.508,30,0.5,15,51.6,32,0.638,20.0,16,29,0.483,14,0.0,0,"November 5, 2019",46.4,13,3.4,1,107.9,80.0,24,0.46799999999999997,62,0.452,28,0.306,19,0.789,15,1,200,96.1,18.8,6,15,73,,9.2,7,0.306,19,0.105,2,48.4,30,0.514,14.6,12,43,0.605,26,0.0,0,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,75.6,Away,"Davenport
			","Davenport
			",Grand Canyon,wac,0,False,True,True,Home,False,2,26,62,30,62,15,14,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-21-grand-canyon,44.8,13,0.0,0,93.4,83.3,30,0.484,64,0.45299999999999996,29,0.469,30,0.7,21,0,200,109.2,48.5,16,21,83,,6.6,5,0.203,13,0.308,4,66.7,46,0.53,18.0,17,51,0.49,25,1.0,2,"November 8, 2019",44.4,12,0.0,0,109.2,51.5,17,0.508,61,0.44299999999999995,27,0.262,16,0.563,9,2,200,93.4,16.7,6,23,71,,5.3,4,0.311,19,0.42100000000000004,8,33.3,23,0.517,13.9,11,42,0.452,19,0.0,0,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,76.4,Away,ILLINOIS,Illinois,Grand Canyon,wac,1,False,True,True,Home,False,8,19,61,23,69,4,25,64,0,1,2,26,62,0.4677419354838709,30,62,0.4838709677419355,15,14,59,0.6186440677966102,0.0
2,2019-11-13-22-san-diego-state,42.1,8,0.0,0,128.4,72.4,21,0.40399999999999997,52,0.365,19,0.48100000000000004,25,0.76,19,3,200,91.0,24.3,9,14,61,,6.0,4,0.34600000000000003,18,0.222,4,45.5,30,0.47700000000000004,16.0,12,34,0.441,15,0.0,0,"November 13, 2019",71.4,25,14.7,5,91.0,75.7,28,0.648,64,0.547,35,0.109,7,0.429,3,0,200,128.4,27.6,8,19,86,,4.5,3,0.42200000000000004,27,0.48100000000000004,13,54.5,36,0.639,9.4,7,37,0.595,22,1.0,3,"Viejas Arena, San Diego, California",GRAND-CANYON,Grand Canyon,66.6,Home,SAN-DIEGO-STATE,San Diego State,Grand Canyon,wac,2,False,False,False,Away,False,4,15,52,30,66,13,22,64,0,1,10,45,123,0.4878048780487805,53,131,0.4045801526717557,19,39,123,0.5487804878048781,0.0
3,2019-11-16-20-grand-canyon,40.9,9,6.5,2,97.1,80.8,21,0.42,56,0.39299999999999996,22,0.25,14,0.5,7,3,200,78.3,27.0,10,17,54,,18.8,13,0.25,14,0.214,3,49.2,31,0.431,20.5,16,42,0.452,19,0.0,0,"November 16, 2019",83.3,20,2.4,1,78.3,73.0,27,0.52,51,0.47100000000000003,24,0.373,19,0.737,14,3,200,97.1,19.2,5,15,67,,8.7,6,0.392,20,0.25,5,50.8,32,0.5579999999999999,20.2,15,31,0.613,19,0.25,1,"Grand Canyon University Arena, Phoenix, Arizona",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,69.3,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,3,True,False,True,Home,True,5,19,51,32,63,3,19,56,1,0,14,60,175,0.4628571428571429,83,197,0.4213197969543147,32,61,187,0.5828877005347594,0.0
4,2019-11-19-21-grand-canyon,36.4,8,13.9,5,106.2,74.3,26,0.522,46,0.478,22,0.326,15,0.5329999999999999,8,2,200,86.2,13.6,3,16,56,,3.1,2,0.348,16,0.25,4,50.9,29,0.527,22.2,15,30,0.6,18,0.667,4,"November 19, 2019",72.7,16,6.7,2,86.2,86.4,19,0.4320000000000001,59,0.373,22,0.35600000000000004,21,0.857,18,3,200,106.2,25.7,9,15,69,,12.3,8,0.39,23,0.304,7,49.1,28,0.5,5.5,4,36,0.41700000000000004,15,0.4,2,"Grand Canyon University Arena, Phoenix, Arizona",MONTANA-STATE,Montana State,64.6,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,4,True,False,True,Home,True,7,15,59,28,57,4,18,46,1,0,19,79,226,0.4756637168141593,115,260,0.4423076923076923,35,80,243,0.5452674897119342,0.25
5,2019-11-22-13-grand-canyon,52.2,12,8.3,3,98.7,87.5,21,0.483,59,0.39,23,0.441,26,0.8079999999999999,21,1,200,104.0,18.8,6,12,78,,12.0,9,0.508,30,0.3670000000000001,11,48.2,27,0.547,12.4,10,29,0.414,12,0.8,4,"November 22, 2019",36.7,11,3.4,1,104.0,81.3,26,0.603,58,0.517,30,0.10300000000000001,6,0.667,4,4,200,98.7,12.5,3,21,74,,2.7,2,0.379,22,0.455,10,51.8,29,0.608,21.9,17,36,0.556,20,0.33299999999999996,2,"Virgin Islands Sport & Fitness Center , St. Thomas",GRAND-CANYON,Grand Canyon,75.1,Away,VALPARAISO,Valparaiso,Grand Canyon,wac,5,False,True,True,Home,False,10,20,58,29,56,11,12,59,0,1,26,94,285,0.4666666666666667,143,317,0.4511041009463722,39,98,289,0.5415224913494809,0.4
6,2019-11-23-15-fordham,22.7,5,0.0,0,106.1,66.7,22,0.48,49,0.449,22,0.265,13,0.846,11,5,200,87.9,19.2,5,12,58,,6.1,4,0.3670000000000001,18,0.16699999999999998,3,45.8,27,0.526,22.6,16,31,0.613,19,0.28600000000000003,2,"November 23, 2019",46.2,12,0.0,0,87.9,80.8,21,0.4920000000000001,61,0.426,26,0.23,14,0.7140000000000001,10,1,200,106.1,33.3,11,14,70,,7.6,5,0.377,23,0.348,8,54.2,32,0.517,11.8,9,38,0.474,18,0.8,4,"Virgin Islands Sport & Fitness Center , St. Thomas",GRAND-CANYON,Grand Canyon,65.9,Home,FORDHAM,Fordham,Grand Canyon,wac,6,False,False,False,Away,False,3,19,49,27,59,8,18,61,0,1,36,114,343,0.4897959183673469,172,373,0.4611260053619303,50,110,348,0.5316091954022989,0.3333333333333333
7,2019-11-25-13-illinois-state,37.5,9,2.9,1,92.6,78.8,26,0.467,60,0.4,24,0.233,14,0.857,12,5,200,100.0,26.5,9,11,68,,7.4,5,0.3670000000000001,22,0.364,8,52.2,35,0.51,16.4,13,38,0.42100000000000004,16,0.375,3,"November 25, 2019",53.8,14,15.8,6,100.0,73.5,25,0.508,61,0.426,26,0.033,2,0.5,1,4,200,92.6,21.2,7,17,63,,5.9,4,0.426,26,0.385,10,47.8,32,0.508,13.9,10,35,0.457,16,0.33299999999999996,2,"Virgin Islands Sport & Fitness Center , St. Thomas",ILLINOIS-STATE,Illinois State,67.8,Away,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,7,False,False,False,Away,True,8,16,60,35,67,10,16,61,1,0,39,133,392,0.4885204081632653,199,432,0.4606481481481482,58,128,409,0.5256723716381418,0.2857142857142857
8,2019-11-30-20-grand-canyon,40.7,11,12.1,4,96.8,71.9,23,0.622,49,0.551,27,0.327,16,0.625,10,5,200,114.5,23.8,5,18,71,,11.3,7,0.469,23,0.304,7,52.8,28,0.627,16.4,11,26,0.769,20,0.5,5,"November 30, 2019",65.0,13,3.8,1,114.5,76.2,16,0.46,50,0.4,20,0.42,21,0.667,14,6,200,96.8,28.1,9,14,60,,11.3,7,0.34,17,0.353,6,47.2,25,0.5,15.7,11,33,0.424,14,0.33299999999999996,3,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,62.3,Away,IPFW,Purdue-Fort Wayne,Grand Canyon,wac,8,False,True,True,Home,False,6,14,50,25,53,7,20,49,0,1,47,149,452,0.4856194690265487,234,499,0.468937875751503,68,144,470,0.5234042553191489,0.375
9,2019-12-03-21-grand-canyon,50.0,11,8.3,3,104.2,81.5,22,0.44299999999999995,61,0.361,22,0.311,19,0.684,13,6,225,93.1,22.0,9,21,67,,8.3,6,0.525,32,0.313,10,45.6,31,0.478,14.7,12,29,0.414,12,0.33299999999999996,3,"December 3, 2019",34.6,9,6.9,2,93.1,78.0,32,0.528,54,0.48100000000000004,26,0.444,24,0.75,18,6,225,104.2,18.5,5,16,75,,9.7,7,0.33299999999999996,18,0.278,5,54.4,37,0.573,13.4,10,36,0.583,21,0.4,4,"Grand Canyon University Arena, Phoenix, Arizona",MOUNT-ST-MARYS,Mount St. Mary's,63.7,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,9,True,False,True,Home,True,5,21,54,37,68,10,12,61,1,0,53,163,502,0.4830677290836654,259,552,0.4692028985507246,75,164,519,0.5327552986512524,0.3333333333333333
10,2019-12-08-18-grand-canyon,59.1,13,3.1,1,95.3,77.4,24,0.542,48,0.45799999999999996,22,0.583,28,0.643,18,0,200,109.4,20.0,6,15,70,,4.7,3,0.396,19,0.42100000000000004,8,49.2,30,0.5710000000000001,13.0,9,29,0.483,14,1.0,11,"December 8, 2019",34.8,8,10.3,3,109.4,80.0,24,0.48100000000000004,53,0.434,23,0.264,14,0.7140000000000001,10,7,200,95.3,22.6,7,21,61,,3.1,2,0.396,21,0.23800000000000002,5,50.8,31,0.511,15.7,11,32,0.563,18,0.364,4,"Talking Stick Resort Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,64.0,Away,LIBERTY,Liberty,Grand Canyon,wac,10,False,True,True,Home,False,5,18,53,31,61,8,14,48,0,1,58,184,556,0.4874100719424461,296,620,0.4774193548387097,85,176,580,0.5232758620689655,0.4
11,2019-12-12-21-grand-canyon,50.0,13,2.6,1,86.6,86.5,32,0.643,49,0.531,26,0.408,20,0.95,19,1,200,122.4,28.6,6,13,82,,4.5,3,0.551,27,0.40700000000000003,11,65.5,38,0.701,20.6,15,22,0.682,15,0.909,10,"December 12, 2019",39.1,9,13.6,3,122.4,71.4,15,0.40299999999999997,62,0.371,23,0.177,11,0.727,8,8,200,86.6,13.5,5,14,58,,11.9,8,0.387,24,0.16699999999999998,4,34.5,20,0.431,7.0,5,38,0.5,19,0.33299999999999996,4,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,67.4,Away,NORTHERN-IOWA,Northern Iowa,Grand Canyon,wac,11,False,True,True,Home,False,4,19,62,20,58,11,15,49,0,1,63,202,609,0.4868637110016421,327,681,0.4801762114537445,93,190,628,0.5246815286624203,0.3636363636363637
12,2019-12-17-21-new-mexico,48.3,14,3.3,1,131.9,54.5,12,0.5,60,0.483,29,0.25,15,0.733,11,9,200,102.9,28.1,9,15,71,,11.6,8,0.183,11,0.182,2,38.9,21,0.529,13.1,10,49,0.551,27,0.308,4,"December 17, 2019",74.2,23,2.0,1,102.9,71.9,23,0.679,56,0.5539999999999999,31,0.28600000000000003,16,0.938,15,2,200,131.9,45.5,10,16,91,,7.2,5,0.46399999999999997,26,0.5379999999999999,14,61.1,33,0.715,20.2,16,30,0.5670000000000001,17,0.846,11,"The Pit, Albuquerque, New Mexico",GRAND-CANYON,Grand Canyon,68.9,Home,NEW-MEXICO,New Mexico,Grand Canyon,wac,12,False,False,False,Away,False,2,27,60,21,54,14,17,56,0,1,67,221,671,0.4791356184798808,347,739,0.46955345060893106,104,205,677,0.5332348596750369,0.3333333333333333
13,2019-12-21-20-grand-canyon,68.4,13,20.5,9,114.9,72.2,26,0.38299999999999995,60,0.317,19,0.45,27,0.63,17,5,200,85.1,22.7,10,19,63,,6.8,5,0.5,30,0.267,8,45.0,36,0.433,13.3,11,30,0.3670000000000001,11,0.583,7,"December 21, 2019",48.3,14,3.3,1,85.1,77.3,34,0.5479999999999999,63,0.46,29,0.317,20,0.8,16,9,200,114.9,27.8,10,19,85,,5.4,4,0.302,19,0.579,11,55.0,44,0.586,13.3,11,44,0.409,18,0.35700000000000004,5,"Grand Canyon University Arena, Phoenix, Arizona",EASTERN-ILLINOIS,Eastern Illinois,73.7,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,13,True,False,True,Home,True,11,18,63,44,80,8,11,60,1,0,69,248,731,0.4808481532147743,368,793,0.4640605296343001,118,222,733,0.5443383356070941,0.3076923076923077
14,2020-01-04-22-cal-state-bakersfield,57.1,12,4.3,2,100.0,69.4,25,0.45299999999999996,53,0.396,21,0.358,19,0.737,14,10,200,89.9,12.9,4,16,62,,5.8,4,0.321,17,0.353,6,43.3,29,0.5,12.8,9,36,0.41700000000000004,15,0.33299999999999996,5,"January 4, 2020",56.5,13,8.3,3,89.9,87.1,27,0.42200000000000004,64,0.359,23,0.297,19,0.789,15,9,200,100.0,30.6,11,14,69,,8.7,6,0.266,17,0.47100000000000003,8,56.7,38,0.47200000000000003,11.1,9,47,0.319,15,0.43799999999999994,7,"Icardo Center, Bakersfield, California",GRAND-CANYON,Grand Canyon,69.0,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Grand Canyon,wac,14,False,False,False,Away,False,6,15,53,29,67,8,15,64,0,1,80,266,794,0.4861460957178842,412,873,0.4719358533791523,126,233,793,0.532156368221942,0.35714285714285715
15,2020-01-11-20-grand-canyon,45.8,11,1.9,1,76.0,84.4,38,0.40299999999999997,67,0.358,24,0.134,9,0.778,7,5,200,81.3,17.6,6,16,61,,5.3,4,0.38799999999999996,26,0.231,6,55.7,44,0.428,13.4,11,41,0.439,18,0.706,12,"January 11, 2020",22.7,5,4.9,2,81.3,82.4,28,0.354,65,0.33799999999999997,22,0.24600000000000002,16,0.688,11,11,200,76.0,15.6,7,11,57,,8.0,6,0.2,13,0.154,2,44.3,35,0.39299999999999996,11.1,9,52,0.385,20,0.312,5,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,75.4,Away,CALIFORNIA-BAPTIST,California Baptist,Grand Canyon,wac,15,False,True,True,Home,False,2,20,65,35,79,6,18,67,0,1,86,281,847,0.4840613931523022,441,940,0.4691489361702128,134,248,857,0.5239206534422404,0.3333333333333333
16,2020-01-16-20-chicago-state,64.0,16,3.8,1,104.9,79.2,19,0.67,44,0.568,25,0.568,25,0.76,19,11,200,127.9,26.3,5,16,78,,8.2,5,0.341,15,0.6,9,55.8,24,0.698,17.9,12,29,0.552,16,0.353,6,"January 16, 2020",85.7,18,0.0,0,127.9,73.7,14,0.565,46,0.457,21,0.348,16,0.75,12,16,200,104.9,20.8,5,16,64,,8.2,5,0.435,20,0.5,10,44.2,19,0.597,15.9,10,26,0.423,11,0.2,4,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,60.7,Away,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,16,False,False,False,Away,True,9,16,44,24,43,10,11,46,1,0,88,301,912,0.474780701754386,476,1019,0.4671246319921492,140,266,924,0.5151515151515151,0.3125
17,2020-01-19-17-missouri-kansas-city,40.9,9,2.9,1,100.0,78.4,29,0.532,47,0.46799999999999997,22,0.447,21,0.905,19,11,200,104.5,13.6,3,15,69,,7.6,5,0.23399999999999999,11,0.545,6,54.2,32,0.606,15.1,10,36,0.444,16,0.389,7,"January 19, 2020",47.8,11,0.0,0,104.5,86.4,19,0.45799999999999996,60,0.38299999999999995,23,0.217,13,0.846,11,11,200,100.0,21.6,8,17,66,,4.5,3,0.433,26,0.34600000000000003,9,45.8,27,0.499,13.2,10,34,0.41200000000000003,14,0.45,9,"Swinney Recreation Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,66.1,Away,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,17,False,False,False,Away,True,6,16,47,32,59,9,14,60,1,0,97,317,956,0.4837866108786611,500,1062,0.4708097928436911,150,277,970,0.5175257731958763,0.35294117647058826
18,2020-01-23-21-grand-canyon,30.8,8,6.7,3,105.3,60.6,20,0.446,65,0.4,26,0.385,25,0.76,19,11,200,101.3,19.5,8,27,77,,9.2,7,0.308,20,0.3,6,37.8,28,0.501,9.5,8,45,0.444,20,0.47600000000000003,10,"January 23, 2020",42.3,11,6.7,3,101.3,80.5,33,0.449,59,0.441,26,0.5589999999999999,33,0.818,27,11,200,105.3,39.4,13,23,80,,5.3,4,0.237,14,0.071,1,62.2,46,0.536,16.0,14,45,0.556,25,0.42100000000000004,8,"Grand Canyon University Arena, Phoenix, Arizona",SEATTLE,Seattle,76.3,Home,GRAND-CANYON,Grand Canyon,Grand Canyon,wac,18,True,False,True,Home,True,1,25,59,46,74,6,20,65,1,0,103,333,1003,0.4860418743768694,532,1121,0.4745762711864407,159,291,1030,0.5140776699029126,0.3888888888888889
