,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CAL-STATE-NORTHRIDGE_homegame,CAL-STATE-NORTHRIDGE_homegame2,CAL-STATE-NORTHRIDGE_home,CAL-STATE-NORTHRIDGE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-23-oregon-state,56.5,13,4.7,2,117.6,54.8,17,0.45,60,0.38299999999999995,23,0.3,18,0.722,13,1,200,90.5,27.0,10,24,67,,6.8,5,0.433,26,0.308,8,39.7,27,0.489,18.1,15,34,0.441,15,0.0,0,"November 5, 2019",72.4,21,23.5,8,90.5,73.0,27,0.516,63,0.46,29,0.4920000000000001,31,0.71,22,0,200,117.6,45.2,14,15,87,,10.8,8,0.317,20,0.35,7,60.3,41,0.56,11.5,10,43,0.512,22,1.0,1,"Gill Coliseum, Corvallis, Oregon",CAL-STATE-NORTHRIDGE,Cal State Northridge,73.6,Home,OREGON-STATE,Oregon State,Cal State Northridge,big-west,0,False,False,False,Away,False,8,15,60,27,68,7,22,63,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-21-new-mexico,60.7,17,4.5,2,127.6,66.7,14,0.508,63,0.444,28,0.20600000000000002,13,0.462,6,2,200,92.1,25.7,9,25,70,,3.9,3,0.365,23,0.348,8,41.1,23,0.506,17.9,15,40,0.5,20,0.0,0,"November 9, 2019",61.1,22,7.5,3,92.1,74.3,26,0.65,60,0.6,36,0.433,26,0.731,19,0,200,127.6,33.3,7,16,97,,7.9,6,0.267,16,0.375,6,58.9,33,0.67,14.4,12,44,0.682,30,1.0,2,"The Pit, Albuquerque, New Mexico",CAL-STATE-NORTHRIDGE,Cal State Northridge,76.3,Home,NEW-MEXICO,New Mexico,Cal State Northridge,big-west,1,False,False,False,Away,False,8,20,63,23,56,6,30,60,0,1,8,15,60,0.45,27,68,0.3970588235294117,7,22,63,0.5158730158730159,0.0
2,2019-11-12-22-cal-state-northridge,64.5,20,12.5,4,106.5,77.4,24,0.595,63,0.4920000000000001,31,0.365,23,0.826,19,1,200,122.1,35.3,12,24,94,,7.8,6,0.444,28,0.46399999999999997,13,55.4,36,0.636,16.1,14,35,0.514,18,0.667,2,"November 12, 2019",57.7,15,2.9,1,122.1,64.7,22,0.58,56,0.46399999999999997,26,0.5,28,0.607,17,3,200,106.5,22.6,7,22,82,,6.5,5,0.429,24,0.542,13,44.6,29,0.5920000000000001,19.0,16,32,0.406,13,0.0,0,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,77.1,Away,PEPPERDINE,Pepperdine,Cal State Northridge,big-west,2,False,True,True,Home,False,13,13,56,29,65,13,18,63,0,1,16,35,123,0.4796747967479675,50,124,0.4032258064516129,13,52,123,0.5813008130081301,0.0
3,2019-11-15-19-auburn,61.5,16,7.7,3,138.1,63.3,19,0.414,76,0.342,26,0.132,10,0.7,7,4,200,83.3,18.4,9,14,70,,8.3,7,0.382,29,0.379,11,35.4,28,0.433,14.8,14,47,0.319,15,0.0,0,"November 15, 2019",64.3,27,23.4,11,83.3,81.6,40,0.682,74,0.568,42,0.21600000000000005,16,0.938,15,0,200,138.1,36.7,11,14,116,22.0,9.5,8,0.473,35,0.486,17,64.6,51,0.711,12.0,11,39,0.6409999999999999,25,1.0,4,"Auburn Arena, Auburn, Alabama",CAL-STATE-NORTHRIDGE,Cal State Northridge,83.7,Home,AUBURN,Auburn,Cal State Northridge,big-west,3,False,False,False,Away,False,11,15,76,28,79,17,25,74,0,1,29,48,179,0.5111731843575419,79,189,0.417989417989418,26,70,186,0.5860215053763441,0.0
4,2019-11-17-16-richmond,45.0,9,3.1,1,130.4,61.5,16,0.409,55,0.364,20,0.382,21,0.81,17,5,200,89.9,23.5,8,12,62,,5.8,4,0.327,18,0.278,5,40.0,24,0.47700000000000004,17.9,14,37,0.405,15,0.0,0,"November 17, 2019",64.7,22,8.1,3,89.9,76.5,26,0.669,62,0.5479999999999999,34,0.145,9,0.778,7,0,200,130.4,38.5,10,21,90,,8.7,6,0.484,30,0.5,15,60.0,36,0.679,13.2,10,32,0.594,19,1.0,3,"Robins Center, Richmond, Virginia",CAL-STATE-NORTHRIDGE,Cal State Northridge,68.6,Home,RICHMOND,Richmond,Cal State Northridge,big-west,4,False,False,False,Away,False,5,15,55,24,60,15,19,62,0,1,40,63,255,0.4823529411764706,107,268,0.3992537313432836,43,95,260,0.6134615384615385,0.0
5,2019-11-24-17-colgate,28.0,7,4.8,1,97.0,65.0,26,0.456,57,0.439,25,0.12300000000000001,7,0.5710000000000001,4,6,200,84.8,17.2,5,14,56,,4.5,3,0.263,15,0.133,2,44.9,31,0.46399999999999997,15.5,11,42,0.5479999999999999,23,0.0,0,"November 24, 2019",59.1,13,0.0,0,84.8,82.8,24,0.431,65,0.33799999999999997,22,0.154,10,0.8,8,3,200,97.0,35.0,14,13,64,,7.6,5,0.677,44,0.273,12,55.1,38,0.45899999999999996,12.6,10,21,0.47600000000000003,10,0.5,3,"Kress Events Center, Green Bay, Wisconsin",CAL-STATE-NORTHRIDGE,Cal State Northridge,66.0,Home,COLGATE,Colgate,Cal State Northridge,big-west,5,False,False,False,Away,False,2,23,57,31,69,12,10,65,0,1,45,78,310,0.4693548387096774,131,328,0.3993902439024391,58,114,322,0.6242236024844721,0.0
6,2019-11-25-20-green-bay,56.3,18,10.8,4,111.8,79.3,23,0.636,59,0.542,32,0.16899999999999998,10,0.9,9,7,200,110.5,25.0,6,19,84,,10.5,8,0.373,22,0.5,11,54.7,29,0.659,22.1,18,37,0.568,21,0.0,0,"November 25, 2019",60.0,18,5.4,2,110.5,75.0,18,0.629,58,0.517,30,0.276,16,0.75,12,3,200,111.8,20.7,6,16,85,,10.5,8,0.36200000000000004,21,0.619,13,45.3,24,0.648,19.7,16,37,0.45899999999999996,17,0.4,2,"Kress Events Center, Green Bay, Wisconsin",CAL-STATE-NORTHRIDGE,Cal State Northridge,75.7,Home,GREEN-BAY,Green Bay,Cal State Northridge,big-west,6,False,False,False,Away,False,11,21,59,29,53,13,17,58,0,1,47,101,367,0.4673024523160763,162,397,0.4080604534005038,70,124,387,0.5917312661498708,0.0
7,2019-11-30-18-cal-state-northridge,55.6,15,7.1,2,117.7,81.3,26,0.58,56,0.48200000000000004,27,0.214,12,0.583,7,4,200,116.1,24.1,7,19,72,,3.2,2,0.625,35,0.314,11,54.1,33,0.583,10.3,7,21,0.762,16,0.33299999999999996,2,"November 30, 2019",65.2,15,9.5,2,116.1,75.9,22,0.518,56,0.41100000000000003,23,0.304,17,0.882,15,7,200,117.7,18.8,6,14,73,,3.2,2,0.5,28,0.429,12,45.9,28,0.57,7.3,5,28,0.39299999999999996,11,0.125,1,"The Matadome, Northridge, California",FRESNO-STATE,Fresno State,62.4,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west,7,True,False,True,Home,True,12,11,56,28,61,11,16,56,1,0,58,122,426,0.4906103286384976,191,450,0.4244444444444445,83,141,445,0.596629213483146,0.0
8,2019-12-04-22-portland,66.7,16,15.2,5,83.1,81.1,30,0.444,62,0.387,24,0.40299999999999997,25,0.64,16,7,200,92.2,26.8,11,24,71,,10.4,8,0.40299999999999997,25,0.28,7,52.6,41,0.48100000000000004,13.1,11,37,0.45899999999999996,17,0.222,2,"December 4, 2019",84.2,16,13.5,5,92.2,73.2,30,0.371,58,0.32799999999999996,19,0.517,30,0.7,21,2,200,83.1,18.9,7,21,64,,6.5,5,0.431,25,0.2,5,47.4,37,0.44299999999999995,16.4,14,33,0.424,14,0.75,6,"Chiles Center, Portland, Oregon",PORTLAND,Portland,76.6,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west,8,False,False,False,Away,True,7,17,62,41,78,5,14,58,1,0,70,133,482,0.4937759336099585,219,511,0.42857142857142855,94,157,501,0.5948103792415169,0.125
9,2019-12-06-22-portland-state,57.7,15,5.1,2,105.8,53.8,21,0.483,60,0.433,26,0.2,12,0.75,9,8,200,97.1,27.3,9,12,67,,10.1,7,0.3,18,0.33299999999999996,6,41.7,30,0.51,15.5,12,42,0.47600000000000003,20,0.2,2,"December 6, 2019",71.4,20,9.5,4,97.1,72.7,24,0.486,71,0.39399999999999996,28,0.127,9,0.444,4,5,200,105.8,46.2,18,14,73,,8.7,6,0.451,32,0.406,13,58.3,42,0.485,14.8,13,39,0.385,15,0.444,4,"Peter W. Stott Center, Portland, Oregon",CAL-STATE-NORTHRIDGE,Cal State Northridge,69.5,Home,PORTLAND-STATE,Portland State,Cal State Northridge,big-west,9,False,False,False,Away,False,6,20,60,30,72,13,15,71,0,1,77,150,544,0.4880514705882353,260,589,0.4414261460101868,99,171,559,0.5715563506261181,0.2222222222222222
