,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOUISIANA-TECH_homegame,LOUISIANA-TECH_homegame2,LOUISIANA-TECH_home,LOUISIANA-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-texas-am-corpus-christi,51.6,16,7.1,2,75.4,71.4,20,0.581,62,0.5,31,0.21,13,0.769,10,0,200,126.2,36.7,11,23,82,,13.8,9,0.419,26,0.385,10,53.4,31,0.601,11.7,9,36,0.583,21,1.0,1,"November 6, 2019",37.5,6,2.8,1,126.2,63.3,19,0.4,45,0.35600000000000004,16,0.489,22,0.591,13,1,200,75.4,28.6,8,15,49,,3.1,2,0.37799999999999995,17,0.235,4,46.6,27,0.442,23.7,17,28,0.429,12,0.0,0,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,65.3,Away,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,0,False,False,False,Away,True,10,21,62,31,58,4,12,45,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-19-louisiana-tech,31.6,6,2.3,1,116.7,64.7,22,0.324,68,0.27899999999999997,19,0.191,13,0.615,8,0,200,61.9,34.0,16,15,52,,7.1,6,0.294,20,0.3,6,46.9,38,0.35100000000000003,27.5,28,48,0.271,13,0.0,0,"November 12, 2019",62.2,23,18.8,9,61.9,66.0,31,0.575,73,0.507,37,0.247,18,0.778,14,0,200,116.7,35.3,12,18,98,,19.0,16,0.41100000000000003,30,0.33299999999999996,10,53.1,43,0.601,13.8,13,43,0.628,27,1.0,2,"Thomas Assembly Center, Ruston, Louisiana","Wiley
			","Wiley
			",84.4,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,1,True,False,True,Home,True,10,27,73,43,81,6,13,68,1,0,10,21,62,0.5806451612903226,31,58,0.5344827586206896,4,12,45,0.4,1.0
2,2019-11-16-18-creighton,40.0,12,3.4,1,112.3,82.9,29,0.5,68,0.441,30,0.162,11,0.364,4,1,200,98.6,32.4,12,20,72,,11.0,8,0.41200000000000003,28,0.28600000000000003,8,56.9,41,0.4920000000000001,14.1,12,40,0.55,22,0.667,2,"November 16, 2019",55.6,15,7.5,3,98.6,67.6,25,0.578,58,0.466,27,0.379,22,0.682,15,1,200,112.3,17.1,6,14,82,,9.6,7,0.5,29,0.44799999999999995,13,43.1,31,0.599,12.9,10,29,0.483,14,0.667,2,"CenturyLink Center, Omaha, Nebraska",LOUISIANA-TECH,Louisiana Tech,72.8,Home,CREIGHTON,Creighton,Louisiana Tech,cusa,2,False,False,False,Away,False,8,22,68,41,72,13,14,58,0,1,20,48,135,0.5777777777777777,74,139,0.5323741007194245,10,25,113,0.3539823008849557,1.0
3,2019-11-19-19-louisiana-tech,47.1,8,4.4,2,91.6,75.0,33,0.254,71,0.239,17,0.16899999999999998,12,0.583,7,5,200,51.8,15.7,8,22,43,,3.6,3,0.324,23,0.087,2,43.2,41,0.28,17.3,16,48,0.313,15,0.0,0,"November 19, 2019",67.9,19,6.3,3,51.8,84.3,43,0.44,67,0.418,28,0.433,29,0.586,17,1,200,91.6,25.0,11,15,76,,8.4,7,0.32799999999999996,22,0.136,3,56.8,54,0.47,12.1,11,45,0.556,25,0.75,3,"Thomas Assembly Center, Ruston, Louisiana",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,82.7,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,3,True,False,True,Home,True,3,25,67,54,95,2,15,71,1,0,28,70,203,0.5517241379310345,115,211,0.5450236966824644,23,39,171,0.4298245614035088,0.6666666666666666
4,2019-11-22-19-louisiana-tech,27.3,6,4.0,2,124.2,70.6,24,0.5529999999999999,47,0.46799999999999997,22,0.36200000000000004,17,0.529,9,4,200,92.4,26.7,8,17,61,,0.0,0,0.36200000000000004,17,0.47100000000000003,8,50.0,32,0.5539999999999999,22.7,16,30,0.467,14,0.33299999999999996,2,"November 22, 2019",38.2,13,10.0,3,92.4,73.3,22,0.536,69,0.493,34,0.145,10,0.8,8,1,200,124.2,29.4,10,17,82,,10.6,7,0.275,19,0.316,6,50.0,32,0.556,6.4,5,50,0.56,28,0.8,4,"Thomas Assembly Center, Ruston, Louisiana",NORTH-ALABAMA,North Alabama,65.9,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,4,True,False,True,Home,True,6,28,69,32,64,8,14,47,1,0,31,95,270,0.5240740740740739,169,306,0.5522875816993464,25,54,242,0.378099173553719,0.75
5,2019-11-25-20-indiana,60.7,17,5.4,2,106.0,74.3,26,0.579,57,0.491,28,0.263,15,0.6,9,2,200,90.4,3.6,1,28,75,,15.7,13,0.439,25,0.4,10,42.9,27,0.585,23.9,20,32,0.563,18,0.667,4,"November 25, 2019",48.1,13,12.5,4,90.4,96.4,27,0.536,56,0.48200000000000004,27,0.679,38,0.737,28,0,200,106.0,25.7,9,15,88,,8.4,7,0.33899999999999997,19,0.316,6,57.1,36,0.594,18.9,17,37,0.568,21,1.0,6,"Assembly Hall, Bloomington, Indiana",LOUISIANA-TECH,Louisiana Tech,82.6,Home,INDIANA,Indiana,Louisiana Tech,cusa,5,False,False,False,Away,False,10,18,57,27,63,6,21,56,0,1,37,123,339,0.5265486725663717,201,370,0.5432432432432432,33,68,289,0.40657439446366783,0.8
6,2019-11-30-21-louisiana-tech,38.1,8,0.0,0,106.8,61.0,25,0.426,54,0.389,21,0.37,20,0.55,11,5,200,78.1,31.4,11,18,57,,9.6,7,0.24100000000000002,13,0.308,4,47.4,36,0.449,25.1,21,41,0.415,17,0.444,4,"November 30, 2019",53.8,14,2.4,1,78.1,68.6,24,0.47,66,0.39399999999999996,26,0.273,18,0.889,16,2,200,106.8,39.0,16,15,78,,12.3,9,0.5,33,0.303,10,52.6,40,0.523,15.0,13,33,0.485,16,0.7140000000000001,5,"Thomas Assembly Center, Ruston, Louisiana",SAMFORD,Samford,72.5,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,6,True,False,True,Home,True,10,16,66,40,76,4,17,54,1,0,47,141,396,0.5340909090909091,228,433,0.5265588914549654,39,89,345,0.427536231884058,0.6666666666666666
7,2019-12-05-20-mississippi-state,46.2,12,3.3,1,111.7,62.1,18,0.574,54,0.48100000000000004,26,0.35200000000000004,19,0.632,12,2,200,123.3,40.0,12,15,74,,8.3,5,0.29600000000000004,16,0.625,10,50.8,30,0.5870000000000001,12.6,9,38,0.42100000000000004,16,0.75,6,"December 5, 2019",72.0,18,13.2,5,123.3,60.0,18,0.575,53,0.47200000000000003,25,0.226,12,0.5,6,2,200,111.7,37.9,11,18,67,,6.7,4,0.434,23,0.478,11,49.2,29,0.5710000000000001,18.2,13,30,0.467,14,0.75,6,"Humphrey Coliseum, Starkville, Mississippi",MISSISSIPPI-STATE,Mississippi State,60.4,Away,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,7,False,False,False,Away,True,10,16,54,30,59,11,14,53,1,0,57,157,462,0.5248917748917749,268,509,0.5265225933202358,43,106,399,0.4273182957393484,0.7142857142857143
8,2019-12-08-17-sam-houston-state,56.0,14,6.5,3,92.2,69.2,27,0.536,56,0.446,25,0.33899999999999997,19,0.42100000000000004,8,3,200,88.3,21.2,7,20,68,,5.2,4,0.41100000000000003,23,0.435,10,47.2,34,0.523,24.6,21,33,0.455,15,0.667,6,"December 8, 2019",70.8,17,18.2,6,88.3,78.8,26,0.431,65,0.369,24,0.308,20,0.75,15,4,200,92.2,30.8,12,18,71,,10.4,8,0.292,19,0.42100000000000004,8,52.8,38,0.47700000000000004,14.0,12,46,0.348,16,0.556,5,"Johnson Coliseum, Huntsville, Texas",LOUISIANA-TECH,Louisiana Tech,76.8,Home,SAM-HOUSTON-STATE,Sam Houston State,Louisiana Tech,cusa,8,False,False,False,Away,False,10,15,56,34,72,8,16,65,0,1,67,173,516,0.5300387596899225,298,568,0.5246478873239436,54,120,452,0.4446902654867257,0.75
9,2019-12-14-17-louisiana-tech,40.0,8,6.7,2,108.5,71.4,20,0.361,61,0.32799999999999996,20,0.45899999999999996,28,0.536,15,5,200,83.1,18.8,9,15,59,,12.7,9,0.344,21,0.19,4,38.2,29,0.397,8.7,7,40,0.4,16,0.5,5,"December 14, 2019",48.1,13,5.0,2,83.1,81.3,39,0.534,59,0.45799999999999996,27,0.305,18,0.778,14,3,200,108.5,28.6,8,21,77,,5.6,4,0.4920000000000001,29,0.31,9,61.8,47,0.57,14.1,11,30,0.6,18,0.7,7,"Thomas Assembly Center, Ruston, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,71.4,Home,LOUISIANA-TECH,Louisiana Tech,Louisiana Tech,cusa,9,True,False,True,Home,True,9,18,59,47,76,4,16,61,1,0,77,188,572,0.5305944055944056,332,640,0.51875,62,136,517,0.4429400386847195,0.6666666666666666
