,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MAINE_homegame,MAINE_homegame2,MAINE_home,MAINE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-maine,36.4,8,3.1,1,125.4,57.1,12,0.391,64,0.344,22,0.266,17,0.8240000000000001,14,1,200,95.5,35.9,14,22,64,,10.4,7,0.45299999999999996,29,0.207,6,43.3,26,0.444,12.3,10,35,0.457,16,0.0,0,"November 6, 2019",75.0,21,17.1,6,95.5,64.1,25,0.62,50,0.56,28,0.54,27,0.815,22,0,200,125.4,42.9,9,15,84,,6.0,4,0.36,18,0.33299999999999996,6,56.7,34,0.669,17.4,13,32,0.688,22,1.0,1,"Cross Insurance Center, Bangor, Maine",MERRIMACK,Merrimack,67.5,Home,MAINE,Maine,Maine,america-east,0,True,False,True,Home,True,6,22,50,34,60,6,16,64,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-harvard,52.9,9,2.6,1,108.1,74.1,20,0.38,50,0.34,17,0.26,13,0.615,8,1,200,74.2,25.0,8,17,46,,12.9,8,0.3,15,0.267,4,47.5,28,0.409,21.2,15,35,0.371,13,0.5,1,"November 10, 2019",42.3,11,14.3,5,74.2,75.0,24,0.5710000000000001,49,0.531,26,0.38799999999999996,19,0.579,11,1,200,108.1,25.9,7,11,67,,19.4,12,0.204,10,0.4,4,52.5,31,0.5770000000000001,14.8,10,39,0.564,22,0.667,2,"Lavietes Pavilion, Boston, Massachusetts",MAINE,Maine,62.1,Home,HARVARD,Harvard,Maine,america-east,1,False,False,False,Away,False,4,13,50,28,59,4,22,49,0,1,6,22,50,0.62,34,60,0.5666666666666667,6,16,64,0.390625,1.0
2,2019-11-16-22-portland,56.0,14,5.1,2,106.0,83.3,20,0.491,56,0.446,25,0.25,14,0.5,7,2,200,92.5,21.4,6,17,62,,9.0,6,0.304,17,0.294,5,50.0,26,0.495,15.0,11,39,0.513,20,0.33299999999999996,1,"November 16, 2019",60.7,17,5.1,2,92.5,78.6,22,0.578,51,0.5489999999999999,28,0.314,16,0.75,12,1,200,106.0,16.7,4,14,71,,9.0,6,0.235,12,0.25,3,50.0,26,0.606,15.9,11,39,0.6409999999999999,25,0.75,3,"Chiles Center, Portland, Oregon",MAINE,Maine,66.6,Home,PORTLAND,Portland,Maine,america-east,2,False,False,False,Away,False,5,20,56,26,52,3,25,51,0,1,10,35,100,0.5,62,119,0.5210084033613446,10,38,113,0.4690265486725664,0.5
3,2019-11-19-23-washington,85.7,18,4.4,2,109.1,78.4,29,0.5,51,0.41200000000000003,21,0.078,4,0.5,2,3,200,80.3,22.2,6,17,53,,3.0,2,0.529,27,0.33299999999999996,9,54.7,35,0.501,24.4,17,24,0.5,12,0.25,1,"November 19, 2019",50.0,14,16.7,4,80.3,77.8,21,0.4920000000000001,60,0.467,28,0.33299999999999996,20,0.65,13,1,200,109.1,21.6,8,8,72,25.0,16.7,11,0.25,15,0.2,3,45.3,29,0.518,8.0,6,45,0.556,25,0.75,3,"Alaska Airlines Arena, Seattle, Washington",MAINE,Maine,65.7,Home,WASHINGTON,Washington,Maine,america-east,3,False,False,False,Away,False,9,12,51,35,64,3,25,60,0,1,15,55,156,0.4967948717948718,88,171,0.5146198830409356,13,63,164,0.5030487804878049,0.3333333333333333
4,2019-11-24-15-maine,57.1,12,0.0,0,121.6,56.7,17,0.418,55,0.382,21,0.127,7,0.5710000000000001,4,0,200,67.6,2.9,1,17,50,,8.1,6,0.327,18,0.222,4,27.7,18,0.429,22.6,17,37,0.45899999999999996,17,0.0,0,"November 24, 2019",72.2,26,16.2,6,67.6,97.1,34,0.588,68,0.529,36,0.221,15,0.667,10,3,200,121.6,43.3,13,13,90,,18.9,14,0.426,29,0.276,8,72.3,47,0.599,13.9,12,39,0.718,28,0.4,2,"Portland Exposition Building, Portland, Maine","Maine Maritime
			","Maine Maritime
			",74.2,Home,MAINE,Maine,Maine,america-east,4,True,False,True,Home,True,8,28,68,47,65,4,17,55,1,0,24,67,207,0.4975845410628019,123,235,0.5234042553191489,16,88,224,0.5,0.25
5,2019-11-27-16-virginia,87.5,7,7.7,2,82.1,88.9,16,0.244,43,0.18600000000000005,8,0.11599999999999999,5,1.0,5,4,200,46.4,26.7,8,13,26,,8.9,5,0.605,26,0.192,5,50.0,24,0.287,28.5,18,17,0.17600000000000002,3,0.33299999999999996,2,"November 27, 2019",41.2,7,17.6,3,46.4,73.3,22,0.455,44,0.386,17,0.159,7,0.857,6,0,200,82.1,11.1,2,10,46,7.0,16.1,9,0.409,18,0.33299999999999996,6,50.0,24,0.486,18.9,11,26,0.423,11,1.0,7,"John Paul Jones Arena, Charlottesville, Virginia",MAINE,Maine,55.9,Home,VIRGINIA,Virginia,Maine,america-east,5,False,False,False,Away,False,5,3,43,24,48,6,11,44,0,1,32,95,275,0.52,170,300,0.5666666666666667,20,105,279,0.4838709677419355,0.4
6,2019-12-01-13-connecticut,78.6,11,23.7,9,97.0,77.8,28,0.4,40,0.35,14,0.275,11,0.727,8,5,200,60.6,23.8,5,14,40,,7.6,5,0.4,16,0.25,4,57.9,33,0.442,35.8,25,24,0.41700000000000004,10,0.28600000000000003,2,"December 1, 2019",50.0,11,8.3,2,60.6,76.2,16,0.431,58,0.379,22,0.31,18,0.778,14,2,200,97.0,22.2,8,14,64,,19.7,13,0.345,20,0.3,6,42.1,24,0.48100000000000004,10.8,8,38,0.42100000000000004,16,0.7140000000000001,5,"XL Center, Hartford, Connecticut",MAINE,Maine,65.9,Home,CONNECTICUT,UConn,Maine,america-east,6,False,False,False,Away,False,4,10,40,33,57,6,16,58,0,1,37,98,318,0.4827044025157233,194,348,0.5574712643678161,26,116,323,0.4798761609907121,0.3333333333333333
7,2019-12-04-19-northeastern,69.6,16,10.3,3,127.9,65.4,17,0.564,47,0.489,23,0.298,14,0.7140000000000001,10,6,200,103.3,32.1,9,17,63,,4.9,3,0.46799999999999997,22,0.318,7,48.1,26,0.5870000000000001,23.1,16,25,0.64,16,0.25,2,"December 4, 2019",48.1,13,4.0,1,103.3,67.9,19,0.604,53,0.509,27,0.302,16,0.875,14,4,200,127.9,34.6,9,14,78,,21.3,13,0.45299999999999996,24,0.41700000000000004,10,51.9,28,0.644,13.0,9,29,0.586,17,0.556,5,"Matthews Arena, Boston, Massachusetts",MAINE,Maine,60.6,Home,NORTHEASTERN,Northeastern,Maine,america-east,7,False,False,False,Away,False,7,16,47,26,54,10,17,53,0,1,41,108,358,0.4734636871508379,227,405,0.5604938271604938,32,132,381,0.4724409448818898,0.2857142857142857
8,2019-12-07-13-central-connecticut-state,70.8,17,7.9,3,92.8,72.7,24,0.547,53,0.45299999999999996,24,0.302,16,0.5,8,6,200,95.7,28.6,8,20,66,,7.2,5,0.547,29,0.345,10,52.5,32,0.545,20.0,15,24,0.583,14,0.33299999999999996,3,"December 7, 2019",14.3,3,16.7,4,95.7,71.4,20,0.42100000000000004,57,0.368,21,0.456,26,0.615,16,9,200,92.8,27.3,9,17,64,,8.7,6,0.33299999999999996,19,0.316,6,47.5,29,0.461,12.7,10,38,0.395,15,0.0,0,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,69.0,Away,MAINE,Maine,Maine,america-east,8,False,False,False,Away,True,10,14,53,32,61,6,15,57,1,0,48,124,405,0.4839506172839506,253,459,0.55119825708061,42,149,434,0.4884792626728111,0.25
9,2019-12-11-19-maine,44.8,13,9.7,3,73.3,73.3,22,0.623,53,0.547,29,0.34,18,0.611,11,4,200,128.3,23.1,6,15,77,,13.3,8,0.377,20,0.4,8,50.0,28,0.626,7.6,5,33,0.636,21,0.6,6,"December 11, 2019",82.4,14,6.1,2,128.3,76.9,20,0.39799999999999996,49,0.34700000000000003,17,0.204,10,0.5,5,7,200,73.3,26.7,8,16,44,,3.3,2,0.3670000000000001,18,0.278,5,50.0,28,0.409,20.8,14,31,0.387,12,0.3,3,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,60.2,Away,DARTMOUTH,Dartmouth,Maine,america-east,9,False,True,True,Home,False,5,12,49,28,56,8,21,53,0,1,58,138,458,0.4912663755458515,285,520,0.5480769230769231,48,164,491,0.4806517311608962,0.3333333333333333
