,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAN-DIEGO_homegame,SAN-DIEGO_homegame2,SAN-DIEGO_home,SAN-DIEGO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-san-diego,52.0,13,5.6,2,100.0,72.2,26,0.491,53,0.47200000000000003,25,0.509,27,0.889,24,0,200,104.1,39.1,9,22,76,,6.8,5,0.20800000000000002,11,0.182,2,59.3,35,0.5770000000000001,19.8,16,42,0.5479999999999999,23,1.0,1,"November 5, 2019",47.8,11,11.9,5,104.1,60.9,14,0.45799999999999996,59,0.39,23,0.40700000000000003,24,0.792,19,1,200,100.0,27.8,10,16,73,,11.0,8,0.39,23,0.348,8,40.7,24,0.518,15.7,13,36,0.41700000000000004,15,0.0,0,"Jenny Craig Pavillion, San Diego, California",SAN-DIEGO,San Diego,73.1,Away,CALIFORNIA-IRVINE,UC-Irvine,San Diego,wcc,0,False,True,True,Home,False,8,15,59,24,59,2,23,53,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-18-long-beach-state,38.1,8,4.3,2,92.5,75.0,24,0.444,54,0.389,21,0.37,20,0.7,14,2,200,77.5,32.4,11,19,62,,3.8,3,0.389,21,0.28600000000000003,6,53.0,35,0.488,31.6,29,33,0.455,15,0.0,0,"November 9, 2019",32.1,9,3.0,1,77.5,67.6,23,0.5,62,0.452,28,0.258,16,0.75,12,1,200,92.5,25.0,8,21,74,,12.5,10,0.258,16,0.375,6,47.0,31,0.532,19.8,17,46,0.478,22,0.5,1,"The Walter Pyramid, Long Beach, California",SAN-DIEGO,San Diego,80.1,Home,LONG-BEACH-STATE,Long Beach State,San Diego,wcc,1,False,False,False,Away,False,6,15,54,35,66,6,22,62,0,1,8,15,59,0.4576271186440678,24,59,0.4067796610169492,2,23,53,0.490566037735849,0.0
2,2019-11-12-22-san-diego,47.8,11,7.9,3,91.1,83.3,30,0.406,64,0.359,23,0.32799999999999996,21,0.667,14,2,225,83.5,29.3,12,21,66,,6.3,5,0.469,30,0.2,6,54.5,42,0.446,18.8,17,34,0.5,17,0.33299999999999996,1,"November 12, 2019",70.8,17,8.8,3,83.5,70.7,29,0.444,62,0.387,24,0.355,22,0.773,17,2,225,91.1,16.7,6,20,72,,10.1,8,0.387,24,0.292,7,45.5,35,0.4970000000000001,14.3,12,38,0.447,17,0.33299999999999996,1,"Jenny Craig Pavillion, San Diego, California",FRESNO-STATE,Fresno State,70.0,Home,SAN-DIEGO,San Diego,San Diego,wcc,2,True,False,True,Home,True,7,17,62,35,77,6,17,64,1,0,14,30,113,0.4513274336283186,59,125,0.47200000000000003,8,45,115,0.4956521739130435,0.0
3,2019-11-14-21-weber-state,46.4,13,0.0,0,81.2,72.2,26,0.5710000000000001,56,0.5,28,0.161,9,0.778,7,2,200,102.9,11.1,3,13,71,,14.5,10,0.35700000000000004,20,0.4,8,46.0,29,0.589,14.3,10,36,0.556,20,0.5,2,"November 14, 2019",25.0,6,2.8,1,102.9,88.9,24,0.41100000000000003,62,0.387,24,0.161,10,0.5,5,2,200,81.2,27.8,10,12,56,,4.3,3,0.29,18,0.16699999999999998,3,54.0,34,0.419,17.4,14,44,0.47700000000000004,21,0.0,0,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,69.0,Away,SAN-DIEGO,San Diego,San Diego,wcc,3,False,False,False,Away,True,8,20,56,29,63,3,21,62,1,0,21,47,175,0.44857142857142857,94,202,0.4653465346534654,14,62,179,0.4636871508379888,0.3333333333333333
4,2019-11-16-22-colorado,52.6,10,12.5,4,102.9,63.9,23,0.409,55,0.345,19,0.182,10,0.8,8,3,200,76.8,21.9,7,20,53,,13.0,9,0.473,26,0.26899999999999996,7,44.1,30,0.444,23.3,18,29,0.414,12,0.4,2,"November 16, 2019",56.5,13,13.8,4,76.8,78.1,25,0.509,56,0.41100000000000003,23,0.375,21,0.667,14,0,200,102.9,36.1,13,12,71,25.0,15.9,11,0.429,24,0.45799999999999996,11,55.9,38,0.5379999999999999,18.7,15,32,0.375,12,1.0,2,"Coors Events/Conference Center, Boulder, Colorado",SAN-DIEGO,San Diego,69.4,Home,COLORADO,Colorado,San Diego,wcc,4,False,False,False,Away,False,7,12,55,30,68,11,12,56,0,1,29,67,231,0.4783549783549784,123,265,0.4641509433962264,17,83,241,0.4502074688796681,0.5
5,2019-11-20-23-san-diego,50.0,14,13.8,4,71.0,80.6,25,0.5,59,0.475,28,0.18600000000000005,11,0.636,7,0,200,95.7,25.0,7,19,66,,13.0,9,0.203,12,0.25,3,54.2,32,0.514,14.7,11,47,0.532,25,1.0,4,"November 20, 2019",52.9,9,4.3,2,95.7,75.0,21,0.385,48,0.354,17,0.396,19,0.632,12,4,200,71.0,19.4,6,19,49,,5.8,4,0.396,19,0.158,3,45.8,27,0.43,25.2,19,29,0.483,14,0.33299999999999996,2,"Jenny Craig Pavillion, San Diego, California",SAN-DIEGO,San Diego,69.1,Away,SAN-DIEGO-STATE,San Diego State,San Diego,wcc,5,False,True,True,Home,False,3,14,48,27,59,3,25,59,0,1,36,79,286,0.465034965034965,153,333,0.4594594594594595,28,95,297,0.4612794612794613,0.4
6,2019-11-24-22-washington,57.7,15,5.0,2,125.7,65.2,15,0.526,58,0.44799999999999995,26,0.22399999999999998,13,0.615,8,5,200,98.6,22.6,7,19,69,,7.1,5,0.345,20,0.45,9,40.7,22,0.5379999999999999,16.9,13,38,0.447,17,0.28600000000000003,2,"November 24, 2019",60.6,20,13.2,5,98.6,77.4,24,0.64,57,0.579,33,0.42100000000000004,24,0.625,15,1,200,125.7,34.8,8,18,88,25.0,11.4,8,0.298,17,0.41200000000000003,7,59.3,32,0.643,12.9,10,40,0.65,26,0.833,5,"Alaska Airlines Arena, Seattle, Washington",SAN-DIEGO,San Diego,70.3,Home,WASHINGTON,Washington,San Diego,wcc,6,False,False,False,Away,False,9,17,58,22,54,7,26,57,0,1,39,93,334,0.4535928143712575,180,392,0.4591836734693878,31,120,356,0.4676966292134832,0.3333333333333333
7,2019-11-27-22-san-diego,31.8,7,4.5,2,108.2,75.0,24,0.402,61,0.361,22,0.39299999999999996,24,0.833,20,3,200,94.5,18.9,7,16,69,,5.5,4,0.39299999999999996,24,0.20800000000000002,5,44.9,31,0.47700000000000004,10.1,8,37,0.45899999999999996,17,0.5710000000000001,4,"November 27, 2019",46.9,15,13.5,5,94.5,81.1,30,0.53,67,0.478,32,0.209,14,0.5710000000000001,8,5,200,108.2,25.0,8,20,79,,6.8,5,0.34299999999999997,23,0.304,7,55.1,38,0.536,8.7,7,44,0.568,25,0.375,3,"Jenny Craig Pavillion, San Diego, California",HOFSTRA,Hofstra,73.0,Home,SAN-DIEGO,San Diego,San Diego,wcc,7,True,False,True,Home,True,7,25,67,38,69,5,17,61,1,0,48,110,392,0.4642857142857143,202,446,0.45291479820627795,38,146,413,0.4915254237288136,0.2857142857142857
8,2019-12-01-21-san-diego,48.1,13,20.0,6,92.4,92.9,26,0.535,57,0.474,27,0.228,13,0.6920000000000001,9,4,200,106.1,32.3,10,15,70,,10.6,7,0.316,18,0.389,7,61.0,36,0.5539999999999999,14.9,11,39,0.513,20,0.429,3,"December 1, 2019",52.2,12,2.6,1,106.1,67.7,21,0.528,53,0.434,23,0.20800000000000002,11,0.455,5,6,200,92.4,7.1,2,17,61,,4.5,3,0.434,23,0.435,10,39.0,23,0.524,17.2,12,30,0.433,13,0.33299999999999996,3,"FAU Arena, Boca Raton, Florida",SAN-DIEGO,San Diego,66.2,Away,ST-BONAVENTURE,St. Bonaventure,San Diego,wcc,8,False,True,True,Home,False,10,13,53,23,59,7,20,57,0,1,55,135,459,0.4738562091503268,240,515,0.4660194174757282,43,163,474,0.479957805907173,0.375
9,2019-12-02-17-san-diego,41.4,12,3.8,2,105.1,79.1,34,0.579,57,0.509,29,0.509,29,0.7929999999999999,23,6,200,112.7,6.7,2,25,89,,6.3,5,0.386,22,0.364,8,49.3,36,0.629,12.5,10,35,0.6,21,0.33299999999999996,3,"December 2, 2019",31.0,9,5.7,2,112.7,93.3,28,0.46299999999999997,68,0.426,29,0.382,26,0.769,20,7,200,105.1,20.9,9,22,83,,3.8,3,0.235,16,0.313,5,50.7,37,0.516,9.1,8,52,0.462,24,0.3,3,"FAU Arena, Boca Raton, Florida",SAN-DIEGO,San Diego,79.1,Away,ILLINOIS-CHICAGO,UIC,San Diego,wcc,9,False,True,True,Home,False,5,24,68,37,73,8,21,57,0,1,65,148,512,0.4794921875,263,574,0.4581881533101045,50,183,531,0.4858757062146893,0.3333333333333333
