,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VALPARAISO_homegame,VALPARAISO_homegame2,VALPARAISO_home,VALPARAISO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-16-19-charlotte,70.8,17,14.3,5,101.5,83.3,20,0.528,53,0.45299999999999996,24,0.075,4,0.25,1,5,200,86.4,26.7,8,20,57,,7.6,5,0.434,23,0.348,8,51.9,28,0.519,25.8,19,30,0.5329999999999999,16,0.545,6,"December 16, 2019",27.3,6,13.3,4,86.4,73.3,22,0.545,44,0.5,22,0.614,27,0.7040000000000001,19,4,200,101.5,16.7,4,9,67,,18.2,12,0.205,9,0.444,4,48.1,26,0.59,18.9,13,35,0.514,18,0.556,5,"Dale F. Halton Arena, Charlotte, North Carolina",VALPARAISO,Valparaiso,65.9,Home,CHARLOTTE,Charlotte,Valparaiso,mvc,10,False,False,False,Away,False,8,16,53,28,54,4,18,44,0,1,76,207,623,0.5152487961476726,317,625,0.5072,64,220,585,0.5401709401709401,0.6
11,2019-12-18-19-high-point,67.7,21,15.0,6,107.5,63.0,17,0.627,59,0.525,31,0.28800000000000003,17,0.765,13,5,200,129.9,37.9,11,13,87,,11.9,8,0.4920000000000001,29,0.414,12,50.0,28,0.649,11.9,9,30,0.633,19,0.583,7,"December 18, 2019",50.0,15,10.0,3,129.9,62.1,18,0.5670000000000001,60,0.5,30,0.11699999999999999,7,0.5710000000000001,4,9,200,107.5,37.0,10,16,72,,4.5,3,0.33299999999999996,20,0.4,8,50.0,28,0.568,20.2,16,40,0.55,22,0.182,2,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,67.2,Away,VALPARAISO,Valparaiso,Valparaiso,mvc,11,False,False,False,Away,True,12,19,59,28,56,8,22,60,1,0,84,223,676,0.5162721893491125,345,679,0.508100147275405,68,238,629,0.5405405405405406,0.5454545454545454
12,2019-12-21-20-valparaiso,66.7,14,17.0,8,82.9,80.5,33,0.5,52,0.40399999999999997,21,0.596,31,0.645,20,1,200,87.8,15.4,6,14,72,,11.0,9,0.519,27,0.37,10,48.8,39,0.54,21.5,18,25,0.44,11,0.909,10,"December 21, 2019",48.1,13,4.0,1,87.8,84.6,33,0.424,72,0.375,27,0.153,11,0.636,7,6,200,82.9,19.5,8,27,68,,11.0,9,0.34700000000000003,25,0.28,7,51.3,41,0.44,17.2,16,47,0.426,20,0.5379999999999999,7,"Verizon Arena, North Little Rock, Arkansas",VALPARAISO,Valparaiso,82.0,Away,ARKANSAS,Arkansas,Valparaiso,mvc,12,False,True,True,Home,False,7,20,72,41,80,10,11,52,0,1,96,242,735,0.5251700680272109,373,735,0.507482993197279,76,260,689,0.5428156748911466,0.5833333333333334
13,2019-12-30-20-valparaiso,71.4,15,3.2,1,90.0,81.3,26,0.47,50,0.42,21,0.6,30,0.633,19,5,200,94.3,22.9,8,12,66,,8.6,6,0.28,14,0.35700000000000004,5,50.7,34,0.514,17.1,13,36,0.444,16,0.643,9,"December 30, 2019",84.0,21,25.0,9,94.3,77.1,27,0.509,58,0.431,25,0.10300000000000001,6,0.667,4,7,200,90.0,18.8,6,23,63,,12.9,9,0.466,27,0.33299999999999996,9,49.3,33,0.518,19.8,15,31,0.516,16,0.5,7,"Athletics-Recreation Center, Valparaiso, Indiana",VALPARAISO,Valparaiso,69.6,Away,LOYOLA-IL,Loyola (IL),Valparaiso,mvc,13,False,True,True,Home,False,9,16,58,33,67,5,16,50,0,1,103,262,807,0.5161090458488228,414,815,0.5079754601226993,86,271,741,0.5398110661268556,0.5384615384615384
14,2020-01-04-19-evansville,44.8,13,3.3,1,105.3,77.4,24,0.53,66,0.439,29,0.182,12,0.917,11,7,225,108.0,15.2,5,16,81,,5.3,4,0.39399999999999996,26,0.462,12,45.3,29,0.565,12.3,10,40,0.425,17,0.5329999999999999,8,"January 4, 2020",65.4,17,7.5,3,108.0,84.8,28,0.555,55,0.473,26,0.436,24,0.75,18,6,225,105.3,22.6,7,15,79,,8.0,6,0.455,25,0.36,9,54.7,35,0.595,17.6,14,30,0.5670000000000001,17,0.6,9,"Ford Center, Evansville, Indiana",EVANSVILLE,Evansville,66.7,Away,VALPARAISO,Valparaiso,Valparaiso,mvc,14,False,False,False,Away,True,12,17,66,29,64,9,17,55,1,0,112,278,865,0.5156069364161849,447,882,0.5068027210884354,91,287,791,0.5353982300884956,0.5
15,2020-01-07-20-southern-illinois,57.9,11,6.9,2,100.0,84.0,21,0.373,59,0.322,19,0.237,14,0.429,6,8,200,79.4,33.3,14,16,50,,17.5,11,0.424,25,0.24,6,52.2,35,0.381,16.6,13,34,0.382,13,0.5,8,"January 7, 2020",68.2,15,5.9,2,79.4,66.7,28,0.578,45,0.489,22,0.33299999999999996,15,0.733,11,8,200,100.0,16.0,4,15,63,,12.7,8,0.35600000000000004,16,0.5,8,47.8,32,0.604,21.3,14,29,0.483,14,0.5,8,"The SIU Arena, Carbondale, Illinois",VALPARAISO,Valparaiso,63.4,Home,SOUTHERN-ILLINOIS,Southern Illinois,Valparaiso,mvc,15,False,False,False,Away,False,6,13,59,35,67,8,14,45,0,1,124,295,931,0.5166487647690655,476,946,0.5031712473572939,100,304,846,0.5366430260047281,0.5333333333333333
16,2020-01-11-16-valparaiso,53.6,15,15.4,4,93.0,82.4,28,0.509,57,0.491,28,0.07,4,0.75,3,5,200,85.9,25.0,7,16,61,,5.6,4,0.35100000000000003,20,0.1,2,56.5,35,0.518,22.4,17,37,0.703,26,0.706,12,"January 11, 2020",73.7,14,2.7,1,85.9,75.0,21,0.42100000000000004,57,0.33299999999999996,19,0.35100000000000003,20,0.9,18,8,200,93.0,17.6,6,12,66,,12.7,9,0.544,31,0.32299999999999995,10,43.5,27,0.496,15.4,12,26,0.34600000000000003,9,0.529,9,"Athletics-Recreation Center, Valparaiso, Indiana",DRAKE,Drake,70.7,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,16,True,False,True,Home,True,10,9,57,27,62,2,26,57,1,0,130,308,990,0.5080808080808081,511,1013,0.5044422507403751,108,318,891,0.5387205387205387,0.5
17,2020-01-15-20-northern-iowa,34.4,11,6.7,2,125.7,77.3,17,0.569,65,0.4920000000000001,32,0.092,6,0.667,4,9,200,111.4,24.1,7,16,78,,12.9,9,0.4920000000000001,32,0.313,10,47.1,24,0.575,12.9,10,33,0.667,22,0.5,9,"January 15, 2020",43.3,13,3.0,1,111.4,75.9,22,0.6920000000000001,52,0.5770000000000001,30,0.365,19,0.8420000000000001,16,2,200,125.7,22.7,5,10,88,,7.1,5,0.423,22,0.545,12,52.9,27,0.721,17.7,13,30,0.6,18,0.882,15,"McLeod Center, Cedar Falls, Iowa",VALPARAISO,Valparaiso,69.9,Home,NORTHERN-IOWA,Northern Iowa,Valparaiso,mvc,17,False,False,False,Away,False,10,22,65,24,51,12,18,52,0,1,140,317,1047,0.5033428844317096,538,1075,0.5004651162790698,110,344,948,0.5369198312236287,0.5294117647058824
18,2020-01-18-20-valparaiso,56.7,17,5.3,2,121.1,71.4,20,0.5479999999999999,63,0.47600000000000003,30,0.222,14,0.5710000000000001,8,7,200,108.5,20.0,7,18,77,,4.2,3,0.302,19,0.474,9,42.9,27,0.5529999999999999,9.2,7,44,0.47700000000000004,21,0.588,10,"January 18, 2020",50.0,15,11.4,5,108.5,80.0,28,0.5760000000000001,59,0.508,30,0.373,22,0.818,18,9,200,121.1,28.6,8,16,86,,7.0,5,0.35600000000000004,21,0.381,8,57.1,36,0.619,12.7,10,38,0.579,22,0.526,10,"Athletics-Recreation Center, Valparaiso, Indiana",INDIANA-STATE,Indiana State,70.6,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,18,True,False,True,Home,True,8,22,59,36,63,9,21,63,1,0,150,339,1112,0.5071942446043165,562,1126,0.4991119005328597,122,362,1000,0.545,0.5
19,2020-01-23-20-missouri-state,47.6,10,8.6,3,90.5,72.7,24,0.379,66,0.318,21,0.19699999999999998,13,0.769,10,10,200,81.1,22.2,10,22,60,,12.2,9,0.591,39,0.205,8,43.6,34,0.41600000000000004,13.3,11,27,0.48100000000000004,13,0.5,10,"January 23, 2020",47.6,10,7.4,2,81.1,77.8,35,0.43,57,0.368,21,0.40399999999999997,23,0.7829999999999999,18,10,200,90.5,27.3,9,14,67,,10.8,8,0.386,22,0.318,7,56.4,44,0.493,18.3,15,35,0.4,14,0.5,10,"JQH Arena, Springfield, Missouri",VALPARAISO,Valparaiso,73.6,Home,MISSOURI-STATE,Missouri State,Valparaiso,mvc,19,False,False,False,Away,False,8,13,66,34,78,7,14,57,0,1,158,361,1171,0.5106746370623398,598,1189,0.5029436501261564,131,383,1063,0.5451552210724365,0.5263157894736842
20,2020-01-26-17-valparaiso,54.2,13,3.6,1,103.1,85.2,23,0.475,60,0.4,24,0.183,11,0.727,8,12,200,100.0,25.0,8,20,65,,4.6,3,0.3670000000000001,22,0.409,9,52.5,31,0.498,11.0,8,38,0.395,15,0.429,9,"January 26, 2020",50.0,11,21.1,8,100.0,75.0,24,0.49,51,0.431,22,0.431,22,0.773,17,10,200,103.1,14.8,4,19,67,,7.7,5,0.451,23,0.261,6,47.5,28,0.545,10.3,7,28,0.5710000000000001,16,0.524,11,"Athletics-Recreation Center, Valparaiso, Indiana",EVANSVILLE,Evansville,64.8,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,20,True,False,True,Home,True,6,16,51,28,59,9,15,60,1,0,166,374,1237,0.5036378334680679,632,1267,0.4988161010260458,138,397,1120,0.5392857142857143,0.5
21,2020-01-29-19-bradley,52.0,13,12.8,5,114.3,61.9,13,0.45299999999999996,64,0.391,25,0.21899999999999997,14,0.7859999999999999,11,11,200,98.6,28.2,11,25,69,,14.3,10,0.516,33,0.242,8,40.0,24,0.488,11.4,9,31,0.5479999999999999,17,0.5,11,"January 29, 2020",63.0,17,9.7,3,98.6,71.8,28,0.588,51,0.529,27,0.49,25,0.8,20,7,200,114.3,38.1,8,18,80,,4.3,3,0.235,12,0.5,6,60.0,36,0.636,21.5,17,39,0.5379999999999999,21,0.682,15,"Carver Arena, Peoria, Illinois",VALPARAISO,Valparaiso,70.3,Home,BRADLEY,Bradley,Valparaiso,mvc,21,False,False,False,Away,False,8,17,64,24,60,6,21,51,0,1,172,390,1288,0.5031055900621118,660,1326,0.49773755656108604,147,412,1180,0.5360169491525424,0.5238095238095238
22,2020-02-01-20-valparaiso,56.5,13,9.3,4,111.1,69.7,23,0.45899999999999996,61,0.377,23,0.295,18,0.778,14,15,200,97.2,28.9,11,27,70,,6.9,5,0.45899999999999996,28,0.35700000000000004,10,47.9,34,0.503,15.9,13,33,0.39399999999999996,13,0.318,7,"February 1, 2020",48.1,13,9.1,3,97.2,71.1,27,0.517,58,0.466,27,0.517,30,0.667,20,11,200,111.1,30.3,10,19,80,,12.5,9,0.259,15,0.4,6,52.1,37,0.5539999999999999,12.3,10,43,0.488,21,0.522,12,"Athletics-Recreation Center, Valparaiso, Indiana",ILLINOIS-STATE,Illinois State,71.9,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,22,True,False,True,Home,True,6,21,58,37,71,10,13,61,1,0,180,407,1352,0.5007396449704142,684,1386,0.4935064935064935,153,433,1231,0.5381803411860276,0.5
23,2020-02-05-20-valparaiso,52.2,12,11.8,4,72.9,83.7,36,0.44299999999999995,61,0.377,23,0.213,13,0.6920000000000001,9,3,200,90.0,16.7,6,15,63,,5.7,4,0.426,26,0.308,8,53.2,42,0.469,13.0,10,35,0.429,15,0.87,20,"February 5, 2020",50.0,8,2.9,1,90.0,83.3,30,0.307,57,0.281,16,0.368,21,0.762,16,12,200,72.9,16.3,7,14,51,,10.0,7,0.40399999999999997,23,0.13,3,46.8,37,0.381,12.0,9,34,0.382,13,0.5,12,"Athletics-Recreation Center, Valparaiso, Indiana",VALPARAISO,Valparaiso,70.1,Away,NORTHERN-IOWA,Northern Iowa,Valparaiso,mvc,23,False,True,True,Home,False,3,13,57,37,79,8,15,61,0,1,186,428,1410,0.5014184397163121,721,1457,0.4948524365133837,163,446,1292,0.5344427244582043,0.5217391304347826
24,2020-02-09-16-loyola-il,66.7,18,7.1,2,111.1,71.4,20,0.613,53,0.509,27,0.094,5,0.6,3,13,200,107.9,26.9,7,18,68,,12.7,8,0.45299999999999996,24,0.45799999999999996,11,50.0,27,0.614,23.5,17,29,0.552,16,0.48,12,"February 9, 2020",74.1,20,3.4,1,107.9,73.1,19,0.6629999999999999,46,0.5870000000000001,27,0.457,21,0.429,9,9,200,111.1,28.6,8,12,70,,14.3,9,0.391,18,0.389,7,50.0,27,0.625,19.1,13,28,0.7140000000000001,20,0.64,16,"Joseph J. Gentile Center, Chicago, Illinois",VALPARAISO,Valparaiso,63.2,Home,LOYOLA-IL,Loyola (IL),Valparaiso,mvc,24,False,False,False,Away,False,11,16,53,27,54,7,20,46,0,1,189,441,1467,0.4938650306748466,758,1536,0.4934895833333333,171,461,1353,0.5303030303030303,0.5
25,2020-02-12-20-valparaiso,61.5,8,8.1,3,87.3,70.4,19,0.282,55,0.23600000000000002,13,0.218,12,0.583,7,11,200,60.3,23.1,9,14,38,,12.7,8,0.509,28,0.179,5,42.4,28,0.313,16.6,12,27,0.29600000000000004,8,0.5770000000000001,15,"February 12, 2020",72.7,16,14.8,4,60.3,76.9,30,0.48,49,0.449,22,0.22399999999999998,11,0.727,8,13,200,87.3,29.6,8,14,55,,9.5,6,0.245,12,0.25,3,57.6,38,0.507,24.0,17,37,0.514,19,0.5,13,"Athletics-Recreation Center, Valparaiso, Indiana",SOUTHERN-ILLINOIS,Southern Illinois,63.5,Home,VALPARAISO,Valparaiso,Valparaiso,mvc,25,True,False,True,Home,True,3,19,49,38,66,5,8,55,1,0,200,457,1520,0.4980263157894737,785,1590,0.4937106918238994,178,481,1399,0.5346676197283774,0.48
26,2020-02-15-19-illinois-state,34.8,8,10.5,4,92.5,71.9,23,0.5429999999999999,47,0.489,23,0.40399999999999997,19,0.737,14,13,200,97.0,16.0,4,13,65,,16.4,11,0.34,16,0.313,5,47.4,27,0.58,19.0,13,31,0.581,18,0.519,14,"February 15, 2020",41.7,10,3.2,1,97.0,84.0,21,0.483,59,0.40700000000000003,24,0.136,8,0.625,5,18,200,92.5,28.1,9,18,62,,13.4,9,0.35600000000000004,21,0.429,9,52.6,30,0.494,20.4,16,38,0.395,15,0.308,8,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,67.4,Away,VALPARAISO,Valparaiso,Valparaiso,mvc,26,False,False,False,Away,True,5,18,47,27,57,9,15,59,1,0,203,476,1569,0.4974506054811982,823,1656,0.4969806763285024,183,489,1454,0.5251031636863824,0.5
