,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MANHATTAN_homegame,MANHATTAN_homegame2,MANHATTAN_home,MANHATTAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-12-19-manhattan,59.1,13,11.5,3,103.7,73.0,27,0.5429999999999999,47,0.46799999999999997,22,0.6809999999999999,32,0.7190000000000001,23,2,200,90.2,18.5,5,28,74,,7.3,6,0.38299999999999995,18,0.389,7,50.0,32,0.595,29.0,25,29,0.517,15,0.0,0,"November 12, 2019",70.8,17,13.8,4,90.2,81.5,22,0.475,59,0.40700000000000003,24,0.627,37,0.784,29,0,200,103.7,27.0,10,25,85,,19.5,16,0.5589999999999999,33,0.242,8,50.0,32,0.555,16.6,15,26,0.615,16,1.0,1,"Draddy Gymnasium, Riverdale, New York",DELAWARE-STATE,Delaware State,81.9,Home,MANHATTAN,Manhattan,Manhattan,maac,0,True,False,True,Home,True,8,16,59,32,64,7,15,47,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-16-19-manhattan,73.3,11,14.3,5,86.4,71.4,25,0.33,53,0.28300000000000003,15,0.396,21,0.762,16,2,200,77.3,17.1,6,20,51,,4.5,3,0.45299999999999996,24,0.20800000000000002,5,44.3,31,0.405,15.0,11,29,0.345,10,0.33299999999999996,1,"November 16, 2019",50.0,10,10.3,3,77.3,82.9,29,0.418,55,0.364,20,0.345,19,0.579,11,0,200,86.4,28.6,10,22,57,,6.1,4,0.364,20,0.3,6,55.7,39,0.445,13.6,10,35,0.4,14,1.0,2,"Draddy Gymnasium, Riverdale, New York",ALBANY-NY,Albany (NY),66.0,Home,MANHATTAN,Manhattan,Manhattan,maac,1,True,False,True,Home,True,6,14,55,39,70,5,10,53,1,0,8,16,59,0.4745762711864407,32,64,0.5,7,15,47,0.5425531914893617,1.0
2,2019-11-19-19-samford,59.1,13,10.0,3,102.9,75.0,18,0.408,60,0.3670000000000001,22,0.233,14,0.5710000000000001,8,1,200,83.8,38.9,14,24,57,,13.2,9,0.35,21,0.23800000000000002,5,53.3,32,0.428,18.5,15,39,0.436,17,0.667,2,"November 19, 2019",66.7,14,10.3,4,83.8,61.1,22,0.521,47,0.447,21,0.574,27,0.778,21,3,200,102.9,25.0,6,13,70,,4.4,3,0.36200000000000004,17,0.41200000000000003,7,46.7,28,0.585,20.3,15,30,0.467,14,0.5,3,"Pete Hanna Center, Birmingham, Alabama",MANHATTAN,Manhattan,68.2,Home,SAMFORD,Samford,Manhattan,maac,2,False,False,False,Away,False,5,17,60,32,60,7,14,47,0,1,14,30,114,0.4473684210526316,71,134,0.5298507462686567,12,25,100,0.43,1.0
3,2019-11-23-16-elon,61.1,11,7.1,2,95.5,72.4,21,0.522,45,0.4,18,0.667,30,0.733,22,1,200,103.0,7.1,2,20,69,,16.4,11,0.556,25,0.44,11,40.4,23,0.5820000000000001,13.4,9,20,0.35,7,0.75,3,"November 23, 2019",52.6,10,5.0,1,103.0,92.9,26,0.5,48,0.396,19,0.479,23,0.696,16,4,200,95.5,27.6,8,22,64,,6.0,4,0.41700000000000004,20,0.5,10,59.6,34,0.5429999999999999,22.6,17,28,0.321,9,0.33299999999999996,2,"Schar Center, Elon, North Carolina",ELON,Elon,67.1,Away,MANHATTAN,Manhattan,Manhattan,maac,3,False,False,False,Away,True,11,7,45,23,57,10,9,48,1,0,19,47,174,0.4339080459770115,103,194,0.5309278350515464,19,39,147,0.4591836734693878,0.6666666666666666
4,2019-11-27-16-rhode-island,68.0,17,12.2,5,101.4,46.7,14,0.46799999999999997,63,0.397,25,0.159,10,0.5,5,2,200,88.9,32.4,12,28,64,,8.3,6,0.47600000000000003,30,0.3,9,38.8,26,0.47200000000000003,19.2,16,33,0.485,16,0.6,3,"November 27, 2019",31.8,7,9.1,3,88.9,67.6,25,0.45,50,0.44,22,0.78,39,0.718,28,2,200,101.4,53.3,16,15,73,,12.5,9,0.18,9,0.111,1,61.2,41,0.5329999999999999,22.1,19,41,0.512,21,0.7140000000000001,5,"Ryan Center, Kingston, Rhode Island",MANHATTAN,Manhattan,71.6,Home,RHODE-ISLAND,Rhode Island,Manhattan,maac,4,False,False,False,Away,False,9,16,63,26,67,1,21,50,0,1,30,54,219,0.4520547945205479,126,251,0.5019920318725101,29,48,195,0.4692307692307692,0.75
5,2019-12-02-19-stony-brook,64.7,11,9.7,3,100.0,69.0,20,0.34700000000000003,59,0.28800000000000003,17,0.16899999999999998,10,0.6,6,3,200,72.3,23.8,10,17,47,,10.8,7,0.33899999999999997,20,0.35,7,42.3,30,0.369,15.9,12,39,0.256,10,0.5,3,"December 2, 2019",45.5,10,10.3,4,72.3,76.2,32,0.5,51,0.431,22,0.41200000000000003,21,0.667,14,3,200,100.0,31.0,9,16,65,,9.2,6,0.392,20,0.35,7,57.7,41,0.5329999999999999,17.7,13,31,0.484,15,0.667,6,"Island Federal Credit Union, Stony Brook, New York",MANHATTAN,Manhattan,65.4,Home,STONY-BROOK,Stony Brook,Manhattan,maac,5,False,False,False,Away,False,7,10,59,30,71,7,15,51,0,1,39,70,282,0.4556737588652482,152,318,0.4779874213836478,30,69,245,0.4653061224489796,0.6
6,2019-12-07-14-fordham,52.6,10,5.1,2,75.7,75.6,31,0.40399999999999997,57,0.33299999999999996,19,0.24600000000000002,14,0.5710000000000001,8,3,225,77.1,28.2,11,18,54,,7.1,5,0.579,33,0.242,8,52.5,42,0.424,22.2,18,24,0.45799999999999996,11,0.5710000000000001,4,"December 7, 2019",36.8,7,16.7,4,77.1,71.8,28,0.364,59,0.322,19,0.322,19,0.526,10,3,225,75.7,24.4,10,18,53,,14.3,10,0.33899999999999997,20,0.25,5,47.5,38,0.39,15.1,12,39,0.359,14,0.625,5,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,62.5,Away,MANHATTAN,Manhattan,Manhattan,maac,6,False,False,False,Away,True,8,11,57,42,80,5,14,59,1,0,46,80,341,0.4369501466275661,182,389,0.467866323907455,37,84,296,0.4712837837837838,0.5
7,2019-12-14-19-manhattan,57.9,11,0.0,0,84.1,70.6,24,0.42200000000000004,51,0.373,19,0.608,31,0.516,16,5,200,85.5,17.6,6,20,59,,14.5,10,0.294,15,0.33299999999999996,5,44.1,30,0.449,14.5,11,36,0.389,14,0.545,6,"December 14, 2019",36.8,7,11.1,4,85.5,82.4,28,0.45899999999999996,49,0.38799999999999996,19,0.429,21,0.619,13,4,200,84.1,29.4,10,23,58,,11.6,8,0.408,20,0.35,7,55.9,38,0.4920000000000001,24.6,19,29,0.414,12,0.5,4,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,69.4,Away,WESTERN-MICHIGAN,Western Michigan,Manhattan,maac,7,False,True,True,Home,False,7,12,49,38,68,5,14,51,0,1,54,91,398,0.4321608040201005,224,469,0.4776119402985074,42,98,355,0.4535211267605634,0.5714285714285714
8,2019-12-22-12-hofstra,59.1,13,3.8,1,92.6,80.8,21,0.446,56,0.39299999999999996,22,0.08900000000000001,5,0.2,1,5,200,75.0,17.1,6,17,51,,10.3,7,0.268,15,0.4,6,44.3,27,0.4370000000000001,19.4,14,41,0.39,16,0.444,4,"December 22, 2019",59.1,13,7.3,3,75.0,82.9,29,0.5,51,0.431,22,0.275,14,0.857,12,4,200,92.6,19.2,5,11,63,,11.8,8,0.49,25,0.28,7,55.7,34,0.546,22.9,17,26,0.5770000000000001,15,0.6920000000000001,9,"Mack Sports Complex, Hempstead, New York",MANHATTAN,Manhattan,68.0,Home,HOFSTRA,Hofstra,Manhattan,maac,8,False,False,False,Away,False,6,16,56,27,61,7,15,51,0,1,61,103,447,0.4351230425055929,262,537,0.4878957169459962,47,112,406,0.4495073891625616,0.5
9,2020-01-03-19-canisius,50.0,13,9.8,4,84.8,66.7,26,0.606,47,0.5529999999999999,26,0.40399999999999997,19,0.737,14,5,200,89.9,9.1,2,18,71,,8.9,7,0.298,14,0.35700000000000004,5,45.9,28,0.634,30.2,24,33,0.636,21,0.5,5,"January 3, 2020",69.2,18,9.1,3,89.9,90.9,20,0.43799999999999994,65,0.4,26,0.27699999999999997,18,0.556,10,8,200,84.8,33.3,13,21,67,,19.0,15,0.369,24,0.20800000000000002,5,54.1,33,0.455,20.7,19,41,0.512,21,0.385,5,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,78.8,Away,MANHATTAN,Manhattan,Manhattan,maac,9,False,False,False,Away,True,5,21,47,28,61,5,21,65,1,0,67,119,503,0.4363817097415507,289,598,0.4832775919732442,54,127,457,0.4551422319474836,0.4444444444444444
