,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LIPSCOMB_homegame,LIPSCOMB_homegame2,LIPSCOMB_home,LIPSCOMB_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-lipscomb,39.1,9,7.0,4,119.5,67.6,23,0.345,74,0.311,23,0.095,7,0.5710000000000001,4,0,200,63.2,14.9,7,16,55,,2.3,2,0.257,19,0.263,5,37.0,30,0.35600000000000004,18.9,18,55,0.327,18,0.0,0,"November 5, 2019",43.9,18,10.9,6,63.2,85.1,40,0.5870000000000001,75,0.547,41,0.307,23,0.696,16,0,200,119.5,32.4,11,12,104,,6.9,6,0.24,18,0.33299999999999996,6,63.0,51,0.605,10.5,10,57,0.614,35,1.0,1,"Allen Arena, Nashville, Tennessee","Rhodes
			","Rhodes
			",86.6,Home,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,0,True,False,True,Home,True,6,35,75,51,81,5,18,74,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-lipscomb,60.9,14,12.5,4,88.6,73.7,28,0.518,57,0.40399999999999997,23,0.298,17,0.8240000000000001,14,0,200,92.4,17.6,6,18,73,,10.1,8,0.526,30,0.433,13,47.2,34,0.561,23.7,20,27,0.37,10,1.0,2,"November 9, 2019",50.0,12,22.2,6,92.4,82.4,28,0.445,64,0.375,24,0.25,16,0.813,13,1,200,88.6,26.3,10,16,70,,5.1,4,0.5,32,0.281,9,52.8,38,0.489,20.2,18,32,0.469,15,0.5,1,"Allen Arena, Nashville, Tennessee",LIPSCOMB,Lipscomb,79.3,Away,MIDDLE-TENNESSEE,Middle Tennessee,Lipscomb,atlantic-sun,1,False,True,True,Home,False,9,15,64,38,72,13,10,57,0,1,6,35,75,0.5866666666666667,51,81,0.6296296296296297,5,18,74,0.34459459459459457,1.0
2,2019-11-12-20-tennessee-state,33.3,9,2.7,1,105.3,55.6,15,0.565,54,0.5,27,0.444,24,0.708,17,2,200,104.0,14.3,4,12,78,,4.0,3,0.37,20,0.35,7,34.5,19,0.596,16.8,13,34,0.588,20,0.33299999999999996,1,"November 12, 2019",46.9,15,17.6,6,104.0,85.7,24,0.61,59,0.542,32,0.22,13,0.5379999999999999,7,1,200,105.3,44.4,12,26,79,,4.0,3,0.373,22,0.364,8,65.5,36,0.606,25.4,22,37,0.649,24,0.667,2,"Gentry Center Complex, Nashville, Tennessee",LIPSCOMB,Lipscomb,74.8,Home,TENNESSEE-STATE,Tennessee State,Lipscomb,atlantic-sun,2,False,False,False,Away,False,7,20,54,19,55,8,24,59,0,1,15,50,139,0.5215827338129496,89,153,0.5816993464052288,18,28,131,0.4198473282442748,0.5
3,2019-11-15-19-duquesne,28.6,4,7.9,3,82.9,69.2,27,0.292,48,0.292,14,0.25,12,0.667,8,3,200,51.4,12.1,4,16,36,,11.4,8,0.375,18,0.0,0,43.1,31,0.335,28.3,21,30,0.467,14,0.25,1,"November 15, 2019",54.5,12,16.7,5,51.4,87.9,29,0.375,60,0.3670000000000001,22,0.28300000000000003,17,0.765,13,0,200,82.9,30.8,12,15,58,,21.4,15,0.3670000000000001,22,0.045,1,56.9,41,0.426,16.2,13,38,0.5529999999999999,21,1.0,3,"Kerr Fitness Center, Pittsburgh, Pennsylvania",LIPSCOMB,Lipscomb,69.9,Home,DUQUESNE,Duquesne,Lipscomb,atlantic-sun,3,False,False,False,Away,False,0,14,48,31,72,1,21,60,0,1,22,70,193,0.533678756476684,108,208,0.5192307692307693,26,52,190,0.4789473684210526,0.3333333333333333
4,2019-11-20-19-lipscomb,48.1,13,9.8,4,93.1,66.7,28,0.449,69,0.391,27,0.261,18,0.611,11,1,200,101.4,31.1,14,17,73,,4.2,3,0.46399999999999997,32,0.25,8,48.3,42,0.47100000000000003,11.5,10,37,0.514,19,0.8,4,"November 20, 2019",39.1,9,2.7,1,101.4,68.9,31,0.41,61,0.377,23,0.45899999999999996,28,0.607,17,4,200,93.1,33.3,14,15,67,,6.9,5,0.32799999999999996,20,0.2,4,51.7,45,0.451,13.0,11,41,0.46299999999999997,19,0.2,1,"Allen Arena, Nashville, Tennessee",LIPSCOMB,Lipscomb,72.4,Away,BELMONT,Belmont,Lipscomb,atlantic-sun,4,False,True,True,Home,False,4,19,61,45,87,8,19,69,0,1,22,84,241,0.4854771784232365,139,280,0.4964285714285714,27,73,250,0.45399999999999996,0.25
5,2019-11-22-19-navy,57.7,15,18.8,6,98.4,60.0,21,0.585,53,0.491,26,0.132,7,0.429,3,4,200,104.8,16.7,4,15,65,,8.1,5,0.396,21,0.47600000000000003,10,42.4,25,0.5770000000000001,15.1,10,32,0.5,16,0.33299999999999996,2,"November 22, 2019",65.0,13,3.1,1,104.8,83.3,20,0.429,56,0.35700000000000004,20,0.25,14,0.929,13,3,200,98.4,40.0,14,14,61,,8.1,5,0.429,24,0.33299999999999996,8,57.6,34,0.48700000000000004,17.3,13,32,0.375,12,0.4,2,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,62.0,Away,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,5,False,False,False,Away,True,10,16,53,25,59,8,12,56,1,0,26,103,302,0.4701986754966888,184,367,0.5013623978201635,35,92,319,0.4529780564263322,0.2
6,2019-11-25-19-tennessee-tech,53.3,16,2.9,1,92.9,67.4,29,0.583,60,0.5,30,0.2,12,0.667,8,4,200,111.4,22.6,7,10,78,,7.1,5,0.433,26,0.385,10,48.6,36,0.594,13.3,10,34,0.588,20,0.429,3,"November 25, 2019",40.0,10,8.8,3,111.4,77.4,24,0.436,70,0.35700000000000004,25,0.114,8,0.5,4,6,200,92.9,32.6,14,17,65,,5.7,4,0.5,35,0.314,11,51.4,38,0.44,14.0,12,35,0.4,14,0.25,2,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,70.3,Away,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,6,False,False,False,Away,True,10,20,60,36,74,11,14,70,1,0,36,119,355,0.4873239436619719,209,426,0.4906103286384976,43,104,375,0.4493333333333333,0.3333333333333333
7,2019-11-30-12-xavier,48.0,12,0.0,0,120.8,48.8,20,0.429,63,0.397,25,0.175,11,0.727,8,5,200,86.1,40.0,14,13,62,,8.3,6,0.23800000000000002,15,0.267,4,44.7,34,0.45399999999999996,20.0,17,48,0.43799999999999994,21,0.375,3,"November 30, 2019",58.3,21,10.4,5,86.1,60.0,21,0.541,74,0.486,36,0.17600000000000002,13,0.5379999999999999,7,1,200,120.8,51.2,21,12,87,25.0,13.9,10,0.324,24,0.33299999999999996,8,55.3,42,0.5429999999999999,14.9,14,50,0.56,28,0.875,7,"Cintas Center, Cincinnati, Ohio",LIPSCOMB,Lipscomb,72.2,Home,XAVIER,Xavier,Lipscomb,atlantic-sun,7,False,False,False,Away,False,4,21,63,34,76,8,28,74,0,1,46,139,415,0.5012048192771085,245,500,0.49,54,118,445,0.4471910112359551,0.42857142857142855
8,2019-12-03-19-belmont,32.3,10,6.9,2,101.3,88.5,23,0.5,69,0.449,31,0.10099999999999999,7,0.857,6,6,200,94.9,21.6,8,18,75,,11.4,9,0.406,28,0.25,7,49.2,31,0.518,17.2,15,41,0.585,24,0.33299999999999996,3,"December 3, 2019",48.3,14,9.8,4,94.9,78.4,29,0.596,57,0.509,29,0.281,16,0.75,12,3,200,101.3,11.5,3,12,80,,8.9,7,0.491,28,0.35700000000000004,10,50.8,32,0.619,21.9,18,29,0.655,19,0.667,6,"Curb Event Center, Nashville, Tennessee",LIPSCOMB,Lipscomb,79.5,Home,BELMONT,Belmont,Lipscomb,atlantic-sun,8,False,False,False,Away,False,7,24,69,31,63,10,19,57,0,1,50,160,478,0.4916317991631799,279,576,0.484375,62,146,519,0.4605009633911368,0.375
9,2019-12-08-17-lipscomb,46.2,12,7.1,3,131.5,60.9,14,0.579,57,0.456,26,0.193,11,0.545,6,0,200,98.6,18.2,6,19,72,,2.7,2,0.456,26,0.5379999999999999,14,35.7,20,0.579,21.6,17,31,0.387,12,0.0,0,"December 8, 2019",48.6,18,16.1,5,98.6,81.8,27,0.669,62,0.597,37,0.29,18,0.722,13,6,200,131.5,39.1,9,15,96,,8.2,6,0.32299999999999995,20,0.45,9,64.3,36,0.68,14.6,12,42,0.667,28,0.4,4,"Allen Arena, Nashville, Tennessee","Trevecca Nazarene
			","Trevecca Nazarene
			",73.4,Home,LIPSCOMB,Lipscomb,Lipscomb,atlantic-sun,9,True,False,True,Home,True,9,28,62,36,56,14,12,57,1,0,57,184,547,0.4926873857404022,310,639,0.485133020344288,72,165,576,0.4739583333333333,0.3333333333333333
