,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHEAST-MISSOURI-STATE_homegame,SOUTHEAST-MISSOURI-STATE_homegame2,SOUTHEAST-MISSOURI-STATE_home,SOUTHEAST-MISSOURI-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-vanderbilt,20.0,5,7.4,2,115.3,76.7,23,0.457,58,0.431,25,0.31,18,0.667,12,1,200,90.3,33.3,12,14,65,,5.6,4,0.22399999999999998,13,0.231,3,53.0,35,0.488,19.5,16,45,0.489,22,0.0,0,"November 6, 2019",56.7,17,17.8,8,90.3,66.7,24,0.607,61,0.4920000000000001,30,0.23,14,0.643,9,0,200,115.3,23.3,7,18,83,,11.1,8,0.557,34,0.41200000000000003,14,47.0,31,0.613,15.2,12,27,0.593,16,1.0,1,"Memorial Gymnasium, Nashville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.6,Home,VANDERBILT,Vanderbilt,Southeast Missouri State,ovc,0,False,False,False,Away,False,3,22,58,35,66,14,16,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-17-southeast-missouri-state,57.7,15,0.0,0,105.3,81.3,26,0.484,64,0.406,26,0.344,22,0.727,16,2,200,104.0,33.3,13,26,78,,2.7,2,0.484,31,0.32299999999999995,10,54.9,39,0.524,16.9,15,33,0.485,16,0.33299999999999996,1,"November 10, 2019",64.0,16,0.0,0,104.0,66.7,26,0.518,56,0.446,25,0.536,30,0.7,21,1,200,105.3,18.8,6,20,79,,6.7,5,0.304,17,0.47100000000000003,8,45.1,32,0.562,12.6,10,39,0.436,17,0.5,1,"Show Me Center, Cape Girardeau, Missouri",IPFW,Purdue-Fort Wayne,75.4,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southeast Missouri State,ovc,1,True,False,True,Home,True,8,17,56,32,71,10,16,64,1,0,3,22,58,0.456896551724138,35,66,0.5303030303030303,14,16,61,0.6065573770491803,0.0
2,2019-11-19-19-southeast-missouri-state,84.6,22,0.0,0,87.3,76.9,30,0.534,59,0.441,26,0.254,15,0.733,11,3,200,93.7,19.4,6,18,74,,6.3,5,0.424,25,0.44,11,51.4,36,0.56,21.5,18,34,0.441,15,0.25,1,"November 19, 2019",33.3,9,8.8,3,93.7,80.6,25,0.46799999999999997,62,0.435,27,0.29,18,0.611,11,2,200,87.3,23.1,9,19,69,,10.1,8,0.33899999999999997,21,0.19,4,48.6,34,0.489,21.4,19,41,0.561,23,0.33299999999999996,1,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,79.3,Away,CITADEL,Citadel,Southeast Missouri State,ovc,2,False,True,True,Home,False,4,23,62,34,70,11,15,59,0,1,11,39,114,0.4868421052631579,67,137,0.489051094890511,24,32,125,0.544,0.5
3,2019-11-22-19-southeast-missouri-state,60.0,15,4.8,2,102.9,70.6,24,0.484,63,0.397,25,0.23800000000000002,15,0.667,10,0,200,101.4,18.2,6,21,71,,7.1,5,0.413,26,0.423,11,44.8,30,0.506,10.3,8,37,0.37799999999999995,14,0.0,0,"November 22, 2019",38.5,10,5.4,2,101.4,81.8,27,0.518,55,0.473,26,0.527,29,0.517,15,2,200,102.9,29.4,10,17,72,,4.3,3,0.23600000000000002,13,0.385,5,55.2,37,0.523,12.9,10,42,0.5,21,0.5,2,"Show Me Center, Cape Girardeau, Missouri","Missouri S&amp;T
			","Missouri S&amp;T
			",70.5,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southeast Missouri State,ovc,3,True,False,True,Home,True,5,21,55,37,67,11,14,63,1,0,15,62,176,0.4801136363636364,101,207,0.4879227053140097,35,47,184,0.5407608695652174,0.3333333333333333
4,2019-11-27-19-cal-state-fullerton,31.6,6,7.5,3,88.9,82.8,24,0.35600000000000004,59,0.322,19,0.322,19,0.789,15,3,200,79.2,18.4,7,22,57,,9.7,7,0.271,16,0.25,4,46.3,31,0.419,14.0,11,43,0.349,15,0.4,2,"November 27, 2019",54.5,12,16.3,7,79.2,81.6,31,0.462,52,0.423,22,0.5,26,0.615,16,3,200,88.9,17.2,5,19,64,,8.3,6,0.231,12,0.33299999999999996,4,53.7,36,0.4970000000000001,15.9,12,40,0.45,18,0.5,3,"Leavey Center, Santa Clara, California",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.7,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Southeast Missouri State,ovc,4,False,False,False,Away,False,4,15,59,31,67,4,18,52,0,1,20,83,231,0.4891774891774892,138,274,0.5036496350364964,46,61,247,0.5263157894736842,0.5
5,2019-11-29-17-santa-clara,39.1,9,8.8,3,111.5,88.5,23,0.5,50,0.46,23,0.66,33,0.758,25,4,200,96.2,3.6,1,25,75,,11.5,9,0.3,15,0.267,4,44.4,24,0.5710000000000001,17.8,14,35,0.5429999999999999,19,0.33299999999999996,2,"November 29, 2019",58.1,18,17.1,6,96.2,96.4,27,0.6609999999999999,56,0.5539999999999999,31,0.39299999999999996,22,0.591,13,1,200,111.5,11.5,3,25,87,,3.8,3,0.39299999999999996,22,0.545,12,55.6,30,0.655,17.6,14,34,0.5589999999999999,19,0.875,7,"Leavey Center, Santa Clara, California",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,78.1,Home,SANTA-CLARA,Santa Clara,Southeast Missouri State,ovc,5,False,False,False,Away,False,4,19,50,24,54,12,19,56,0,1,24,98,290,0.4620689655172414,169,341,0.4956011730205279,50,79,299,0.5150501672240803,0.4
6,2019-11-30-16-denver,48.1,13,0.0,0,75.0,65.7,23,0.61,50,0.54,27,0.16,8,0.625,5,4,200,97.1,32.0,8,20,66,,17.6,12,0.48,24,0.292,7,51.7,31,0.613,29.1,22,26,0.769,20,0.429,3,"November 30, 2019",45.0,9,3.8,1,97.1,68.0,17,0.39399999999999996,52,0.385,20,0.34600000000000003,18,0.556,10,5,200,75.0,34.3,12,16,51,,17.6,12,0.308,16,0.063,1,48.3,29,0.42100000000000004,25.0,20,36,0.528,19,0.375,3,"Leavey Center, Santa Clara, California",DENVER,Denver,68.2,Away,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southeast Missouri State,ovc,6,False,False,False,Away,True,7,20,50,31,60,1,19,52,1,0,28,117,340,0.4676470588235294,193,395,0.4886075949367089,62,98,355,0.5380281690140845,0.3333333333333333
7,2019-12-05-20-abilene-christian,31.6,6,8.1,3,98.6,76.7,23,0.37,54,0.35200000000000004,19,0.519,28,0.857,24,5,200,86.5,20.0,7,19,64,,9.5,7,0.24100000000000002,13,0.154,2,46.2,30,0.475,16.4,13,41,0.415,17,0.375,3,"December 5, 2019",47.8,11,4.9,2,86.5,80.0,28,0.455,56,0.41100000000000003,23,0.48200000000000004,27,0.815,22,5,200,98.6,23.3,7,20,73,,10.8,8,0.33899999999999997,19,0.263,5,53.8,35,0.53,16.1,13,37,0.486,18,0.375,3,"Moody Coliseum , Abilene, Texas",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,74.1,Home,ABILENE-CHRISTIAN,Abilene Christian,Southeast Missouri State,ovc,7,False,False,False,Away,False,2,17,54,30,65,5,18,56,0,1,35,137,390,0.4858974358974359,224,455,0.4923076923076923,63,117,407,0.5196560196560197,0.42857142857142855
8,2019-12-07-18-drake,48.0,12,3.6,1,108.3,87.9,29,0.6,50,0.5,25,0.46,23,0.565,13,6,200,101.4,20.7,6,22,73,,9.7,7,0.38,19,0.526,10,56.5,35,0.599,21.0,16,31,0.484,15,0.33299999999999996,3,"December 7, 2019",37.5,9,16.1,5,101.4,79.3,23,0.529,51,0.47100000000000003,24,0.667,34,0.706,24,2,200,108.3,12.1,4,19,78,,12.5,9,0.451,23,0.261,6,43.5,27,0.581,13.2,10,28,0.643,18,0.8,8,"Knapp Center, Des Moines, Iowa",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,72.0,Home,DRAKE,Drake,Southeast Missouri State,ovc,8,False,False,False,Away,False,10,15,50,35,62,6,18,51,0,1,37,154,444,0.4718468468468469,254,520,0.4884615384615385,68,135,463,0.5118790496760259,0.375
9,2019-12-15-20-youngstown-state,60.0,12,0.0,0,95.6,75.0,21,0.39799999999999996,59,0.33899999999999997,20,0.237,14,0.214,3,7,200,73.5,22.0,9,17,50,,8.8,6,0.322,19,0.368,7,43.5,30,0.381,16.6,13,40,0.325,13,0.3,3,"December 15, 2019",53.8,14,10.0,4,73.5,78.0,32,0.5589999999999999,51,0.51,26,0.294,15,0.5329999999999999,8,5,200,95.6,25.0,7,16,65,,8.8,6,0.353,18,0.278,5,56.5,39,0.5589999999999999,21.7,16,33,0.636,21,0.545,6,"Beeghly Center, Youngstown, Ohio",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,68.4,Home,YOUNGSTOWN-STATE,Youngstown State,Southeast Missouri State,ovc,9,False,False,False,Away,False,7,13,59,30,69,5,21,51,0,1,47,169,494,0.4848178137651822,289,582,0.4965635738831615,74,153,514,0.5136186770428015,0.3333333333333333
