,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOUISIANA-MONROE_homegame,LOUISIANA-MONROE_homegame2,LOUISIANA-MONROE_home,LOUISIANA-MONROE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-louisiana-monroe,28.6,4,2.3,1,92.8,50.0,17,0.33,53,0.264,14,0.18899999999999997,10,0.6,6,0,200,59.4,7.7,3,18,41,,8.7,6,0.509,27,0.259,7,27.4,20,0.355,19.6,14,26,0.26899999999999996,7,0.0,0,"November 5, 2019",24.0,6,23.1,6,59.4,92.3,36,0.429,63,0.397,25,0.23800000000000002,15,0.667,10,0,200,92.8,50.0,17,16,64,,8.7,6,0.302,19,0.21100000000000002,4,72.6,53,0.456,18.7,16,44,0.47700000000000004,21,1.0,1,"Fant-Ewing Coliseum, Monroe, Louisiana","Louisiana College
			","Louisiana College
			",68.9,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,0,True,False,True,Home,True,4,21,63,53,73,7,7,53,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-12-louisiana-monroe,39.3,11,2.4,1,97.3,80.8,21,0.445,73,0.384,28,0.11,8,0.875,7,2,225,96.0,29.3,12,21,72,,10.7,8,0.315,23,0.391,9,49.3,33,0.469,13.6,12,50,0.38,19,0.0,0,"November 9, 2019",42.9,12,6.0,3,96.0,70.7,29,0.5579999999999999,52,0.5379999999999999,28,0.48100000000000004,25,0.6,15,0,225,97.3,19.2,5,12,73,,6.7,5,0.212,11,0.182,2,50.7,34,0.5710000000000001,18.2,14,41,0.634,26,1.0,2,"Fant-Ewing Coliseum, Monroe, Louisiana",ALCORN-STATE,Alcorn State,66.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,1,True,False,True,Home,True,2,26,52,34,67,9,19,73,1,0,4,21,63,0.42857142857142855,53,73,0.726027397260274,7,7,53,0.330188679245283,1.0
2,2019-11-11-20-texas-am,52.2,12,16.7,7,92.6,70.6,24,0.491,55,0.418,23,0.091,5,0.6,3,1,200,83.8,30.0,9,17,57,,13.2,9,0.509,28,0.28600000000000003,8,51.6,33,0.4970000000000001,25.9,20,27,0.556,15,0.667,2,"November 11, 2019",39.1,9,14.8,4,83.8,70.0,21,0.47200000000000003,54,0.426,23,0.389,21,0.5710000000000001,12,0,200,92.6,29.4,10,7,63,,11.8,8,0.222,12,0.41700000000000004,5,48.4,31,0.4920000000000001,17.1,13,42,0.429,18,1.0,2,"Reed Arena, College Station, Texas",LOUISIANA-MONROE,Louisiana-Monroe,67.7,Home,TEXAS-AM,Texas A&M,Louisiana-Monroe,sun-belt,2,False,False,False,Away,False,8,15,55,33,64,5,18,54,0,1,6,47,115,0.4869565217391305,87,140,0.6214285714285714,16,26,126,0.3968253968253968,1.0
3,2019-11-14-19-mississippi-state,50.0,9,5.4,2,96.9,64.5,20,0.402,51,0.353,18,0.235,12,0.33299999999999996,4,2,200,70.3,30.6,11,23,45,,6.3,4,0.314,16,0.313,5,46.3,31,0.397,23.2,17,35,0.371,13,0.5,2,"November 14, 2019",55.0,11,11.4,4,70.3,69.4,25,0.439,49,0.408,20,0.612,30,0.633,19,0,200,96.9,35.5,11,18,62,,10.9,7,0.245,12,0.25,3,53.7,36,0.49,17.3,13,37,0.45899999999999996,17,1.0,3,"Humphrey Coliseum, Starkville, Mississippi",LOUISIANA-MONROE,Louisiana-Monroe,64.0,Home,MISSISSIPPI-STATE,Mississippi State,Louisiana-Monroe,sun-belt,3,False,False,False,Away,False,5,13,51,31,67,3,17,49,0,1,14,62,170,0.4882352941176471,120,204,0.5882352941176471,21,44,180,0.4194444444444445,0.6666666666666666
4,2019-11-26-20-louisiana-monroe,48.0,12,10.8,4,111.6,78.1,25,0.429,63,0.397,25,0.349,22,0.682,15,4,200,100.0,33.3,13,18,69,,4.3,3,0.317,20,0.2,4,53.5,38,0.47,8.8,7,43,0.488,21,0.33299999999999996,2,"November 26, 2019",64.0,16,14.0,6,100.0,66.7,26,0.484,61,0.41,25,0.361,22,0.818,18,2,200,111.6,21.9,7,20,77,,7.2,5,0.39299999999999996,24,0.375,9,46.5,33,0.539,9.0,7,37,0.4320000000000001,16,0.6,3,"Fant-Ewing Coliseum, Monroe, Louisiana",NORTHWESTERN-STATE,Northwestern State,69.5,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,4,True,False,True,Home,True,9,16,61,33,71,4,21,63,1,0,19,75,221,0.4683257918552036,151,271,0.5571955719557196,24,61,229,0.4235807860262009,0.5
5,2019-12-04-20-louisiana-monroe,45.5,10,5.1,2,119.4,66.7,22,0.47200000000000003,54,0.40700000000000003,22,0.35200000000000004,19,0.632,12,0,200,87.5,27.6,8,22,63,,4.2,3,0.389,21,0.33299999999999996,7,48.4,30,0.5,21.4,17,33,0.455,15,0.0,0,"December 4, 2019",39.3,11,9.1,3,87.5,72.4,21,0.5329999999999999,60,0.467,28,0.483,29,0.759,22,2,200,119.4,33.3,11,17,86,,11.1,8,0.35,21,0.381,8,51.6,32,0.583,12.1,10,39,0.513,20,0.667,4,"Fant-Ewing Coliseum, Monroe, Louisiana","Millsaps
			","Millsaps
			",72.4,Home,LOUISIANA-MONROE,Louisiana-Monroe,Louisiana-Monroe,sun-belt,5,True,False,True,Home,True,8,20,60,32,62,7,15,54,1,0,28,91,282,0.4716312056737589,184,342,0.5380116959064327,28,82,292,0.4246575342465753,0.6
6,2019-12-10-20-louisiana-monroe,24.1,7,3.1,1,92.4,76.9,20,0.469,65,0.446,29,0.092,6,0.833,5,5,200,100.0,34.4,11,15,66,,12.1,8,0.2,13,0.231,3,53.4,31,0.486,11.7,9,52,0.5,26,0.5,5,"December 10, 2019",55.0,11,3.8,2,100.0,65.6,21,0.511,47,0.426,20,0.38299999999999995,18,0.722,13,3,200,92.4,23.1,6,12,61,,6.1,4,0.319,15,0.5329999999999999,8,46.6,27,0.5489999999999999,22.6,16,32,0.375,12,0.5710000000000001,4,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,65.7,Away,GRAMBLING,Grambling,Louisiana-Monroe,sun-belt,6,False,True,True,Home,False,8,12,47,27,58,3,26,65,0,1,36,111,342,0.4824561403508772,216,404,0.5346534653465347,35,97,346,0.4320809248554913,0.6666666666666666
7,2019-12-14-21-stephen-f-austin,44.4,8,4.2,1,108.2,65.6,21,0.561,41,0.439,18,0.439,18,0.722,13,4,200,96.7,17.4,4,17,59,,9.8,6,0.46299999999999997,19,0.526,10,45.5,25,0.595,25.8,17,22,0.364,8,0.5,4,"December 14, 2019",68.2,15,4.5,1,96.7,82.6,19,0.491,53,0.415,22,0.358,19,0.737,14,2,200,108.2,34.4,11,16,66,,8.2,5,0.547,29,0.276,8,54.5,30,0.532,12.8,9,24,0.583,14,0.8,8,"William Johnson Coliseum, Nacogdoches, Texas",LOUISIANA-MONROE,Louisiana-Monroe,61.3,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Louisiana-Monroe,sun-belt,7,False,False,False,Away,False,10,8,41,25,55,8,14,53,0,1,44,123,389,0.4858611825192802,243,462,0.525974025974026,38,123,411,0.4379562043795621,0.5714285714285714
8,2019-12-19-20-louisiana-monroe,69.6,16,5.6,2,102.9,79.2,19,0.617,47,0.489,23,0.489,23,0.652,15,5,200,104.3,12.0,3,22,73,,11.4,8,0.511,24,0.5,12,44.9,22,0.63,20.8,15,23,0.478,11,0.583,7,"December 19, 2019",57.7,15,0.0,0,104.3,88.0,22,0.615,48,0.542,26,0.45799999999999996,22,0.591,13,5,200,102.9,20.8,5,21,72,,5.7,4,0.25,12,0.583,7,55.1,27,0.616,22.8,17,36,0.528,19,0.444,4,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,70.2,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Louisiana-Monroe,sun-belt,8,False,True,True,Home,False,7,19,48,27,49,12,11,47,0,1,54,131,430,0.4930232558139535,268,517,0.5183752417794971,46,137,464,0.44396551724137934,0.5
9,2019-12-21-15-louisiana-monroe,43.5,10,8.6,3,93.7,80.0,20,0.48100000000000004,52,0.442,23,0.28800000000000003,15,0.8,12,3,200,98.4,29.0,9,19,62,,12.7,8,0.25,13,0.308,4,51.8,29,0.524,15.8,11,39,0.48700000000000004,19,0.75,9,"December 21, 2019",57.1,12,10.3,4,98.4,71.0,22,0.489,45,0.467,21,0.467,21,0.7140000000000001,15,6,200,93.7,20.0,5,14,59,,7.9,5,0.222,10,0.2,2,48.2,27,0.537,21.7,15,35,0.5429999999999999,19,0.4,4,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,63.1,Away,ARKANSAS-STATE,Arkansas State,Louisiana-Monroe,sun-belt,9,False,True,True,Home,False,2,19,45,27,56,4,19,52,0,1,61,150,478,0.5052301255230126,295,566,0.5212014134275619,58,148,511,0.4598825831702544,0.4444444444444444
