,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA-STATE_homegame,SOUTH-CAROLINA-STATE_homegame2,SOUTH-CAROLINA-STATE_home,SOUTH-CAROLINA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-memphis,42.9,9,2.2,1,124.4,55.6,15,0.431,58,0.36200000000000004,21,0.31,18,0.778,14,1,200,82.1,14.3,5,20,64,,2.6,2,0.431,25,0.32,8,32.3,20,0.48100000000000004,21.4,18,33,0.39399999999999996,13,0.0,0,"November 5, 2019",58.3,21,30.3,10,82.1,85.7,30,0.591,66,0.545,36,0.318,21,0.905,19,0,200,124.4,44.4,12,21,97,14.0,10.3,8,0.303,20,0.3,6,67.7,42,0.638,14.7,13,46,0.652,30,1.0,1,"FedExForum, Memphis, Tennessee",SOUTH-CAROLINA-STATE,South Carolina State,78.3,Home,MEMPHIS,Memphis,South Carolina State,meac,0,False,False,False,Away,False,8,13,58,20,62,6,30,66,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-south-carolina-state,12.0,3,0.0,0,111.3,77.3,17,0.442,69,0.36200000000000004,25,0.07200000000000001,5,0.6,3,0,200,90.1,18.4,7,17,64,,0.0,0,0.46399999999999997,32,0.344,11,40.0,24,0.44799999999999995,9.0,7,37,0.37799999999999995,14,0.0,0,"November 8, 2019",7.4,2,0.0,0,90.1,81.6,31,0.5870000000000001,52,0.519,27,0.442,23,0.7829999999999999,18,1,200,111.3,22.7,5,7,79,,0.0,0,0.26899999999999996,14,0.5,7,60.0,36,0.628,16.2,12,38,0.526,20,0.5,1,"SHM Memorial Center, Orangeburg, South Carolina","Bob Jones University
			","Bob Jones University
			",70.7,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,1,True,False,True,Home,True,7,20,52,36,60,11,14,69,1,0,8,13,58,0.4310344827586207,20,62,0.3225806451612903,6,30,66,0.5909090909090909,0.0
2,2019-11-12-19-liberty,28.6,4,0.0,0,103.2,63.9,23,0.317,52,0.26899999999999996,14,0.135,7,0.857,6,2,200,61.9,11.8,4,10,39,,14.3,9,0.327,17,0.294,5,38.6,27,0.35200000000000004,19.1,13,35,0.257,9,0.33299999999999996,1,"November 12, 2019",51.9,14,8.6,3,61.9,88.2,30,0.516,61,0.44299999999999995,27,0.098,6,0.33299999999999996,2,0,200,103.2,36.1,13,10,65,,11.1,7,0.361,22,0.409,9,61.4,43,0.509,14.7,11,39,0.462,18,1.0,3,"Vines Center, Lynchburg, Virginia",SOUTH-CAROLINA-STATE,South Carolina State,63.1,Home,LIBERTY,Liberty,South Carolina State,meac,2,False,False,False,Away,False,5,9,52,27,70,9,18,61,0,1,15,33,110,0.5045454545454545,56,122,0.459016393442623,17,44,135,0.5148148148148148,0.5
3,2019-11-18-19-south-carolina-state,35.5,11,2.9,1,130.4,72.7,16,0.56,67,0.46299999999999997,31,0.134,9,0.444,4,0,200,100.0,18.8,6,15,79,,12.7,10,0.373,25,0.52,13,40.7,22,0.5539999999999999,17.4,15,42,0.429,18,0.0,0,"November 18, 2019",51.4,19,2.4,1,100.0,81.3,26,0.754,57,0.649,37,0.368,21,0.81,17,2,200,130.4,27.3,6,10,103,,10.1,8,0.40399999999999997,23,0.522,12,59.3,32,0.769,19.5,16,34,0.735,25,0.5,2,"SHM Memorial Center, Orangeburg, South Carolina","Wilberforce
			","Wilberforce
			",78.6,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,3,True,False,True,Home,True,12,25,57,32,54,13,18,67,1,0,20,42,162,0.4444444444444444,83,192,0.4322916666666667,26,62,196,0.5153061224489796,0.3333333333333333
4,2019-11-22-21-vanderbilt,36.8,7,3.0,1,138.6,60.7,17,0.446,46,0.413,19,0.522,24,0.792,19,3,200,85.7,6.7,2,18,60,,5.7,4,0.304,14,0.214,3,32.8,19,0.523,19.8,14,32,0.5,16,0.4,2,"November 22, 2019",54.3,19,6.3,2,85.7,93.3,28,0.7070000000000001,58,0.603,35,0.483,28,0.536,15,1,200,138.6,39.3,11,18,97,,12.9,9,0.431,25,0.48,12,67.2,39,0.68,13.5,11,33,0.6970000000000001,23,0.8,4,"Memorial Gymnasium, Nashville, Tennessee",SOUTH-CAROLINA-STATE,South Carolina State,70.4,Home,VANDERBILT,Vanderbilt,South Carolina State,meac,4,False,False,False,Away,False,3,16,46,19,58,12,23,58,0,1,32,67,219,0.5251141552511416,115,246,0.467479674796748,39,80,263,0.5266159695817489,0.5
5,2019-11-25-20-austin-peay,37.5,9,0.0,0,133.3,48.0,12,0.447,57,0.42100000000000004,24,0.281,16,0.938,15,4,200,95.7,33.3,9,24,66,,10.1,7,0.193,11,0.273,3,40.4,21,0.511,16.9,13,46,0.457,21,0.33299999999999996,2,"November 25, 2019",53.3,16,23.9,11,95.7,66.7,18,0.616,56,0.536,30,0.536,30,0.767,23,3,200,133.3,52.0,13,17,92,,10.1,7,0.375,21,0.429,9,59.6,31,0.655,15.8,13,35,0.6,21,0.5,3,"Winfield Dunn Center, Clarksville, Tennessee",SOUTH-CAROLINA-STATE,South Carolina State,69.4,Home,AUSTIN-PEAY,Austin Peay,South Carolina State,meac,5,False,False,False,Away,False,3,21,57,21,52,9,21,56,0,1,35,83,265,0.5113207547169811,134,304,0.4407894736842105,51,103,321,0.559190031152648,0.4
6,2019-11-27-14-tulsa,66.7,12,3.4,1,130.0,72.0,18,0.38,54,0.33299999999999996,18,0.14800000000000002,8,0.75,6,5,200,78.3,32.4,11,12,47,,6.7,4,0.389,21,0.23800000000000002,5,49.2,29,0.40700000000000003,17.3,12,33,0.39399999999999996,13,0.28600000000000003,2,"November 27, 2019",71.4,20,6.1,2,78.3,67.6,23,0.618,55,0.509,28,0.218,12,0.833,10,1,200,130.0,28.0,7,10,78,,13.3,8,0.473,26,0.462,12,50.8,30,0.643,11.7,8,29,0.552,16,0.833,5,"Donald W. Reynolds Center, Tulsa, Oklahoma",SOUTH-CAROLINA-STATE,South Carolina State,60.3,Home,TULSA,Tulsa,South Carolina State,meac,6,False,False,False,Away,False,5,13,54,29,59,12,16,55,0,1,38,104,322,0.5,155,356,0.4353932584269663,60,124,377,0.5676392572944297,0.3333333333333333
7,2019-12-07-14-south-carolina-state,33.3,8,2.2,1,112.7,71.8,28,0.455,56,0.429,24,0.39299999999999996,22,0.773,17,7,200,95.8,29.4,10,21,68,,5.6,4,0.28600000000000003,16,0.188,3,52.1,38,0.512,18.6,15,40,0.525,21,0.222,2,"December 7, 2019",71.4,20,5.0,2,95.8,70.6,24,0.4920000000000001,63,0.444,28,0.381,24,0.75,18,5,200,112.7,28.2,11,17,80,,12.7,9,0.28600000000000003,18,0.33299999999999996,6,47.9,35,0.5379999999999999,9.8,8,45,0.489,22,0.375,3,"SHM Memorial Center, Orangeburg, South Carolina",PRESBYTERIAN,Presbyterian,71.4,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,7,True,False,True,Home,True,6,22,63,35,73,3,21,56,1,0,43,117,376,0.4827127659574468,184,415,0.4433734939759036,72,140,432,0.5740740740740741,0.2857142857142857
8,2019-12-11-19-south-carolina-state,22.6,7,0.0,0,104.7,77.8,21,0.507,68,0.456,31,0.382,26,0.615,16,4,225,98.8,21.6,8,29,85,,7.0,6,0.426,29,0.24100000000000002,7,45.3,29,0.529,13.1,12,39,0.615,24,0.5,4,"December 11, 2019",31.0,9,7.7,3,98.8,78.4,29,0.527,56,0.518,29,0.679,38,0.816,31,5,225,104.7,22.2,6,22,90,,1.2,1,0.125,7,0.14300000000000002,1,54.7,35,0.608,20.7,19,49,0.5710000000000001,28,0.444,4,"SHM Memorial Center, Orangeburg, South Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,76.2,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,8,True,False,True,Home,True,1,28,56,35,64,7,24,68,1,0,49,139,439,0.4840546697038725,219,488,0.4487704918032787,75,161,488,0.5604508196721312,0.375
9,2019-12-18-19-south-carolina-state,40.0,10,3.3,1,106.1,72.0,18,0.537,54,0.46299999999999997,25,0.389,21,0.7140000000000001,15,8,200,110.6,20.7,6,22,73,,4.5,3,0.37,20,0.4,8,44.4,24,0.5710000000000001,12.5,9,34,0.5,17,0.273,3,"December 18, 2019",42.9,9,5.9,2,110.6,79.3,23,0.479,48,0.43799999999999994,21,0.583,28,0.857,24,6,200,106.1,28.0,7,18,70,,3.0,2,0.375,18,0.222,4,55.6,30,0.5710000000000001,15.4,11,30,0.5670000000000001,17,0.4,4,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,66.1,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina State,meac,9,False,True,True,Home,False,4,17,48,30,54,8,17,54,0,1,50,167,495,0.4888888888888889,254,552,0.4601449275362319,82,185,556,0.5539568345323741,0.4444444444444444
