,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,JAMES-MADISON_homegame,JAMES-MADISON_homegame2,JAMES-MADISON_home,JAMES-MADISON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-james-madison,50.0,14,0.0,0,103.9,78.9,30,0.47100000000000003,69,0.406,28,0.188,13,0.6920000000000001,9,1,200,97.4,23.1,9,23,74,,3.9,3,0.478,33,0.273,9,50.6,39,0.4920000000000001,12.8,11,36,0.528,19,0.0,0,"November 6, 2019",44.8,13,11.1,4,97.4,76.9,30,0.568,59,0.4920000000000001,29,0.475,28,0.429,12,0,200,103.9,21.1,8,20,79,,5.3,4,0.441,26,0.34600000000000003,9,49.4,38,0.546,13.4,11,33,0.606,20,1.0,1,"JMU Convocation Center, Harrisonburg, Virginia",CHARLOTTE,Charlotte,76.2,Home,JAMES-MADISON,James Madison,James Madison,colonial,0,True,False,True,Home,True,9,20,59,38,77,9,19,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-18-virginia,50.0,6,2.3,1,92.9,69.0,29,0.302,53,0.226,12,0.113,6,0.33299999999999996,2,1,200,48.6,15.0,6,11,34,,4.3,3,0.585,31,0.258,8,42.7,35,0.304,25.5,19,22,0.182,4,0.5,1,"November 10, 2019",42.3,11,27.3,6,48.6,85.0,34,0.41200000000000003,68,0.382,26,0.20600000000000002,14,0.643,9,0,200,92.9,31.0,13,10,65,11.0,11.4,8,0.368,25,0.16,4,57.3,47,0.435,11.9,10,43,0.512,22,1.0,2,"John Paul Jones Arena, Charlottesville, Virginia",JAMES-MADISON,James Madison,70.3,Home,VIRGINIA,Virginia,James Madison,colonial,1,False,False,False,Away,False,8,4,53,35,82,4,22,68,0,1,9,20,59,0.5677966101694916,38,77,0.4935064935064935,9,19,69,0.4710144927536232,1.0
2,2019-11-13-16-james-madison,47.4,9,4.0,2,109.1,59.5,25,0.27899999999999997,77,0.247,19,0.11699999999999999,9,0.556,5,0,200,54.5,20.0,11,17,48,,8.0,7,0.40299999999999997,31,0.161,5,37.1,36,0.295,19.8,20,46,0.304,14,0.0,0,"November 13, 2019",52.6,20,23.9,11,54.5,80.0,44,0.525,80,0.475,38,0.213,17,0.706,12,1,200,109.1,40.5,17,17,96,,17.0,15,0.375,30,0.267,8,62.9,61,0.545,14.6,15,50,0.6,30,0.667,2,"JMU Convocation Center, Harrisonburg, Virginia","Shenandoah
			","Shenandoah
			",88.2,Home,JAMES-MADISON,James Madison,James Madison,colonial,2,True,False,True,Home,True,8,30,80,61,97,5,14,77,1,0,17,24,112,0.4419642857142857,73,159,0.4591194968553459,13,41,137,0.4416058394160584,0.5
3,2019-11-16-19-george-mason,58.3,14,4.4,2,107.8,69.0,29,0.382,72,0.33299999999999996,24,0.25,18,0.833,15,2,200,90.9,28.3,13,18,70,,9.1,7,0.444,32,0.21899999999999997,7,47.7,42,0.435,13.1,12,40,0.425,17,0.5,2,"November 16, 2019",43.8,14,25.0,10,90.9,71.7,33,0.493,73,0.43799999999999994,32,0.192,14,0.7859999999999999,11,0,200,107.8,31.0,13,16,83,,6.5,5,0.384,28,0.28600000000000003,8,52.3,46,0.521,9.2,8,45,0.5329999999999999,24,1.0,4,"EagleBank Arena, Fairfax, Virginia",JAMES-MADISON,James Madison,77.1,Home,GEORGE-MASON,George Mason,James Madison,colonial,3,False,False,False,Away,False,7,17,72,42,88,8,24,73,0,1,25,54,192,0.4765625,134,256,0.5234375,18,55,214,0.3831775700934579,0.6666666666666666
4,2019-11-20-19-old-dominion,75.0,18,7.1,4,98.7,71.7,33,0.61,50,0.48,24,0.72,36,0.528,19,2,200,101.3,16.1,5,15,80,,6.3,5,0.48,24,0.542,13,49.4,38,0.596,19.6,16,26,0.423,11,0.6,3,"November 20, 2019",34.4,11,11.5,3,101.3,83.9,26,0.455,78,0.41,32,0.192,15,0.467,7,2,200,98.7,28.3,13,23,78,,7.6,6,0.282,22,0.318,7,50.6,39,0.45799999999999996,8.6,8,56,0.446,25,0.6,3,"Ted Constant Convocation Ctr., Norfolk, Virginia",OLD-DOMINION,Old Dominion,79.1,Away,JAMES-MADISON,James Madison,James Madison,colonial,4,False,False,False,Away,True,13,11,50,38,77,7,25,78,1,0,32,71,264,0.4507575757575758,176,344,0.5116279069767442,26,79,287,0.4111498257839721,0.5
5,2019-11-23-14-james-madison,34.5,10,6.3,2,94.0,89.2,33,0.425,80,0.363,29,0.08800000000000001,7,0.429,3,3,200,85.5,20.0,10,20,71,,2.4,2,0.43799999999999994,35,0.28600000000000003,10,49.4,43,0.426,9.8,9,45,0.42200000000000004,19,0.5,3,"November 23, 2019",41.7,10,6.7,3,85.5,80.0,40,0.467,61,0.39299999999999996,24,0.45899999999999996,28,0.75,21,2,200,94.0,10.8,4,18,78,,6.0,5,0.475,29,0.31,9,50.6,44,0.525,16.0,14,32,0.469,15,0.667,4,"JMU Convocation Center, Harrisonburg, Virginia",NEW-HAMPSHIRE,New Hampshire,83.3,Home,JAMES-MADISON,James Madison,James Madison,colonial,5,True,False,True,Home,True,9,15,61,44,87,10,19,80,1,0,45,82,314,0.4761146496815287,214,421,0.5083135391923991,33,104,365,0.42054794520547945,0.6
6,2019-11-26-19-james-madison,43.2,16,6.9,2,91.8,78.3,36,0.537,81,0.457,37,0.21,17,0.41200000000000003,7,5,200,110.6,27.7,13,22,94,,12.9,11,0.42,34,0.382,13,52.7,49,0.528,8.3,8,47,0.511,24,0.375,3,"November 26, 2019",66.7,16,10.6,5,110.6,72.3,34,0.439,66,0.364,24,0.409,27,0.741,20,3,200,91.8,21.7,10,16,78,,3.5,3,0.561,37,0.27,10,47.3,44,0.495,17.9,17,29,0.483,14,0.5710000000000001,4,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,85.0,Away,COPPIN-STATE,Coppin State,James Madison,colonial,6,False,True,True,Home,False,10,14,66,44,93,13,24,81,0,1,54,97,375,0.4746666666666667,258,508,0.5078740157480315,43,123,445,0.4213483146067416,0.6666666666666666
7,2019-11-30-16-james-madison,60.0,18,7.7,2,132.0,78.3,18,0.5529999999999999,66,0.455,30,0.273,18,0.889,16,6,200,118.7,15.6,5,23,89,,6.7,5,0.409,27,0.48100000000000004,13,41.8,23,0.597,9.8,8,39,0.436,17,0.25,2,"November 30, 2019",61.3,19,25.6,10,118.7,84.4,27,0.7120000000000001,52,0.596,31,0.615,32,0.7809999999999999,25,3,200,132.0,21.7,5,18,99,,4.0,3,0.5,26,0.462,12,58.2,32,0.737,14.3,11,26,0.731,19,0.625,5,"JMU Convocation Center, Harrisonburg, Virginia",EAST-CAROLINA,East Carolina,75.4,Home,JAMES-MADISON,James Madison,James Madison,colonial,7,True,False,True,Home,True,12,19,52,32,55,13,17,66,1,0,64,111,441,0.4693877551020408,302,601,0.502495840266223,56,147,526,0.4391634980988593,0.5714285714285714
8,2019-12-04-19-radford,40.0,10,7.8,4,132.4,66.7,20,0.508,60,0.41700000000000004,25,0.3670000000000001,22,0.455,10,4,200,100.0,25.0,10,14,71,,2.8,2,0.5,30,0.3670000000000001,11,42.9,30,0.504,14.7,12,30,0.467,14,0.556,5,"December 4, 2019",63.2,24,10.0,3,100.0,75.0,30,0.607,70,0.5429999999999999,38,0.14300000000000002,10,0.9,9,4,200,132.4,33.3,10,16,94,,5.6,4,0.271,19,0.474,9,57.1,40,0.629,6.3,5,51,0.569,29,0.429,3,"Donald N. Dedmon Center, Radford, Virginia",JAMES-MADISON,James Madison,71.1,Home,RADFORD,Radford,James Madison,colonial,8,False,False,False,Away,False,11,14,60,30,70,9,29,70,0,1,76,130,493,0.4949290060851927,334,656,0.5091463414634146,69,164,592,0.4518581081081081,0.625
9,2019-12-16-19-james-madison,44.4,8,7.7,2,112.5,67.6,23,0.375,56,0.321,18,0.41100000000000003,23,0.7829999999999999,18,6,200,83.3,19.4,7,21,60,,6.9,5,0.536,30,0.2,6,42.9,30,0.44799999999999995,17.5,14,26,0.462,12,0.4,4,"December 16, 2019",48.3,14,23.1,6,83.3,80.6,29,0.603,58,0.5,29,0.36200000000000004,21,0.524,11,4,200,112.5,32.4,11,19,81,,11.1,8,0.552,32,0.375,12,57.1,40,0.596,16.2,13,26,0.654,17,0.6,6,"JMU Convocation Center, Harrisonburg, Virginia",CHARLESTON-SOUTHERN,Charleston Southern,72.0,Home,JAMES-MADISON,James Madison,James Madison,colonial,9,True,False,True,Home,True,12,17,58,40,70,6,12,56,1,0,87,144,553,0.496383363471971,364,726,0.5013774104683195,78,193,662,0.4682779456193353,0.5555555555555556
