,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NIAGARA_homegame,NIAGARA_homegame2,NIAGARA_home,NIAGARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-28-19-syracuse,72.7,16,17.2,5,104.4,64.3,18,0.368,68,0.324,22,0.132,9,0.778,7,9,200,83.8,27.7,13,17,57,,19.1,13,0.397,27,0.222,6,41.3,31,0.39399999999999996,11.1,9,41,0.39,16,0.182,2,"December 28, 2019",62.5,15,26.8,11,83.8,72.3,34,0.528,54,0.444,24,0.33299999999999996,18,0.778,14,5,200,104.4,35.7,10,11,71,,8.8,6,0.46299999999999997,25,0.36,9,58.7,44,0.568,20.5,16,29,0.517,15,0.615,8,"Carrier Dome, Syracuse, New York",NIAGARA,Niagara,68.4,Home,SYRACUSE,Syracuse,Niagara,maac,10,False,False,False,Away,False,6,16,68,31,75,9,15,54,0,1,68,183,578,0.4930795847750865,243,599,0.4056761268781302,101,191,594,0.5765993265993266,0.2
11,2020-01-03-19-niagara,48.1,13,6.3,2,117.2,79.2,19,0.483,60,0.45,27,0.28300000000000003,17,0.47100000000000003,8,8,200,103.1,51.4,19,16,66,,3.1,2,0.233,14,0.28600000000000003,4,62.3,38,0.485,19.2,16,46,0.5,23,0.33299999999999996,4,"January 3, 2020",57.1,16,0.0,0,103.1,48.6,18,0.625,52,0.5379999999999999,28,0.25,13,0.769,10,9,200,117.2,20.8,5,15,75,,12.5,8,0.385,20,0.45,9,37.7,23,0.645,14.8,10,32,0.594,19,0.25,3,"Gallagher Center, Niagara University, New York",FAIRFIELD,Fairfield,64.1,Home,NIAGARA,Niagara,Niagara,maac,11,True,False,True,Home,True,9,19,52,23,61,4,23,60,1,0,74,199,646,0.4798761609907121,274,674,0.4065281899109792,110,206,648,0.5725308641975309,0.18181818181818185
12,2020-01-05-13-niagara,78.3,18,8.1,3,96.9,75.8,25,0.48200000000000004,57,0.40399999999999997,23,0.316,18,0.667,12,5,200,104.7,32.4,11,13,67,,6.3,4,0.40399999999999997,23,0.391,9,53.7,36,0.511,13.3,10,34,0.41200000000000003,14,0.545,6,"January 5, 2020",43.5,10,5.9,2,104.7,67.6,23,0.466,59,0.39,23,0.16899999999999998,10,0.7,7,10,200,96.9,24.2,8,16,62,,6.3,4,0.373,22,0.409,9,46.3,31,0.486,11.2,8,37,0.37799999999999995,14,0.231,3,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,64.2,Away,MANHATTAN,Manhattan,Niagara,maac,12,False,True,True,Home,False,9,14,59,31,67,9,14,57,0,1,83,218,698,0.4906876790830946,297,735,0.4040816326530613,114,229,708,0.5649717514124294,0.25
13,2020-01-10-19-quinnipiac,43.5,10,22.6,7,97.1,61.8,21,0.4270000000000001,62,0.371,23,0.065,4,0.75,3,11,200,81.2,7.7,3,17,56,,11.6,8,0.40299999999999997,25,0.28,7,32.9,24,0.43799999999999994,11.1,8,37,0.4320000000000001,16,0.214,3,"January 10, 2020",65.2,15,10.8,4,81.2,92.3,36,0.466,59,0.39,23,0.271,16,0.75,12,5,200,97.1,38.2,13,8,67,,4.3,3,0.475,28,0.321,9,67.1,49,0.503,18.5,15,31,0.452,14,0.615,8,"TD Bank Sports Center, Hamden, Connecticut",NIAGARA,Niagara,68.8,Home,QUINNIPIAC,Quinnipiac,Niagara,maac,13,False,False,False,Away,False,7,16,62,24,73,9,14,59,0,1,92,232,757,0.4887714663143989,328,802,0.4089775561097257,123,243,765,0.5588235294117647,0.2307692307692308
14,2020-01-12-13-iona,58.3,14,11.8,4,100.0,66.7,24,0.516,61,0.39299999999999996,24,0.16399999999999998,10,0.7,7,11,200,101.4,22.5,9,16,70,,10.1,7,0.426,26,0.5770000000000001,15,43.4,33,0.532,13.3,10,35,0.257,9,0.267,4,"January 12, 2020",56.0,14,25.7,9,101.4,77.5,31,0.47600000000000003,63,0.397,25,0.222,14,0.643,9,8,200,100.0,33.3,12,14,69,,4.3,3,0.46,29,0.345,10,56.6,43,0.495,16.8,14,34,0.441,15,0.273,3,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,69.2,Away,NIAGARA,Niagara,Niagara,maac,14,False,False,False,Away,True,15,9,61,33,76,10,15,63,1,0,99,248,819,0.4841269841269841,352,875,0.4022857142857143,132,257,824,0.5521844660194175,0.21428571428571427
15,2020-01-17-19-niagara,77.8,21,0.0,0,111.1,88.0,22,0.5539999999999999,56,0.48200000000000004,27,0.196,11,0.545,6,7,200,107.9,29.2,7,12,68,,4.8,3,0.33899999999999997,19,0.42100000000000004,8,59.2,29,0.555,15.3,11,37,0.514,19,0.562,9,"January 17, 2020",73.1,19,10.8,4,107.9,70.8,17,0.593,54,0.48100000000000004,26,0.14800000000000002,8,0.75,6,11,200,111.1,12.0,3,10,70,,11.1,7,0.46299999999999997,25,0.48,12,40.8,20,0.606,9.4,6,29,0.483,14,0.312,5,"Gallagher Center, Niagara University, New York",RIDER,Rider,63.0,Home,NIAGARA,Niagara,Niagara,maac,15,True,False,True,Home,True,12,14,54,20,49,8,19,56,1,0,114,257,880,0.4863636363636364,385,951,0.4048370136698212,142,272,887,0.5467869222096956,0.26666666666666666
16,2020-01-19-13-niagara,52.0,13,8.3,3,120.0,75.0,18,0.57,50,0.5,25,0.38,19,0.737,14,9,200,118.3,42.3,11,20,71,,6.7,4,0.32,16,0.43799999999999994,7,58.0,29,0.601,17.1,12,34,0.529,18,0.43799999999999994,7,"January 19, 2020",54.2,13,0.0,0,118.3,57.7,15,0.563,48,0.5,24,0.479,23,0.7829999999999999,18,11,200,120.0,25.0,6,15,72,,6.7,4,0.25,12,0.5,6,42.0,21,0.611,10.7,7,36,0.5,18,0.353,6,"Gallagher Center, Niagara University, New York",SIENA,Siena,60.0,Home,NIAGARA,Niagara,Niagara,maac,16,True,False,True,Home,True,6,18,48,21,50,7,18,50,1,0,126,271,934,0.4925053533190578,405,1000,0.405,150,291,943,0.5471898197242842,0.3125
17,2020-01-24-19-monmouth,30.8,8,9.8,4,109.3,68.3,28,0.518,57,0.456,26,0.368,21,0.5710000000000001,12,12,200,94.7,12.1,4,19,71,,5.3,4,0.316,18,0.389,7,43.2,32,0.53,15.3,12,39,0.48700000000000004,19,0.33299999999999996,6,"January 24, 2020",69.2,18,5.1,2,94.7,87.9,29,0.455,67,0.38799999999999996,26,0.38799999999999996,26,0.8079999999999999,21,7,200,109.3,31.7,13,20,82,,8.0,6,0.38799999999999996,26,0.34600000000000003,9,56.8,42,0.517,10.3,9,41,0.415,17,0.611,11,"Multipurpose Activity Center, West Long Branch, New Jersey",NIAGARA,Niagara,75.2,Home,MONMOUTH,Monmouth,Niagara,maac,17,False,False,False,Away,False,7,19,57,32,74,9,17,67,0,1,132,289,982,0.4959266802443992,426,1050,0.4057142857142857,157,309,993,0.5483383685800605,0.35294117647058826
18,2020-01-26-14-saint-peters,55.0,11,14.3,4,93.5,64.3,18,0.442,52,0.385,20,0.17300000000000001,9,0.778,7,13,200,85.5,10.0,3,13,53,,11.3,7,0.385,20,0.3,6,36.2,21,0.47100000000000003,16.4,11,32,0.43799999999999994,14,0.316,6,"January 26, 2020",68.2,15,12.5,4,85.5,90.0,27,0.52,49,0.449,22,0.22399999999999998,11,0.636,7,10,200,93.5,35.7,10,15,58,,12.9,8,0.429,21,0.33299999999999996,7,63.8,37,0.535,21.8,15,28,0.536,15,0.41200000000000003,7,"Yanitelli Center, Jersey City, New Jersey",NIAGARA,Niagara,61.8,Home,SAINT-PETERS,St. Peter's,Niagara,maac,18,False,False,False,Away,False,6,14,52,21,58,7,15,49,0,1,139,308,1039,0.4971126082771896,458,1124,0.40747330960854095,166,326,1060,0.5424528301886793,0.3333333333333333
19,2020-01-31-19-niagara,66.7,16,12.5,3,72.7,93.5,29,0.518,56,0.429,24,0.25,14,0.643,9,14,200,101.5,31.3,10,18,67,,10.6,7,0.33899999999999997,19,0.526,10,61.9,39,0.535,18.4,14,37,0.37799999999999995,14,0.263,5,"January 31, 2020",53.3,8,5.4,2,101.5,68.8,22,0.419,43,0.349,15,0.419,18,0.667,12,14,200,72.7,6.5,2,17,48,,13.6,9,0.442,19,0.316,6,38.1,24,0.466,23.9,16,24,0.375,9,0.3,6,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,66.1,Away,MARIST,Marist,Niagara,maac,19,False,True,True,Home,False,6,9,43,24,63,10,14,56,0,1,145,322,1091,0.4945004582951421,479,1182,0.4052453468697124,173,341,1109,0.5414788097385032,0.3157894736842105
20,2020-02-02-13-niagara,65.2,15,10.2,5,117.2,83.9,26,0.519,53,0.434,23,0.17,9,0.444,4,9,200,92.2,38.7,12,12,59,,1.6,1,0.434,23,0.391,9,61.3,38,0.515,26.0,20,30,0.467,14,0.55,11,"February 2, 2020",51.5,17,10.0,3,92.2,61.3,19,0.581,62,0.532,33,0.129,8,0.375,3,14,200,117.2,16.1,5,16,75,,20.3,13,0.21,13,0.462,6,38.7,24,0.57,3.0,2,49,0.551,27,0.33299999999999996,7,"Gallagher Center, Niagara University, New York",QUINNIPIAC,Quinnipiac,64.0,Home,NIAGARA,Niagara,Niagara,maac,20,True,False,True,Home,True,6,27,62,24,62,9,14,53,1,0,151,331,1134,0.4916225749559083,503,1245,0.4040160642570281,183,355,1165,0.540343347639485,0.3
21,2020-02-07-19-manhattan,38.1,8,12.1,4,114.9,53.1,17,0.425,53,0.396,21,0.358,19,0.737,14,15,200,88.1,32.4,11,22,59,,13.4,9,0.264,14,0.214,3,42.4,28,0.47600000000000003,19.6,15,39,0.462,18,0.318,7,"February 7, 2020",83.3,20,15.4,6,88.1,67.6,23,0.5,56,0.429,24,0.5,28,0.75,21,10,200,114.9,46.9,15,22,77,,7.5,5,0.41100000000000003,23,0.348,8,57.6,38,0.556,17.0,14,33,0.485,16,0.5,10,"Draddy Gymnasium, Riverdale, New York",NIAGARA,Niagara,67.2,Home,MANHATTAN,Manhattan,Niagara,maac,21,False,False,False,Away,False,3,18,53,28,66,8,16,56,0,1,157,358,1196,0.4962374581939799,527,1307,0.4032134659525631,192,369,1218,0.5394088669950738,0.3333333333333333
22,2020-02-09-14-rider,61.1,11,3.2,1,105.8,65.2,15,0.40700000000000003,54,0.33299999999999996,18,0.33299999999999996,18,0.778,14,16,200,84.1,9.7,3,8,58,,17.4,12,0.574,31,0.258,8,33.3,18,0.46399999999999997,13.9,10,23,0.435,10,0.304,7,"February 9, 2020",70.0,21,8.7,2,84.1,90.3,28,0.636,55,0.545,30,0.109,6,0.5,3,9,200,105.8,34.8,8,13,73,,7.2,5,0.436,24,0.41700000000000004,10,66.7,36,0.631,24.8,19,31,0.645,20,0.609,14,"Alumni Gymnasium, Lawrenceville, New Jersey",NIAGARA,Niagara,69.2,Home,RIDER,Rider,Niagara,maac,22,False,False,False,Away,False,8,10,54,18,54,10,20,55,0,1,160,376,1249,0.4931945556445156,555,1373,0.4042243262927896,200,385,1274,0.5376766091051806,0.3181818181818182
23,2020-02-12-19-niagara,34.8,8,6.8,3,103.0,85.7,30,0.41700000000000004,60,0.38299999999999995,23,0.35,21,0.762,16,15,200,98.5,36.8,14,14,66,,1.5,1,0.4,24,0.16699999999999998,4,60.3,44,0.47200000000000003,14.8,12,36,0.528,19,0.375,9,"February 12, 2020",44.4,12,0.0,0,98.5,63.2,24,0.508,60,0.45,27,0.183,11,0.727,8,16,200,103.0,14.3,5,15,69,,10.4,7,0.267,16,0.43799999999999994,7,39.7,29,0.529,8.5,6,44,0.455,20,0.33299999999999996,8,"Gallagher Center, Niagara University, New York",CANISIUS,Canisius,67.1,Home,NIAGARA,Niagara,Niagara,maac,23,True,False,True,Home,True,7,20,60,29,73,4,19,60,1,0,168,386,1303,0.4896392939370683,573,1427,0.40154169586545196,210,405,1329,0.5417607223476298,0.3043478260869565
24,2020-02-16-13-niagara,50.0,14,7.1,2,101.3,96.0,24,0.46299999999999997,67,0.418,28,0.26899999999999996,18,0.556,10,11,200,94.7,27.5,11,17,72,,6.6,5,0.433,29,0.207,6,53.8,35,0.47700000000000004,14.8,13,38,0.579,22,0.56,14,"February 16, 2020",44.0,11,2.6,1,94.7,72.5,29,0.598,51,0.49,25,0.392,20,0.8,16,16,200,101.3,4.0,1,17,77,,6.6,5,0.451,23,0.478,11,46.2,30,0.636,19.0,14,28,0.5,14,0.36,9,"Gallagher Center, Niagara University, New York",MONMOUTH,Monmouth,75.5,Home,NIAGARA,Niagara,Niagara,maac,24,True,False,True,Home,True,11,14,51,30,65,6,22,67,1,0,175,406,1363,0.4904622157006603,602,1500,0.4013333333333333,214,424,1389,0.5363570914326854,0.3333333333333333
25,2020-02-21-19-fairfield,55.0,11,0.0,0,100.0,57.6,19,0.511,46,0.435,20,0.37,17,0.765,13,17,200,98.4,7.4,2,17,60,,11.5,7,0.37,17,0.41200000000000003,7,35.0,21,0.555,14.4,9,29,0.44799999999999995,13,0.34600000000000003,9,"February 21, 2020",33.3,8,6.9,2,98.4,92.6,25,0.48200000000000004,55,0.436,24,0.273,15,0.5329999999999999,8,15,200,100.0,42.4,14,17,61,,4.9,3,0.309,17,0.294,5,65.0,39,0.491,16.3,12,38,0.5,19,0.423,11,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",NIAGARA,Niagara,60.6,Home,FAIRFIELD,Fairfield,Niagara,maac,25,False,False,False,Away,False,7,13,46,21,60,5,19,55,0,1,186,420,1414,0.4943422913719944,632,1565,0.4038338658146965,220,446,1456,0.532967032967033,0.36
26,2020-02-23-14-marist,33.3,6,3.8,1,131.0,75.0,15,0.44,50,0.36,18,0.22,11,0.909,10,18,200,93.1,3.3,1,12,54,,5.2,3,0.46,23,0.348,8,32.0,16,0.489,6.8,4,27,0.37,10,0.33299999999999996,9,"February 23, 2020",75.9,22,14.8,4,93.1,96.7,29,0.642,53,0.547,29,0.151,8,1.0,8,18,200,131.0,25.0,5,11,76,,1.7,1,0.509,27,0.37,10,68.0,34,0.669,9.6,6,26,0.731,19,0.28,7,"McCann Recreation Center, Poughkeepsie, New York",NIAGARA,Niagara,58.0,Home,MARIST,Marist,Niagara,maac,26,False,False,False,Away,False,8,10,50,16,50,10,19,53,0,1,193,433,1460,0.4948630136986301,653,1625,0.40184615384615385,225,465,1511,0.5311052283256121,0.3461538461538461
27,2020-02-27-19-niagara,66.7,14,11.4,4,96.9,82.6,19,0.414,58,0.36200000000000004,21,0.19,11,0.545,6,12,200,83.1,32.4,11,14,54,,6.2,4,0.293,17,0.353,6,52.6,30,0.4270000000000001,18.2,14,41,0.366,15,0.556,15,"February 27, 2020",43.5,10,9.8,4,83.1,67.6,23,0.52,51,0.451,23,0.21600000000000005,11,0.909,10,18,200,96.9,17.4,4,12,63,,12.3,8,0.314,16,0.43799999999999994,7,47.4,27,0.56,16.5,11,35,0.457,16,0.35700000000000004,10,"Gallagher Center, Niagara University, New York",SAINT-PETERS,St. Peter's,64.7,Home,NIAGARA,Niagara,Niagara,maac,27,True,False,True,Home,True,7,16,51,27,57,6,15,58,1,0,201,443,1510,0.4930463576158941,669,1675,0.3994029850746269,235,484,1564,0.5348465473145779,0.3333333333333333
