,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,RUTGERS_homegame,RUTGERS_homegame2,RUTGERS_home,RUTGERS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-07-19-rutgers,61.5,16,20.9,9,84.9,73.2,30,0.4920000000000001,66,0.39399999999999996,26,0.136,9,0.667,6,2,200,82.6,20.5,8,25,71,,9.3,8,0.53,35,0.371,13,47.5,38,0.505,23.1,21,31,0.419,13,0.0,0,"November 7, 2019",57.7,15,22.6,7,82.6,79.5,31,0.39899999999999997,69,0.377,26,0.46399999999999997,32,0.563,18,0,200,84.9,26.8,11,13,73,,12.8,11,0.377,26,0.115,3,52.5,42,0.433,15.3,15,43,0.535,23,1.0,1,"Rutgers Athletic Center, New Brunswick, New Jersey",BRYANT,Bryant,85.7,Home,RUTGERS,Rutgers,Rutgers,big-ten,0,True,False,True,Home,True,3,23,69,42,80,13,13,66,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-13-rutgers,62.5,10,10.0,4,134.4,68.2,15,0.35600000000000004,52,0.308,16,0.057999999999999996,3,0.667,2,2,200,60.9,17.6,6,16,39,,4.7,3,0.365,19,0.263,5,37.5,21,0.365,22.0,15,33,0.33299999999999996,11,0.0,0,"November 10, 2019",62.9,22,18.2,6,60.9,82.4,28,0.669,59,0.593,35,0.136,8,0.875,7,0,200,134.4,31.8,7,12,86,,10.9,7,0.322,19,0.474,9,62.5,35,0.685,12.6,9,40,0.65,26,1.0,2,"Rutgers Athletic Center, New Brunswick, New Jersey",NIAGARA,Niagara,63.6,Home,RUTGERS,Rutgers,Rutgers,big-ten,1,True,False,True,Home,True,9,26,59,35,56,5,11,52,1,0,3,23,69,0.3985507246376812,42,80,0.525,13,13,66,0.4924242424242424,1.0
2,2019-11-13-20-rutgers,47.6,10,14.7,5,89.9,76.7,23,0.392,65,0.32299999999999995,21,0.12300000000000001,8,0.75,6,2,200,82.6,25.0,10,21,57,,10.1,7,0.415,27,0.33299999999999996,9,47.1,33,0.414,13.8,11,38,0.316,12,0.5,2,"November 13, 2019",42.1,8,21.1,8,82.6,75.0,30,0.41200000000000003,51,0.373,19,0.49,25,0.8,20,0,200,89.9,23.3,7,13,62,,10.1,7,0.33299999999999996,17,0.235,4,52.9,37,0.493,17.3,13,34,0.441,15,1.0,3,"Rutgers Athletic Center, New Brunswick, New Jersey",DREXEL,Drexel,69.3,Home,RUTGERS,Rutgers,Rutgers,big-ten,2,True,False,True,Home,True,4,15,51,37,70,9,12,65,1,0,12,49,128,0.5234375,77,136,0.5661764705882353,18,24,118,0.4322033898305085,1.0
3,2019-11-16-19-rutgers,55.2,16,6.5,2,113.8,50.0,18,0.585,59,0.4920000000000001,29,0.22,13,0.846,11,3,200,123.1,34.6,9,25,80,,9.2,6,0.40700000000000003,24,0.45799999999999996,11,43.5,27,0.614,12.2,9,35,0.514,18,0.25,1,"November 16, 2019",75.0,18,14.3,5,123.1,65.4,17,0.491,56,0.429,24,0.536,30,0.633,19,1,200,113.8,50.0,18,16,74,,6.2,4,0.446,25,0.28,7,56.5,35,0.527,15.8,13,31,0.5479999999999999,17,0.75,3,"Scotiabank Arena, Toronto",RUTGERS,Rutgers,65.2,Away,ST-BONAVENTURE,St. Bonaventure,Rutgers,big-ten,3,False,True,True,Home,False,7,17,56,35,62,11,18,59,0,1,16,64,179,0.4916201117318436,114,206,0.5533980582524272,27,36,183,0.4180327868852459,1.0
4,2019-11-20-19-rutgers,35.0,7,8.0,2,97.2,76.9,20,0.41200000000000003,51,0.392,20,0.47100000000000003,24,0.625,15,1,200,80.3,26.5,9,27,57,,12.7,9,0.255,13,0.154,2,48.3,29,0.457,21.6,17,38,0.474,18,0.8,4,"November 20, 2019",54.5,12,18.4,7,80.3,73.5,25,0.578,45,0.489,22,0.622,28,0.607,17,1,200,97.2,23.1,6,22,69,,12.7,9,0.444,20,0.4,8,51.7,31,0.5920000000000001,24.9,19,25,0.56,14,0.8,4,"Rutgers Athletic Center, New Brunswick, New Jersey",STEPHEN-F-AUSTIN,Stephen F. Austin,70.9,Home,RUTGERS,Rutgers,Rutgers,big-ten,4,True,False,True,Home,True,8,14,45,31,60,2,18,51,1,0,23,81,235,0.4914893617021277,149,268,0.5559701492537313,38,54,242,0.4586776859504133,0.75
5,2019-11-26-19-rutgers,60.0,12,8.7,4,123.2,66.7,16,0.41100000000000003,56,0.35700000000000004,20,0.25,14,0.857,12,5,201,84.1,20.0,6,15,58,,8.7,6,0.35700000000000004,20,0.3,6,40.7,22,0.46299999999999997,15.0,11,36,0.389,14,0.28600000000000003,2,"November 26, 2019",62.9,22,11.1,4,84.1,80.0,24,0.625,60,0.583,35,0.28300000000000003,17,0.588,10,1,201,123.2,33.3,8,16,85,,5.8,4,0.233,14,0.35700000000000004,5,59.3,32,0.624,12.9,10,46,0.652,30,0.833,5,"Rutgers Athletic Center, New Brunswick, New Jersey",NJIT,NJIT,68.5,Home,RUTGERS,Rutgers,Rutgers,big-ten,5,True,False,True,Home,True,5,30,60,32,54,6,14,56,1,0,31,95,280,0.5053571428571428,180,328,0.5487804878048781,40,72,293,0.4505119453924914,0.8
6,2019-11-29-14-rutgers,36.4,8,4.4,2,107.9,70.0,21,0.418,61,0.361,22,0.19699999999999998,12,0.5,6,3,200,75.0,22.2,8,20,57,,6.6,5,0.377,23,0.304,7,43.9,29,0.4270000000000001,22.3,19,38,0.395,15,0.625,5,"November 29, 2019",38.7,12,13.2,5,75.0,77.8,28,0.56,58,0.534,31,0.414,24,0.708,17,1,200,107.9,30.0,9,18,82,,14.5,11,0.22399999999999998,13,0.231,3,56.1,37,0.591,17.0,14,45,0.622,28,0.857,6,"Rutgers Athletic Center, New Brunswick, New Jersey",MASSACHUSETTS,UMass,76.1,Home,RUTGERS,Rutgers,Rutgers,big-ten,6,True,False,True,Home,True,3,28,58,37,66,7,15,61,1,0,36,125,340,0.5264705882352941,212,382,0.5549738219895288,46,86,349,0.44412607449856734,0.8333333333333334
7,2019-12-03-21-pittsburgh,36.0,9,4.8,2,102.9,72.7,24,0.45,60,0.41700000000000004,25,0.16699999999999998,10,0.6,6,2,200,87.0,44.4,16,20,60,,8.7,6,0.38299999999999995,23,0.174,4,58.0,40,0.46299999999999997,23.7,20,37,0.568,21,0.75,6,"December 3, 2019",66.7,18,13.5,5,87.0,55.6,20,0.509,58,0.466,27,0.293,17,0.706,12,2,200,102.9,27.3,9,16,71,,13.0,9,0.276,16,0.313,5,42.0,29,0.537,15.5,12,42,0.524,22,0.778,7,"Petersen Events Center, Pittsburgh, Pennsylvania",RUTGERS,Rutgers,68.9,Home,PITTSBURGH,Pitt,Rutgers,big-ten,7,False,False,False,Away,False,4,21,60,40,69,5,22,58,0,1,39,153,398,0.5314070351758794,249,448,0.5558035714285714,53,101,410,0.4402439024390244,0.8571428571428571
8,2019-12-08-19-michigan-state,58.3,14,5.9,2,104.1,81.5,22,0.433,60,0.4,24,0.317,19,0.684,13,3,200,87.8,17.6,6,23,65,,4.1,3,0.233,14,0.28600000000000003,4,45.9,28,0.47100000000000003,13.9,11,46,0.435,20,0.667,6,"December 8, 2019",70.8,17,6.5,3,87.8,82.4,28,0.5,55,0.436,24,0.491,27,0.815,22,3,200,104.1,18.5,5,16,77,11.0,10.8,8,0.382,21,0.33299999999999996,7,54.1,33,0.568,14.1,11,34,0.5,17,0.667,6,"Breslin Events Center, East Lansing, Michigan",RUTGERS,Rutgers,73.9,Home,MICHIGAN-STATE,Michigan State,Rutgers,big-ten,8,False,False,False,Away,False,4,20,60,28,61,7,17,55,0,1,43,174,458,0.5207423580786026,289,517,0.5589941972920697,58,123,468,0.4487179487179487,0.75
9,2019-12-11-19-rutgers,39.1,9,9.1,4,105.9,63.3,19,0.563,48,0.479,23,0.33299999999999996,16,0.688,11,5,200,95.6,11.5,3,17,65,,7.4,5,0.479,23,0.348,8,39.3,22,0.585,20.3,14,25,0.6,15,0.5,5,"December 11, 2019",34.5,10,12.0,3,95.6,88.5,23,0.5,63,0.46,29,0.20600000000000002,13,0.6920000000000001,9,3,200,105.9,36.7,11,19,72,,11.8,8,0.302,19,0.263,5,60.7,34,0.52,13.8,11,44,0.545,24,0.7,7,"Rutgers Athletic Center, New Brunswick, New Jersey",WISCONSIN,Wisconsin,67.9,Home,RUTGERS,Rutgers,Rutgers,big-ten,9,True,False,True,Home,True,5,24,63,34,56,8,15,48,1,0,47,194,518,0.5106177606177607,317,578,0.5484429065743944,65,140,523,0.4541108986615679,0.6666666666666666
