,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DUQUESNE_homegame,DUQUESNE_homegame2,DUQUESNE_home,DUQUESNE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-22-14-alabama-birmingham,60.0,12,6.1,2,105.5,65.0,13,0.409,55,0.364,20,0.545,30,0.767,23,1,200,93.2,22.6,7,24,68,,16.4,12,0.491,27,0.185,5,39.2,20,0.491,13.9,11,28,0.536,15,0.909,10,"December 22, 2019",41.7,10,14.3,4,93.2,77.4,24,0.6,45,0.5329999999999999,24,0.6890000000000001,31,0.742,23,4,200,105.5,35.0,7,28,77,,8.2,6,0.267,12,0.5,6,60.8,31,0.645,25.4,20,33,0.545,18,0.667,8,"McArthur Gymnasium, St. Petersburg, Florida",DUQUESNE,Duquesne,73.0,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Duquesne,atlantic-10,10,False,False,False,Away,False,5,15,55,20,51,6,18,45,0,1,81,187,566,0.5450530035335689,334,611,0.546644844517185,53,161,542,0.4437269372693727,1.0
11,2019-12-29-14-marshall,30.4,7,12.0,6,110.7,65.6,21,0.36,68,0.33799999999999997,23,0.235,16,0.75,12,2,200,81.3,34.1,15,7,61,,10.7,8,0.235,16,0.188,3,47.4,36,0.40299999999999997,15.7,14,52,0.385,20,0.833,10,"December 29, 2019",51.4,18,15.4,8,81.3,65.9,29,0.574,68,0.515,35,0.11800000000000001,8,0.625,5,7,200,110.7,34.4,11,14,83,,13.3,10,0.265,18,0.444,8,52.6,40,0.578,17.3,15,50,0.54,27,0.462,6,"Quicken Loans Arena, Cleveland, Ohio",DUQUESNE,Duquesne,75.2,Home,MARSHALL,Marshall,Duquesne,atlantic-10,11,False,False,False,Away,False,3,20,68,36,76,8,27,68,0,1,86,202,621,0.5330112721417071,354,662,0.5347432024169184,59,179,587,0.4557069846678024,0.9090909090909092
12,2020-01-02-19-duquesne,73.9,17,12.5,3,96.1,82.8,24,0.413,63,0.365,23,0.28600000000000003,18,0.389,7,3,200,77.6,28.2,11,24,59,,13.2,10,0.317,20,0.3,6,51.5,35,0.41200000000000003,17.5,15,43,0.395,17,0.7859999999999999,11,"January 2, 2020",59.1,13,20.9,9,77.6,71.8,28,0.552,48,0.45799999999999996,22,0.521,25,0.8,20,2,200,96.1,17.2,5,14,73,,9.2,7,0.5,24,0.375,9,48.5,33,0.61,26.3,21,24,0.542,13,0.846,11,"UPMC Events Center, Moon, Pennsylvania",SAINT-LOUIS,Saint Louis,75.7,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,12,True,False,True,Home,True,9,13,48,33,68,6,17,63,1,0,89,222,689,0.5159651669085631,390,738,0.5284552845528455,67,206,655,0.4679389312977099,0.8333333333333334
13,2020-01-05-14-duquesne,54.2,13,12.1,4,110.9,73.1,19,0.46799999999999997,62,0.387,24,0.113,7,0.857,6,7,200,100.0,27.8,10,14,64,,10.9,7,0.46799999999999997,29,0.345,10,46.8,29,0.49,12.1,9,33,0.424,14,0.462,6,"January 5, 2020",69.2,18,15.2,5,100.0,72.2,26,0.547,53,0.491,26,0.321,17,0.765,13,2,200,110.9,26.9,7,11,71,,9.4,6,0.377,20,0.3,6,53.2,33,0.581,14.2,10,33,0.606,20,0.857,12,"UPMC Events Center, Moon, Pennsylvania",DAVIDSON,Davidson,64.2,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,13,True,False,True,Home,True,6,20,53,33,62,10,14,62,1,0,98,235,737,0.5183175033921302,423,806,0.5248138957816377,73,223,718,0.463091922005571,0.8461538461538461
14,2020-01-08-19-saint-josephs,50.0,15,23.7,9,85.7,58.3,28,0.5670000000000001,60,0.5,30,0.25,15,0.667,10,2,200,111.4,25.8,8,17,78,,5.7,4,0.45,27,0.29600000000000004,8,45.6,36,0.581,9.5,7,33,0.667,22,0.867,13,"January 8, 2020",42.9,9,15.2,5,111.4,74.2,23,0.322,73,0.28800000000000003,21,0.301,22,0.591,13,12,200,85.7,41.7,20,14,60,,2.9,2,0.479,35,0.14300000000000002,5,54.4,43,0.359,10.8,10,38,0.42100000000000004,16,0.2,3,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,69.8,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10,14,False,False,False,Away,True,8,22,60,36,79,5,16,73,1,0,104,255,790,0.520253164556962,456,868,0.5253456221198156,83,237,780,0.4634615384615385,0.8571428571428571
15,2020-01-11-16-george-washington,63.6,14,23.3,7,89.7,87.5,28,0.53,50,0.44,22,0.38,19,0.684,13,2,200,97.1,25.0,8,11,66,,10.3,7,0.38,19,0.474,9,56.3,36,0.5589999999999999,22.6,17,31,0.419,13,0.875,14,"January 11, 2020",66.7,16,16.1,5,97.1,75.0,24,0.5,56,0.429,24,0.196,11,0.455,5,10,200,89.7,12.5,4,18,61,,13.2,9,0.46399999999999997,26,0.308,8,43.8,28,0.498,14.1,10,30,0.5329999999999999,16,0.375,6,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,67.6,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10,15,False,False,False,Away,True,9,13,50,36,64,8,16,56,1,0,112,277,850,0.5235294117647059,492,947,0.5195353748680043,88,253,853,0.451348182883939,0.8666666666666667
16,2020-01-15-19-duquesne,57.1,12,19.2,5,89.2,74.2,23,0.449,59,0.35600000000000004,21,0.085,5,0.6,3,10,225,86.2,23.5,8,19,56,,7.7,5,0.45799999999999996,27,0.40700000000000003,11,47.7,31,0.456,16.4,12,32,0.313,10,0.375,6,"January 15, 2020",89.5,17,21.9,7,86.2,76.5,26,0.47100000000000003,51,0.373,19,0.353,18,0.556,10,2,225,89.2,25.8,8,8,58,,6.2,4,0.49,25,0.4,10,52.3,34,0.48700000000000004,19.2,14,26,0.34600000000000003,9,0.882,15,"CONSOL Energy Center, Pittsburgh, Pennsylvania",FORDHAM,Fordham,58.2,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,16,True,False,True,Home,True,10,9,51,34,65,11,10,59,1,0,121,290,900,0.5238888888888888,528,1011,0.5222551928783383,96,269,909,0.4543454345434543,0.875
17,2020-01-22-19-rhode-island,44.4,8,8.2,4,113.2,75.7,28,0.373,55,0.327,18,0.4,22,0.636,14,3,200,80.9,33.3,13,18,55,,1.5,1,0.418,23,0.217,5,53.9,41,0.42,18.8,15,32,0.406,13,0.833,15,"January 22, 2020",51.6,16,6.3,2,80.9,66.7,26,0.54,63,0.4920000000000001,31,0.27,17,0.529,9,5,200,113.2,24.3,9,20,77,,13.2,9,0.222,14,0.429,6,46.1,35,0.542,7.8,6,49,0.51,25,0.722,13,"Ryan Center, Kingston, Rhode Island",DUQUESNE,Duquesne,67.8,Home,RHODE-ISLAND,Rhode Island,Duquesne,atlantic-10,17,False,False,False,Away,False,5,13,55,41,76,6,25,63,0,1,131,299,951,0.5210304942166141,562,1076,0.5223048327137546,107,279,968,0.4540289256198347,0.8823529411764706
18,2020-01-25-14-massachusetts,59.1,13,5.6,2,101.4,59.0,23,0.425,60,0.3670000000000001,22,0.41700000000000004,25,0.52,13,4,200,88.9,23.3,10,25,64,,5.6,4,0.38299999999999995,23,0.304,7,40.2,33,0.445,12.3,10,37,0.405,15,0.789,15,"January 25, 2020",66.7,14,5.4,2,88.9,76.7,33,0.38299999999999995,60,0.35,21,0.583,35,0.7709999999999999,27,12,200,101.4,41.0,16,20,73,,8.3,6,0.4,24,0.16699999999999998,4,59.8,49,0.47600000000000003,13.7,12,36,0.47200000000000003,17,0.4,8,"Mullins Center, Amherst, Massachusetts",DUQUESNE,Duquesne,72.3,Home,MASSACHUSETTS,UMass,Duquesne,atlantic-10,18,False,False,False,Away,False,7,15,60,33,82,4,17,60,0,1,136,312,1006,0.5129224652087475,603,1152,0.5234375,113,304,1031,0.45926285160038793,0.8333333333333334
19,2020-01-29-19-duquesne,48.3,14,5.7,2,107.8,62.5,20,0.6729999999999999,49,0.5920000000000001,29,0.14300000000000002,7,1.0,7,2,200,114.1,26.3,5,14,73,7.0,10.9,7,0.3670000000000001,18,0.444,8,49.0,25,0.698,24.6,17,31,0.677,21,0.905,19,"January 29, 2020",55.6,15,9.7,3,114.1,73.7,14,0.525,59,0.45799999999999996,27,0.22,13,0.5379999999999999,7,5,200,107.8,37.5,12,9,69,,15.6,10,0.40700000000000003,24,0.33299999999999996,8,51.0,26,0.529,14.5,11,35,0.5429999999999999,19,0.75,15,"CONSOL Energy Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,64.3,Away,DAYTON,Dayton,Duquesne,atlantic-10,19,False,True,True,Home,False,8,19,59,26,51,8,21,49,0,1,143,327,1066,0.5079737335834896,636,1234,0.5153970826580226,117,321,1091,0.4550870760769936,0.7894736842105263
20,2020-02-02-14-duquesne,66.7,16,3.1,1,106.0,71.4,20,0.467,61,0.39299999999999996,24,0.344,21,0.5710000000000001,12,11,200,103.0,43.2,16,12,69,,13.4,9,0.426,26,0.34600000000000003,9,55.4,36,0.486,15.6,13,35,0.429,15,0.47600000000000003,10,"February 2, 2020",67.9,19,17.1,6,103.0,56.8,21,0.5820000000000001,55,0.509,28,0.2,11,0.636,7,5,200,106.0,28.6,8,13,71,,9.0,6,0.418,23,0.348,8,44.6,29,0.589,19.0,14,32,0.625,20,0.762,16,"CONSOL Energy Center, Pittsburgh, Pennsylvania",LA-SALLE,La Salle,67.1,Home,DUQUESNE,Duquesne,Duquesne,atlantic-10,20,True,False,True,Home,True,8,20,55,29,65,9,15,61,1,0,151,346,1125,0.5088888888888888,662,1285,0.5151750972762645,125,342,1140,0.4644736842105263,0.75
21,2020-02-05-19-saint-louis,63.0,17,9.8,4,94.4,77.1,27,0.5529999999999999,57,0.474,27,0.40399999999999997,23,0.826,19,5,200,113.9,37.0,10,19,82,,11.1,8,0.40399999999999997,23,0.391,9,59.7,37,0.604,17.3,14,34,0.529,18,0.773,17,"February 5, 2020",57.7,15,11.8,4,113.9,63.0,17,0.483,59,0.441,26,0.35600000000000004,21,0.524,11,6,200,94.4,22.9,8,17,68,,9.7,7,0.305,18,0.278,5,40.3,25,0.493,15.0,12,41,0.512,21,0.7390000000000001,17,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,72.5,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10,21,False,False,False,Away,True,9,18,57,37,62,5,21,59,1,0,159,366,1180,0.5122881355932203,691,1350,0.5118518518518519,134,357,1201,0.4646128226477935,0.7619047619047619
22,2020-02-08-15-duquesne,60.0,18,23.8,5,119.4,86.7,26,0.574,61,0.4920000000000001,30,0.27899999999999997,17,0.765,13,8,200,123.9,41.4,12,19,83,,4.5,3,0.344,21,0.47600000000000003,10,64.4,38,0.601,12.7,10,40,0.5,20,0.667,16,"February 8, 2020",58.3,14,20.0,8,123.9,58.6,17,0.564,55,0.436,24,0.4,22,0.818,18,6,200,119.4,13.3,4,14,80,,3.0,2,0.618,34,0.41200000000000003,14,35.6,21,0.611,8.5,6,21,0.47600000000000003,10,0.7390000000000001,17,"UPMC Events Center, Moon, Pennsylvania",DUQUESNE,Duquesne,67.3,Away,ST-BONAVENTURE,St. Bonaventure,Duquesne,atlantic-10,22,False,True,True,Home,False,14,10,55,21,59,10,20,61,0,1,168,384,1237,0.5141471301535974,728,1412,0.5155807365439093,139,378,1260,0.4654761904761905,0.7727272727272727
23,2020-02-16-14-fordham,55.0,11,12.9,4,81.8,87.1,27,0.44299999999999995,53,0.377,20,0.302,16,0.75,12,6,200,89.4,26.5,9,13,59,,13.6,9,0.604,32,0.21899999999999997,7,55.4,36,0.48700000000000004,18.9,14,21,0.619,13,0.75,18,"February 16, 2020",61.1,11,0.0,0,89.4,73.5,25,0.40399999999999997,52,0.34600000000000003,18,0.26899999999999996,14,0.857,12,17,200,81.8,12.9,4,18,54,,15.2,10,0.40399999999999997,21,0.28600000000000003,6,44.6,29,0.46,17.1,12,31,0.387,12,0.292,7,"Rose Hill Gym, Bronx, New York",FORDHAM,Fordham,66.1,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10,23,False,False,False,Away,True,7,13,53,36,65,6,12,52,1,0,182,394,1292,0.5162538699690402,749,1471,0.5091774303195106,149,398,1321,0.4704769114307343,0.7391304347826086
24,2020-02-19-20-duquesne,56.0,14,4.5,2,95.7,74.4,29,0.5670000000000001,52,0.48100000000000004,25,0.34600000000000003,18,0.611,11,14,200,100.0,26.7,8,12,70,,7.1,5,0.385,20,0.45,9,53.6,37,0.578,21.1,16,32,0.5,16,0.462,12,"February 19, 2020",63.0,17,12.5,4,100.0,73.3,22,0.434,68,0.397,27,0.191,13,0.615,8,7,200,95.7,25.6,10,16,67,,12.9,9,0.353,24,0.20800000000000002,5,46.4,32,0.452,8.7,7,44,0.5,22,0.72,18,"CONSOL Energy Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,69.9,Away,GEORGE-WASHINGTON,George Washington,Duquesne,atlantic-10,24,False,True,True,Home,False,5,22,68,32,69,9,16,52,0,1,189,407,1345,0.5133828996282528,785,1536,0.5110677083333334,155,410,1373,0.4679533867443554,0.75
25,2020-02-22-14-dayton,46.4,13,9.1,3,123.1,73.1,19,0.534,58,0.483,28,0.19,11,0.727,8,8,200,107.7,20.0,6,17,70,,7.7,5,0.31,18,0.33299999999999996,6,44.6,25,0.5539999999999999,10.0,7,40,0.55,22,0.6920000000000001,18,"February 22, 2020",66.7,18,7.5,3,107.7,80.0,24,0.5660000000000001,53,0.509,27,0.47200000000000003,25,0.8,20,2,200,123.1,26.9,7,12,80,5.0,3.1,2,0.377,20,0.3,6,55.4,31,0.617,11.1,8,33,0.636,21,0.9259999999999999,25,"University of Dayton Arena, Dayton, Ohio",DUQUESNE,Duquesne,65.1,Home,DAYTON,Dayton,Duquesne,atlantic-10,25,False,False,False,Away,False,6,22,58,25,56,6,21,53,0,1,194,429,1413,0.5095541401273885,817,1605,0.5090342679127726,164,426,1425,0.471578947368421,0.72
26,2020-02-26-19-st-bonaventure,74.2,23,8.3,4,100.0,59.5,22,0.493,73,0.425,31,0.21899999999999997,16,0.563,9,8,225,105.2,31.7,13,18,81,,6.5,5,0.479,35,0.28600000000000003,10,44.9,35,0.502,12.1,11,38,0.5529999999999999,21,0.7040000000000001,19,"February 26, 2020",60.0,18,10.5,4,105.2,68.3,28,0.47100000000000003,69,0.435,30,0.275,19,0.632,12,10,225,100.0,40.5,15,18,77,,6.5,5,0.304,21,0.23800000000000002,5,55.1,43,0.493,14.4,13,48,0.521,25,0.643,18,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,68.7,Away,DUQUESNE,Duquesne,Duquesne,atlantic-10,26,False,False,False,Away,True,10,21,73,35,78,5,25,69,1,0,200,451,1471,0.5105370496261047,842,1661,0.5069235400361228,170,447,1478,0.4749661705006766,0.6923076923076923
