,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VILLANOVA_homegame,VILLANOVA_homegame2,VILLANOVA_home,VILLANOVA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-12-villanova,58.3,14,22.7,5,87.5,77.1,27,0.46399999999999997,55,0.436,24,0.182,10,0.4,4,2,200,85.9,25.0,7,12,55,1.0,9.4,6,0.23600000000000002,13,0.231,3,54.0,34,0.46,16.8,12,42,0.5,21,0.818,9,"December 21, 2019",63.6,14,0.0,0,85.9,75.0,21,0.429,63,0.349,22,0.032,2,1.0,2,2,200,87.5,22.9,8,14,56,18.0,9.4,6,0.6509999999999999,41,0.244,10,46.0,29,0.43799999999999994,11.1,8,22,0.545,12,0.818,9,"Wells Fargo Center, Philadelphia, Pennsylvania",KANSAS,Kansas,64.4,Home,VILLANOVA,Villanova,Villanova,big-east,10,True,False,True,Home,True,10,12,63,29,63,3,21,55,1,0,96,190,590,0.5661016949152542,335,606,0.5528052805280528,74,191,596,0.5067114093959731,0.8
11,2019-12-30-18-villanova,51.9,14,16.2,6,95.8,67.6,23,0.474,58,0.466,27,0.172,10,0.7,7,3,200,87.3,17.2,5,18,62,,8.5,6,0.19,11,0.091,1,44.4,28,0.494,18.3,14,47,0.5529999999999999,26,0.7859999999999999,11,"December 30, 2019",60.0,15,6.4,3,87.3,82.8,24,0.46,62,0.40299999999999997,25,0.258,16,0.688,11,2,200,95.8,32.4,11,15,68,10.0,9.9,7,0.40299999999999997,25,0.28,7,55.6,35,0.489,13.7,11,37,0.486,18,0.833,10,"Finneran Pavilion, Villanova, Pennsylvania",XAVIER,Xavier,70.7,Home,VILLANOVA,Villanova,Villanova,big-east,11,True,False,True,Home,True,7,18,62,35,63,1,26,58,1,0,106,202,653,0.552833078101072,364,669,0.5440956651718983,77,212,651,0.5030721966205837,0.8181818181818182
12,2020-01-04-14-marquette,37.5,9,3.0,1,98.6,80.0,28,0.419,68,0.353,24,0.07400000000000001,5,0.6,3,3,200,83.3,24.4,10,24,60,10.0,6.9,5,0.5589999999999999,38,0.237,9,50.0,38,0.426,14.6,12,30,0.5,15,0.769,10,"January 4, 2020",45.0,9,23.3,7,83.3,75.6,31,0.41700000000000004,54,0.37,20,0.556,30,0.867,26,3,200,98.6,20.0,7,13,71,,11.1,8,0.389,21,0.23800000000000002,5,50.0,38,0.52,13.0,10,33,0.455,15,0.7859999999999999,11,"Fiserv Forum, Milwaukee, Wisconsin",VILLANOVA,Villanova,71.8,Home,MARQUETTE,Marquette,Villanova,big-east,12,False,False,False,Away,False,9,15,68,38,76,5,15,54,0,1,113,220,715,0.5447552447552447,399,732,0.5450819672131147,78,238,709,0.5007052186177715,0.8333333333333334
13,2020-01-07-21-creighton,47.8,11,10.3,4,90.8,90.3,28,0.426,61,0.377,23,0.213,13,0.9229999999999999,12,3,200,98.5,22.2,8,14,64,16.0,9.2,6,0.541,33,0.182,6,53.7,36,0.47600000000000003,7.0,5,28,0.607,17,0.7859999999999999,11,"January 7, 2020",45.5,10,7.1,2,98.5,77.8,28,0.44299999999999995,53,0.415,22,0.28300000000000003,15,0.8,12,4,200,90.8,9.7,3,16,59,,3.1,2,0.264,14,0.214,3,46.3,31,0.491,13.1,9,39,0.48700000000000004,19,0.75,12,"CenturyLink Center, Omaha, Nebraska",CREIGHTON,Creighton,65.2,Away,VILLANOVA,Villanova,Villanova,big-east,13,False,False,False,Away,True,6,17,61,36,67,3,19,53,1,0,122,235,783,0.5338441890166028,437,808,0.5408415841584159,83,253,763,0.4947575360419397,0.7692307692307693
14,2020-01-11-12-villanova,57.7,15,10.7,3,117.6,77.8,21,0.483,59,0.441,26,0.22,13,0.6920000000000001,9,6,200,97.1,20.0,6,13,66,,5.9,4,0.271,16,0.313,5,47.4,27,0.506,11.0,8,43,0.488,21,0.647,11,"January 11, 2020",74.1,20,4.7,2,97.1,80.0,24,0.605,57,0.474,27,0.228,13,0.846,11,3,200,117.6,22.2,6,15,80,16.0,7.4,5,0.509,29,0.517,15,52.6,30,0.633,14.9,11,28,0.429,12,0.8,12,"Wells Fargo Center, Philadelphia, Pennsylvania",GEORGETOWN,Georgetown,67.7,Home,VILLANOVA,Villanova,Villanova,big-east,14,True,False,True,Home,True,15,12,57,30,57,5,21,59,1,0,128,252,844,0.5260663507109005,473,875,0.5405714285714286,86,272,816,0.491421568627451,0.7857142857142857
15,2020-01-14-20-villanova,41.9,13,23.3,7,105.3,79.3,23,0.531,65,0.47700000000000004,31,0.154,10,0.6,6,5,225,100.0,33.3,11,21,75,,13.3,10,0.27699999999999997,18,0.389,7,54.8,34,0.5379999999999999,19.7,17,47,0.511,24,0.706,12,"January 14, 2020",60.0,15,6.4,3,100.0,66.7,22,0.526,58,0.431,25,0.36200000000000004,21,0.857,18,3,225,105.3,20.7,6,11,79,14.0,9.3,7,0.483,28,0.39299999999999996,11,45.2,28,0.581,16.2,13,30,0.467,14,0.812,13,"Finneran Pavilion, Villanova, Pennsylvania",DEPAUL,DePaul,67.0,Home,VILLANOVA,Villanova,Villanova,big-east,15,True,False,True,Home,True,11,14,58,28,62,7,24,65,1,0,143,264,901,0.5310765815760267,503,932,0.5396995708154506,91,293,875,0.4908571428571429,0.8
16,2020-01-18-12-villanova,40.0,10,23.1,6,95.3,79.3,23,0.51,51,0.49,25,0.059000000000000004,3,1.0,3,7,200,85.9,11.1,2,16,55,,1.6,1,0.294,15,0.133,2,53.2,25,0.525,23.4,16,36,0.639,23,0.588,10,"January 18, 2020",63.2,12,8.3,3,85.9,88.9,16,0.5,49,0.38799999999999996,19,0.327,16,0.75,12,3,200,95.3,20.7,6,12,61,14.0,14.1,9,0.469,23,0.478,11,46.8,22,0.539,15.1,10,26,0.308,8,0.8240000000000001,14,"Wells Fargo Center, Philadelphia, Pennsylvania",CONNECTICUT,UConn,63.5,Home,VILLANOVA,Villanova,Villanova,big-east,16,True,False,True,Home,True,11,8,49,22,47,2,23,51,1,0,154,278,959,0.5307612095933264,531,994,0.53420523138833,98,317,940,0.4936170212765957,0.8125
17,2020-01-21-19-villanova,50.0,13,8.3,3,111.8,79.4,27,0.445,64,0.406,26,0.125,8,0.5,4,4,200,89.7,18.4,7,19,61,13.0,7.4,5,0.313,20,0.25,5,47.2,34,0.45,6.9,5,44,0.47700000000000004,21,0.789,15,"January 21, 2020",65.2,15,4.5,2,89.7,81.6,31,0.451,61,0.377,23,0.377,23,0.9129999999999999,21,3,200,111.8,20.6,7,10,76,9.0,2.9,2,0.41,25,0.36,9,52.8,38,0.528,7.8,6,36,0.389,14,0.833,15,"Finneran Pavilion, Villanova, Pennsylvania",BUTLER,Butler,68.4,Home,VILLANOVA,Villanova,Villanova,big-east,17,True,False,True,Home,True,9,14,61,38,72,5,21,64,1,0,165,286,1008,0.529265873015873,553,1041,0.5312199807877042,100,340,991,0.4944500504540868,0.8235294117647058
18,2020-01-25-13-providence,52.4,11,2.5,1,87.0,68.3,28,0.5,48,0.43799999999999994,21,0.45799999999999996,22,0.727,16,3,200,92.8,3.6,1,19,64,9.0,10.1,7,0.43799999999999994,21,0.28600000000000003,6,42.0,29,0.547,14.8,10,27,0.556,15,0.8420000000000001,16,"January 25, 2020",20.0,4,3.7,1,92.8,96.4,27,0.341,63,0.317,20,0.349,22,0.773,17,10,200,87.0,31.7,13,20,60,,7.2,5,0.365,23,0.13,3,58.0,40,0.408,13.1,11,40,0.425,17,0.524,11,"Dunkin' Donuts Center, Providence, Rhode Island",PROVIDENCE,Providence,69.5,Away,VILLANOVA,Villanova,Villanova,big-east,18,False,False,False,Away,True,6,15,48,29,69,3,17,63,1,0,174,300,1069,0.5247895229186156,591,1113,0.5309973045822103,105,361,1055,0.4914691943127962,0.8333333333333334
19,2020-01-28-18-st-johns-ny,48.3,14,4.8,2,83.1,82.4,28,0.574,61,0.475,29,0.213,13,0.6920000000000001,9,3,200,111.3,28.1,9,8,79,8.0,9.9,7,0.475,29,0.414,12,56.1,37,0.588,16.3,13,32,0.531,17,0.85,17,"January 28, 2020",36.0,9,12.5,4,111.3,71.9,23,0.45899999999999996,61,0.41,25,0.066,4,0.75,3,9,200,83.1,17.6,6,11,59,,15.5,11,0.311,19,0.316,6,43.9,29,0.469,17.2,13,42,0.452,19,0.591,13,"Madison Square Garden (IV), New York, New York",ST-JOHNS-NY,St. John's (NY),70.5,Away,VILLANOVA,Villanova,Villanova,big-east,19,False,False,False,Away,True,12,17,61,37,66,6,19,61,1,0,180,315,1117,0.5237242614145031,620,1182,0.5245346869712352,108,378,1118,0.483005366726297,0.8421052631578947
20,2020-02-01-12-villanova,58.6,17,2.9,1,87.1,84.2,32,0.605,57,0.509,29,0.175,10,0.7,7,5,200,108.6,15.4,4,14,76,,8.6,6,0.386,22,0.5,11,56.3,36,0.615,16.3,12,35,0.514,18,0.773,17,"February 1, 2020",45.5,10,11.4,4,108.6,84.6,22,0.418,61,0.361,22,0.213,13,0.769,10,4,200,87.1,15.8,6,11,61,8.0,10.0,7,0.426,26,0.26899999999999996,7,43.8,28,0.45399999999999996,13.0,10,35,0.429,15,0.81,17,"Wells Fargo Center, Philadelphia, Pennsylvania",VILLANOVA,Villanova,70.5,Away,CREIGHTON,Creighton,Villanova,big-east,20,False,True,True,Home,False,7,15,61,28,64,11,18,57,0,1,192,332,1178,0.5263157894736842,657,1248,0.5264423076923077,114,397,1179,0.4817642069550466,0.85
21,2020-02-05-18-butler,30.8,8,5.1,2,129.5,81.0,17,0.555,55,0.473,26,0.382,21,0.7140000000000001,15,5,200,124.6,21.9,7,19,76,10.0,3.3,2,0.309,17,0.529,9,45.3,24,0.585,3.0,2,38,0.447,17,0.773,17,"February 5, 2020",33.3,10,5.3,2,124.6,78.1,25,0.635,52,0.5770000000000001,30,0.327,17,0.765,13,5,200,129.5,19.0,4,19,79,19.0,0.0,0,0.25,13,0.462,6,54.7,29,0.6579999999999999,9.2,6,39,0.615,24,0.7829999999999999,18,"Hinkle Fieldhouse, Indianapolis, Indiana",VILLANOVA,Villanova,61.0,Home,BUTLER,Butler,Villanova,big-east,21,False,False,False,Away,False,9,17,55,24,53,6,24,52,0,1,199,347,1239,0.5209846650524617,685,1312,0.5221036585365854,125,415,1236,0.4874595469255664,0.8095238095238095
22,2020-02-08-14-villanova,41.7,10,20.6,7,92.8,86.1,31,0.491,58,0.414,24,0.259,15,0.867,13,5,200,101.4,30.3,10,17,70,12.0,7.2,5,0.36200000000000004,21,0.429,9,59.4,41,0.537,17.8,14,37,0.405,15,0.7829999999999999,18,"February 8, 2020",68.2,15,2.7,1,101.4,69.7,23,0.434,61,0.361,22,0.23,14,0.7859999999999999,11,6,200,92.8,13.9,5,18,64,10.0,7.2,5,0.44299999999999995,27,0.33299999999999996,9,40.6,28,0.473,9.4,7,34,0.382,13,0.7390000000000001,17,"Wells Fargo Center, Philadelphia, Pennsylvania",VILLANOVA,Villanova,69.4,Away,SETON-HALL,Seton Hall,Villanova,big-east,22,False,True,True,Home,False,9,13,61,28,69,9,15,58,0,1,208,364,1294,0.5224111282843895,709,1365,0.5194139194139195,131,439,1288,0.4934006211180124,0.7727272727272727
23,2020-02-12-20-villanova,44.0,11,10.3,3,104.3,76.5,26,0.47700000000000004,64,0.391,25,0.25,16,0.625,10,7,200,102.9,28.2,11,16,71,18.0,5.8,4,0.43799999999999994,28,0.39299999999999996,11,50.7,37,0.496,12.3,10,36,0.389,14,0.708,17,"February 12, 2020",58.3,14,8.3,3,102.9,71.8,28,0.475,60,0.4,24,0.35,21,0.7140000000000001,15,6,200,104.3,23.5,8,14,72,15.0,7.2,5,0.517,31,0.29,9,49.3,36,0.514,6.7,5,29,0.517,15,0.75,18,"Finneran Pavilion, Villanova, Pennsylvania",MARQUETTE,Marquette,68.8,Home,VILLANOVA,Villanova,Villanova,big-east,23,True,False,True,Home,True,9,15,60,36,73,11,14,64,1,0,217,377,1355,0.518450184501845,737,1434,0.5139470013947002,140,454,1346,0.4933135215453195,0.7391304347826086
24,2020-02-16-13-temple,59.3,16,2.3,1,82.4,82.4,28,0.602,59,0.45799999999999996,27,0.102,6,0.833,5,6,200,111.8,25.9,7,12,76,15.0,4.4,3,0.61,36,0.47200000000000003,17,57.4,35,0.614,16.3,12,23,0.435,10,0.76,19,"February 16, 2020",40.9,9,13.0,3,111.8,74.1,20,0.38299999999999995,60,0.3670000000000001,22,0.217,13,0.769,10,12,200,82.4,17.6,6,12,56,,4.4,3,0.267,16,0.125,2,42.6,26,0.423,12.0,9,44,0.455,20,0.52,13,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,68.0,Away,VILLANOVA,Villanova,Villanova,big-east,24,False,False,False,Away,True,17,10,59,35,61,2,20,60,1,0,226,392,1415,0.5166077738515901,773,1507,0.5129396151293961,151,468,1410,0.4925531914893617,0.75
25,2020-02-19-21-depaul,66.7,22,2.1,1,98.6,81.8,27,0.7240000000000001,58,0.569,33,0.155,9,0.778,7,6,200,126.4,25.9,7,19,91,12.0,6.9,5,0.44799999999999995,26,0.6920000000000001,18,56.7,34,0.731,20.5,16,32,0.469,15,0.769,20,"February 19, 2020",53.6,15,12.5,4,126.4,74.1,20,0.508,59,0.475,28,0.33899999999999997,20,0.55,11,13,200,98.6,18.2,6,14,71,,11.1,8,0.203,12,0.33299999999999996,4,43.3,26,0.518,12.9,10,47,0.511,24,0.5,13,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,71.9,Away,VILLANOVA,Villanova,Villanova,big-east,25,False,False,False,Away,True,18,15,58,34,60,4,24,59,1,0,243,402,1474,0.5200135685210312,808,1568,0.5153061224489796,153,488,1470,0.4880952380952381,0.76
26,2020-02-22-14-xavier,53.8,14,4.5,2,80.9,78.9,30,0.46799999999999997,63,0.413,26,0.079,5,1.0,5,6,200,94.1,17.1,6,15,64,12.0,11.8,8,0.46,29,0.24100000000000002,7,49.3,36,0.489,12.1,9,34,0.5589999999999999,19,0.778,21,"February 22, 2020",55.0,11,2.9,1,94.1,82.9,29,0.384,56,0.35700000000000004,20,0.28600000000000003,16,0.75,12,10,200,80.9,21.1,8,10,55,,8.8,6,0.214,12,0.25,3,50.7,37,0.4320000000000001,17.1,13,44,0.386,17,0.63,17,"Cintas Center, Cincinnati, Ohio",XAVIER,Xavier,68.5,Away,VILLANOVA,Villanova,Villanova,big-east,26,False,False,False,Away,True,7,19,63,36,73,3,17,56,1,0,261,417,1532,0.5277415143603134,842,1628,0.5171990171990172,157,512,1529,0.4888816219751472,0.7692307692307693
