,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA_homegame,NORTH-CAROLINA_homegame2,NORTH-CAROLINA_home,NORTH-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-north-carolina,66.7,16,0.0,0,102.7,64.5,20,0.419,68,0.353,24,0.20600000000000002,14,0.5710000000000001,8,1,200,87.8,14.3,6,13,65,,13.5,10,0.456,31,0.29,9,35.6,26,0.435,7.5,6,37,0.405,15,0.0,0,"November 6, 2019",55.6,15,10.8,4,87.8,85.7,36,0.542,59,0.45799999999999996,27,0.28800000000000003,17,0.588,10,0,200,102.7,35.5,11,15,74,9.0,2.7,2,0.33899999999999997,20,0.5,10,64.4,47,0.5670000000000001,20.4,17,39,0.436,17,1.0,1,"Dean Smith Center, Chapel Hill, North Carolina",NOTRE-DAME,Notre Dame,73.9,Home,NORTH-CAROLINA,UNC,North Carolina,acc,0,True,False,True,Home,True,10,17,59,47,73,9,15,68,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-north-carolina-wilmington,48.1,13,6.8,3,78.5,77.6,38,0.431,72,0.375,27,0.41700000000000004,30,0.5329999999999999,16,0,200,98.7,26.0,13,15,78,9.0,6.3,5,0.34700000000000003,25,0.32,8,51.5,51,0.452,8.6,8,47,0.40399999999999997,19,1.0,2,"November 8, 2019",48.0,12,0.0,0,98.7,74.0,37,0.382,72,0.34700000000000003,25,0.153,11,0.636,7,1,200,78.5,22.4,11,22,62,,6.3,5,0.389,28,0.179,5,48.5,48,0.401,12.5,11,44,0.455,20,0.5,1,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,79.2,Away,NORTH-CAROLINA,UNC,North Carolina,acc,1,False,False,False,Away,True,8,19,72,51,99,5,20,72,1,0,10,17,59,0.5423728813559322,47,73,0.6438356164383562,9,15,68,0.4191176470588235,1.0
2,2019-11-15-21-north-carolina,47.6,10,5.1,2,101.3,66.7,16,0.41200000000000003,57,0.368,21,0.316,18,0.778,14,3,200,80.3,8.8,3,18,61,,11.8,9,0.40399999999999997,23,0.217,5,32.8,19,0.465,16.7,13,34,0.47100000000000003,16,0.0,0,"November 15, 2019",73.1,19,14.7,5,80.3,91.2,31,0.509,57,0.456,26,0.439,25,0.76,19,0,200,101.3,33.3,8,17,77,6.0,11.8,9,0.316,18,0.33299999999999996,6,67.2,39,0.5589999999999999,19.0,16,39,0.513,20,1.0,3,"Dean Smith Center, Chapel Hill, North Carolina",GARDNER-WEBB,Gardner-Webb,76.2,Home,NORTH-CAROLINA,UNC,North Carolina,acc,2,True,False,True,Home,True,6,20,57,39,58,5,16,57,1,0,18,36,131,0.4809160305343512,98,172,0.5697674418604651,14,35,140,0.4,1.0
3,2019-11-20-20-north-carolina,55.0,11,4.1,2,102.7,53.1,17,0.413,63,0.317,20,0.14300000000000002,9,1.0,9,3,200,83.6,12.5,5,22,61,,6.8,5,0.508,32,0.375,12,30.6,22,0.45299999999999996,13.0,10,31,0.258,8,0.4,2,"November 20, 2019",65.5,19,22.6,7,83.6,87.5,35,0.449,68,0.426,29,0.33799999999999997,23,0.609,14,0,200,102.7,46.9,15,13,75,5.0,5.5,4,0.27899999999999997,19,0.158,3,69.4,50,0.475,11.3,10,49,0.531,26,1.0,4,"Dean Smith Center, Chapel Hill, North Carolina",ELON,Elon,73.1,Home,NORTH-CAROLINA,UNC,North Carolina,acc,3,True,False,True,Home,True,3,26,68,50,72,12,8,63,1,0,24,56,188,0.4893617021276596,137,230,0.5956521739130435,19,51,197,0.4035532994923858,1.0
4,2019-11-27-14-alabama,51.7,15,8.1,3,83.8,80.0,32,0.444,71,0.408,29,0.29600000000000004,21,0.619,13,0,200,95.0,50.0,19,19,76,6.0,10.0,8,0.19699999999999998,14,0.35700000000000004,5,65.4,51,0.469,20.0,20,57,0.42100000000000004,24,1.0,5,"November 27, 2019",46.2,12,7.0,4,95.0,50.0,19,0.46299999999999997,68,0.382,26,0.132,9,0.444,4,3,200,83.8,20.0,8,23,67,,7.5,6,0.456,31,0.355,11,34.6,27,0.46399999999999997,16.3,14,37,0.405,15,0.4,2,"Imperial Arena at Atlantis Resort, Paradise Island",ALABAMA,Alabama,80.1,Away,NORTH-CAROLINA,UNC,North Carolina,acc,4,False,False,False,Away,True,5,24,71,51,78,11,15,68,1,0,27,82,256,0.478515625,187,302,0.6192052980132451,31,59,260,0.4057692307692308,1.0
5,2019-11-28-13-michigan,30.8,8,6.7,2,101.4,80.8,21,0.44299999999999995,61,0.426,26,0.32799999999999996,20,0.5,10,1,200,88.9,23.5,8,15,64,6.0,5.6,4,0.213,13,0.154,2,48.3,29,0.45399999999999996,13.6,11,48,0.5,24,0.833,5,"November 28, 2019",53.6,15,14.6,7,88.9,76.5,26,0.598,56,0.5,28,0.179,10,0.6,6,0,200,101.4,19.2,5,18,73,,9.7,7,0.46399999999999997,26,0.423,11,51.7,31,0.601,19.9,15,30,0.5670000000000001,17,1.0,6,"Imperial Arena at Atlantis Resort, Paradise Island",NORTH-CAROLINA,UNC,72.1,Home,MICHIGAN,Michigan,North Carolina,acc,5,False,False,False,Away,False,2,24,61,29,60,11,17,56,0,1,32,106,327,0.4709480122324159,238,380,0.6263157894736842,42,74,328,0.4176829268292683,1.0
6,2019-11-29-11-north-carolina,52.0,13,10.3,4,113.0,46.7,14,0.44299999999999995,70,0.35700000000000004,25,0.28600000000000003,20,0.6,12,2,200,107.2,40.5,17,18,74,11.0,11.6,8,0.429,30,0.4,12,43.1,31,0.465,8.2,7,40,0.325,13,0.75,6,"November 29, 2019",46.2,12,30.0,12,107.2,59.5,25,0.46799999999999997,62,0.419,26,0.33899999999999997,21,0.9520000000000001,20,1,200,113.0,53.3,16,18,78,6.0,5.8,4,0.371,23,0.261,6,56.9,41,0.542,15.4,13,39,0.513,20,0.857,6,"Imperial Arena at Atlantis Resort, Paradise Island",OREGON,Oregon,69.2,Home,NORTH-CAROLINA,UNC,North Carolina,acc,6,True,False,True,Home,True,6,20,62,41,72,12,13,70,1,0,34,130,388,0.4664948453608248,267,440,0.6068181818181818,53,91,384,0.4440104166666667,0.8333333333333334
7,2019-12-04-21-north-carolina,65.4,17,10.3,4,72.1,75.6,34,0.5539999999999999,56,0.46399999999999997,26,0.268,15,0.8,12,0,200,108.8,40.0,10,18,74,6.0,7.4,5,0.46399999999999997,26,0.385,10,62.9,44,0.586,19.3,15,30,0.5329999999999999,16,1.0,8,"December 4, 2019",58.8,10,16.7,5,108.8,60.0,15,0.331,62,0.27399999999999997,17,0.21,13,0.615,8,2,200,72.1,24.4,11,15,49,7.0,8.8,6,0.371,23,0.304,7,37.1,26,0.359,12.9,10,39,0.256,10,0.75,6,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,67.7,Away,OHIO-STATE,Ohio State,North Carolina,acc,7,False,True,True,Home,False,7,10,62,26,70,10,16,56,0,1,40,150,450,0.4666666666666667,308,512,0.6015625,65,104,454,0.4438325991189427,0.8571428571428571
8,2019-12-08-16-virginia,35.3,6,9.4,3,88.9,72.7,24,0.38,46,0.37,17,0.478,22,0.545,12,3,200,74.6,25.0,7,14,47,7.0,9.5,6,0.304,14,0.071,1,50.8,31,0.41600000000000004,17.7,12,32,0.5,16,0.667,6,"December 8, 2019",56.3,9,9.4,3,74.6,75.0,21,0.38799999999999996,49,0.327,16,0.51,25,0.72,18,1,200,88.9,27.3,9,18,56,5.0,12.7,8,0.34700000000000003,17,0.353,6,49.2,30,0.46,16.7,12,32,0.313,10,0.889,8,"John Paul Jones Arena, Charlottesville, Virginia",NORTH-CAROLINA,UNC,62.7,Home,VIRGINIA,Virginia,North Carolina,acc,8,False,False,False,Away,False,1,16,46,31,61,6,10,49,0,1,47,160,512,0.4501953125,334,582,0.5738831615120275,75,120,510,0.4558823529411765,0.75
9,2019-12-15-16-north-carolina,76.0,19,11.4,5,95.5,59.5,25,0.485,66,0.379,25,0.091,6,0.667,4,4,200,101.5,15.8,6,21,68,,11.9,8,0.606,40,0.35,14,38.8,31,0.494,6.8,5,26,0.423,11,0.636,7,"December 15, 2019",73.9,17,23.1,6,101.5,84.2,32,0.413,63,0.365,23,0.317,20,0.6,12,4,200,95.5,40.5,17,12,64,17.0,3.0,2,0.302,19,0.316,6,61.3,49,0.441,13.3,11,44,0.386,17,0.6,6,"Carmichael Arena, Chapel Hill, North Carolina",NORTH-CAROLINA,UNC,67.2,Away,WOFFORD,Wofford,North Carolina,acc,9,False,True,True,Home,False,6,17,63,49,80,14,11,66,0,1,48,176,558,0.4444444444444444,365,643,0.5676516329704511,81,130,559,0.44991055456171736,0.6666666666666666
