,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLLEGE-OF-CHARLESTON_homegame,COLLEGE-OF-CHARLESTON_homegame2,COLLEGE-OF-CHARLESTON_home,COLLEGE-OF-CHARLESTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-college-of-charleston,25.0,5,7.9,3,105.7,73.3,22,0.41100000000000003,56,0.35700000000000004,20,0.268,15,0.6,9,1,200,78.6,17.9,7,23,55,,4.3,3,0.35700000000000004,20,0.3,6,42.0,29,0.436,16.1,12,36,0.389,14,0.0,0,"November 5, 2019",28.0,7,2.8,1,78.6,82.1,32,0.473,56,0.446,25,0.5,28,0.75,21,0,200,105.7,26.7,8,15,74,,8.6,6,0.321,18,0.16699999999999998,3,58.0,40,0.534,12.8,10,38,0.579,22,1.0,1,"TD Arena, Charleston, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,69.7,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,0,True,False,True,Home,True,3,22,56,40,69,6,14,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-college-of-charleston,34.6,9,7.4,2,106.3,82.8,24,0.483,59,0.441,26,0.508,30,0.767,23,1,200,101.3,41.4,12,28,80,,8.9,7,0.271,16,0.313,5,62.1,36,0.546,20.8,19,43,0.488,21,0.5,1,"November 9, 2019",44.0,11,9.3,4,101.3,58.6,17,0.5660000000000001,53,0.47200000000000003,25,0.547,29,0.828,24,0,200,106.3,17.2,5,22,84,,11.4,9,0.491,26,0.385,10,37.9,22,0.629,18.6,15,27,0.556,15,1.0,2,"TD Arena, Charleston, South Carolina",GEORGIA-STATE,Georgia State,78.5,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,1,True,False,True,Home,True,10,15,53,22,58,5,21,59,1,0,3,22,56,0.4732142857142857,40,69,0.5797101449275363,6,14,56,0.4107142857142857,1.0
2,2019-11-13-21-college-of-charleston,71.4,20,16.0,4,84.4,72.7,24,0.602,54,0.519,28,0.16699999999999998,9,0.889,8,0,200,114.1,26.1,6,15,73,,15.6,10,0.389,21,0.429,9,53.6,30,0.626,16.0,11,33,0.5760000000000001,19,1.0,3,"November 13, 2019",52.9,9,3.0,1,114.1,73.9,17,0.375,52,0.327,17,0.308,16,0.938,15,1,200,84.4,27.3,9,12,54,,10.9,7,0.519,27,0.185,5,46.4,26,0.45299999999999996,19.2,14,25,0.48,12,0.667,2,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,63.9,Away,OKLAHOMA-STATE,Oklahoma State,College of Charleston,colonial,2,False,True,True,Home,False,5,12,52,26,56,9,19,54,0,1,13,37,109,0.518348623853211,62,127,0.4881889763779528,11,35,115,0.44782608695652176,1.0
3,2019-11-19-19-marshall,26.7,8,7.1,3,84.6,66.7,28,0.508,62,0.484,30,0.355,22,0.591,13,1,200,97.4,21.9,7,20,76,,11.5,9,0.226,14,0.214,3,47.3,35,0.524,15.4,13,48,0.563,27,0.75,3,"November 19, 2019",34.8,8,20.8,10,97.4,78.1,25,0.418,61,0.377,23,0.45899999999999996,28,0.536,15,3,200,84.6,33.3,14,20,66,,9.0,7,0.311,19,0.263,5,52.7,39,0.444,19.7,18,42,0.429,18,0.25,1,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,78.4,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,3,False,False,False,Away,True,3,27,62,35,74,5,18,61,1,0,18,49,161,0.4720496894409938,88,183,0.4808743169398907,20,54,169,0.4970414201183432,0.6666666666666666
4,2019-11-23-14-central-florida,50.0,14,0.0,0,105.9,63.0,17,0.5429999999999999,58,0.483,28,0.207,12,0.667,8,2,200,104.4,25.0,8,22,71,,8.8,6,0.293,17,0.41200000000000003,7,42.4,25,0.557,15.9,12,41,0.512,21,0.6,3,"November 23, 2019",60.9,14,4.9,2,104.4,75.0,24,0.47200000000000003,54,0.426,23,0.48100000000000004,26,0.8079999999999999,21,1,200,105.9,37.0,10,13,72,,4.4,3,0.259,14,0.35700000000000004,5,57.6,34,0.5429999999999999,14.4,11,40,0.45,18,0.75,3,"CFE Arena, Orlando, Florida",COLLEGE-OF-CHARLESTON,College of Charleston,67.5,Home,CENTRAL-FLORIDA,UCF,College of Charleston,colonial,4,False,False,False,Away,False,7,21,58,25,59,5,18,54,0,1,21,76,223,0.4820627802690583,123,257,0.4785992217898833,25,72,230,0.4760869565217392,0.75
5,2019-11-28-16-college-of-charleston,68.4,13,10.8,4,86.2,83.3,30,0.415,53,0.358,19,0.509,27,0.778,21,2,200,100.0,33.3,12,18,65,,6.2,4,0.396,21,0.28600000000000003,6,58.3,42,0.494,14.5,11,32,0.406,13,0.667,4,"November 28, 2019",42.9,9,9.4,3,100.0,66.7,24,0.445,55,0.382,21,0.255,14,0.5,7,3,200,86.2,16.7,6,23,56,,7.7,5,0.327,18,0.389,7,41.7,30,0.45399999999999996,14.1,10,37,0.37799999999999995,14,0.5,3,"Anaheim Convention Center, Anaheim, California",COLLEGE-OF-CHARLESTON,College of Charleston,65.2,Away,WAKE-FOREST,Wake Forest,College of Charleston,colonial,5,False,True,True,Home,False,7,14,55,30,72,6,13,53,0,1,28,97,281,0.494661921708185,148,316,0.4683544303797468,30,90,284,0.4753521126760563,0.6
6,2019-11-29-16-college-of-charleston,68.4,13,4.0,1,98.4,65.0,13,0.375,56,0.33899999999999997,19,0.321,18,0.722,13,4,200,85.9,20.6,7,17,55,,17.2,11,0.33899999999999997,19,0.21100000000000002,4,37.0,20,0.426,15.8,12,37,0.405,15,0.5,4,"November 29, 2019",50.0,10,10.8,4,85.9,79.4,27,0.563,40,0.5,20,0.475,19,0.9470000000000001,18,3,200,98.4,35.0,7,20,63,,9.4,6,0.375,15,0.33299999999999996,5,63.0,34,0.643,26.0,17,25,0.6,15,0.5710000000000001,4,"Anaheim Convention Center, Anaheim, California",PROVIDENCE,Providence,64.3,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,6,True,False,True,Home,True,5,15,40,34,54,4,15,56,1,0,35,111,336,0.4866071428571429,178,388,0.4587628865979381,36,103,337,0.4658753709198813,0.5
7,2019-12-01-16-central-florida,50.0,11,10.3,4,124.2,64.3,18,0.424,59,0.373,22,0.16899999999999998,10,0.6,6,4,200,90.3,30.6,11,17,56,,4.8,3,0.33899999999999997,20,0.3,6,45.3,29,0.439,13.6,10,39,0.41,16,0.5,4,"December 1, 2019",65.5,19,7.7,3,90.3,69.4,25,0.55,60,0.483,29,0.233,14,0.7859999999999999,11,2,200,124.2,35.7,10,12,77,,11.3,7,0.35,21,0.381,8,54.7,35,0.578,7.0,5,39,0.5379999999999999,21,0.7140000000000001,5,"Anaheim Convention Center, Anaheim, California",COLLEGE-OF-CHARLESTON,College of Charleston,62.2,Home,CENTRAL-FLORIDA,UCF,College of Charleston,colonial,7,False,False,False,Away,False,6,16,59,29,64,8,21,60,0,1,40,126,376,0.4946808510638298,212,442,0.4796380090497738,40,118,393,0.4529262086513995,0.5714285714285714
8,2019-12-08-14-college-of-charleston,60.0,12,23.3,10,102.7,70.3,26,0.365,63,0.317,20,0.111,7,0.5710000000000001,4,0,200,67.6,25.6,10,19,50,,2.7,2,0.444,28,0.214,6,47.4,36,0.377,21.4,18,35,0.4,14,0.0,0,"December 8, 2019",48.0,12,5.7,2,67.6,74.4,29,0.444,62,0.40299999999999997,25,0.46799999999999997,29,0.7240000000000001,21,4,200,102.7,29.7,11,13,76,,9.5,7,0.306,19,0.263,5,52.6,40,0.501,9.7,8,43,0.465,20,0.556,5,"TD Arena, Charleston, South Carolina","Coker
			","Coker
			",73.6,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,8,True,False,True,Home,True,5,20,62,40,76,6,14,63,1,0,46,142,435,0.4850574712643678,241,506,0.4762845849802372,48,139,453,0.4657836644591611,0.5
9,2019-12-14-17-richmond,22.2,6,2.9,1,114.7,75.0,21,0.4920000000000001,61,0.44299999999999995,27,0.23,14,0.7859999999999999,11,5,200,104.4,25.7,9,11,71,,11.8,8,0.426,26,0.231,6,47.6,30,0.525,14.1,11,35,0.6,21,0.5,5,"December 14, 2019",61.3,19,8.6,3,104.4,74.3,26,0.602,59,0.525,31,0.153,9,0.778,7,1,200,114.7,25.0,7,9,78,,10.3,7,0.424,25,0.36,9,52.4,33,0.616,13.7,10,34,0.647,22,0.9,9,"Robins Center, Richmond, Virginia",COLLEGE-OF-CHARLESTON,College of Charleston,68.0,Home,RICHMOND,Richmond,College of Charleston,colonial,9,False,False,False,Away,False,6,21,61,30,63,9,22,59,0,1,51,162,497,0.4798792756539235,281,582,0.4828178694158076,54,153,516,0.4534883720930232,0.5555555555555556
