,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HIGH-POINT_homegame,HIGH-POINT_homegame2,HIGH-POINT_home,HIGH-POINT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-high-point,62.5,15,7.8,4,75.7,76.7,33,0.5,56,0.429,24,0.35700000000000004,20,0.7,14,0,200,94.6,19.4,6,14,70,,5.4,4,0.429,24,0.33299999999999996,8,52.7,39,0.534,18.8,15,32,0.5,16,1.0,1,"November 5, 2019",30.0,6,15.6,5,94.6,80.6,25,0.33299999999999996,63,0.317,20,0.33299999999999996,21,0.667,14,1,200,75.7,23.3,10,16,56,,6.8,5,0.19,12,0.16699999999999998,2,47.3,35,0.384,13.2,11,51,0.353,18,0.0,0,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,74.2,Away,WILLIAM-MARY,William & Mary,High Point,big-south,0,False,True,True,Home,False,2,18,63,35,74,8,16,56,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-19-wofford,64.7,11,14.3,3,136.9,76.9,20,0.41700000000000004,48,0.354,17,0.542,26,0.8079999999999999,21,2,200,93.8,30.8,8,20,61,,3.1,2,0.313,15,0.4,6,53.8,28,0.505,15.6,11,33,0.33299999999999996,11,0.0,0,"November 9, 2019",67.9,19,21.2,7,93.8,69.2,18,0.612,58,0.483,28,0.36200000000000004,21,0.857,18,0,200,136.9,23.1,6,22,89,,12.3,8,0.638,37,0.405,15,46.2,24,0.655,5.6,4,21,0.619,13,1.0,2,"Richardson Indoor Stadium, Spartanburg, South Carolina",HIGH-POINT,High Point,64.7,Home,WOFFORD,Wofford,High Point,big-south,1,False,False,False,Away,False,6,11,48,28,52,15,13,58,0,1,2,18,63,0.3333333333333333,35,74,0.472972972972973,8,16,56,0.5,0.0
2,2019-11-13-19-boston-college,50.0,6,7.5,3,81.9,75.0,30,0.292,48,0.25,12,0.16699999999999998,8,0.625,5,3,200,45.8,25.7,9,15,33,,8.3,6,0.396,19,0.21100000000000002,4,52.0,39,0.319,35.2,28,29,0.276,8,0.0,0,"November 13, 2019",54.2,13,10.3,3,45.8,74.3,26,0.392,65,0.369,24,0.2,13,0.615,8,0,200,81.9,25.0,10,13,59,,22.2,16,0.385,25,0.12,3,48.0,36,0.414,15.5,13,40,0.525,21,1.0,3,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",HIGH-POINT,High Point,72.5,Home,BOSTON-COLLEGE,Boston College,High Point,big-south,2,False,False,False,Away,False,4,8,48,39,75,3,21,65,0,1,8,29,111,0.36936936936936937,63,126,0.5,23,29,114,0.5570175438596491,0.0
3,2019-11-18-19-belmont,42.1,8,10.3,4,115.4,74.2,23,0.371,58,0.32799999999999996,19,0.207,12,0.667,8,4,200,65.4,12.5,5,16,51,,7.7,6,0.32799999999999996,19,0.263,5,39.4,28,0.4,23.1,19,39,0.359,14,0.0,0,"November 18, 2019",60.0,21,15.4,6,65.4,87.5,35,0.585,71,0.493,35,0.155,11,0.636,7,1,200,115.4,25.8,8,11,90,,12.8,10,0.451,32,0.406,13,60.6,43,0.59,12.7,11,39,0.564,22,0.75,3,"Curb Event Center, Nashville, Tennessee",HIGH-POINT,High Point,78.5,Home,BELMONT,Belmont,High Point,big-south,3,False,False,False,Away,False,5,14,58,28,71,13,22,71,0,1,12,37,159,0.34591194968553457,102,201,0.5074626865671642,26,50,179,0.4972067039106145,0.0
4,2019-11-20-20-saint-louis,61.9,13,12.5,4,100.0,66.7,18,0.47100000000000003,51,0.41200000000000003,21,0.235,12,0.583,7,5,200,82.1,25.9,7,15,55,,10.4,7,0.33299999999999996,17,0.353,6,46.3,25,0.485,23.2,17,34,0.441,15,0.0,0,"November 20, 2019",59.3,16,14.7,5,82.1,74.1,20,0.565,54,0.5,27,0.222,12,0.5,6,1,200,100.0,33.3,9,12,67,,13.4,9,0.40700000000000003,22,0.318,7,53.7,29,0.561,21.3,16,32,0.625,20,0.8,4,"Chaifetz Arena, St. Louis, Missouri",HIGH-POINT,High Point,66.7,Home,SAINT-LOUIS,Saint Louis,High Point,big-south,4,False,False,False,Away,False,6,15,51,25,54,7,20,54,0,1,17,51,217,0.35253456221198154,130,272,0.4779411764705882,39,72,250,0.522,0.0
5,2019-11-23-14-high-point,77.8,21,9.1,4,98.7,50.0,21,0.595,58,0.466,27,0.5,29,0.7240000000000001,21,2,200,120.0,33.3,11,26,90,,13.3,10,0.552,32,0.469,15,42.7,32,0.627,17.5,15,26,0.462,12,0.6,3,"November 23, 2019",60.0,12,23.1,6,120.0,66.7,22,0.35200000000000004,61,0.32799999999999996,20,0.607,37,0.838,31,6,200,98.7,50.0,21,24,74,,8.0,6,0.27899999999999997,17,0.17600000000000002,3,57.3,43,0.47100000000000003,17.2,16,44,0.386,17,0.0,0,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,74.7,Away,EASTERN-WASHINGTON,Eastern Washington,High Point,big-south,5,False,True,True,Home,False,3,17,61,43,75,15,12,58,0,1,23,66,268,0.375,155,326,0.4754601226993865,46,92,304,0.5296052631578947,0.0
6,2019-11-26-19-high-point,55.6,15,13.7,7,108.4,53.8,21,0.532,63,0.429,27,0.19,12,0.5,6,0,200,88.0,23.3,7,24,73,,14.5,12,0.46,29,0.44799999999999995,13,40.6,28,0.531,25.2,23,34,0.41200000000000003,14,0.0,0,"November 26, 2019",58.1,18,14.7,5,88.0,76.7,23,0.47100000000000003,70,0.44299999999999995,31,0.44299999999999995,31,0.774,24,6,200,108.4,46.2,18,15,90,,14.5,12,0.271,19,0.21100000000000002,4,59.4,41,0.531,15.2,15,51,0.529,27,0.14300000000000002,1,"Millis Center, High Point, North Carolina","Greensboro
			","Greensboro
			",83.2,Home,HIGH-POINT,High Point,High Point,big-south,6,True,False,True,Home,True,4,27,70,41,69,13,14,63,1,0,26,83,329,0.3708206686930091,198,401,0.4937655860349127,61,104,362,0.5400552486187845,0.0
7,2019-12-02-19-north-florida,58.3,14,15.0,3,132.9,66.7,16,0.5,52,0.462,24,0.48100000000000004,25,0.72,18,7,200,100.0,29.0,9,15,70,,11.4,8,0.327,17,0.235,4,45.5,25,0.5479999999999999,18.2,14,35,0.5710000000000001,20,0.125,1,"December 2, 2019",75.9,22,11.4,4,100.0,71.0,22,0.682,55,0.527,29,0.364,20,0.9,18,4,200,132.9,33.3,8,18,93,,11.4,8,0.636,35,0.486,17,54.5,30,0.721,19.0,15,20,0.6,12,0.6,6,"UNF Arena , Jacksonville, Florida",HIGH-POINT,High Point,70.2,Home,NORTH-FLORIDA,North Florida,High Point,big-south,7,False,False,False,Away,False,4,20,52,25,55,17,12,55,0,1,30,110,399,0.3884711779448621,239,470,0.5085106382978724,74,118,425,0.5388235294117647,0.14285714285714285
8,2019-12-05-19-high-point,60.9,14,10.0,3,102.9,65.6,21,0.546,54,0.426,23,0.204,11,0.636,7,7,225,97.1,17.9,5,22,66,,4.4,3,0.537,29,0.44799999999999995,13,43.3,26,0.557,20.3,15,25,0.4,10,0.3,3,"December 5, 2019",63.2,12,20.0,5,97.1,82.1,23,0.436,55,0.345,19,0.545,30,0.733,22,7,225,102.9,34.4,11,15,70,,7.4,5,0.455,25,0.4,10,56.7,34,0.505,11.7,9,30,0.3,9,0.222,2,"Millis Center, High Point, North Carolina",ELON,Elon,60.7,Home,HIGH-POINT,High Point,High Point,big-south,8,True,False,True,Home,True,10,9,55,34,60,13,10,54,1,0,34,130,451,0.40133037694013296,264,525,0.5028571428571429,91,130,480,0.5552083333333333,0.125
9,2019-12-14-16-florida-atlantic,50.0,12,9.7,3,128.6,76.0,19,0.561,49,0.49,24,0.306,15,0.6,9,8,200,101.6,27.6,8,20,64,,1.6,1,0.3670000000000001,18,0.389,7,50.0,27,0.57,22.3,16,31,0.5479999999999999,17,0.2,2,"December 14, 2019",53.6,15,3.2,1,101.6,72.4,21,0.625,52,0.5379999999999999,28,0.442,23,0.696,16,4,200,128.6,24.0,6,16,81,,11.1,7,0.40399999999999997,21,0.429,9,50.0,27,0.644,7.4,5,31,0.613,19,0.6,6,"FAU Arena, Boca Raton, Florida",HIGH-POINT,High Point,63.0,Home,FLORIDA-ATLANTIC,Florida Atlantic,High Point,big-south,9,False,False,False,Away,False,7,17,49,27,54,9,19,52,0,1,44,139,506,0.4051383399209486,298,585,0.5094017094017094,104,140,534,0.5543071161048689,0.2222222222222222
