,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-ALABAMA_homegame,SOUTH-ALABAMA_homegame2,SOUTH-ALABAMA_home,SOUTH-ALABAMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-south-alabama,52.6,10,8.7,4,115.5,61.3,19,0.33899999999999997,59,0.322,19,0.271,16,0.688,11,0,200,71.8,34.2,13,20,51,,7.0,5,0.22,13,0.154,2,46.4,32,0.38299999999999995,20.5,17,46,0.37,17,0.0,0,"November 6, 2019",39.4,13,26.1,12,71.8,65.8,25,0.555,64,0.516,33,0.297,19,0.579,11,0,200,115.5,38.7,12,18,82,,16.9,12,0.281,18,0.278,5,53.6,37,0.561,12.1,10,46,0.609,28,1.0,1,"Mitchell Center, Mobile, Alabama","Pikeville
			","Pikeville
			",70.8,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,0,True,False,True,Home,True,5,28,64,37,69,2,17,59,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-south-alabama,42.9,12,9.4,3,110.3,80.6,25,0.508,61,0.45899999999999996,28,0.16399999999999998,10,0.7,7,1,200,101.5,41.9,13,18,69,,8.8,6,0.361,22,0.273,6,61.3,38,0.525,19.7,16,39,0.564,22,0.5,1,"November 9, 2019",41.7,10,10.3,4,101.5,58.1,18,0.491,54,0.444,24,0.444,24,0.917,22,0,200,110.3,19.4,6,12,75,,16.2,11,0.40700000000000003,22,0.22699999999999998,5,38.7,24,0.573,11.0,8,32,0.594,19,1.0,2,"Mitchell Center, Mobile, Alabama",SOUTHERN-MISSISSIPPI,Southern Miss,68.1,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,1,True,False,True,Home,True,5,19,54,24,62,6,22,61,1,0,5,28,64,0.5546875,37,69,0.5362318840579711,2,17,59,0.3389830508474576,1.0
2,2019-11-12-20-south-alabama,54.2,13,11.4,5,106.2,65.7,23,0.537,54,0.444,24,0.40700000000000003,22,0.545,12,0,200,107.7,27.8,10,16,70,22.0,4.6,3,0.444,24,0.41700000000000004,10,46.5,33,0.5429999999999999,14.7,11,30,0.467,14,1.0,3,"November 12, 2019",42.3,11,10.0,3,107.7,72.2,26,0.4920000000000001,59,0.441,26,0.28800000000000003,17,0.647,11,1,200,106.2,34.3,12,21,69,,12.3,8,0.254,15,0.4,6,53.5,38,0.514,11.9,9,44,0.455,20,0.667,2,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,64.8,Away,AUBURN,Auburn,South Alabama,sun-belt,2,False,True,True,Home,False,6,20,59,38,71,10,14,54,0,1,10,47,118,0.5254237288135594,61,131,0.4656488549618321,8,39,120,0.425,1.0
3,2019-11-15-19-chattanooga,47.8,11,10.0,4,128.6,61.3,19,0.48100000000000004,53,0.434,23,0.45299999999999996,24,0.875,21,2,200,102.9,27.6,8,20,72,,8.6,6,0.396,21,0.23800000000000002,5,45.0,27,0.5589999999999999,17.0,13,32,0.563,18,0.5,2,"November 15, 2019",55.9,19,6.3,2,102.9,72.4,21,0.637,62,0.5479999999999999,34,0.306,19,0.579,11,1,200,128.6,38.7,12,14,90,,2.9,2,0.355,22,0.5,11,55.0,33,0.634,14.6,12,40,0.575,23,0.75,3,"The McKenzie Arena, Chattanooga, Tennessee",SOUTH-ALABAMA,South Alabama,70.2,Home,CHATTANOOGA,Chattanooga,South Alabama,sun-belt,3,False,False,False,Away,False,5,18,53,27,60,11,23,62,0,1,16,67,177,0.5141242937853108,99,202,0.4900990099009901,18,53,174,0.4597701149425287,0.6666666666666666
4,2019-11-19-20-south-alabama,39.3,11,13.5,5,125.6,65.6,21,0.5,62,0.452,28,0.29,18,0.556,10,0,200,92.3,26.5,9,18,72,,7.7,6,0.306,19,0.316,6,45.5,30,0.51,18.6,16,43,0.512,22,0.0,0,"November 19, 2019",58.8,20,14.0,6,92.3,73.5,25,0.604,67,0.507,34,0.358,24,0.708,17,2,200,125.6,34.4,11,19,98,,9.0,7,0.44799999999999995,30,0.433,13,54.5,36,0.625,12.4,11,37,0.568,21,0.6,3,"Mitchell Center, Mobile, Alabama","Spring Hill
			","Spring Hill
			",78.0,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,4,True,False,True,Home,True,13,21,67,36,66,6,22,62,1,0,21,85,230,0.5065217391304347,126,262,0.4809160305343512,29,76,236,0.5063559322033898,0.5
5,2019-11-25-11-northeastern,30.8,8,13.9,5,91.2,75.9,22,0.609,46,0.565,26,0.522,24,0.75,18,2,200,108.8,31.6,6,13,74,,11.8,8,0.239,11,0.364,4,58.3,28,0.645,21.0,15,35,0.629,22,0.667,4,"November 25, 2019",37.5,9,5.7,2,108.8,68.4,13,0.491,55,0.436,24,0.182,10,0.8,8,3,200,91.2,24.1,7,18,62,,13.2,9,0.345,19,0.316,6,41.7,20,0.519,21.2,16,36,0.5,18,0.5,3,"Germain Arena, Estero, Florida",NORTHEASTERN,Northeastern,67.6,Away,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,5,False,False,False,Away,True,4,22,46,28,48,6,18,55,1,0,34,106,297,0.5286195286195287,162,328,0.4939024390243902,35,98,298,0.5050335570469798,0.6
6,2019-11-26-17-south-alabama,34.6,9,0.0,0,124.2,68.2,15,0.544,57,0.456,26,0.175,10,0.9,9,2,200,107.6,14.3,4,20,71,,3.0,2,0.42100000000000004,24,0.41700000000000004,10,38.0,19,0.575,14.0,10,33,0.485,16,0.667,4,"November 26, 2019",29.0,9,12.1,4,107.6,85.7,24,0.654,52,0.596,31,0.40399999999999997,21,0.667,14,2,200,124.2,31.8,7,11,82,,10.6,7,0.25,13,0.462,6,62.0,31,0.662,14.0,10,39,0.6409999999999999,25,0.7140000000000001,5,"Germain Arena, Estero, Florida",MIAMI-OH,Miami (OH),66.4,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,6,True,False,True,Home,True,6,25,52,31,50,10,16,57,1,0,38,128,343,0.5393586005830904,190,376,0.5053191489361702,41,116,353,0.5028328611898017,0.6666666666666666
7,2019-11-27-19-la-salle,33.3,8,19.4,6,103.8,82.1,23,0.48200000000000004,56,0.429,24,0.518,29,0.759,22,3,225,97.4,9.4,3,22,76,,12.8,10,0.35700000000000004,20,0.3,6,43.3,26,0.545,15.9,13,36,0.5,18,0.625,5,"November 27, 2019",34.6,9,11.1,4,97.4,90.6,29,0.565,54,0.48100000000000004,26,0.444,24,0.833,20,2,225,103.8,17.9,5,18,81,,7.7,6,0.426,23,0.391,9,56.7,34,0.619,18.9,15,31,0.5479999999999999,17,0.667,4,"Germain Arena, Estero, Florida",SOUTH-ALABAMA,South Alabama,69.0,Home,LA-SALLE,La Salle,South Alabama,sun-belt,7,False,False,False,Away,False,6,18,56,26,60,9,17,54,0,1,44,153,395,0.5544303797468354,221,426,0.5187793427230047,51,132,410,0.5085365853658537,0.7142857142857143
8,2019-12-08-14-richmond,50.0,10,6.1,2,111.9,81.5,22,0.39799999999999996,59,0.33899999999999997,20,0.254,15,0.667,10,4,200,85.1,26.2,11,9,57,,11.9,8,0.373,22,0.318,7,47.8,33,0.431,15.5,12,37,0.35100000000000003,13,0.556,5,"December 8, 2019",73.3,22,8.1,3,85.1,73.8,31,0.612,58,0.517,30,0.069,4,1.0,4,1,200,111.9,18.5,5,9,75,,13.4,9,0.431,25,0.44,11,52.2,36,0.626,16.7,12,33,0.5760000000000001,19,0.889,8,"Robins Center, Richmond, Virginia",SOUTH-ALABAMA,South Alabama,67.0,Home,RICHMOND,Richmond,South Alabama,sun-belt,8,False,False,False,Away,False,7,13,59,33,69,11,19,58,0,1,50,171,451,0.5454545454545454,247,486,0.5082304526748971,60,149,464,0.5150862068965517,0.625
9,2019-12-17-20-south-alabama,29.6,8,9.1,4,111.3,71.4,15,0.413,69,0.391,27,0.377,26,0.846,22,7,200,98.8,26.2,11,19,79,,11.3,9,0.24600000000000002,17,0.17600000000000002,3,41.3,26,0.486,10.1,9,52,0.462,24,0.222,2,"December 17, 2019",54.5,18,19.2,10,98.8,73.8,31,0.625,56,0.589,33,0.46399999999999997,26,0.731,19,4,200,111.3,28.6,6,22,89,,2.5,2,0.214,12,0.33299999999999996,4,58.7,37,0.6509999999999999,21.1,18,44,0.659,29,0.6,6,"Mitchell Center, Mobile, Alabama",ALABAMA-AM,Alabama A&M,79.9,Home,SOUTH-ALABAMA,South Alabama,South Alabama,sun-belt,9,True,False,True,Home,True,4,29,56,37,63,3,24,69,1,0,57,184,510,0.5284313725490196,280,555,0.5045045045045045,71,168,522,0.5258620689655172,0.5555555555555556
