,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IUPUI_homegame,IUPUI_homegame2,IUPUI_home,IUPUI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-18-butler,33.3,7,6.7,3,129.0,60.7,17,0.395,57,0.368,21,0.14,8,0.25,2,1,200,75.8,34.3,12,14,47,,8.1,5,0.368,21,0.14300000000000002,3,46.0,29,0.387,18.8,14,36,0.5,18,0.0,0,"November 6, 2019",60.0,21,11.1,4,75.8,65.7,23,0.644,59,0.593,35,0.153,9,0.444,4,0,200,129.0,39.3,11,13,80,,9.7,6,0.237,14,0.429,6,54.0,34,0.632,11.3,8,45,0.644,29,1.0,1,"Hinkle Fieldhouse, Indianapolis, Indiana",IUPUI,IUPUI,61.5,Home,BUTLER,Butler,IUPUI,horizon,0,False,False,False,Away,False,3,18,57,29,63,6,29,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-bradley,52.6,10,5.0,2,128.6,59.5,22,0.41700000000000004,54,0.35200000000000004,19,0.315,17,0.647,11,2,200,80.0,17.6,6,18,56,,5.7,4,0.444,24,0.292,7,39.4,28,0.451,19.6,15,30,0.4,12,0.0,0,"November 9, 2019",59.4,19,6.7,2,80.0,82.4,28,0.545,67,0.478,32,0.32799999999999996,22,0.773,17,1,200,128.6,40.5,15,15,90,,5.7,4,0.40299999999999997,27,0.33299999999999996,9,60.6,43,0.581,8.4,7,40,0.575,23,0.5,1,"Carver Arena, Peoria, Illinois",IUPUI,IUPUI,70.3,Home,BRADLEY,Bradley,IUPUI,horizon,1,False,False,False,Away,False,7,12,54,28,71,9,23,67,0,1,3,18,57,0.3947368421052632,29,63,0.4603174603174603,6,29,59,0.6440677966101694,0.0
2,2019-11-11-19-iupui,36.4,8,14.3,6,87.8,65.0,26,0.353,68,0.324,22,0.17600000000000002,12,0.583,7,0,200,67.1,10.9,5,14,55,,11.0,9,0.353,24,0.16699999999999998,4,36.0,31,0.373,15.1,13,44,0.409,18,0.0,0,"November 11, 2019",44.8,13,6.8,3,67.1,89.1,41,0.485,68,0.426,29,0.20600000000000002,14,0.429,6,2,200,87.8,35.0,14,20,72,,12.2,10,0.382,26,0.308,8,64.0,55,0.48200000000000004,22.1,21,42,0.5,21,0.33299999999999996,1,"Indiana Farmers Coliseum, Indianapolis, Indiana","Anderson (IN)
			","Anderson (IN)
			",81.7,Home,IUPUI,IUPUI,IUPUI,horizon,2,True,False,True,Home,True,8,21,68,55,86,4,18,68,1,0,10,30,111,0.40540540540540543,57,134,0.4253731343283582,15,52,126,0.5912698412698413,0.0
3,2019-11-13-19-south-florida,60.0,15,3.2,1,76.8,58.3,21,0.612,49,0.51,25,0.265,13,0.769,10,2,200,101.4,26.1,6,18,70,,14.5,10,0.38799999999999996,19,0.526,10,45.8,27,0.634,25.8,19,30,0.5,15,0.5,2,"November 13, 2019",40.0,8,10.0,3,101.4,73.9,17,0.41700000000000004,54,0.37,20,0.33299999999999996,18,0.444,8,2,200,76.8,41.7,15,14,53,,17.4,12,0.426,23,0.217,5,54.2,32,0.424,26.2,22,31,0.484,15,0.33299999999999996,1,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,68.9,Away,IUPUI,IUPUI,IUPUI,horizon,3,False,False,False,Away,True,10,15,49,27,59,5,15,54,1,0,18,51,179,0.4357541899441341,112,220,0.509090909090909,19,70,194,0.5077319587628866,0.3333333333333333
4,2019-11-20-20-loyola-il,56.5,13,0.0,0,128.8,88.2,15,0.5,56,0.41100000000000003,23,0.161,9,0.667,6,3,200,93.9,33.3,9,20,62,,9.1,6,0.39299999999999996,22,0.455,10,54.5,24,0.514,20.0,15,34,0.382,13,0.4,2,"November 20, 2019",59.3,16,11.8,4,93.9,66.7,18,0.716,44,0.614,27,0.545,24,0.917,22,2,200,128.8,11.8,2,15,85,,10.6,7,0.364,16,0.563,9,45.5,20,0.767,19.2,13,28,0.643,18,0.6,3,"Joseph J. Gentile Center, Chicago, Illinois",IUPUI,IUPUI,66.3,Home,LOYOLA-IL,Loyola (IL),IUPUI,horizon,4,False,False,False,Away,False,10,13,56,24,44,9,18,44,0,1,28,66,228,0.4736842105263158,139,279,0.4982078853046595,24,85,248,0.4879032258064516,0.5
5,2019-11-25-17-loyola-md,55.2,16,0.0,0,105.2,86.2,25,0.5579999999999999,60,0.483,29,0.317,19,0.526,10,4,200,100.0,28.1,9,23,77,,14.3,11,0.3670000000000001,22,0.409,9,55.7,34,0.5579999999999999,20.8,18,38,0.526,20,0.33299999999999996,2,"November 25, 2019",71.4,20,5.3,2,100.0,71.9,23,0.639,54,0.519,28,0.35200000000000004,19,0.632,12,3,200,105.2,13.8,4,16,81,,14.3,11,0.537,29,0.44799999999999995,13,44.3,27,0.643,21.4,17,25,0.6,15,0.5,3,"Baxter Arena, Omaha, Nebraska",IUPUI,IUPUI,77.0,Home,LOYOLA-MD,Loyola (MD),IUPUI,horizon,5,False,False,False,Away,False,9,20,60,34,61,13,15,54,0,1,38,79,284,0.4788732394366197,163,323,0.5046439628482973,33,103,292,0.5222602739726028,0.4
6,2019-11-26-17-southern,48.1,13,9.3,4,122.1,69.2,18,0.545,56,0.48200000000000004,27,0.429,24,0.667,16,5,200,113.2,25.0,9,17,77,,5.9,4,0.35700000000000004,20,0.35,7,43.5,27,0.5710000000000001,11.9,9,36,0.556,20,0.28600000000000003,2,"November 26, 2019",50.0,17,2.8,1,113.2,75.0,27,0.625,60,0.5670000000000001,34,0.2,12,0.667,8,4,200,122.1,30.8,8,21,83,,2.9,2,0.28300000000000003,17,0.41200000000000003,7,56.5,35,0.632,14.4,11,43,0.628,27,0.429,3,"Baxter Arena, Omaha, Nebraska",IUPUI,IUPUI,68.1,Home,SOUTHERN,Southern,IUPUI,horizon,6,False,False,False,Away,False,7,20,56,27,62,7,27,60,0,1,47,99,344,0.4927325581395349,197,384,0.5130208333333334,46,118,346,0.5404624277456648,0.3333333333333333
7,2019-11-30-19-iupui,44.0,11,10.0,4,92.8,80.0,28,0.4370000000000001,63,0.397,25,0.302,19,0.789,15,3,200,101.4,30.6,11,20,70,,4.3,3,0.365,23,0.217,5,54.9,39,0.486,10.1,8,40,0.5,20,0.625,5,"November 30, 2019",56.5,13,2.5,1,101.4,69.4,25,0.44,58,0.397,23,0.414,24,0.542,13,6,200,92.8,20.0,7,19,64,,2.9,2,0.31,18,0.278,5,45.1,32,0.461,9.3,7,40,0.45,18,0.25,2,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,69.2,Away,EVANSVILLE,Evansville,IUPUI,horizon,7,False,True,True,Home,False,5,18,58,32,71,5,20,63,0,1,54,119,400,0.5,224,446,0.5022421524663677,53,145,406,0.5529556650246306,0.2857142857142857
8,2019-12-04-19-morehead-state,42.9,9,10.3,4,80.0,77.5,31,0.4,60,0.35,21,0.16699999999999998,10,0.3,3,7,200,72.9,18.6,8,17,51,,10.0,7,0.28300000000000003,17,0.353,6,47.0,39,0.39399999999999996,17.9,14,43,0.349,15,0.222,2,"December 4, 2019",63.6,14,18.6,8,72.9,81.4,35,0.39299999999999996,61,0.361,22,0.23,14,0.5710000000000001,8,4,200,80.0,22.5,9,12,56,,8.6,6,0.361,22,0.182,4,53.0,44,0.414,14.1,11,39,0.462,18,0.556,5,"Ellis T. Johnson Arena, Morehead, Kentucky",IUPUI,IUPUI,70.2,Home,MOREHEAD-STATE,Morehead State,IUPUI,horizon,8,False,False,False,Away,False,6,15,60,39,83,4,18,61,0,1,59,137,458,0.4923580786026201,256,517,0.4951644100580271,58,165,469,0.5373134328358209,0.25
9,2019-12-07-13-ball-state,10.5,2,0.0,0,139.7,68.0,17,0.341,63,0.302,19,0.302,19,0.579,11,8,200,74.0,36.6,15,23,54,,5.5,4,0.222,14,0.35700000000000004,5,48.5,32,0.375,18.3,16,49,0.28600000000000003,14,0.2,2,"December 7, 2019",62.5,20,16.3,8,74.0,63.4,26,0.6809999999999999,58,0.552,32,0.5,29,0.7929999999999999,23,4,200,139.7,32.0,8,15,102,,12.3,9,0.586,34,0.441,15,51.5,34,0.711,11.3,9,24,0.708,17,0.556,5,"Worthen Arena, Muncie, Indiana",IUPUI,IUPUI,72.9,Home,BALL-STATE,Ball State,IUPUI,horizon,9,False,False,False,Away,False,5,14,63,32,66,15,17,58,0,1,65,152,518,0.4816602316602317,295,600,0.4916666666666666,62,183,530,0.5207547169811321,0.2222222222222222
