,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEVADA-LAS-VEGAS_homegame,NEVADA-LAS-VEGAS_homegame2,NEVADA-LAS-VEGAS_home,NEVADA-LAS-VEGAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-nevada-las-vegas,42.9,12,11.4,4,117.8,64.0,16,0.534,58,0.483,28,0.22399999999999998,13,0.6920000000000001,9,1,200,97.3,6.3,2,21,71,,13.7,10,0.379,22,0.273,6,31.6,18,0.5529999999999999,14.7,11,36,0.611,22,0.0,0,"November 5, 2019",60.7,17,11.1,4,97.3,93.8,30,0.583,54,0.519,28,0.519,28,0.821,23,0,200,117.8,36.0,9,16,86,,4.1,3,0.35200000000000004,19,0.368,7,68.4,39,0.639,17.4,14,35,0.6,21,1.0,1,"Thomas & Mack Center, Las Vegas, Nevada",IPFW,Purdue-Fort Wayne,72.7,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,0,True,False,True,Home,True,7,21,54,39,57,6,22,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-nevada-las-vegas,59.1,13,9.4,3,77.8,55.6,20,0.40700000000000003,59,0.373,22,0.22,13,0.9229999999999999,12,0,225,83.3,36.1,13,19,60,,12.5,9,0.39,23,0.174,4,45.8,33,0.46,23.6,20,36,0.5,18,1.0,2,"November 9, 2019",35.0,7,13.9,5,83.3,63.9,23,0.405,58,0.345,20,0.24100000000000002,14,0.643,9,1,225,77.8,44.4,16,18,56,,12.5,9,0.44799999999999995,26,0.26899999999999996,7,54.2,39,0.433,26.4,23,32,0.406,13,0.5,1,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,63.9,Away,KANSAS-STATE,Kansas State,Nevada-Las Vegas,mwc,1,False,True,True,Home,False,7,13,58,39,72,4,18,59,0,1,7,21,54,0.5833333333333334,39,57,0.6842105263157895,6,22,58,0.5344827586206896,1.0
2,2019-11-12-23-california,33.3,10,8.3,3,112.9,75.0,21,0.54,62,0.484,30,0.19399999999999998,12,0.667,8,2,225,107.1,34.6,9,22,75,,2.9,2,0.242,15,0.467,7,55.6,30,0.5539999999999999,15.1,12,47,0.489,23,0.33299999999999996,1,"November 12, 2019",37.9,11,14.9,7,107.1,65.4,17,0.579,57,0.509,29,0.33299999999999996,19,0.684,13,0,225,112.9,25.0,7,16,79,,7.1,5,0.368,21,0.381,8,44.4,24,0.598,13.3,10,36,0.583,21,1.0,2,"Haas Pavilion, Berkeley, California",NEVADA-LAS-VEGAS,UNLV,62.1,Home,CALIFORNIA,California,Nevada-Las Vegas,mwc,2,False,False,False,Away,False,7,23,62,30,54,8,21,57,0,1,14,34,112,0.4910714285714286,78,129,0.6046511627906976,10,40,117,0.4700854700854701,0.5
3,2019-11-15-23-ucla,22.7,5,7.7,2,109.2,69.2,18,0.447,57,0.386,22,0.07,4,0.75,3,3,200,83.1,24.2,8,15,54,,6.2,4,0.40399999999999997,23,0.304,7,44.1,26,0.45799999999999996,20.3,15,34,0.441,15,0.25,1,"November 15, 2019",45.8,11,14.7,5,83.1,75.8,25,0.5920000000000001,49,0.49,24,0.327,16,0.813,13,0,200,109.2,30.8,8,11,71,,12.3,8,0.469,23,0.435,10,55.9,33,0.627,22.2,16,26,0.5379999999999999,14,1.0,3,"Pauley Pavilion, Los Angeles, California",NEVADA-LAS-VEGAS,UNLV,65.3,Home,UCLA,UCLA,Nevada-Las Vegas,mwc,3,False,False,False,Away,False,7,15,57,26,59,10,14,49,0,1,21,57,174,0.5086206896551724,108,183,0.5901639344262295,18,61,174,0.5057471264367817,0.3333333333333333
4,2019-11-18-22-nevada-las-vegas,72.7,16,3.6,1,112.5,69.6,16,0.4320000000000001,59,0.373,22,0.153,9,0.778,7,3,200,90.6,29.0,9,17,58,,9.4,6,0.441,26,0.26899999999999996,7,46.3,25,0.45799999999999996,14.9,11,33,0.455,15,0.25,1,"November 18, 2019",51.9,14,12.1,4,90.6,71.0,22,0.6,50,0.54,27,0.3,15,0.8,12,3,200,112.5,30.4,7,13,72,,6.3,4,0.44,22,0.273,6,53.7,29,0.63,17.5,12,28,0.75,21,0.4,2,"Thomas & Mack Center, Las Vegas, Nevada",ABILENE-CHRISTIAN,Abilene Christian,63.7,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,4,True,False,True,Home,True,6,21,50,29,54,7,15,59,1,0,28,72,231,0.4935064935064935,134,242,0.5537190082644629,28,75,223,0.5246636771300448,0.25
5,2019-11-20-22-nevada-las-vegas,59.1,13,26.7,8,89.1,67.7,21,0.44299999999999995,53,0.415,22,0.415,22,0.773,17,2,200,100.0,25.9,7,22,64,,12.5,8,0.245,13,0.231,3,48.3,28,0.504,12.6,9,40,0.475,19,0.667,4,"November 20, 2019",64.7,11,5.0,2,100.0,74.1,20,0.418,49,0.34700000000000003,17,0.429,21,0.762,16,4,200,89.1,32.3,10,22,57,,4.7,3,0.38799999999999996,19,0.368,7,51.7,30,0.483,19.4,14,30,0.33299999999999996,10,0.33299999999999996,2,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,64.2,Away,TEXAS-STATE,Texas State,Nevada-Las Vegas,mwc,5,False,True,True,Home,False,7,10,49,30,58,3,19,53,0,1,34,93,281,0.5124555160142349,163,296,0.5506756756756757,35,90,282,0.5053191489361702,0.4
6,2019-11-23-22-nevada-las-vegas,61.5,16,15.0,3,111.5,58.8,20,0.5770000000000001,52,0.5,26,0.231,12,1.0,12,0,200,118.0,16.7,4,20,72,,4.9,3,0.442,23,0.348,8,41.4,24,0.624,14.9,10,29,0.621,18,1.0,5,"November 23, 2019",78.9,15,17.2,5,118.0,83.3,20,0.47200000000000003,53,0.358,19,0.45299999999999996,24,0.75,18,5,200,111.5,41.2,14,14,68,,6.6,4,0.623,33,0.364,12,58.6,34,0.528,11.2,8,20,0.35,7,0.28600000000000003,2,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,61.1,Away,SOUTHERN-METHODIST,SMU,Nevada-Las Vegas,mwc,6,False,True,True,Home,False,12,7,53,34,58,8,18,52,0,1,41,103,330,0.4984848484848485,193,354,0.5451977401129944,38,109,335,0.4955223880597015,0.3333333333333333
7,2019-11-26-22-nevada-las-vegas,52.6,10,8.3,3,111.1,60.0,18,0.40700000000000003,54,0.35200000000000004,19,0.35200000000000004,19,0.684,13,6,200,79.2,18.2,6,21,57,,12.5,9,0.35200000000000004,19,0.316,6,38.1,24,0.452,18.3,14,35,0.371,13,0.14300000000000002,1,"November 26, 2019",65.6,21,14.3,5,79.2,81.8,27,0.652,56,0.5710000000000001,32,0.321,18,0.389,7,5,200,111.1,40.0,12,20,80,,12.5,9,0.35700000000000004,20,0.45,9,61.9,39,0.62,23.8,20,36,0.639,23,0.375,3,"Thomas & Mack Center, Las Vegas, Nevada",JACKSON-STATE,Jackson State,71.8,Home,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,7,True,False,True,Home,True,9,23,56,39,63,6,13,54,1,0,53,110,383,0.4947780678851175,227,412,0.5509708737864077,46,127,387,0.5064599483204134,0.2857142857142857
8,2019-11-30-19-cincinnati,55.0,11,2.4,1,91.1,81.6,31,0.397,63,0.317,20,0.317,20,0.75,15,6,225,82.3,23.1,9,22,65,,3.8,3,0.508,32,0.313,10,51.9,40,0.44799999999999995,17.3,15,31,0.32299999999999995,10,0.33299999999999996,3,"November 30, 2019",75.0,18,22.6,7,82.3,76.9,30,0.434,61,0.39299999999999996,24,0.475,29,0.655,19,2,225,91.1,18.4,7,14,72,,8.9,7,0.311,19,0.263,5,48.1,37,0.48100000000000004,13.0,11,42,0.452,19,0.7140000000000001,5,"Fifth Third Arena, Cincinnati, Ohio",NEVADA-LAS-VEGAS,UNLV,69.9,Home,CINCINNATI,Cincinnati,Nevada-Las Vegas,mwc,8,False,False,False,Away,False,10,10,63,40,77,5,19,61,0,1,62,133,439,0.5148063781321185,266,475,0.56,52,140,441,0.4943310657596372,0.375
9,2019-12-04-22-fresno-state,45.8,11,10.5,2,108.1,78.0,32,0.467,61,0.39299999999999996,24,0.574,35,0.6859999999999999,24,6,250,109.5,37.8,14,25,81,,4.1,3,0.426,26,0.34600000000000003,9,59.0,46,0.522,13.6,12,35,0.429,15,0.4,4,"December 4, 2019",69.6,16,20.0,7,109.5,62.2,23,0.4920000000000001,61,0.377,23,0.45899999999999996,28,0.7140000000000001,20,5,250,108.1,22.0,9,24,80,,6.8,5,0.6890000000000001,42,0.33299999999999996,14,41.0,32,0.5379999999999999,9.8,8,19,0.474,9,0.28600000000000003,2,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,59.6,Away,NEVADA-LAS-VEGAS,UNLV,Nevada-Las Vegas,mwc,9,False,False,False,Away,True,9,15,61,46,78,14,9,61,1,0,72,143,502,0.5,306,552,0.5543478260869565,57,159,502,0.4870517928286853,0.3333333333333333
