,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-STATE_homegame,TEXAS-STATE_homegame2,TEXAS-STATE_home,TEXAS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-15-18-texas-state,77.3,17,4.0,2,150.0,72.7,16,0.528,54,0.40700000000000003,22,0.204,11,0.727,8,0,200,83.3,5.9,2,13,65,,7.7,6,0.611,33,0.39399999999999996,13,32.1,18,0.5489999999999999,24.4,19,21,0.429,9,0.0,0,"December 15, 2019",43.8,21,9.5,2,83.3,94.1,32,0.7609999999999999,69,0.696,48,0.261,18,0.667,12,4,200,150.0,27.3,6,14,117,,15.4,12,0.275,19,0.474,9,67.9,38,0.754,10.5,9,50,0.78,39,0.636,7,"Strahan Coliseum, San Marcos, Texas","Bethany College (KS)
			","Bethany College (KS)
			",78.4,Home,TEXAS-STATE,Texas State,Texas State,sun-belt,10,True,False,True,Home,True,9,39,69,38,56,13,9,54,1,0,48,205,549,0.5045537340619308,317,625,0.5072,71,128,543,0.4318600368324125,0.6
11,2019-12-19-19-georgia-southern,52.0,13,4.0,1,97.1,60.0,18,0.561,49,0.51,25,0.28600000000000003,14,0.643,9,5,200,92.8,13.6,3,22,64,,7.2,5,0.306,15,0.33299999999999996,5,40.4,21,0.575,21.4,15,34,0.588,20,0.583,7,"December 19, 2019",52.4,11,14.7,5,92.8,86.4,19,0.49,50,0.42,21,0.58,29,0.621,18,4,200,97.1,40.0,12,19,67,,8.7,6,0.5,25,0.28,7,59.6,31,0.525,22.3,18,25,0.56,14,0.636,7,"Hanner Fieldhouse, Statesboro, Georgia",TEXAS-STATE,Texas State,68.7,Home,GEORGIA-SOUTHERN,Georgia Southern,Texas State,sun-belt,11,False,False,False,Away,False,5,20,49,21,52,7,14,50,0,1,57,244,618,0.5331715210355987,355,681,0.5212922173274597,84,137,597,0.440536013400335,0.6363636363636364
12,2019-12-21-13-georgia-state,73.7,14,8.8,3,114.1,69.2,18,0.40399999999999997,52,0.365,19,0.5770000000000001,30,0.9,27,6,200,97.2,26.7,8,23,69,,9.9,7,0.34600000000000003,18,0.222,4,46.4,26,0.521,14.4,11,34,0.441,15,0.5379999999999999,7,"December 21, 2019",50.0,13,20.6,7,97.2,73.3,22,0.542,59,0.441,26,0.322,19,0.895,17,3,200,114.1,30.8,8,22,81,,7.0,5,0.424,25,0.48,12,53.6,30,0.595,16.2,13,34,0.41200000000000003,14,0.727,8,"GSU Sports Arena, Atlanta, Georgia",TEXAS-STATE,Texas State,71.1,Home,GEORGIA-STATE,Georgia State,Texas State,sun-belt,12,False,False,False,Away,False,4,15,52,26,56,12,14,59,0,1,62,264,667,0.5352323838080959,376,733,0.5129604365620737,91,151,647,0.4443585780525503,0.5833333333333334
13,2020-01-02-19-arkansas-little-rock,54.2,13,5.3,2,104.3,80.8,21,0.45799999999999996,60,0.4,24,0.317,19,0.684,13,7,200,98.6,15.4,6,20,68,,10.1,7,0.3,18,0.389,7,41.5,27,0.493,9.3,7,42,0.405,17,0.5,7,"January 2, 2020",50.0,13,7.1,3,98.6,84.6,33,0.561,49,0.531,26,0.449,22,0.773,17,5,200,104.3,19.2,5,16,72,,4.3,3,0.22399999999999998,11,0.273,3,58.5,38,0.606,18.1,13,38,0.605,23,0.643,9,"Jack Stephens Center, Little Rock, Arkansas",TEXAS-STATE,Texas State,68.7,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Texas State,sun-belt,13,False,False,False,Away,False,7,17,60,27,65,3,23,49,0,1,66,279,719,0.5257301808066759,402,789,0.5095057034220533,103,165,706,0.4525495750708216,0.5384615384615384
14,2020-01-04-15-arkansas-state,63.2,12,2.8,1,94.4,72.2,26,0.456,45,0.42200000000000004,19,0.8,36,0.8059999999999999,29,7,200,98.6,22.6,7,28,70,,8.5,6,0.17800000000000002,8,0.375,3,49.3,33,0.564,19.8,15,37,0.4320000000000001,16,0.5329999999999999,8,"January 4, 2020",70.6,12,10.8,4,98.6,77.4,24,0.385,48,0.354,17,0.8540000000000001,41,0.732,30,5,200,94.4,27.8,10,28,67,,9.9,7,0.25,12,0.25,3,50.7,34,0.496,18.5,15,36,0.389,14,0.667,10,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,71.3,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,14,False,False,False,Away,True,3,16,45,33,67,3,14,48,1,0,73,296,779,0.5205391527599487,429,854,0.5023419203747073,106,188,755,0.4596026490066225,0.5
15,2020-01-06-20-texas-state,57.7,15,4.8,2,98.4,62.2,23,0.596,52,0.5,26,0.212,11,0.818,9,10,200,110.9,19.0,4,18,71,,7.8,5,0.40399999999999997,21,0.47600000000000003,10,46.6,27,0.62,15.0,10,31,0.516,16,0.375,6,"January 6, 2020",60.0,12,6.5,2,110.9,81.0,17,0.377,61,0.32799999999999996,20,0.361,22,0.773,17,8,200,98.4,37.8,14,12,63,,3.1,2,0.311,19,0.316,6,53.4,31,0.441,9.0,7,42,0.33299999999999996,14,0.5,8,"Strahan Coliseum, San Marcos, Texas",TEXAS-STATE,Texas State,63.8,Away,TROY,Troy,Texas State,sun-belt,15,False,True,True,Home,False,6,14,61,31,58,10,16,52,0,1,76,312,824,0.5169902912621359,462,921,0.501628664495114,109,202,803,0.4551681195516812,0.5333333333333333
16,2020-01-09-20-texas-state,28.0,7,6.3,2,106.8,76.0,19,0.483,60,0.41700000000000004,25,0.233,14,0.5710000000000001,8,7,200,90.4,32.4,12,27,66,,6.8,5,0.4,24,0.33299999999999996,8,50.0,31,0.495,20.4,17,36,0.47200000000000003,17,0.588,10,"January 9, 2020",61.9,13,5.6,2,90.4,67.6,25,0.462,53,0.396,21,0.736,39,0.7440000000000001,29,8,200,106.8,24.0,6,17,78,,13.7,10,0.396,21,0.33299999999999996,7,50.0,31,0.545,10.2,8,32,0.43799999999999994,14,0.529,9,"Strahan Coliseum, San Marcos, Texas",COASTAL-CAROLINA,Coastal Carolina,72.6,Home,TEXAS-STATE,Texas State,Texas State,sun-belt,16,True,False,True,Home,True,7,14,53,31,62,8,17,60,1,0,82,326,885,0.5073446327683616,493,979,0.5035750766087844,119,218,855,0.4637426900584795,0.5
17,2020-01-11-17-texas-state,35.3,6,6.3,2,134.4,61.9,13,0.42200000000000004,45,0.37799999999999995,17,0.556,25,0.76,19,9,200,93.4,34.6,9,15,57,,3.3,2,0.267,12,0.33299999999999996,4,46.8,22,0.501,21.1,15,33,0.39399999999999996,13,0.5,9,"January 11, 2020",67.9,19,3.0,1,93.4,65.4,17,0.635,52,0.5379999999999999,28,0.327,17,0.941,16,8,200,134.4,38.1,8,21,82,,9.8,6,0.385,20,0.5,10,53.2,25,0.682,11.9,8,32,0.563,18,0.556,10,"Strahan Coliseum, San Marcos, Texas",APPALACHIAN-STATE,Appalachian State,61.5,Home,TEXAS-STATE,Texas State,Texas State,sun-belt,17,True,False,True,Home,True,10,18,52,25,47,4,13,45,1,0,89,340,938,0.5047974413646056,524,1041,0.5033621517771374,127,235,915,0.4650273224043716,0.5294117647058824
18,2020-01-16-20-louisiana-monroe,42.9,9,9.7,3,101.6,77.3,17,0.402,56,0.375,21,0.41100000000000003,23,0.826,19,8,200,103.2,31.3,10,14,64,,9.7,6,0.268,15,0.2,3,50.0,27,0.478,8.3,6,41,0.439,18,0.579,11,"January 16, 2020",70.8,17,7.3,3,103.2,68.8,22,0.561,49,0.49,24,0.22399999999999998,11,0.727,8,11,200,101.6,22.7,5,18,63,,0.0,0,0.3670000000000001,18,0.389,7,50.0,27,0.581,18.2,12,31,0.5479999999999999,17,0.353,6,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,62.1,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,18,False,False,False,Away,True,3,18,56,27,54,7,17,49,1,0,99,358,990,0.5116161616161616,549,1088,0.5045955882352942,131,248,960,0.4630208333333333,0.5555555555555556
19,2020-01-18-20-louisiana-lafayette,61.5,16,2.7,1,88.1,67.6,23,0.4920000000000001,61,0.426,26,0.131,8,1.0,8,8,200,101.5,34.4,11,11,68,,9.0,6,0.41,25,0.32,8,51.5,34,0.525,16.8,13,36,0.5,18,0.6,12,"January 18, 2020",35.0,7,13.9,5,101.5,65.6,21,0.41100000000000003,56,0.35700000000000004,20,0.23199999999999998,13,1.0,13,13,200,88.1,32.4,11,14,59,,4.5,3,0.33899999999999997,19,0.316,6,48.5,32,0.474,20.6,16,37,0.37799999999999995,14,0.35,7,"Cajundome, Lafayette, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,67.0,Away,TEXAS-STATE,Texas State,Texas State,sun-belt,19,False,False,False,Away,True,8,18,61,34,66,6,14,56,1,0,102,376,1046,0.505736137667304,576,1142,0.5043782837127846,138,265,1009,0.4677898909811695,0.5789473684210527
