,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FRESNO-STATE_homegame,FRESNO-STATE_homegame2,FRESNO-STATE_home,FRESNO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2020-01-28-21-air-force,56.0,14,10.0,3,107.9,74.3,26,0.552,58,0.431,25,0.276,16,0.938,15,14,200,125.4,32.1,9,14,79,,11.1,7,0.552,32,0.43799999999999994,14,55.6,35,0.602,9.7,7,26,0.423,11,0.33299999999999996,7,"January 28, 2020",70.8,17,11.5,3,125.4,67.9,19,0.5,59,0.40700000000000003,24,0.16899999999999998,10,0.9,9,13,200,107.9,25.7,9,16,68,,3.2,2,0.4920000000000001,29,0.379,11,44.4,28,0.5329999999999999,11.2,8,30,0.433,13,0.409,9,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,63.2,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,20,False,False,False,Away,True,14,11,58,35,63,11,13,59,1,0,175,294,1142,0.4873029772329247,691,1307,0.5286916602907421,147,323,1115,0.4874439461883408,0.3
21,2020-02-01-17-fresno-state,46.4,13,9.5,2,120.6,75.0,15,0.54,63,0.444,28,0.19,12,0.75,9,8,200,113.2,15.8,6,18,77,,14.7,10,0.444,28,0.429,12,36.2,21,0.56,8.1,6,35,0.457,16,0.667,16,"February 1, 2020",69.2,18,0.0,0,113.2,84.2,32,0.685,46,0.565,26,0.478,22,0.8640000000000001,19,14,200,120.6,25.0,5,11,82,,2.9,2,0.5429999999999999,25,0.44,11,63.8,37,0.726,22.3,16,21,0.7140000000000001,15,0.364,8,"Save Mart Center, Fresno, California",NEW-MEXICO,New Mexico,68.1,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,21,True,False,True,Home,True,11,15,46,37,58,12,16,63,1,0,189,305,1200,0.4904166666666666,726,1370,0.5299270072992701,158,336,1174,0.4880749574105622,0.3333333333333333
22,2020-02-04-21-fresno-state,57.7,15,11.8,4,94.6,77.8,28,0.508,63,0.413,26,0.33299999999999996,21,0.762,16,8,200,108.1,26.5,9,16,80,,13.5,10,0.444,28,0.429,12,52.9,37,0.5479999999999999,11.1,9,35,0.4,14,0.68,17,"February 4, 2020",33.3,9,8.6,3,108.1,73.5,25,0.508,61,0.44299999999999995,27,0.295,18,0.444,8,15,200,94.6,22.2,8,18,70,,8.1,6,0.44299999999999995,27,0.29600000000000004,8,47.1,33,0.503,15.9,13,34,0.5589999999999999,19,0.348,8,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,73.8,Away,COLORADO-STATE,Colorado State,Fresno State,mwc,22,False,True,True,Home,False,8,19,61,33,70,12,14,63,0,1,200,320,1246,0.4975922953451044,763,1428,0.5343137254901961,170,352,1237,0.4907033144704932,0.3636363636363637
23,2020-02-08-20-nevada-las-vegas,47.8,11,8.8,3,98.6,77.4,24,0.52,51,0.451,23,0.373,19,0.737,14,16,200,97.1,7.1,2,15,67,,4.3,3,0.451,23,0.304,7,44.1,26,0.5579999999999999,18.0,13,28,0.5710000000000001,16,0.33299999999999996,8,"February 8, 2020",56.5,13,7.1,2,97.1,92.9,26,0.466,58,0.397,23,0.293,17,0.8240000000000001,14,13,200,98.6,22.6,7,17,68,,10.1,7,0.414,24,0.33299999999999996,8,55.9,33,0.515,9.7,7,34,0.441,15,0.48,12,"Thomas & Mack Center, Las Vegas, Nevada",FRESNO-STATE,Fresno State,68.6,Home,NEVADA-LAS-VEGAS,UNLV,Fresno State,mwc,23,False,False,False,Away,False,7,16,51,26,59,8,15,58,0,1,208,339,1307,0.4980872226472838,796,1498,0.5313751668891856,182,366,1300,0.4915384615384616,0.3478260869565217
24,2020-02-12-22-san-jose-state,60.0,18,14.3,5,91.8,75.6,34,0.45399999999999996,76,0.395,30,0.316,24,0.625,15,16,225,98.8,36.4,16,19,84,,5.9,5,0.408,31,0.29,9,56.2,50,0.48100000000000004,14.8,15,45,0.467,21,0.36,9,"February 12, 2020",50.0,12,11.1,5,98.8,63.6,28,0.4,75,0.32,24,0.293,22,0.818,18,18,225,91.8,24.4,11,24,78,,9.4,8,0.5329999999999999,40,0.3,12,43.8,39,0.456,10.6,10,35,0.34299999999999997,12,0.28,7,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,75.9,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,24,False,False,False,Away,True,9,21,76,50,89,12,12,75,1,0,215,355,1358,0.4988954344624448,822,1557,0.5279383429672447,190,381,1358,0.4904270986745213,0.3333333333333333
25,2020-02-15-22-fresno-state,53.8,14,15.0,3,93.7,82.4,28,0.517,59,0.441,26,0.237,14,0.7140000000000001,10,7,200,112.7,34.3,12,14,71,,7.9,5,0.373,22,0.409,9,58.0,40,0.541,13.3,10,37,0.45899999999999996,17,0.75,21,"February 15, 2020",60.0,12,13.5,5,112.7,65.7,23,0.491,53,0.377,20,0.245,13,0.5379999999999999,7,17,200,93.7,17.6,6,14,59,,7.9,5,0.623,33,0.364,12,42.0,29,0.499,13.3,9,20,0.4,8,0.34600000000000003,9,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,62.9,Away,UTAH-STATE,Utah State,Fresno State,mwc,25,False,True,True,Home,False,12,8,53,29,69,9,17,59,0,1,224,376,1434,0.49651324965132504,872,1646,0.5297691373025516,202,393,1433,0.4856943475226797,0.36
26,2020-02-19-22-fresno-state,73.9,17,0.0,0,112.7,61.8,21,0.461,64,0.359,23,0.078,5,0.6,3,17,200,98.4,26.3,10,14,62,,6.3,4,0.469,30,0.433,13,43.1,31,0.467,8.3,6,34,0.294,10,0.37,10,"February 19, 2020",61.5,16,14.7,5,98.4,73.7,28,0.517,60,0.433,26,0.183,11,0.818,9,17,200,112.7,38.2,13,8,71,,6.3,4,0.5,30,0.33299999999999996,10,56.9,41,0.544,14.5,11,30,0.5329999999999999,16,0.37,10,"Save Mart Center, Fresno, California",AIR-FORCE,Air Force,62.8,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,26,True,False,True,Home,True,10,16,60,41,72,13,10,64,1,0,236,384,1487,0.496301277740417,901,1715,0.5253644314868805,211,410,1492,0.4869302949061662,0.3461538461538461
27,2020-02-22-22-nevada,60.0,15,12.1,4,116.4,76.0,19,0.5710000000000001,56,0.446,25,0.375,21,0.5710000000000001,12,18,200,113.4,32.4,11,16,76,,10.4,7,0.625,35,0.4,14,50.8,30,0.5760000000000001,13.3,10,21,0.524,11,0.35700000000000004,10,"February 22, 2020",46.4,13,0.0,0,113.4,67.6,23,0.568,59,0.475,28,0.22,13,0.846,11,10,200,116.4,24.0,6,16,78,,10.4,7,0.441,26,0.423,11,49.2,29,0.598,13.4,10,33,0.515,17,0.643,18,"Lawlor Events Center, Reno, Nevada",FRESNO-STATE,Fresno State,67.1,Home,NEVADA,Nevada,Fresno State,mwc,27,False,False,False,Away,False,14,11,56,30,59,11,17,59,0,1,246,400,1547,0.4970911441499677,942,1787,0.5271404588696139,224,420,1556,0.4858611825192802,0.3703703703703704
28,2020-02-29-19-fresno-state,47.4,9,7.4,2,96.9,75.0,24,0.45299999999999996,53,0.358,19,0.20800000000000002,11,0.636,7,23,200,84.6,8.6,3,21,55,,9.2,6,0.5660000000000001,30,0.33299999999999996,10,40.3,27,0.47200000000000003,14.7,10,23,0.391,9,0.233,7,"February 29, 2020",57.9,11,13.0,3,84.6,91.4,32,0.469,49,0.38799999999999996,19,0.49,24,0.708,17,18,200,96.9,25.0,8,15,63,,6.2,4,0.449,22,0.364,8,59.7,40,0.522,16.8,12,27,0.40700000000000003,11,0.379,11,"Save Mart Center, Fresno, California",WYOMING,Wyoming,64.8,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,28,True,False,True,Home,True,8,11,49,40,67,10,9,53,1,0,260,411,1603,0.4996880848409233,972,1846,0.5265438786565547,235,437,1615,0.4888544891640867,0.35714285714285715
29,2020-03-04-15-fresno-state,51.7,15,0.0,0,107.7,85.2,23,0.611,54,0.537,29,0.278,15,0.733,11,19,200,118.5,16.7,4,12,77,,12.3,8,0.37,20,0.4,8,52.9,27,0.63,9.0,6,34,0.618,21,0.387,12,"March 4, 2020",60.9,14,14.7,5,118.5,83.3,20,0.596,52,0.442,23,0.17300000000000001,9,0.889,8,19,200,107.7,14.8,4,21,70,,1.5,1,0.6920000000000001,36,0.444,16,47.1,24,0.622,21.1,15,16,0.43799999999999994,7,0.3670000000000001,11,"Thomas & Mack Center, Las Vegas, Nevada",FRESNO-STATE,Fresno State,65.2,Away,AIR-FORCE,Air Force,Fresno State,mwc,29,False,True,True,Home,False,16,7,52,24,51,8,21,54,0,1,268,422,1652,0.4987893462469734,1012,1913,0.5290120230005227,245,446,1668,0.4877098321342926,0.3793103448275862
