,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FRESNO-STATE_homegame,FRESNO-STATE_homegame2,FRESNO-STATE_home,FRESNO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-20-22-fresno-state,38.1,8,6.3,2,133.8,51.3,20,0.51,50,0.42,21,0.44,22,0.591,13,9,200,90.1,15.6,5,19,64,,9.9,7,0.4,20,0.45,9,35.2,25,0.529,22.2,17,30,0.4,12,0.308,4,"December 20, 2019",65.6,21,3.3,1,90.1,84.4,27,0.556,71,0.451,32,0.239,17,0.941,16,7,200,133.8,48.7,19,20,95,,15.5,11,0.5489999999999999,39,0.385,15,64.8,46,0.601,11.3,10,32,0.531,17,0.364,4,"Save Mart Center, Fresno, California",IUPUI,IUPUI,71.3,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,10,True,False,True,Home,True,15,17,71,46,71,9,12,50,1,0,93,147,579,0.4948186528497409,358,679,0.5272459499263623,61,160,561,0.4483065953654189,0.3
11,2019-12-23-22-fresno-state,39.1,9,12.1,4,104.5,55.6,20,0.4920000000000001,59,0.39,23,0.33899999999999997,20,0.65,13,3,200,107.6,21.2,7,17,71,,13.6,9,0.525,31,0.387,12,39.1,27,0.518,8.1,6,28,0.39299999999999996,11,0.7859999999999999,11,"December 23, 2019",44.4,12,25.0,7,107.6,78.8,26,0.525,60,0.45,27,0.217,13,0.462,6,8,200,104.5,44.4,16,18,69,,9.1,6,0.45,27,0.33299999999999996,9,60.9,42,0.521,17.6,14,33,0.545,18,0.33299999999999996,4,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,65.8,Away,SAN-FRANCISCO,San Francisco,Fresno State,mwc,11,False,True,True,Home,False,9,18,60,42,69,12,11,59,0,1,108,164,650,0.5015384615384615,404,750,0.5386666666666666,70,172,611,0.4533551554828151,0.3636363636363637
12,2019-12-28-21-fresno-state,50.0,12,11.5,3,90.5,84.6,22,0.518,56,0.429,24,0.071,4,0.5,2,5,200,95.2,44.0,11,13,60,,7.9,5,0.33899999999999997,19,0.526,10,64.7,33,0.518,20.6,15,37,0.37799999999999995,14,0.643,9,"December 28, 2019",60.0,12,16.2,6,95.2,56.0,14,0.5,48,0.41700000000000004,20,0.271,13,0.6920000000000001,9,9,200,90.5,15.4,4,12,57,,4.8,3,0.45799999999999996,22,0.364,8,35.3,18,0.526,20.7,14,26,0.462,12,0.308,4,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,63.0,Away,CALIFORNIA-RIVERSIDE,UC-Riverside,Fresno State,mwc,12,False,True,True,Home,False,8,12,48,18,51,10,14,56,0,1,117,182,710,0.5035211267605634,446,819,0.5445665445665445,82,183,670,0.4567164179104478,0.3333333333333333
13,2020-01-01-15-san-diego-state,22.2,4,10.8,4,95.3,75.0,21,0.385,52,0.34600000000000003,18,0.308,16,0.75,12,10,200,81.3,34.3,12,15,52,,7.8,5,0.385,20,0.2,4,52.4,33,0.436,21.3,16,32,0.43799999999999994,14,0.28600000000000003,4,"January 1, 2020",54.5,12,9.4,3,81.3,65.7,23,0.48,49,0.449,22,0.34700000000000003,17,0.8240000000000001,14,0,200,95.3,25.0,7,15,61,13.0,7.8,5,0.245,12,0.25,3,47.6,30,0.534,19.9,14,37,0.514,19,1.0,14,"Viejas Arena, San Diego, California",FRESNO-STATE,Fresno State,63.8,Home,SAN-DIEGO-STATE,San Diego State,Fresno State,mwc,13,False,False,False,Away,False,4,14,52,33,63,3,19,49,0,1,125,194,758,0.5032981530343008,464,870,0.5333333333333333,92,197,726,0.4614325068870523,0.3076923076923077
14,2020-01-04-19-fresno-state,34.8,8,4.3,1,123.4,71.9,23,0.491,54,0.426,23,0.33299999999999996,18,0.611,11,11,200,100.0,24.2,8,18,64,,4.7,3,0.40700000000000003,22,0.318,7,47.7,31,0.512,13.9,10,32,0.5,16,0.312,5,"January 4, 2020",74.1,20,3.1,1,100.0,75.8,25,0.605,57,0.474,27,0.263,15,0.667,10,10,200,123.4,28.1,9,15,79,,6.3,4,0.596,34,0.441,15,52.3,34,0.616,11.2,8,23,0.522,12,0.33299999999999996,5,"Save Mart Center, Fresno, California",SAN-JOSE-STATE,San Jose State,63.8,Home,FRESNO-STATE,Fresno State,Fresno State,mwc,14,True,False,True,Home,True,15,12,57,34,65,7,16,54,1,0,129,208,810,0.49567901234567896,497,933,0.5326902465166131,95,216,775,0.4625806451612903,0.2857142857142857
15,2020-01-07-23-new-mexico,45.8,11,5.6,2,113.0,78.8,26,0.42200000000000004,64,0.375,24,0.297,19,0.526,10,11,200,92.8,37.5,15,18,64,,5.8,4,0.32799999999999996,21,0.28600000000000003,6,56.2,41,0.43799999999999994,12.1,10,43,0.419,18,0.312,5,"January 7, 2020",70.4,19,9.3,4,92.8,62.5,25,0.5429999999999999,58,0.466,27,0.36200000000000004,21,0.7140000000000001,15,3,200,113.0,21.2,7,16,78,,7.2,5,0.379,22,0.409,9,43.8,32,0.574,10.6,8,36,0.5,18,0.8240000000000001,14,"The Pit, Albuquerque, New Mexico",FRESNO-STATE,Fresno State,68.5,Home,NEW-MEXICO,New Mexico,Fresno State,mwc,15,False,False,False,Away,False,6,18,64,41,73,9,18,58,0,1,144,220,867,0.5028835063437139,531,998,0.5320641282565131,102,232,829,0.4644149577804584,0.3333333333333333
16,2020-01-14-23-fresno-state,37.5,9,7.9,3,88.7,71.9,23,0.5,51,0.47100000000000003,24,0.275,14,0.929,13,0,200,103.2,19.2,5,14,64,7.0,1.6,1,0.353,18,0.16699999999999998,3,48.3,28,0.555,14.9,10,33,0.636,21,1.0,18,"January 14, 2020",35.0,7,6.1,2,103.2,80.8,21,0.409,55,0.364,20,0.2,11,0.909,10,12,200,88.7,28.1,9,13,55,,6.5,4,0.309,17,0.294,5,51.7,30,0.457,15.5,11,38,0.395,15,0.294,5,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,62.4,Away,SAN-DIEGO-STATE,San Diego State,Fresno State,mwc,16,False,True,True,Home,False,5,15,55,30,58,3,21,51,0,1,150,238,931,0.4973147153598281,572,1071,0.5340802987861811,111,250,887,0.4695603156708005,0.3125
17,2020-01-18-18-wyoming,40.0,8,26.1,6,83.3,69.7,23,0.44299999999999995,53,0.377,20,0.47200000000000003,25,0.72,18,12,200,108.3,50.0,15,10,65,,8.3,5,0.434,23,0.304,7,60.3,38,0.501,13.5,10,30,0.433,13,0.33299999999999996,6,"January 18, 2020",52.6,10,10.0,3,108.3,50.0,15,0.436,55,0.345,19,0.055,3,0.667,2,15,200,83.3,30.3,10,21,50,,5.0,3,0.5820000000000001,32,0.313,10,39.7,25,0.44299999999999995,18.8,13,23,0.391,9,0.25,5,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,59.7,Away,FRESNO-STATE,Fresno State,Fresno State,mwc,17,False,False,False,Away,True,7,13,53,38,63,10,9,55,1,0,155,253,986,0.492393509127789,602,1129,0.5332152347209921,114,271,938,0.4712153518123667,0.29411764705882354
18,2020-01-22-21-colorado-state,48.0,12,6.7,3,128.4,75.9,22,0.4920000000000001,60,0.41700000000000004,25,0.16699999999999998,10,0.9,9,13,200,101.5,21.2,7,15,68,,4.5,3,0.433,26,0.34600000000000003,9,46.8,29,0.525,13.4,10,34,0.47100000000000003,16,0.316,6,"January 22, 2020",41.2,14,0.0,0,101.5,78.8,26,0.611,63,0.54,34,0.20600000000000002,13,0.6920000000000001,9,7,200,128.4,24.1,7,11,86,,6.0,4,0.28600000000000003,18,0.5,9,53.2,33,0.622,5.5,4,45,0.556,25,0.667,14,"Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,67.0,Home,COLORADO-STATE,Colorado State,Fresno State,mwc,18,False,False,False,Away,False,9,16,60,29,62,9,25,63,0,1,162,266,1039,0.4898941289701636,640,1192,0.5369127516778524,124,280,993,0.4692849949647533,0.3333333333333333
19,2020-01-25-20-fresno-state,59.4,19,3.7,1,80.3,85.2,23,0.6609999999999999,59,0.542,32,0.18600000000000005,11,0.818,9,8,200,131.8,30.8,8,18,87,,9.1,6,0.475,28,0.5,14,58.5,31,0.677,13.5,10,31,0.581,18,0.619,13,"January 25, 2020",25.0,4,9.7,3,131.8,69.2,18,0.419,43,0.3720000000000001,16,0.442,19,0.895,17,14,200,80.3,14.8,4,15,53,,7.6,5,0.3720000000000001,16,0.25,4,41.5,22,0.509,26.0,18,27,0.444,12,0.3,6,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,66.1,Away,BOISE-STATE,Boise State,Fresno State,mwc,19,False,True,True,Home,False,4,12,43,22,53,14,18,59,0,1,171,282,1099,0.4899909008189263,669,1254,0.5334928229665071,133,305,1056,0.4777462121212121,0.3157894736842105
