,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGETOWN_homegame,GEORGETOWN_homegame2,GEORGETOWN_home,GEORGETOWN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-georgetown,52.0,13,5.3,2,114.1,67.7,21,0.537,54,0.46299999999999997,25,0.29600000000000004,16,0.625,10,1,200,95.8,12.9,4,20,68,,9.9,7,0.389,21,0.381,8,40.3,25,0.552,18.7,14,33,0.515,17,0.0,0,"November 6, 2019",57.1,16,3.0,1,95.8,87.1,27,0.542,59,0.475,28,0.35600000000000004,21,0.81,17,0,200,114.1,32.3,10,14,81,,12.7,9,0.35600000000000004,21,0.381,8,59.7,37,0.5870000000000001,15.0,12,38,0.526,20,1.0,1,"Capital One Arena, Washington, District of Columbia",MOUNT-ST-MARYS,Mount St. Mary's,71.3,Home,GEORGETOWN,Georgetown,Georgetown,big-east,0,True,False,True,Home,True,8,20,59,37,62,8,17,54,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-12-georgetown,60.7,17,6.8,3,106.0,62.9,22,0.466,73,0.384,28,0.192,14,0.7140000000000001,10,2,200,92.9,9.8,4,20,78,,11.9,10,0.493,36,0.33299999999999996,12,34.2,26,0.49,12.2,11,37,0.4320000000000001,16,0.33299999999999996,1,"November 9, 2019",57.6,19,16.2,6,92.9,90.2,37,0.561,66,0.5,33,0.303,20,0.75,15,0,200,106.0,37.1,13,16,89,,8.3,7,0.33299999999999996,22,0.364,8,65.8,50,0.589,20.3,19,44,0.568,25,1.0,2,"Capital One Arena, Washington, District of Columbia",CENTRAL-ARKANSAS,Central Arkansas,84.1,Home,GEORGETOWN,Georgetown,Georgetown,big-east,1,True,False,True,Home,True,8,25,66,50,76,12,16,73,1,0,8,20,59,0.5423728813559322,37,62,0.5967741935483871,8,17,54,0.5370370370370371,1.0
2,2019-11-14-18-georgetown,67.9,19,10.4,5,81.5,71.4,30,0.5479999999999999,63,0.444,28,0.27,17,0.706,12,0,200,100.0,25.7,9,21,81,,18.5,15,0.46,29,0.44799999999999995,13,50.6,39,0.57,22.1,20,34,0.441,15,1.0,3,"November 14, 2019",56.5,13,11.8,4,100.0,74.3,26,0.41,61,0.377,23,0.344,21,0.762,16,1,200,81.5,28.6,12,17,66,,11.1,9,0.213,13,0.308,4,49.4,38,0.465,23.0,21,48,0.396,19,0.667,2,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,81.0,Away,PENN-STATE,Penn State,Georgetown,big-east,2,False,True,True,Home,False,4,19,61,38,77,13,15,63,0,1,16,45,125,0.552,87,138,0.6304347826086957,20,33,127,0.4960629921259842,1.0
3,2019-11-17-19-georgetown,41.4,12,4.8,2,116.7,55.0,22,0.525,60,0.483,29,0.4,24,0.833,20,3,200,106.4,39.3,11,33,83,,11.5,9,0.217,13,0.385,5,48.5,33,0.581,18.5,16,47,0.511,24,0.25,1,"November 17, 2019",58.3,14,8.5,4,106.4,60.7,17,0.425,60,0.4,24,0.85,51,0.784,40,1,200,116.7,45.0,18,20,91,,3.8,3,0.3,18,0.16699999999999998,3,51.5,35,0.54,14.5,14,42,0.5,21,0.75,3,"Capital One Arena, Washington, District of Columbia",GEORGIA-STATE,Georgia State,78.3,Home,GEORGETOWN,Georgetown,Georgetown,big-east,3,True,False,True,Home,True,3,21,60,35,68,5,24,60,1,0,20,64,186,0.5053763440860215,125,215,0.5813953488372093,33,48,190,0.5131578947368421,0.6666666666666666
4,2019-11-21-19-georgetown,73.9,17,2.3,1,120.6,59.3,16,0.467,61,0.377,23,0.16399999999999998,10,0.9,9,1,200,97.1,32.3,10,25,66,22.0,4.4,3,0.475,29,0.379,11,44.8,26,0.502,15.5,12,32,0.375,12,0.8,4,"November 21, 2019",46.4,13,18.8,6,97.1,67.7,21,0.555,55,0.509,28,0.509,28,0.75,21,1,200,120.6,40.7,11,14,82,,8.8,6,0.2,11,0.455,5,55.2,32,0.6,12.9,10,44,0.523,23,0.8,4,"Madison Square Garden (IV), New York, New York",TEXAS,Texas,67.5,Home,GEORGETOWN,Georgetown,Georgetown,big-east,4,True,False,True,Home,True,5,23,55,32,58,11,12,61,1,0,23,85,246,0.4857723577235773,160,283,0.5653710247349824,38,72,250,0.516,0.75
5,2019-11-22-19-duke,57.1,16,23.1,12,96.4,58.3,21,0.564,55,0.509,28,0.327,18,0.611,11,2,200,86.9,20.8,5,30,73,,10.7,9,0.29100000000000004,16,0.375,6,43.3,26,0.574,27.6,24,39,0.564,22,0.667,4,"November 22, 2019",55.6,15,10.3,4,86.9,79.2,19,0.462,65,0.415,27,0.446,29,0.7240000000000001,21,0,200,96.4,41.7,15,21,81,1.0,9.5,8,0.2,13,0.462,6,56.7,34,0.514,21.3,21,52,0.40399999999999997,21,1.0,6,"Madison Square Garden (IV), New York, New York",GEORGETOWN,Georgetown,83.7,Home,DUKE,Duke,Georgetown,big-east,5,False,False,False,Away,False,6,22,55,26,60,6,21,65,0,1,28,108,301,0.4983388704318937,192,341,0.5630498533724341,49,84,311,0.5064308681672026,0.8
6,2019-11-30-14-georgetown,54.2,13,7.3,3,84.7,64.9,24,0.4370000000000001,63,0.381,24,0.20600000000000002,13,0.769,10,2,200,90.3,38.2,13,18,65,,19.4,14,0.397,25,0.28,7,52.1,37,0.47,18.9,16,38,0.447,17,0.75,6,"November 30, 2019",52.4,11,15.8,6,90.3,61.8,21,0.41200000000000003,57,0.368,21,0.35100000000000003,20,0.7,14,3,200,84.7,35.1,13,14,61,,12.5,9,0.281,16,0.313,5,47.9,34,0.45899999999999996,21.5,18,41,0.39,16,0.5710000000000001,4,"Capital One Arena, Washington, District of Columbia",GEORGETOWN,Georgetown,71.8,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Georgetown,big-east,6,False,True,True,Home,False,5,16,57,34,71,7,17,63,0,1,34,130,356,0.5084269662921348,218,401,0.543640897755611,55,105,376,0.4986702127659575,0.6666666666666666
7,2019-12-04-20-oklahoma-state,55.2,16,23.3,7,98.7,80.0,28,0.523,64,0.45299999999999996,29,0.21899999999999997,14,1.0,14,3,200,108.0,37.9,11,14,81,,4.0,3,0.344,22,0.409,9,60.9,39,0.573,17.6,15,42,0.47600000000000003,20,0.625,5,"December 4, 2019",48.0,12,11.9,5,108.0,62.1,18,0.5,62,0.40299999999999997,25,0.258,16,0.75,12,1,200,98.7,20.0,7,17,74,,9.3,7,0.516,32,0.375,12,39.1,25,0.532,14.8,12,30,0.433,13,0.875,7,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,74.6,Away,GEORGETOWN,Georgetown,Georgetown,big-east,7,False,False,False,Away,True,9,20,64,39,64,12,13,62,1,0,39,146,413,0.4951573849878935,252,472,0.5338983050847458,62,122,439,0.48974943052391795,0.5714285714285714
8,2019-12-07-21-southern-methodist,76.5,26,12.5,4,105.7,59.0,23,0.672,61,0.557,34,0.16399999999999998,10,0.9,9,3,200,130.0,32.0,8,20,91,,8.6,6,0.44299999999999995,27,0.519,14,48.4,31,0.6920000000000001,15.5,12,34,0.588,20,0.667,6,"December 7, 2019",66.7,14,5.9,2,130.0,68.0,17,0.424,59,0.35600000000000004,21,0.508,30,0.8,24,1,200,105.7,41.0,16,13,74,,11.4,8,0.45799999999999996,27,0.29600000000000004,8,51.6,33,0.505,15.3,13,32,0.406,13,0.889,8,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,70.0,Away,GEORGETOWN,Georgetown,Georgetown,big-east,8,False,False,False,Away,True,14,20,61,31,64,8,13,59,1,0,48,166,477,0.4989517819706499,291,536,0.542910447761194,74,135,501,0.4910179640718562,0.625
9,2019-12-14-13-georgetown,60.0,18,8.3,3,120.3,64.9,24,0.597,62,0.484,30,0.145,9,0.556,5,5,200,106.8,16.1,5,23,79,,2.7,2,0.516,32,0.43799999999999994,14,42.6,29,0.596,15.4,12,30,0.5329999999999999,16,0.5,5,"December 14, 2019",74.1,20,6.7,2,106.8,83.9,26,0.5329999999999999,61,0.44299999999999995,27,0.508,31,0.774,24,3,200,120.3,35.1,13,14,89,,6.8,5,0.41,25,0.44,11,57.4,39,0.588,12.8,11,36,0.444,16,0.7,7,"Capital One Arena, Washington, District of Columbia",SYRACUSE,Syracuse,73.5,Home,GEORGETOWN,Georgetown,Georgetown,big-east,9,True,False,True,Home,True,11,16,61,39,68,14,16,62,1,0,62,186,538,0.5185873605947955,322,600,0.5366666666666666,82,148,560,0.4839285714285714,0.6666666666666666
