,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGE-WASHINGTON_homegame,GEORGE-WASHINGTON_homegame2,GEORGE-WASHINGTON_home,GEORGE-WASHINGTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-12-george-washington,31.4,11,11.8,4,107.1,79.4,27,0.5710000000000001,63,0.556,35,0.28600000000000003,18,0.889,16,4,200,125.7,30.8,8,16,88,,7.1,5,0.19,12,0.16699999999999998,2,58.3,35,0.615,7.8,6,51,0.647,33,0.636,7,"December 21, 2019",51.9,14,5.9,3,125.7,69.2,18,0.551,59,0.45799999999999996,27,0.305,18,0.556,10,6,200,107.1,20.6,7,17,75,,5.7,4,0.424,25,0.44,11,41.7,25,0.555,11.9,9,34,0.47100000000000003,16,0.455,5,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,69.6,Away,HARVARD,Harvard,George Washington,atlantic-10,10,False,True,True,Home,False,11,16,59,25,60,2,33,63,0,1,77,149,549,0.4817850637522769,308,629,0.4896661367249602,35,221,594,0.4604377104377104,0.5
11,2019-12-28-16-george-washington,43.5,10,2.5,1,106.8,74.2,23,0.429,63,0.365,23,0.254,16,0.688,11,8,200,89.0,27.9,12,12,65,,13.7,10,0.429,27,0.29600000000000004,8,47.3,35,0.46,17.6,15,36,0.41700000000000004,15,0.385,5,"December 28, 2019",53.3,16,22.2,8,89.0,72.1,31,0.565,62,0.484,30,0.161,10,0.8,8,6,200,106.8,25.8,8,11,78,,9.6,7,0.355,22,0.455,10,52.7,39,0.584,16.4,13,40,0.5,20,0.5,6,"Charles E. Smith Center, Washington, District of Columbia",LONGWOOD,Longwood,72.7,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,11,True,False,True,Home,True,10,20,62,39,74,8,15,63,1,0,88,165,608,0.4884868421052632,333,689,0.4833091436865022,37,254,657,0.4710806697108067,0.4545454545454545
12,2019-12-31-14-vermont,40.9,9,14.6,6,115.2,71.4,20,0.38299999999999995,64,0.344,22,0.078,5,0.4,2,7,200,77.3,23.7,9,12,51,,7.6,5,0.313,20,0.25,5,43.9,29,0.384,12.0,9,44,0.386,17,0.462,6,"December 31, 2019",50.0,15,15.9,7,77.3,76.3,29,0.575,60,0.5,30,0.183,11,0.636,7,5,200,115.2,28.6,8,11,76,,7.6,5,0.317,19,0.474,9,56.1,37,0.583,12.2,9,41,0.512,21,0.643,9,"Roy L. Patrick Gymnasium, Burlington, Vermont",GEORGE-WASHINGTON,George Washington,66.3,Home,VERMONT,Vermont,George Washington,atlantic-10,12,False,False,False,Away,False,5,17,64,29,66,9,21,60,0,1,98,185,670,0.4955223880597015,372,763,0.4875491480996068,45,269,720,0.4673611111111111,0.5
13,2020-01-05-16-george-washington,46.2,12,28.6,8,101.5,90.0,27,0.57,50,0.52,26,0.4,20,0.7,14,5,200,109.2,16.7,4,15,71,,9.2,6,0.32,16,0.313,5,57.4,31,0.597,10.6,7,34,0.618,21,0.643,9,"January 5, 2020",65.2,15,11.8,4,109.2,83.3,20,0.5,55,0.418,23,0.255,14,0.7859999999999999,11,8,200,101.5,10.0,3,14,66,,7.7,5,0.491,27,0.33299999999999996,9,42.6,23,0.535,11.6,8,28,0.5,14,0.429,6,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,64.6,Away,ST-BONAVENTURE,St. Bonaventure,George Washington,atlantic-10,13,False,True,True,Home,False,9,14,55,23,54,5,21,50,0,1,103,202,734,0.4856948228882834,401,829,0.4837153196622437,54,290,780,0.4756410256410256,0.4615384615384616
14,2020-01-08-20-saint-louis,42.1,8,10.5,4,96.9,67.6,25,0.429,49,0.38799999999999996,19,0.449,22,0.727,16,9,200,89.2,19.4,6,23,58,,7.7,5,0.327,16,0.25,4,45.6,31,0.488,18.1,13,33,0.455,15,0.4,6,"January 8, 2020",31.6,6,24.2,8,89.2,80.6,25,0.42,50,0.38,19,0.7,35,0.6,21,3,200,96.9,32.4,12,20,63,,13.8,9,0.24,12,0.33299999999999996,4,54.4,37,0.473,12.1,9,38,0.395,15,0.812,13,"Chaifetz Arena, St. Louis, Missouri",GEORGE-WASHINGTON,George Washington,65.0,Home,SAINT-LOUIS,Saint Louis,George Washington,atlantic-10,14,False,False,False,Away,False,4,15,49,31,68,4,15,50,0,1,112,216,789,0.4866920152091255,424,883,0.4801812004530011,59,311,830,0.4813253012048193,0.42857142857142855
15,2020-01-11-16-george-washington,63.6,14,23.3,7,89.7,87.5,28,0.53,50,0.44,22,0.38,19,0.684,13,2,200,97.1,25.0,8,11,66,,10.3,7,0.38,19,0.474,9,56.3,36,0.5589999999999999,22.6,17,31,0.419,13,0.875,14,"January 11, 2020",66.7,16,16.1,5,97.1,75.0,24,0.5,56,0.429,24,0.196,11,0.455,5,10,200,89.7,12.5,4,18,61,,13.2,9,0.46399999999999997,26,0.308,8,43.8,28,0.498,14.1,10,30,0.5329999999999999,16,0.375,6,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,67.6,Away,DUQUESNE,Duquesne,George Washington,atlantic-10,15,False,True,True,Home,False,8,16,56,28,64,9,13,50,0,1,116,231,838,0.4832935560859189,455,951,0.4784437434279706,63,326,880,0.4778409090909091,0.4
16,2020-01-15-19-george-washington,45.8,11,18.8,6,104.3,81.5,22,0.42100000000000004,63,0.381,24,0.302,19,0.737,14,5,200,95.7,33.3,13,21,67,,15.7,11,0.27,17,0.294,5,53.0,35,0.465,13.4,11,46,0.413,19,0.706,12,"January 15, 2020",41.7,10,13.0,6,95.7,66.7,26,0.5710000000000001,49,0.49,24,0.469,23,0.7390000000000001,17,10,200,104.3,18.5,5,18,73,,5.7,4,0.34700000000000003,17,0.47100000000000003,8,47.0,31,0.609,20.2,15,32,0.5,16,0.41200000000000003,7,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-MASON,George Mason,70.0,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,16,True,False,True,Home,True,8,16,49,31,66,5,19,63,1,0,124,247,894,0.4843400447427293,483,1015,0.4758620689655173,72,339,930,0.4806451612903226,0.375
17,2020-01-18-16-massachusetts,48.0,12,0.0,0,76.1,82.9,29,0.5820000000000001,49,0.51,25,0.38799999999999996,19,0.9470000000000001,18,10,200,111.9,9.1,2,14,75,,7.5,5,0.306,15,0.467,7,54.4,31,0.6459999999999999,18.5,13,34,0.529,18,0.444,8,"January 18, 2020",50.0,10,14.7,5,111.9,90.9,20,0.409,55,0.364,20,0.2,11,0.545,6,11,200,76.1,17.1,6,17,51,,9.0,6,0.436,24,0.20800000000000002,5,45.6,26,0.423,15.5,11,31,0.484,15,0.389,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,67.1,Away,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,17,False,False,False,Away,True,7,18,49,31,57,5,15,55,1,0,132,263,943,0.4888653234358431,514,1081,0.4754856614246069,77,358,993,0.4768378650553877,0.4117647058823529
18,2020-01-22-19-fordham,57.9,11,14.8,4,88.1,88.0,22,0.384,56,0.33899999999999997,19,0.25,14,0.7859999999999999,11,11,200,80.6,21.6,8,20,54,,16.4,11,0.5,28,0.179,5,48.4,30,0.431,17.3,13,28,0.5,14,0.42100000000000004,8,"January 22, 2020",50.0,10,0.0,0,80.6,78.4,29,0.521,47,0.426,20,0.36200000000000004,17,0.588,10,11,200,88.1,12.0,3,17,59,,9.0,6,0.426,20,0.45,9,51.6,32,0.536,21.6,15,27,0.40700000000000003,11,0.389,7,"Rose Hill Gym, Bronx, New York",GEORGE-WASHINGTON,George Washington,67.4,Home,FORDHAM,Fordham,George Washington,atlantic-10,18,False,False,False,Away,False,5,14,56,30,62,9,11,47,0,1,139,281,992,0.4934475806451613,545,1138,0.4789103690685413,82,373,1048,0.4732824427480916,0.4444444444444444
19,2020-01-25-16-george-washington,45.8,11,5.7,2,121.4,87.5,28,0.518,55,0.436,24,0.327,18,0.667,12,16,200,98.6,18.2,6,20,69,,5.7,4,0.455,25,0.36,9,52.3,34,0.5429999999999999,17.1,13,30,0.5,15,0.2,4,"January 25, 2020",58.1,18,16.7,5,98.6,81.8,27,0.643,56,0.5539999999999999,31,0.41100000000000003,23,0.565,13,11,200,121.4,12.5,4,15,85,,8.6,6,0.375,21,0.47600000000000003,10,47.7,31,0.635,9.6,7,35,0.6,21,0.45,9,"Charles E. Smith Center, Washington, District of Columbia",SAINT-JOSEPHS,St. Joseph's,70.2,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,19,True,False,True,Home,True,10,21,56,31,65,9,15,55,1,0,144,295,1048,0.4875954198473282,575,1200,0.4791666666666667,91,384,1095,0.4753424657534247,0.42105263157894735
