,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGE-WASHINGTON_homegame,GEORGE-WASHINGTON_homegame2,GEORGE-WASHINGTON_home,GEORGE-WASHINGTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2020-01-29-19-george-washington,35.9,14,11.4,5,117.6,65.9,29,0.53,83,0.47,39,0.313,26,0.615,16,10,300,114.3,18.6,8,27,104,,5.5,5,0.313,26,0.385,10,42.5,37,0.545,6.9,7,57,0.509,29,0.5,10,"January 29, 2020",58.8,20,14.0,8,114.3,81.4,35,0.5329999999999999,76,0.447,34,0.5,38,0.684,26,11,300,117.6,34.1,15,21,107,,4.4,4,0.42100000000000004,32,0.406,13,57.5,50,0.569,7.9,8,44,0.47700000000000004,21,0.47600000000000003,10,"Charles E. Smith Center, Washington, District of Columbia",DAVIDSON,Davidson,60.5,Home,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,20,True,False,True,Home,True,13,21,76,50,87,10,29,83,1,0,154,316,1104,0.4954710144927536,606,1265,0.4790513833992095,100,399,1150,0.4773913043478261,0.45
21,2020-02-01-18-richmond,39.1,9,7.0,3,113.4,89.7,26,0.48100000000000004,53,0.434,23,0.075,4,0.75,3,12,200,80.6,20.7,6,17,54,,4.5,3,0.415,22,0.22699999999999998,5,55.2,32,0.4920000000000001,24.7,18,31,0.581,18,0.455,10,"February 1, 2020",56.7,17,3.2,1,80.6,79.3,23,0.552,58,0.517,30,0.276,16,0.75,12,6,200,113.4,10.3,3,9,76,,19.4,13,0.259,15,0.267,4,44.8,26,0.579,5.8,4,43,0.605,26,0.727,16,"Robins Center, Richmond, Virginia",GEORGE-WASHINGTON,George Washington,66.8,Home,RICHMOND,Richmond,George Washington,atlantic-10,21,False,False,False,Away,False,5,18,53,32,58,4,26,58,0,1,167,337,1180,0.4978813559322034,656,1352,0.485207100591716,110,428,1233,0.4809407948094079,0.4761904761904762
22,2020-02-05-19-st-bonaventure,50.0,9,4.7,2,116.1,67.9,19,0.5,43,0.419,18,0.163,7,0.5710000000000001,4,13,200,75.8,0.0,0,14,47,,4.8,3,0.465,20,0.35,7,37.3,19,0.507,22.0,13,23,0.478,11,0.435,10,"February 5, 2020",58.6,17,13.0,3,75.8,100.0,23,0.534,59,0.4920000000000001,29,0.254,15,0.6,9,8,200,116.1,32.1,9,13,72,,6.5,4,0.271,16,0.313,5,62.7,32,0.544,9.6,7,43,0.5579999999999999,24,0.652,15,"Reilly Center, St. Bonaventure, New York",GEORGE-WASHINGTON,George Washington,61.7,Home,ST-BONAVENTURE,St. Bonaventure,George Washington,atlantic-10,22,False,False,False,Away,False,7,11,43,19,51,5,24,59,0,1,172,355,1233,0.4971613949716139,688,1410,0.4879432624113475,114,454,1291,0.4841208365608056,0.4545454545454545
23,2020-02-08-12-george-washington,41.4,12,12.5,4,66.2,80.0,32,0.598,56,0.518,29,0.39299999999999996,22,0.682,15,5,200,106.5,21.4,6,22,82,,14.3,11,0.375,21,0.429,9,55.9,38,0.617,20.6,17,35,0.5710000000000001,20,0.7829999999999999,18,"February 8, 2020",81.3,13,11.4,4,106.5,78.6,22,0.309,55,0.29100000000000004,16,0.418,23,0.7390000000000001,17,14,200,66.2,20.0,8,18,51,,9.1,7,0.418,23,0.087,2,44.1,30,0.387,22.6,19,32,0.43799999999999994,14,0.41700000000000004,10,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,77.2,Away,RHODE-ISLAND,Rhode Island,George Washington,atlantic-10,23,False,True,True,Home,False,2,14,55,30,68,9,20,56,0,1,179,366,1276,0.4972570532915361,707,1461,0.4839151266255989,119,478,1350,0.4862962962962963,0.43478260869565216
24,2020-02-15-16-george-mason,50.0,13,7.5,3,98.5,62.5,20,0.569,51,0.51,26,0.392,20,0.75,15,14,200,107.4,15.4,4,17,73,,11.8,8,0.294,15,0.4,6,41.4,24,0.603,19.0,14,36,0.556,20,0.44,11,"February 15, 2020",28.6,8,11.1,4,107.4,84.6,22,0.517,58,0.483,28,0.19,11,0.636,7,11,200,98.5,37.5,12,18,67,,5.9,4,0.31,18,0.222,4,58.6,34,0.53,19.3,15,40,0.6,24,0.56,14,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,68.4,Away,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,24,False,False,False,Away,True,6,20,51,24,58,4,24,58,1,0,181,380,1331,0.4894815927873779,737,1529,0.4820143884892086,128,498,1406,0.4907539118065434,0.4166666666666667
25,2020-02-19-20-duquesne,56.0,14,4.5,2,95.7,74.4,29,0.5670000000000001,52,0.48100000000000004,25,0.34600000000000003,18,0.611,11,14,200,100.0,26.7,8,12,70,,7.1,5,0.385,20,0.45,9,53.6,37,0.578,21.1,16,32,0.5,16,0.462,12,"February 19, 2020",63.0,17,12.5,4,100.0,73.3,22,0.434,68,0.397,27,0.191,13,0.615,8,7,200,95.7,25.6,10,16,67,,12.9,9,0.353,24,0.20800000000000002,5,46.4,32,0.452,8.7,7,44,0.5,22,0.72,18,"CONSOL Energy Center, Pittsburgh, Pennsylvania",DUQUESNE,Duquesne,69.9,Away,GEORGE-WASHINGTON,George Washington,George Washington,atlantic-10,25,False,False,False,Away,True,9,16,52,37,69,5,22,68,1,0,187,400,1382,0.4924023154848046,761,1587,0.479521109010712,132,522,1464,0.4918032786885246,0.44
26,2020-02-22-16-george-washington,47.8,11,4.0,1,95.4,78.1,25,0.5870000000000001,46,0.5,23,0.5,23,0.7829999999999999,18,13,200,110.8,8.7,2,24,72,,10.8,7,0.326,15,0.5329999999999999,8,49.1,27,0.632,16.4,11,31,0.484,15,0.5,13,"February 22, 2020",35.3,6,19.4,6,110.8,91.3,21,0.444,45,0.37799999999999995,17,0.711,32,0.688,22,15,200,95.4,21.9,7,21,62,,12.3,8,0.444,20,0.3,6,50.9,28,0.515,15.7,11,25,0.44,11,0.444,12,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,65.1,Away,LA-SALLE,La Salle,George Washington,atlantic-10,26,False,True,True,Home,False,6,11,45,28,55,8,15,46,0,1,196,416,1434,0.495118549511855,798,1656,0.4818840579710145,137,544,1532,0.4892297650130548,0.4615384615384616
27,2020-02-26-19-george-washington,68.0,17,11.1,3,102.9,79.4,27,0.5,59,0.424,25,0.33899999999999997,20,0.7,14,7,200,107.4,23.5,8,17,73,,10.3,7,0.35600000000000004,21,0.429,9,51.5,35,0.5329999999999999,9.4,7,38,0.42100000000000004,16,0.75,21,"February 26, 2020",56.0,14,15.8,6,107.4,76.5,26,0.569,51,0.49,25,0.47100000000000003,24,0.5,12,16,200,102.9,20.6,7,19,70,,2.9,2,0.47100000000000003,24,0.33299999999999996,8,48.5,33,0.561,18.5,14,27,0.63,17,0.429,12,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,68.5,Away,RICHMOND,Richmond,George Washington,atlantic-10,27,False,True,True,Home,False,8,17,51,33,68,9,16,59,0,1,202,427,1479,0.4935767410412441,826,1711,0.4827586206896552,145,559,1578,0.4920785804816223,0.4444444444444444
28,2020-02-29-16-virginia-commonwealth,50.0,9,2.9,1,121.0,79.2,19,0.446,46,0.391,18,0.413,19,0.526,10,17,200,82.3,19.4,6,11,51,,6.5,4,0.391,18,0.278,5,45.5,25,0.46299999999999997,20.5,14,28,0.46399999999999997,13,0.414,12,"February 29, 2020",60.7,17,10.7,3,82.3,80.6,25,0.64,50,0.56,28,0.36,18,0.611,11,11,200,121.0,20.8,5,13,75,,11.3,7,0.32,16,0.5,8,54.5,30,0.64,10.8,7,34,0.588,20,0.621,18,"Stuart Siegel Center, Richmond, Virginia",GEORGE-WASHINGTON,George Washington,61.8,Home,VIRGINIA-COMMONWEALTH,VCU,George Washington,atlantic-10,28,False,False,False,Away,False,5,13,46,25,55,8,20,50,0,1,210,444,1530,0.496078431372549,859,1779,0.4828555368184374,154,575,1637,0.4923640806353085,0.42857142857142855
29,2020-03-04-19-george-washington,27.3,6,11.1,3,76.5,84.4,27,0.42100000000000004,57,0.386,22,0.298,17,0.882,15,21,200,92.6,22.2,8,20,63,,17.6,12,0.21100000000000002,12,0.33299999999999996,4,51.5,35,0.484,13.4,10,45,0.4,18,0.276,8,"March 4, 2020",55.6,10,8.9,4,92.6,77.8,28,0.41,50,0.36,18,0.34,17,0.647,11,18,200,76.5,15.6,5,16,52,,10.3,7,0.46,23,0.217,5,48.5,33,0.44799999999999995,20.7,15,27,0.48100000000000004,13,0.4,12,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,67.6,Away,FORDHAM,Fordham,George Washington,atlantic-10,29,False,True,True,Home,False,5,13,50,33,68,4,18,57,0,1,215,457,1576,0.4946065989847716,884,1834,0.4820065430752454,162,595,1687,0.4967397747480735,0.4137931034482759
30,2020-03-07-19-dayton,52.6,10,6.5,2,122.6,89.3,25,0.479,48,0.396,19,0.16699999999999998,8,0.625,5,19,200,82.3,10.0,3,20,51,,4.8,3,0.479,23,0.348,8,48.3,28,0.4920000000000001,21.4,14,25,0.44,11,0.387,12,"March 7, 2020",67.9,19,16.0,4,82.3,90.0,27,0.657,51,0.5489999999999999,28,0.294,15,0.6,9,2,200,122.6,10.7,3,11,76,3.0,9.7,6,0.392,20,0.55,11,51.7,30,0.654,10.8,7,31,0.5479999999999999,17,0.935,29,"University of Dayton Arena, Dayton, Ohio",GEORGE-WASHINGTON,George Washington,62.5,Home,DAYTON,Dayton,George Washington,atlantic-10,30,False,False,False,Away,False,8,11,48,28,58,11,17,51,0,1,220,470,1626,0.4920049200492005,917,1902,0.482124079915878,166,613,1744,0.4942660550458716,0.4
31,2020-03-11-15-george-washington,48.0,12,16.0,4,77.6,79.4,27,0.58,50,0.5,25,0.36,18,0.778,14,22,200,107.5,11.5,3,10,72,,9.0,6,0.46,23,0.348,8,50.0,30,0.615,17.2,12,27,0.63,17,0.29,9,"March 11, 2020",52.6,10,3.7,1,107.5,88.5,23,0.433,52,0.365,19,0.212,11,0.636,7,20,200,77.6,20.6,7,22,52,,11.9,8,0.519,27,0.259,7,50.0,30,0.45399999999999996,23.0,17,25,0.48,12,0.375,12,"Barclays Center, Brooklyn, New York",GEORGE-WASHINGTON,George Washington,67.4,Away,FORDHAM,Fordham,George Washington,atlantic-10,31,False,True,True,Home,False,7,12,52,30,60,8,17,50,0,1,228,481,1674,0.49163679808841104,945,1960,0.4821428571428572,177,630,1795,0.4988857938718663,0.3870967741935484
