,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA_homegame,FLORIDA_homegame2,FLORIDA_home,FLORIDA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-florida,61.9,13,0.0,0,105.7,55.0,22,0.465,57,0.368,21,0.175,10,0.6,6,1,200,84.3,28.6,10,18,59,,4.3,3,0.596,34,0.324,11,42.7,32,0.478,22.7,18,23,0.435,10,0.0,0,"November 5, 2019",51.7,15,13.0,3,84.3,71.4,25,0.442,69,0.42,29,0.261,18,0.722,13,0,200,105.7,45.0,18,16,74,6.0,10.0,7,0.217,15,0.2,3,57.3,43,0.47700000000000004,11.5,10,54,0.48100000000000004,26,1.0,1,"Stephen C. O'Connell Center, Gainesville, Florida",NORTH-FLORIDA,North Florida,69.7,Home,FLORIDA,Florida,Florida,sec,0,True,False,True,Home,True,3,26,69,43,75,11,10,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-13-florida,55.0,11,17.9,5,77.3,76.5,26,0.409,55,0.364,20,0.418,23,0.7829999999999999,18,1,200,95.5,27.3,9,17,63,,12.1,8,0.309,17,0.294,5,52.2,35,0.478,12.1,9,38,0.395,15,0.5,1,"November 10, 2019",42.9,6,10.5,4,95.5,72.7,24,0.32,50,0.28,14,0.48,24,0.792,19,1,200,77.3,23.5,8,19,51,6.0,4.5,3,0.44,22,0.182,4,47.8,32,0.415,17.7,13,28,0.35700000000000004,10,0.5,1,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,66.2,Away,FLORIDA-STATE,Florida State,Florida,sec,1,False,True,True,Home,False,4,10,50,32,67,5,15,55,0,1,3,26,69,0.4420289855072464,43,75,0.5733333333333334,11,10,57,0.4649122807017544,1.0
2,2019-11-14-19-florida,47.6,10,9.1,3,103.1,77.4,24,0.5,48,0.43799999999999994,21,0.33299999999999996,16,0.75,12,2,200,93.8,20.0,5,20,60,,7.8,5,0.396,19,0.316,6,51.8,29,0.54,17.9,12,29,0.517,15,0.5,2,"November 14, 2019",56.5,13,3.4,1,93.8,80.0,20,0.48200000000000004,55,0.418,23,0.364,20,0.65,13,1,200,103.1,22.6,7,13,66,15.0,4.7,3,0.4,22,0.318,7,48.2,27,0.512,11.1,8,33,0.485,16,0.667,2,"Stephen C. O'Connell Center, Gainesville, Florida",TOWSON,Towson,64.1,Home,FLORIDA,Florida,Florida,sec,2,True,False,True,Home,True,7,16,55,27,56,6,15,48,1,0,7,36,119,0.3907563025210084,75,142,0.528169014084507,16,25,112,0.4375,0.5
3,2019-11-17-15-connecticut,40.9,9,8.1,3,93.9,71.8,28,0.445,55,0.4,22,0.23600000000000002,13,0.769,10,2,200,89.4,19.4,6,21,59,15.0,6.1,4,0.364,20,0.25,5,48.6,34,0.48200000000000004,14.1,10,35,0.486,17,0.5,2,"November 17, 2019",52.4,11,11.4,4,89.4,80.6,25,0.39,59,0.35600000000000004,21,0.373,22,0.727,16,1,200,93.9,28.2,11,14,62,,10.6,7,0.373,22,0.182,4,51.4,36,0.446,11.6,9,37,0.45899999999999996,17,0.667,2,"Harry A. Gampel Pavilion, Storrs, Connecticut",FLORIDA,Florida,66.3,Home,CONNECTICUT,UConn,Florida,sec,3,False,False,False,Away,False,5,17,55,34,70,4,17,59,0,1,14,52,174,0.4195402298850575,102,198,0.5151515151515151,22,40,160,0.45625,0.6666666666666666
4,2019-11-21-14-saint-josephs,37.5,9,23.3,10,87.3,71.4,30,0.5,55,0.436,24,0.418,23,0.652,15,2,200,98.6,28.1,9,21,70,,5.6,4,0.4,22,0.318,7,52.7,39,0.531,15.6,12,33,0.515,17,0.6,3,"November 21, 2019",39.1,9,15.2,5,98.6,71.9,23,0.371,66,0.348,23,0.28800000000000003,19,0.684,13,3,200,87.3,28.6,12,20,62,,4.2,3,0.348,23,0.13,3,47.3,35,0.413,12.9,11,43,0.465,20,0.4,2,"TD Arena, Charleston, South Carolina",SAINT-JOSEPHS,St. Joseph's,71.5,Away,FLORIDA,Florida,Florida,sec,4,False,False,False,Away,True,7,17,55,39,74,3,20,66,1,0,19,69,229,0.425764192139738,136,268,0.5074626865671642,26,57,219,0.4383561643835616,0.5
5,2019-11-22-12-florida,43.5,10,10.8,4,118.2,66.7,18,0.48200000000000004,55,0.418,23,0.2,11,0.455,5,2,200,87.9,17.6,6,13,58,,9.1,6,0.345,19,0.368,7,39.3,24,0.48200000000000004,19.0,14,36,0.444,16,0.667,4,"November 22, 2019",60.0,18,13.9,5,87.9,82.4,28,0.625,56,0.536,30,0.23199999999999998,13,0.615,8,2,200,118.2,33.3,9,14,78,,12.1,8,0.33899999999999997,19,0.526,10,60.7,37,0.627,15.1,11,37,0.541,20,0.667,4,"TD Arena, Charleston, South Carolina",MIAMI-FL,Miami (FL),66.2,Home,FLORIDA,Florida,Florida,sec,5,True,False,True,Home,True,10,20,56,37,61,7,16,55,1,0,26,86,284,0.44014084507042256,175,342,0.5116959064327485,29,77,285,0.4228070175438596,0.6
6,2019-11-24-20-xavier,30.8,8,7.9,3,97.0,66.7,20,0.615,48,0.542,26,0.313,15,0.733,11,2,200,104.5,22.7,5,14,70,,13.4,9,0.375,18,0.389,7,48.1,25,0.635,20.4,14,30,0.633,19,0.7140000000000001,5,"November 24, 2019",54.2,13,6.7,2,104.5,77.3,17,0.491,54,0.444,24,0.278,15,0.8,12,1,200,97.0,33.3,10,18,65,18.0,9.0,6,0.29600000000000004,16,0.313,5,51.9,27,0.532,22.9,18,38,0.5,19,0.857,6,"TD Arena, Charleston, South Carolina",XAVIER,Xavier,66.6,Away,FLORIDA,Florida,Florida,sec,6,False,False,False,Away,True,7,19,48,25,52,5,19,54,1,0,36,106,340,0.4705882352941176,212,403,0.5260545905707196,36,93,340,0.4323529411764706,0.6666666666666666
7,2019-11-29-21-florida,48.0,12,12.5,5,96.1,76.7,23,0.46,62,0.40299999999999997,25,0.258,16,0.625,10,4,200,88.2,14.3,5,20,67,,13.2,10,0.40299999999999997,25,0.28,7,43.1,28,0.48100000000000004,13.7,11,37,0.486,18,0.33299999999999996,2,"November 29, 2019",15.4,4,13.5,5,88.2,85.7,30,0.483,58,0.44799999999999995,26,0.414,24,0.708,17,2,200,96.1,23.3,7,12,73,24.0,9.2,7,0.31,18,0.222,4,56.9,37,0.526,15.9,13,40,0.55,22,0.75,6,"Stephen C. O'Connell Center, Gainesville, Florida",MARSHALL,Marshall,75.5,Home,FLORIDA,Florida,Florida,sec,7,True,False,True,Home,True,4,22,58,37,65,7,18,62,1,0,43,125,388,0.4884020618556701,237,455,0.5208791208791209,41,112,394,0.4403553299492386,0.7142857142857143
8,2019-12-07-12-butler,57.1,12,3.6,1,116.9,90.0,18,0.5,48,0.43799999999999994,21,0.43799999999999994,21,0.667,14,3,200,95.4,14.3,4,18,62,,7.7,5,0.542,26,0.231,6,45.8,22,0.535,14.9,10,22,0.682,15,0.667,6,"December 7, 2019",76.0,19,9.1,2,95.4,85.7,24,0.615,48,0.521,25,0.45799999999999996,22,0.773,17,0,200,116.9,10.0,2,18,76,24.0,4.6,3,0.41700000000000004,20,0.45,9,54.2,26,0.65,13.5,9,28,0.5710000000000001,16,1.0,9,"Hinkle Fieldhouse, Indianapolis, Indiana",FLORIDA,Florida,64.7,Home,BUTLER,Butler,Florida,sec,8,False,False,False,Away,False,6,15,48,22,48,9,16,48,0,1,47,147,446,0.4876681614349776,274,520,0.5269230769230769,48,130,456,0.4429824561403509,0.75
9,2019-12-17-19-providence,51.7,15,7.5,3,75.0,56.5,26,0.579,57,0.509,29,0.42100000000000004,24,0.708,17,3,200,122.1,33.3,9,25,83,,13.2,9,0.316,18,0.444,8,47.9,35,0.607,10.6,8,39,0.5379999999999999,21,0.7,7,"December 17, 2019",53.3,8,2.6,1,122.1,66.7,18,0.267,58,0.259,15,0.586,34,0.588,20,6,200,75.0,43.5,20,21,51,,7.4,5,0.31,18,0.055999999999999994,1,52.1,38,0.344,17.1,15,40,0.35,14,0.5,6,"Barclays Center, Brooklyn, New York",PROVIDENCE,Providence,68.3,Away,FLORIDA,Florida,Florida,sec,9,False,False,False,Away,True,8,21,57,35,73,1,14,58,1,0,53,162,494,0.4888663967611336,296,568,0.5211267605633803,57,146,504,0.4593253968253968,0.6666666666666666
