,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MEMPHIS_homegame,MEMPHIS_homegame2,MEMPHIS_home,MEMPHIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-memphis,42.9,9,2.2,1,124.4,55.6,15,0.431,58,0.36200000000000004,21,0.31,18,0.778,14,1,200,82.1,14.3,5,20,64,,2.6,2,0.431,25,0.32,8,32.3,20,0.48100000000000004,21.4,18,33,0.39399999999999996,13,0.0,0,"November 5, 2019",58.3,21,30.3,10,82.1,85.7,30,0.591,66,0.545,36,0.318,21,0.905,19,0,200,124.4,44.4,12,21,97,14.0,10.3,8,0.303,20,0.3,6,67.7,42,0.638,14.7,13,46,0.652,30,1.0,1,"FedExForum, Memphis, Tennessee",SOUTH-CAROLINA-STATE,South Carolina State,78.3,Home,MEMPHIS,Memphis,Memphis,aac,0,True,False,True,Home,True,6,30,66,42,62,8,13,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-memphis,66.7,10,11.1,3,122.7,66.7,16,0.306,62,0.242,15,0.226,14,0.5710000000000001,8,1,200,61.3,25.6,11,18,46,,6.7,5,0.46799999999999997,29,0.276,8,40.3,27,0.335,21.8,19,33,0.212,7,0.5,1,"November 8, 2019",68.8,22,24.2,8,61.3,74.4,32,0.722,54,0.593,32,0.48100000000000004,26,0.5379999999999999,14,0,200,122.7,33.3,8,17,92,14.0,6.7,5,0.5,27,0.519,14,59.7,40,0.693,17.6,14,27,0.667,18,1.0,2,"FedExForum, Memphis, Tennessee",ILLINOIS-CHICAGO,UIC,74.5,Home,MEMPHIS,Memphis,Memphis,aac,1,True,False,True,Home,True,14,18,54,40,67,8,7,62,1,0,6,30,66,0.5909090909090909,42,62,0.6774193548387096,8,13,58,0.4310344827586207,1.0
2,2019-11-12-21-memphis,55.2,16,4.3,2,96.1,60.5,23,0.5579999999999999,60,0.483,29,0.45,27,0.556,15,0,200,106.5,41.9,13,21,82,14.0,9.1,7,0.38299999999999995,23,0.391,9,52.2,36,0.563,20.0,18,37,0.541,20,1.0,3,"November 12, 2019",61.5,16,5.4,2,106.5,58.1,18,0.406,69,0.377,26,0.319,22,0.818,18,1,200,96.1,39.5,15,21,74,13.0,9.1,7,0.33299999999999996,23,0.174,4,47.8,33,0.466,13.2,12,46,0.478,22,0.667,2,"Moda Center, Portland, Oregon",MEMPHIS,Memphis,77.1,Away,OREGON,Oregon,Memphis,aac,2,False,True,True,Home,False,4,22,69,33,69,9,20,60,0,1,20,48,120,0.65,82,129,0.6356589147286822,16,20,120,0.36666666666666653,1.0
3,2019-11-16-14-memphis,36.8,7,8.3,4,112.1,64.1,25,0.341,63,0.302,19,0.365,23,0.565,13,3,202,61.5,19.0,8,30,56,,11.0,10,0.429,27,0.185,5,40.7,33,0.379,25.5,25,36,0.389,14,0.25,1,"November 16, 2019",48.6,18,16.7,6,61.5,81.0,34,0.609,64,0.578,37,0.703,45,0.5329999999999999,24,1,202,112.1,35.9,14,22,102,13.0,13.2,12,0.25,16,0.25,4,59.3,48,0.597,18.5,19,48,0.688,33,0.75,3,"FedExForum, Memphis, Tennessee",ALCORN-STATE,Alcorn State,89.8,Home,MEMPHIS,Memphis,Memphis,aac,3,True,False,True,Home,True,4,33,64,48,81,5,14,63,1,0,24,70,189,0.5608465608465608,115,198,0.5808080808080808,25,40,180,0.4305555555555556,0.6666666666666666
4,2019-11-20-20-memphis,52.4,11,9.8,4,84.0,71.8,28,0.45899999999999996,49,0.429,21,0.49,24,0.542,13,2,200,71.6,19.4,6,24,58,,13.6,11,0.204,10,0.3,3,48.6,34,0.48,30.4,26,39,0.462,18,0.6,3,"November 20, 2019",66.7,16,15.4,6,71.6,80.6,25,0.4270000000000001,62,0.387,24,0.371,23,0.652,15,1,200,84.0,28.2,11,23,68,16.0,19.8,16,0.33899999999999997,21,0.23800000000000002,5,51.4,36,0.466,20.9,19,41,0.46299999999999997,19,0.8,4,"FedExForum, Memphis, Tennessee",ARKANSAS-LITTLE-ROCK,Little Rock,80.7,Home,MEMPHIS,Memphis,Memphis,aac,4,True,False,True,Home,True,5,19,62,36,70,3,18,49,1,0,28,103,253,0.5731225296442688,163,279,0.5842293906810035,30,54,243,0.4074074074074074,0.75
5,2019-11-23-13-memphis,73.1,19,6.4,3,106.1,70.0,21,0.485,66,0.39399999999999996,26,0.455,30,0.733,22,1,200,104.9,35.1,13,30,86,,9.8,8,0.409,27,0.444,12,50.7,34,0.536,15.9,15,39,0.359,14,0.8,4,"November 23, 2019",50.0,15,23.1,9,104.9,64.9,24,0.5429999999999999,58,0.517,30,0.621,36,0.667,24,1,200,106.1,30.0,9,26,87,16.0,13.4,11,0.19,11,0.273,3,49.3,33,0.579,17.8,16,47,0.574,27,0.833,5,"FedExForum, Memphis, Tennessee",MISSISSIPPI,Ole Miss,82.2,Home,MEMPHIS,Memphis,Memphis,aac,5,True,False,True,Home,True,3,27,58,33,67,12,14,66,1,0,33,122,315,0.5444444444444444,199,349,0.5702005730659025,33,72,292,0.4160958904109589,0.8
6,2019-11-28-16-memphis,46.2,12,9.5,4,116.9,62.5,15,0.4920000000000001,59,0.441,26,0.40700000000000003,24,0.833,20,2,200,109.9,18.8,6,18,78,,12.7,9,0.322,19,0.316,6,37.5,21,0.5539999999999999,9.1,7,40,0.5,20,0.7140000000000001,5,"November 28, 2019",42.9,12,12.5,5,109.9,81.3,26,0.593,54,0.519,28,0.46299999999999997,25,0.76,19,1,200,116.9,37.5,9,22,83,16.0,5.6,4,0.222,12,0.667,8,62.5,35,0.63,17.7,14,42,0.47600000000000003,20,0.857,6,"Barclays Center, Brooklyn, New York",NORTH-CAROLINA-STATE,NC State,71.1,Home,MEMPHIS,Memphis,Memphis,aac,6,True,False,True,Home,True,8,20,54,35,56,6,20,59,1,0,36,149,373,0.5442359249329759,232,416,0.5576923076923077,45,86,358,0.4287709497206704,0.8333333333333334
7,2019-12-03-21-memphis,36.4,8,4.7,2,93.4,75.0,30,0.28,82,0.268,22,0.22,18,0.556,10,3,200,73.7,35.2,19,19,56,,3.9,3,0.28,23,0.087,2,52.1,49,0.309,7.2,7,59,0.33899999999999997,20,0.625,5,"December 3, 2019",50.0,11,16.9,10,73.7,64.8,35,0.41,61,0.361,22,0.426,26,0.8079999999999999,21,1,200,93.4,25.0,10,16,71,15.0,9.2,7,0.295,18,0.33299999999999996,6,47.9,45,0.484,12.1,10,43,0.3720000000000001,16,0.875,7,"FedExForum, Memphis, Tennessee",BRADLEY,Bradley,76.0,Home,MEMPHIS,Memphis,Memphis,aac,7,True,False,True,Home,True,6,16,61,45,94,2,20,82,1,0,44,169,427,0.550351288056206,267,472,0.565677966101695,51,106,417,0.4376498800959233,0.8571428571428571
8,2019-12-07-17-alabama-birmingham,40.9,9,15.6,5,82.6,56.7,17,0.431,58,0.379,22,0.36200000000000004,21,0.7140000000000001,15,1,200,94.2,37.1,13,21,65,15.0,13.0,9,0.276,16,0.375,6,46.2,30,0.478,19.2,16,42,0.381,16,0.889,8,"December 7, 2019",55.0,11,7.1,3,94.2,62.9,22,0.451,51,0.392,20,0.314,16,0.688,11,4,200,82.6,43.3,13,19,57,,8.7,6,0.373,19,0.316,6,53.8,35,0.486,27.5,22,32,0.43799999999999994,14,0.5,4,"Bartow Arena, Birmingham, Alabama",ALABAMA-BIRMINGHAM,Alabama-Birmingham,69.3,Away,MEMPHIS,Memphis,Memphis,aac,8,False,False,False,Away,True,6,16,58,30,65,6,14,51,1,0,50,185,488,0.5327868852459017,312,566,0.5512367491166078,53,126,499,0.4118236472945892,0.875
9,2019-12-14-15-tennessee,26.3,5,17.6,6,69.1,79.1,34,0.384,56,0.33899999999999997,19,0.23199999999999998,13,0.615,8,1,200,75.0,30.3,10,17,51,13.0,8.8,6,0.23199999999999998,13,0.385,5,57.9,44,0.41,20.6,16,43,0.326,14,0.9,9,"December 14, 2019",73.3,11,11.6,5,75.0,69.7,23,0.28300000000000003,60,0.25,15,0.3,18,0.722,13,2,200,69.1,20.9,9,18,47,19.0,10.3,7,0.433,26,0.154,4,42.1,32,0.34299999999999997,11.7,9,34,0.324,11,0.778,7,"Thompson-Boling Arena, Knoxville, Tennessee",TENNESSEE,Tennessee,68.4,Away,MEMPHIS,Memphis,Memphis,aac,9,False,False,False,Away,True,5,14,56,44,76,4,11,60,1,0,56,201,546,0.521978021978022,342,631,0.5419968304278923,59,140,550,0.4154545454545455,0.8888888888888888
10,2019-12-21-13-memphis,55.0,11,5.1,2,91.7,75.0,18,0.34700000000000003,62,0.32299999999999995,20,0.161,10,0.6,6,9,200,58.3,23.3,10,14,49,,20.2,17,0.242,15,0.2,3,41.8,28,0.3670000000000001,27.4,25,47,0.36200000000000004,17,0.25,3,"December 21, 2019",50.0,16,17.0,8,58.3,76.7,33,0.586,58,0.552,32,0.24100000000000002,14,0.643,9,1,200,91.7,25.0,6,13,77,11.0,17.9,15,0.32799999999999996,19,0.21100000000000002,4,58.2,39,0.596,30.4,28,39,0.718,28,0.909,10,"FedExForum, Memphis, Tennessee",JACKSON-STATE,Jackson State,84.2,Home,MEMPHIS,Memphis,Memphis,aac,10,True,False,True,Home,True,4,28,58,39,67,3,17,62,1,0,61,215,602,0.5091362126245847,386,707,0.545968882602546,63,151,610,0.4024590163934426,0.9
11,2019-12-28-13-memphis,62.5,10,12.5,5,110.2,60.0,18,0.318,55,0.29100000000000004,16,0.491,27,0.741,20,8,200,62.5,21.1,8,20,55,,14.8,13,0.309,17,0.17600000000000002,3,38.2,26,0.405,28.8,27,38,0.342,13,0.33299999999999996,4,"December 28, 2019",54.5,18,28.9,11,62.5,78.9,30,0.619,63,0.524,33,0.365,23,0.826,19,1,200,110.2,40.0,12,23,97,9.0,20.5,18,0.365,23,0.522,12,61.8,42,0.6559999999999999,27.0,27,40,0.525,21,0.917,11,"FedExForum, Memphis, Tennessee",NEW-ORLEANS,New Orleans,87.9,Home,MEMPHIS,Memphis,Memphis,aac,11,True,False,True,Home,True,12,21,63,42,68,3,13,55,1,0,65,243,660,0.5159090909090909,425,774,0.5490956072351422,66,168,672,0.39732142857142855,0.9090909090909092
12,2019-12-30-21-memphis,40.0,10,0.0,0,113.5,73.3,22,0.46799999999999997,62,0.40299999999999997,25,0.29,18,0.833,15,5,200,98.6,19.4,7,19,73,,6.8,5,0.40299999999999997,25,0.32,8,43.9,29,0.517,12.5,10,37,0.45899999999999996,17,0.615,8,"December 30, 2019",70.6,24,10.8,4,98.6,80.6,29,0.611,63,0.54,34,0.23800000000000002,15,0.467,7,1,200,113.5,26.7,8,16,84,9.0,2.7,2,0.413,26,0.34600000000000003,9,56.1,37,0.599,14.7,12,37,0.6759999999999999,25,0.9229999999999999,12,"FedExForum, Memphis, Tennessee",TULANE,Tulane,73.8,Home,MEMPHIS,Memphis,Memphis,aac,12,True,False,True,Home,True,9,25,63,37,66,8,17,62,1,0,77,264,723,0.524896265560166,467,842,0.5546318289786223,69,181,727,0.3913342503438789,0.9166666666666666
13,2020-01-04-13-memphis,75.0,18,7.7,3,83.8,68.3,28,0.475,61,0.39299999999999996,24,0.18,11,0.636,7,3,200,87.8,19.4,7,16,65,,10.8,8,0.361,22,0.455,10,45.5,35,0.491,19.6,16,39,0.359,14,0.769,10,"January 4, 2020",45.5,10,12.8,5,87.8,80.6,29,0.418,61,0.361,22,0.32799999999999996,20,0.55,11,2,200,83.8,31.7,13,10,62,9.0,13.5,10,0.361,22,0.318,7,54.5,42,0.44,17.7,15,39,0.385,15,0.857,12,"FedExForum, Memphis, Tennessee",MEMPHIS,Memphis,73.9,Away,GEORGIA,Georgia,Memphis,aac,13,False,True,True,Home,False,7,15,61,42,77,10,14,61,0,1,86,289,786,0.5318066157760815,504,908,0.5550660792951542,77,198,789,0.3973384030418251,0.9230769230769232
14,2020-01-09-19-wichita-state,50.0,10,20.0,9,98.7,65.1,28,0.39299999999999996,56,0.35700000000000004,20,0.589,33,0.6970000000000001,23,3,200,87.0,35.9,14,26,67,21.0,3.9,3,0.375,21,0.19,4,51.2,42,0.467,19.4,17,35,0.457,16,0.8,12,"January 9, 2020",45.5,10,8.6,3,87.0,64.1,25,0.38799999999999996,67,0.32799999999999996,22,0.522,35,0.6859999999999999,24,1,200,98.7,34.9,15,24,76,23.0,9.1,7,0.32799999999999996,22,0.364,8,48.8,40,0.45399999999999996,10.8,10,45,0.311,14,0.9329999999999999,14,"Charles Koch Arena, Wichita, Kansas",MEMPHIS,Memphis,76.7,Home,WICHITA-STATE,Wichita State,Memphis,aac,14,False,False,False,Away,False,4,16,56,42,82,8,14,67,0,1,93,304,847,0.5236127508854782,546,985,0.5543147208121827,87,212,850,0.40294117647058825,0.8571428571428571
15,2020-01-12-16-south-florida,69.6,16,22.6,7,88.9,89.3,25,0.607,42,0.5479999999999999,23,0.643,27,0.63,17,3,200,94.4,31.8,7,21,68,21.0,12.5,9,0.35700000000000004,15,0.33299999999999996,5,64.0,32,0.62,29.0,22,27,0.667,18,0.812,13,"January 12, 2020",65.0,13,7.4,2,94.4,68.2,15,0.48,50,0.4,20,0.52,26,0.615,16,9,200,88.9,10.7,3,20,64,,13.9,10,0.38,19,0.42100000000000004,8,36.0,18,0.513,18.6,14,31,0.387,12,0.47100000000000003,8,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,71.6,Away,MEMPHIS,Memphis,Memphis,aac,15,False,False,False,Away,True,5,18,42,32,50,8,12,50,1,0,97,320,903,0.5155038759689923,588,1067,0.5510777881911902,95,226,917,0.40185387131952016,0.8
16,2020-01-16-19-memphis,55.6,10,15.4,4,88.2,76.9,20,0.35,60,0.3,18,0.2,12,0.583,7,7,200,72.1,31.0,13,13,49,,10.3,7,0.28300000000000003,17,0.353,6,48.5,33,0.373,19.7,16,43,0.27899999999999997,12,0.588,10,"January 16, 2020",66.7,14,18.6,8,72.1,69.0,29,0.5,51,0.41200000000000003,21,0.235,12,0.75,9,3,200,88.2,23.1,6,13,60,22.0,11.8,8,0.49,25,0.36,9,51.5,35,0.529,23.2,17,26,0.462,12,0.8240000000000001,14,"FedExForum, Memphis, Tennessee",CINCINNATI,Cincinnati,68.2,Home,MEMPHIS,Memphis,Memphis,aac,16,True,False,True,Home,True,9,12,51,35,68,6,12,60,1,0,102,338,945,0.5195767195767196,620,1117,0.5550581915846016,103,238,967,0.40589451913133395,0.8125
17,2020-01-22-21-tulsa,62.5,10,3.3,1,109.6,85.7,24,0.304,56,0.28600000000000003,16,0.196,11,0.545,6,4,200,54.8,19.4,7,22,40,20.0,8.2,6,0.375,21,0.095,2,48.4,31,0.327,23.8,19,35,0.4,14,0.778,14,"January 22, 2020",44.4,12,11.4,4,54.8,80.6,29,0.574,54,0.5,27,0.46299999999999997,25,0.72,18,6,200,109.6,14.3,4,12,80,,11.0,8,0.444,24,0.33299999999999996,8,51.6,33,0.607,13.3,10,30,0.633,19,0.684,13,"Donald W. Reynolds Center, Tulsa, Oklahoma",MEMPHIS,Memphis,72.6,Home,TULSA,Tulsa,Memphis,aac,17,False,False,False,Away,False,2,14,56,31,64,8,19,54,0,1,111,350,996,0.518574297188755,655,1185,0.5527426160337553,109,250,1027,0.4026290165530672,0.8235294117647058
