,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CLEVELAND-STATE_homegame,CLEVELAND-STATE_homegame2,CLEVELAND-STATE_home,CLEVELAND-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-minnesota,52.6,10,7.1,2,118.1,73.1,19,0.373,55,0.345,19,0.2,11,0.818,9,1,200,69.4,14.7,5,17,50,,9.7,7,0.345,19,0.158,3,40.0,24,0.415,21.1,16,36,0.444,16,0.0,0,"November 5, 2019",83.9,26,22.2,8,69.4,85.3,29,0.6579999999999999,57,0.544,31,0.24600000000000002,14,0.7140000000000001,10,0,200,118.1,26.9,7,13,85,,6.9,5,0.509,29,0.44799999999999995,13,60.0,36,0.6679999999999999,20.2,16,28,0.643,18,1.0,1,"Williams Arena, Minneapolis, Minnesota",CLEVELAND-STATE,Cleveland State,71.9,Home,MINNESOTA,Minnesota,Cleveland State,horizon,0,False,False,False,Away,False,3,16,55,24,60,13,18,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-15-cleveland-state,40.0,6,3.2,1,112.9,76.7,23,0.311,53,0.28300000000000003,15,0.5660000000000001,30,0.7,21,0,200,77.1,27.0,10,19,54,,5.7,4,0.358,19,0.158,3,49.3,33,0.401,17.5,14,34,0.353,12,0.0,0,"November 9, 2019",75.0,21,11.8,4,77.1,73.0,27,0.609,55,0.509,28,0.418,23,0.522,12,1,200,112.9,23.3,7,20,79,,14.3,10,0.436,24,0.45799999999999996,11,50.7,34,0.599,12.1,9,31,0.5479999999999999,17,0.5,1,"Wolstein Center, Cleveland, Ohio","Edinboro
			","Edinboro
			",69.6,Home,CLEVELAND-STATE,Cleveland State,Cleveland State,horizon,1,True,False,True,Home,True,11,17,55,34,67,3,12,53,1,0,3,16,55,0.3727272727272728,24,60,0.4,13,18,57,0.6578947368421053,0.0
2,2019-11-12-20-missouri-state,38.9,7,8.3,3,104.3,55.6,20,0.35100000000000003,57,0.316,18,0.40399999999999997,23,0.565,13,2,200,75.7,30.2,13,25,53,,11.4,8,0.386,22,0.182,4,41.8,33,0.39,19.2,16,35,0.4,14,0.33299999999999996,1,"November 12, 2019",25.0,5,11.4,4,75.7,69.8,30,0.425,53,0.377,20,0.679,36,0.778,28,1,200,104.3,44.4,16,20,73,,15.7,11,0.321,17,0.294,5,58.2,46,0.521,17.9,15,36,0.41700000000000004,15,0.667,2,"JQH Arena, Springfield, Missouri",CLEVELAND-STATE,Cleveland State,70.0,Home,MISSOURI-STATE,Missouri State,Cleveland State,horizon,2,False,False,False,Away,False,4,14,57,33,79,5,15,53,0,1,14,33,110,0.4909090909090909,58,127,0.4566929133858268,16,30,110,0.4909090909090909,0.5
3,2019-11-15-19-south-carolina,50.0,10,8.8,5,108.4,52.9,27,0.41200000000000003,51,0.392,20,0.529,27,0.778,21,3,200,75.9,31.0,9,29,63,,6.0,5,0.21600000000000005,11,0.182,2,45.0,36,0.494,31.6,29,40,0.45,18,0.25,1,"November 15, 2019",45.2,14,12.5,5,75.9,69.0,20,0.4270000000000001,82,0.37799999999999995,31,0.37799999999999995,31,0.645,20,0,200,108.4,47.1,24,20,90,,16.9,14,0.305,25,0.32,8,55.0,44,0.465,9.5,10,57,0.40399999999999997,23,1.0,3,"The Colonial Life Arena, Columbia, South Carolina",CLEVELAND-STATE,Cleveland State,83.3,Home,SOUTH-CAROLINA,South Carolina,Cleveland State,horizon,3,False,False,False,Away,False,2,18,51,36,80,8,23,82,0,1,18,47,167,0.4431137724550898,91,206,0.441747572815534,21,45,163,0.4693251533742331,0.3333333333333333
4,2019-11-19-19-cleveland-state,69.2,27,19.0,8,76.3,76.7,33,0.664,73,0.534,39,0.21899999999999997,16,0.625,10,2,200,133.8,40.0,14,20,107,,10.0,8,0.493,36,0.528,19,60.3,47,0.664,14.9,14,37,0.541,20,0.5,2,"November 19, 2019",58.8,10,5.4,2,133.8,60.0,21,0.313,64,0.266,17,0.406,26,0.8079999999999999,21,4,200,76.3,23.3,10,19,61,,12.5,10,0.344,22,0.273,6,39.7,31,0.39899999999999997,14.7,13,42,0.262,11,0.2,1,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,80.0,Away,FLORIDA-INTERNATIONAL,Florida International,Cleveland State,horizon,4,False,True,True,Home,False,6,11,64,31,78,19,20,73,0,1,20,65,218,0.4357798165137615,127,286,0.4440559440559441,29,68,245,0.4551020408163266,0.25
5,2019-11-22-13-north-carolina-wilmington,60.0,12,16.1,5,69.7,80.6,25,0.38,54,0.37,20,0.204,11,0.545,6,4,200,71.2,28.9,11,23,47,,7.6,5,0.185,10,0.1,1,52.2,36,0.397,22.4,17,44,0.4320000000000001,19,0.33299999999999996,2,"November 22, 2019",50.0,6,11.4,5,71.2,71.1,27,0.307,44,0.273,12,0.636,28,0.679,19,3,200,69.7,19.4,6,20,46,,7.6,5,0.295,13,0.231,3,47.8,33,0.401,21.0,15,31,0.29,9,0.5,3,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,65.8,Away,CLEVELAND-STATE,Cleveland State,Cleveland State,horizon,5,False,False,False,Away,True,1,19,54,36,69,3,9,44,1,0,26,76,282,0.4078014184397163,158,364,0.4340659340659341,48,88,318,0.5031446540880503,0.2
6,2019-11-23-15-cleveland-state,30.8,4,12.1,4,90.3,70.0,21,0.284,51,0.255,13,0.608,31,0.71,22,4,200,70.8,17.5,7,25,51,,11.1,8,0.314,16,0.188,3,40.0,28,0.38799999999999996,16.7,13,35,0.28600000000000003,10,0.429,3,"November 23, 2019",52.6,10,8.6,3,70.8,82.5,33,0.4270000000000001,48,0.396,19,0.6459999999999999,31,0.774,24,4,200,90.3,30.0,9,25,65,,11.1,8,0.313,15,0.2,3,60.0,42,0.518,22.6,18,33,0.485,16,0.429,3,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",EASTERN-KENTUCKY,Eastern Kentucky,71.7,Home,CLEVELAND-STATE,Cleveland State,Cleveland State,horizon,6,True,False,True,Home,True,3,16,48,42,70,3,10,51,1,0,27,95,336,0.4032738095238095,194,433,0.4480369515011548,51,97,362,0.4792817679558011,0.3333333333333333
7,2019-11-30-18-cleveland-state,47.8,11,8.3,3,101.4,85.7,18,0.456,57,0.40399999999999997,23,0.228,13,0.5379999999999999,7,7,200,85.5,33.3,11,21,59,,5.8,4,0.509,29,0.207,6,53.7,29,0.467,21.3,17,28,0.607,17,0.222,2,"November 30, 2019",60.0,15,7.1,2,85.5,66.7,22,0.5670000000000001,45,0.556,25,0.5329999999999999,24,0.792,19,4,200,101.4,14.3,3,14,70,,17.4,12,0.2,9,0.111,1,46.3,25,0.621,21.3,15,36,0.667,24,0.5,4,"Wolstein Center, Cleveland, Ohio",ROBERT-MORRIS,Robert Morris,68.8,Home,CLEVELAND-STATE,Cleveland State,Cleveland State,horizon,7,True,False,True,Home,True,1,24,45,25,54,6,17,57,1,0,30,111,384,0.40625,236,503,0.4691848906560636,54,107,413,0.4552058111380145,0.42857142857142855
8,2019-12-04-19-cleveland-state,68.2,15,24.5,13,90.3,67.3,33,0.561,49,0.449,22,0.6729999999999999,33,0.758,25,2,200,111.1,16.7,5,20,80,,11.1,8,0.49,24,0.45799999999999996,11,48.1,38,0.618,14.8,11,25,0.44,11,0.75,6,"December 4, 2019",36.4,8,4.0,1,111.1,83.3,25,0.386,66,0.33299999999999996,22,0.364,24,0.583,14,5,200,90.3,32.7,16,24,65,,8.3,6,0.19699999999999998,13,0.5379999999999999,7,51.9,41,0.42,12.6,11,53,0.28300000000000003,15,0.444,4,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,71.5,Away,TOLEDO,Toledo,Cleveland State,horizon,8,False,True,True,Home,False,7,15,66,41,79,11,11,49,0,1,31,135,429,0.4230769230769231,261,557,0.4685816876122082,60,124,470,0.4553191489361702,0.5
9,2019-12-07-19-kent-state,50.0,11,2.3,1,115.7,78.6,22,0.47200000000000003,53,0.415,22,0.28300000000000003,15,0.6,9,6,200,84.3,25.8,8,15,59,,7.1,5,0.434,23,0.261,6,50.8,30,0.491,23.2,18,30,0.5329999999999999,16,0.4,4,"December 7, 2019",42.4,14,20.0,6,84.3,74.2,23,0.5710000000000001,63,0.524,33,0.19,12,0.75,9,1,200,115.7,21.4,6,18,81,,15.7,11,0.302,19,0.316,6,49.2,29,0.59,10.5,8,44,0.614,27,0.889,8,"Memorial Athletic & Convocation Center, Kent, Ohio",CLEVELAND-STATE,Cleveland State,70.4,Home,KENT-STATE,Kent State,Cleveland State,horizon,9,False,False,False,Away,False,6,16,53,30,59,6,27,63,0,1,38,150,495,0.41818181818181815,302,636,0.4748427672955975,71,135,519,0.4653179190751445,0.4444444444444444
