,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LAMAR_homegame,LAMAR_homegame2,LAMAR_home,LAMAR_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-12-lamar,64.3,9,4.9,2,104.9,50.0,15,0.3,55,0.255,14,0.145,8,0.875,7,0,200,48.8,20.0,7,14,40,,11.0,9,0.4,22,0.22699999999999998,5,33.8,22,0.34,35.4,32,33,0.273,9,0.0,0,"November 5, 2019",58.8,20,27.3,9,48.8,80.0,28,0.615,65,0.523,34,0.24600000000000002,16,0.375,6,0,200,104.9,50.0,15,15,86,,26.8,22,0.369,24,0.5,12,66.2,43,0.5920000000000001,23.4,22,41,0.537,22,1.0,1,"Montagne Center, Beaumont, Texas","Champion Christian
			","Champion Christian
			",81.7,Home,LAMAR,Lamar,Lamar,southland,0,True,False,True,Home,True,12,22,65,43,65,5,9,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-lamar,59.1,13,5.5,4,126.2,48.9,22,0.41700000000000004,60,0.3670000000000001,22,0.267,16,0.688,11,0,200,72.6,25.6,10,17,61,,0.0,0,0.38299999999999995,23,0.261,6,38.1,32,0.451,27.9,26,37,0.4320000000000001,16,0.0,0,"November 8, 2019",46.8,22,24.3,9,72.6,74.4,29,0.527,91,0.516,47,0.17600000000000002,16,0.625,10,0,200,126.2,51.1,23,18,106,,16.7,14,0.198,18,0.111,2,61.9,52,0.5379999999999999,8.4,9,73,0.616,45,1.0,2,"Montagne Center, Beaumont, Texas","Arlington Baptist
			","Arlington Baptist
			",84.1,Home,LAMAR,Lamar,Lamar,southland,1,True,False,True,Home,True,2,45,91,52,84,6,16,60,1,0,12,22,65,0.6153846153846154,43,65,0.6615384615384615,5,9,55,0.3,1.0
2,2019-11-12-19-duquesne,45.5,10,10.0,3,90.4,65.7,23,0.444,54,0.40700000000000003,22,0.222,12,0.667,8,1,200,76.7,16.7,5,19,56,,16.4,12,0.29600000000000004,16,0.25,4,43.1,28,0.469,24.3,19,38,0.474,18,0.667,2,"November 12, 2019",52.4,11,18.4,7,76.7,83.3,25,0.439,57,0.368,21,0.35100000000000003,20,0.8,16,0,200,90.4,34.3,12,15,66,,12.3,9,0.474,27,0.29600000000000004,8,56.9,37,0.496,21.5,18,30,0.433,13,1.0,2,"Kerr Fitness Center, Pittsburgh, Pennsylvania",LAMAR,Lamar,73.1,Home,DUQUESNE,Duquesne,Lamar,southland,2,False,False,False,Away,False,4,18,54,28,65,8,13,57,0,1,14,67,156,0.5641025641025641,95,149,0.6375838926174496,11,25,115,0.3608695652173913,1.0
3,2019-11-15-20-lamar,37.5,9,2.7,1,108.6,80.0,20,0.5,56,0.429,24,0.23199999999999998,13,0.385,5,3,200,87.1,29.0,9,20,61,,8.6,6,0.48200000000000004,27,0.29600000000000004,8,51.8,29,0.491,21.6,17,29,0.552,16,0.25,1,"November 15, 2019",58.6,17,13.8,4,87.1,71.0,22,0.591,55,0.527,29,0.327,18,0.611,11,1,200,108.6,20.0,5,17,76,,10.0,7,0.327,18,0.389,7,48.2,27,0.598,14.9,11,37,0.595,22,0.75,3,"Montagne Center, Beaumont, Texas",MOUNT-ST-MARYS,Mount St. Mary's,69.9,Home,LAMAR,Lamar,Lamar,southland,3,True,False,True,Home,True,7,22,55,27,56,8,16,56,1,0,18,85,210,0.5333333333333333,123,214,0.5747663551401869,19,38,172,0.3866279069767442,0.6666666666666666
4,2019-11-21-21-utah-valley,15.4,4,22.6,7,91.9,73.0,27,0.431,65,0.4,26,0.33799999999999997,22,0.818,18,1,200,100.0,25.0,10,20,74,,8.1,6,0.215,14,0.28600000000000003,4,48.1,37,0.49,13.8,12,51,0.431,22,0.8,4,"November 21, 2019",45.5,10,9.8,5,100.0,75.0,30,0.44799999999999995,58,0.379,22,0.345,20,0.8,16,3,200,91.9,27.0,10,18,68,,5.4,4,0.466,27,0.29600000000000004,8,51.9,40,0.504,17.3,14,31,0.452,14,0.5,3,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,74.5,Away,LAMAR,Lamar,Lamar,southland,4,False,False,False,Away,True,4,22,65,37,77,8,14,58,1,0,25,107,265,0.5452830188679245,150,270,0.5555555555555556,27,54,228,0.4144736842105263,0.75
5,2019-11-24-18-kentucky,38.1,8,5.7,2,117.4,71.4,20,0.38299999999999995,64,0.32799999999999996,21,0.23399999999999999,15,0.467,7,2,200,81.2,27.5,11,16,56,,8.7,6,0.266,17,0.41200000000000003,7,45.6,31,0.39399999999999996,11.3,9,47,0.298,14,0.667,4,"November 24, 2019",65.5,19,27.7,13,81.2,72.5,29,0.596,57,0.509,29,0.33299999999999996,19,0.684,13,1,200,117.4,28.6,8,14,81,9.0,8.7,6,0.386,22,0.455,10,54.4,37,0.613,14.4,11,35,0.5429999999999999,19,0.833,5,"Rupp Arena, Lexington, Kentucky",LAMAR,Lamar,69.1,Home,KENTUCKY,Kentucky,Lamar,southland,5,False,False,False,Away,False,7,14,64,31,68,10,19,57,0,1,29,129,330,0.5227272727272727,187,347,0.5389048991354467,35,68,286,0.42132867132867136,0.8
6,2019-11-26-20-alabama-birmingham,33.3,6,15.8,6,85.1,57.5,23,0.315,62,0.29,18,0.27399999999999997,17,0.529,9,3,200,71.6,29.5,13,16,48,,14.9,10,0.29,18,0.16699999999999998,3,42.9,36,0.342,13.7,11,44,0.341,15,0.5710000000000001,4,"November 26, 2019",55.0,11,11.4,5,71.6,70.5,31,0.35700000000000004,63,0.317,20,0.23800000000000002,15,0.8,12,1,200,85.1,42.5,17,13,57,,7.5,5,0.397,25,0.2,5,57.1,48,0.406,14.7,12,38,0.395,15,0.8,4,"Bartow Arena, Birmingham, Alabama",LAMAR,Lamar,66.6,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham,Lamar,southland,6,False,False,False,Away,False,3,15,62,36,84,5,15,63,0,1,36,143,394,0.5,218,415,0.5253012048192771,45,87,343,0.4504373177842566,0.6666666666666666
7,2019-11-30-20-texas-southern,35.7,10,2.9,1,96.2,79.3,23,0.469,64,0.43799999999999994,28,0.344,22,0.591,13,4,200,92.4,41.2,14,27,73,,13.9,11,0.21899999999999997,14,0.28600000000000003,4,58.7,37,0.49,19.6,18,50,0.48,24,0.5,4,"November 30, 2019",44.0,11,0.0,0,92.4,58.8,20,0.519,53,0.47200000000000003,25,0.5660000000000001,30,0.7,21,5,200,96.2,20.7,6,22,76,,7.6,6,0.34,18,0.278,5,41.3,26,0.565,21.4,18,35,0.5710000000000001,20,0.28600000000000003,2,"Health & Physical Education Arena, Houston, Texas",LAMAR,Lamar,78.9,Home,TEXAS-SOUTHERN,Texas Southern,Lamar,southland,7,False,False,False,Away,False,4,24,64,37,63,5,20,53,0,1,39,158,456,0.474780701754386,254,499,0.5090180360721442,50,102,406,0.43596059113300495,0.5714285714285714
8,2019-12-07-15-lamar,77.8,14,5.1,2,98.6,71.9,23,0.44299999999999995,53,0.34,18,0.377,20,0.65,13,4,200,81.1,25.7,9,21,60,,5.4,4,0.528,28,0.39299999999999996,11,47.8,32,0.48,25.4,21,25,0.28,7,0.6,6,"December 7, 2019",48.1,13,32.0,8,81.1,74.3,26,0.509,57,0.474,27,0.35100000000000003,20,0.75,15,4,200,98.6,28.1,9,21,73,,10.8,8,0.316,18,0.222,4,52.2,35,0.5489999999999999,19.6,16,39,0.59,23,0.556,5,"Montagne Center, Beaumont, Texas",RICE,Rice,74.0,Home,LAMAR,Lamar,Lamar,southland,8,True,False,True,Home,True,4,23,57,35,67,11,7,53,1,0,43,182,520,0.4740384615384615,291,562,0.5177935943060499,55,122,459,0.4455337690631808,0.5
9,2019-12-11-20-lamar,78.3,18,13.6,6,101.4,54.8,17,0.385,65,0.354,23,0.12300000000000001,8,0.75,6,0,200,77.8,30.0,12,21,56,,13.9,10,0.27699999999999997,18,0.222,4,40.8,29,0.40700000000000003,19.9,17,47,0.40399999999999997,19,0.0,0,"December 11, 2019",56.0,14,23.4,11,77.8,70.0,28,0.473,55,0.455,25,0.564,31,0.677,21,4,200,101.4,45.2,14,9,73,,11.1,8,0.2,11,0.182,2,59.2,42,0.523,17.9,15,44,0.523,23,0.6,6,"Montagne Center, Beaumont, Texas","Southern-New Orleans
			","Southern-New Orleans
			",72.3,Home,LAMAR,Lamar,Lamar,southland,9,True,False,True,Home,True,2,23,55,42,71,4,19,65,1,0,47,205,577,0.477469670710572,326,629,0.5182829888712241,66,129,512,0.4453125,0.5555555555555556
