,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEW-MEXICO-STATE_homegame,NEW-MEXICO-STATE_homegame2,NEW-MEXICO-STATE_home,NEW-MEXICO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-new-mexico-state,50.0,8,0.0,0,131.4,50.0,11,0.375,56,0.28600000000000003,16,0.107,6,0.667,4,0,200,65.7,12.1,4,27,46,,10.0,7,0.48200000000000004,27,0.37,10,27.3,15,0.391,19.3,14,29,0.207,6,0.0,0,"November 5, 2019",46.7,14,0.0,0,65.7,87.9,29,0.627,55,0.545,30,0.509,28,0.821,23,0,200,131.4,50.0,11,11,92,,7.1,5,0.455,25,0.36,9,72.7,40,0.6729999999999999,16.2,13,30,0.7,21,1.0,1,"Pan American Center, Las Cruces, New Mexico","Western New Mexico
			","Western New Mexico
			",69.6,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,0,True,False,True,Home,True,9,21,55,40,55,10,6,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-21-texas-el-paso,42.9,9,0.0,0,100.0,82.1,23,0.42100000000000004,57,0.368,21,0.193,11,0.182,2,1,200,76.9,33.3,13,17,50,,7.7,5,0.456,26,0.231,6,53.7,36,0.402,19.5,15,31,0.484,15,0.5,1,"November 12, 2019",47.8,11,9.7,3,76.9,66.7,26,0.5,49,0.469,23,0.429,21,0.762,16,0,200,100.0,17.9,5,16,65,,12.3,8,0.265,13,0.231,3,46.3,31,0.551,15.9,11,36,0.556,20,1.0,2,"Don Haskins Center, El Paso, Texas",NEW-MEXICO-STATE,New Mexico State,64.6,Home,TEXAS-EL-PASO,UTEP,New Mexico State,wac,1,False,False,False,Away,False,6,15,57,36,67,3,20,49,0,1,9,21,55,0.6272727272727273,40,55,0.7272727272727273,10,6,56,0.375,1.0
2,2019-11-14-21-new-mexico-state,18.2,4,4.2,1,119.7,57.1,16,0.51,50,0.44,22,0.32,16,0.75,12,2,200,95.5,26.9,7,34,63,,10.6,7,0.24,12,0.583,7,42.6,23,0.547,20.8,15,38,0.395,15,0.33299999999999996,1,"November 14, 2019",63.6,14,2.6,1,95.5,73.1,19,0.565,46,0.478,22,0.848,39,0.6920000000000001,27,1,200,119.7,42.9,12,18,79,,9.1,6,0.478,22,0.364,8,57.4,31,0.612,17.1,13,24,0.583,14,0.667,2,"Pan American Center, Las Cruces, New Mexico",SOUTHERN,Southern,65.6,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,2,True,False,True,Home,True,8,14,46,31,54,7,15,50,1,0,15,36,112,0.5223214285714286,76,122,0.6229508196721312,13,26,105,0.43333333333333335,0.5
3,2019-11-17-14-arizona,50.0,9,2.8,1,118.6,73.9,17,0.409,55,0.327,18,0.23600000000000002,13,0.615,8,2,200,75.7,28.6,10,17,53,,2.9,2,0.545,30,0.3,9,46.6,27,0.433,22.9,18,25,0.36,9,0.5,2,"November 17, 2019",43.3,13,24.0,6,75.7,71.4,25,0.614,57,0.526,30,0.263,15,0.867,13,0,200,118.6,26.1,6,17,83,19.0,8.6,6,0.368,21,0.47600000000000003,10,53.4,31,0.647,15.9,12,36,0.556,20,1.0,4,"McKale Center, Tucson, Arizona",NEW-MEXICO-STATE,New Mexico State,69.7,Home,ARIZONA,Arizona,New Mexico State,wac,3,False,False,False,Away,False,9,9,55,27,58,10,20,57,0,1,23,50,158,0.5348101265822784,107,176,0.6079545454545454,20,41,155,0.4580645161290322,0.6666666666666666
4,2019-11-21-21-new-mexico-state,35.7,10,3.2,1,105.5,60.7,17,0.5770000000000001,52,0.5379999999999999,28,0.462,24,0.75,18,1,200,106.8,26.7,8,16,78,,9.6,7,0.28800000000000003,15,0.267,4,43.1,25,0.615,20.4,16,37,0.649,24,0.833,5,"November 21, 2019",60.7,17,0.0,0,106.8,73.3,22,0.4920000000000001,64,0.43799999999999994,28,0.281,18,0.778,14,3,200,105.5,39.3,11,21,77,,9.6,7,0.516,33,0.212,7,56.9,33,0.531,15.3,13,31,0.677,21,0.4,2,"Pan American Center, Las Cruces, New Mexico",NEW-MEXICO-STATE,New Mexico State,73.0,Away,NEW-MEXICO,New Mexico,New Mexico State,wac,4,False,True,True,Home,False,7,21,64,33,58,4,24,52,0,1,32,59,213,0.5023474178403756,134,234,0.5726495726495726,30,61,212,0.5,0.5
5,2019-11-25-11-new-mexico-state,54.2,13,0.0,0,101.3,74.2,23,0.561,49,0.49,24,0.469,23,0.652,15,3,225,90.9,8.0,2,16,70,,11.7,9,0.327,16,0.43799999999999994,7,44.6,25,0.584,25.3,20,33,0.515,17,0.5,3,"November 25, 2019",46.4,13,3.0,1,90.9,92.0,23,0.525,61,0.45899999999999996,28,0.262,16,0.875,14,3,225,101.3,25.8,8,19,78,,7.8,6,0.44299999999999995,27,0.29600000000000004,8,55.4,31,0.569,18.1,15,34,0.588,20,0.5,3,"John Gray Gymnasium, Grand Cayman",COLORADO-STATE,Colorado State,68.2,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,5,True,False,True,Home,True,8,20,61,31,56,7,17,49,1,0,39,80,277,0.5,167,292,0.5719178082191779,34,85,264,0.5151515151515151,0.4
6,2019-11-26-13-south-florida,50.0,12,6.5,2,76.3,74.2,23,0.59,50,0.48,24,0.2,10,0.6,6,3,200,110.2,29.2,7,12,65,,11.9,7,0.42,21,0.524,11,54.5,30,0.594,16.8,11,29,0.44799999999999995,13,0.5710000000000001,4,"November 26, 2019",43.8,7,13.8,4,110.2,70.8,17,0.39399999999999996,47,0.34,16,0.23399999999999999,11,0.727,8,3,200,76.3,25.8,8,14,45,,8.5,5,0.34,16,0.313,5,45.5,25,0.431,22.4,15,31,0.355,11,0.5,3,"John Gray Gymnasium, Grand Cayman",SOUTH-FLORIDA,South Florida,59.0,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,6,False,False,False,Away,True,11,13,50,30,55,5,11,47,1,0,47,100,338,0.5044378698224852,198,348,0.5689655172413793,41,102,313,0.5223642172523961,0.5
7,2019-11-27-19-george-mason,44.0,11,2.8,1,111.5,61.5,16,0.46,63,0.397,25,0.127,8,0.75,6,4,200,104.9,40.5,15,15,64,,9.8,6,0.46,29,0.276,8,49.2,31,0.479,11.9,9,34,0.5,17,0.5,4,"November 27, 2019",16.0,4,14.7,5,104.9,59.5,22,0.539,51,0.49,25,0.314,16,0.813,13,1,200,111.5,38.5,10,12,68,,6.6,4,0.294,15,0.33299999999999996,5,50.8,32,0.58,18.3,13,36,0.556,20,0.889,8,"John Gray Gymnasium, Grand Cayman",NEW-MEXICO-STATE,New Mexico State,61.2,Home,GEORGE-MASON,George Mason,New Mexico State,wac,7,False,False,False,Away,False,8,17,63,31,63,5,20,51,0,1,58,113,388,0.5154639175257731,228,403,0.56575682382134,46,113,360,0.5055555555555555,0.5714285714285714
8,2019-12-03-21-new-mexico-state,55.6,10,5.7,2,90.8,67.6,23,0.457,46,0.391,18,0.326,15,0.9329999999999999,14,1,200,86.2,7.7,2,18,56,,7.7,5,0.5,23,0.261,6,41.7,25,0.527,22.2,15,23,0.522,12,0.833,5,"December 3, 2019",47.6,10,13.0,3,86.2,92.3,24,0.435,54,0.389,21,0.315,17,0.706,12,4,200,90.8,32.4,11,13,59,,10.8,7,0.35200000000000004,19,0.263,5,58.3,35,0.475,16.3,12,35,0.457,16,0.556,5,"Pan American Center, Las Cruces, New Mexico",TEXAS-EL-PASO,UTEP,64.6,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac,8,True,False,True,Home,True,5,16,54,35,60,6,12,46,1,0,66,130,451,0.5077605321507761,259,466,0.5557939914163089,51,133,411,0.5097323600973236,0.5
9,2019-12-07-15-washington-state,61.9,13,25.9,7,91.3,78.8,26,0.385,61,0.344,21,0.23,14,0.5,7,5,200,78.3,31.7,13,22,54,,7.2,5,0.45899999999999996,28,0.179,5,52.7,39,0.39899999999999997,20.2,17,33,0.485,16,0.5,5,"December 7, 2019",64.7,11,6.1,2,78.3,68.3,28,0.43799999999999994,48,0.354,17,0.542,26,0.8079999999999999,21,4,200,91.3,21.2,7,20,63,,10.1,7,0.43799999999999994,21,0.381,8,47.3,35,0.522,17.9,13,27,0.33299999999999996,9,0.556,5,"Spokane Veterans Memorial Arena, Spokane, Washington",NEW-MEXICO-STATE,New Mexico State,69.0,Home,WASHINGTON-STATE,Washington State,New Mexico State,wac,9,False,False,False,Away,False,5,16,61,39,74,8,9,48,0,1,71,146,505,0.5,294,526,0.5589353612167299,57,145,457,0.5043763676148797,0.5555555555555556
