,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TENNESSEE-MARTIN_homegame,TENNESSEE-MARTIN_homegame2,TENNESSEE-MARTIN_home,TENNESSEE-MARTIN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-tennessee-martin,55.6,10,10.2,5,127.7,54.5,18,0.355,62,0.29,18,0.161,10,0.4,4,0,200,57.8,36.6,15,21,48,,9.6,8,0.484,30,0.267,8,44.6,33,0.36,31.8,31,32,0.313,10,0.0,0,"November 5, 2019",67.5,27,31.3,10,57.8,63.4,26,0.62,71,0.563,40,0.33799999999999997,24,0.75,18,0,200,127.7,45.5,15,10,106,,16.9,14,0.31,22,0.364,8,55.4,41,0.643,15.5,15,49,0.653,32,1.0,1,"Skyhawk Arena, Martin, Tennessee","St. Louis College
			","St. Louis College
			",82.6,Home,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,0,True,False,True,Home,True,8,32,71,41,74,8,10,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-tennessee-martin,57.1,20,17.5,7,98.7,65.0,26,0.7140000000000001,56,0.625,35,0.35700000000000004,20,0.6,12,0,200,121.1,47.6,10,25,92,,10.5,8,0.35700000000000004,20,0.5,10,59.0,36,0.7020000000000001,22.7,19,36,0.6940000000000001,25,1.0,2,"November 9, 2019",48.1,13,5.6,2,121.1,52.4,11,0.46299999999999997,67,0.40299999999999997,27,0.26899999999999996,18,0.722,13,1,200,98.7,35.0,14,19,75,,5.3,4,0.40299999999999997,27,0.29600000000000004,8,41.0,25,0.496,16.7,15,40,0.475,19,0.5,1,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,75.5,Away,EAST-TENNESSEE-STATE,ETSU,Tennessee-Martin,ovc,1,False,True,True,Home,False,8,19,67,25,61,10,25,56,0,1,8,32,71,0.6197183098591549,41,74,0.5540540540540541,8,10,62,0.3548387096774194,1.0
2,2019-11-13-20-western-illinois,16.7,6,6.5,3,123.0,73.7,28,0.563,71,0.507,36,0.33799999999999997,24,0.75,18,1,200,132.4,34.3,12,16,98,,4.1,3,0.324,23,0.348,8,54.8,40,0.595,5.8,5,48,0.583,28,0.667,2,"November 13, 2019",38.2,13,4.2,2,132.4,65.7,23,0.5489999999999999,71,0.479,34,0.254,18,0.722,13,3,200,123.0,26.3,10,19,91,,4.1,3,0.35200000000000004,25,0.4,10,45.2,33,0.5720000000000001,4.8,4,46,0.522,24,0.0,0,"Western Hall, Macomb, Illinois",WESTERN-ILLINOIS,Western Illinois,74.5,Away,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,2,False,False,False,Away,True,8,28,71,40,73,10,24,71,1,0,16,51,138,0.5434782608695652,66,135,0.4888888888888889,18,35,118,0.5254237288135594,0.5
3,2019-11-16-15-wichita-state,45.5,10,2.3,1,143.1,62.1,18,0.491,57,0.386,22,0.175,10,0.6,6,2,200,86.1,19.4,7,12,62,,5.6,4,0.544,31,0.387,12,38.5,25,0.502,21.7,17,26,0.385,10,0.5,2,"November 16, 2019",72.5,29,7.7,2,86.1,80.6,29,0.669,71,0.563,40,0.141,10,0.8,8,0,200,143.1,37.9,11,15,103,,11.1,8,0.39399999999999996,28,0.536,15,61.5,40,0.68,9.6,8,43,0.581,25,1.0,3,"Charles Koch Arena, Wichita, Kansas",TENNESSEE-MARTIN,UT-Martin,72.3,Home,WICHITA-STATE,Wichita State,Tennessee-Martin,ovc,3,False,False,False,Away,False,12,10,57,25,65,15,25,71,0,1,24,79,209,0.5502392344497608,106,208,0.5096153846153846,28,59,189,0.5343915343915344,0.6666666666666666
4,2019-11-19-20-northern-iowa,27.3,6,0.0,0,140.3,63.6,14,0.5,53,0.415,22,0.321,17,0.8240000000000001,14,3,200,108.1,32.1,9,14,67,,9.7,6,0.47200000000000003,25,0.36,9,46.0,23,0.5489999999999999,13.0,9,28,0.46399999999999997,13,0.4,2,"November 19, 2019",62.5,20,3.6,1,108.1,67.9,19,0.741,54,0.593,32,0.16699999999999998,9,0.778,7,0,200,140.3,36.4,8,12,87,,4.8,3,0.63,34,0.47100000000000003,16,54.0,27,0.746,17.2,12,20,0.8,16,1.0,5,"McLeod Center, Cedar Falls, Iowa",TENNESSEE-MARTIN,UT-Martin,61.7,Home,NORTHERN-IOWA,Northern Iowa,Tennessee-Martin,ovc,4,False,False,False,Away,False,9,13,53,23,50,16,16,54,0,1,36,89,266,0.5375939849624061,131,273,0.4798534798534799,43,84,260,0.5711538461538461,0.5
5,2019-11-26-12-gardner-webb,38.1,8,3.3,1,119.1,72.7,16,0.424,59,0.35600000000000004,21,0.322,19,0.737,14,4,200,94.1,23.3,7,12,64,,8.8,6,0.525,31,0.258,8,44.2,23,0.47,9.4,7,28,0.46399999999999997,13,0.33299999999999996,2,"November 26, 2019",69.0,20,17.9,5,94.1,76.7,23,0.6829999999999999,52,0.5579999999999999,29,0.308,16,0.625,10,5,200,119.1,27.3,6,17,81,,7.4,5,0.423,22,0.591,13,55.8,29,0.68,19.2,14,30,0.5329999999999999,16,0.16699999999999998,1,"Hard Rock Hotel Riviera Maya, Cancun",TENNESSEE-MARTIN,UT-Martin,67.8,Home,GARDNER-WEBB,Gardner-Webb,Tennessee-Martin,ovc,5,False,False,False,Away,False,8,13,59,23,52,13,16,52,0,1,45,102,319,0.5313479623824452,154,323,0.4767801857585139,59,100,314,0.6003184713375797,0.4
6,2019-11-27-12-boston-university,36.7,11,7.7,2,114.1,65.5,19,0.5489999999999999,61,0.4920000000000001,30,0.19699999999999998,12,0.75,9,4,200,118.8,25.8,8,16,76,,6.3,4,0.361,22,0.318,7,45.0,27,0.57,8.3,6,39,0.59,23,0.429,3,"November 27, 2019",53.8,14,2.6,1,118.8,74.2,23,0.5539999999999999,56,0.46399999999999997,26,0.25,14,0.7859999999999999,11,5,200,114.1,34.5,10,11,73,,3.1,2,0.536,30,0.33299999999999996,10,55.0,33,0.583,15.0,11,26,0.615,16,0.375,3,"Hard Rock Hotel Riviera Maya, Cancun",BOSTON-UNIVERSITY,Boston University,64.2,Away,TENNESSEE-MARTIN,UT-Martin,Tennessee-Martin,ovc,6,False,False,False,Away,True,7,23,61,27,60,10,16,56,1,0,53,115,378,0.5145502645502645,177,375,0.47200000000000003,72,116,366,0.6120218579234973,0.3333333333333333
7,2019-12-06-19-central-michigan,39.3,11,6.7,2,129.2,72.4,21,0.568,59,0.475,28,0.16899999999999998,10,0.8,8,5,200,115.4,23.3,7,22,75,,6.2,4,0.441,26,0.423,11,47.5,28,0.588,13.6,10,33,0.515,17,0.375,3,"December 6, 2019",62.5,15,0.0,0,115.4,76.7,23,0.59,50,0.48,24,0.6,30,0.833,25,2,200,129.2,27.6,8,10,84,,7.7,5,0.4,20,0.55,11,52.5,31,0.654,10.0,7,30,0.433,13,0.778,7,"McGuirk Arena, Mt. Pleasant, Michigan",TENNESSEE-MARTIN,UT-Martin,65.0,Home,CENTRAL-MICHIGAN,Central Michigan,Tennessee-Martin,ovc,7,False,False,False,Away,False,11,17,59,28,59,11,13,50,0,1,60,138,439,0.5193621867881549,204,435,0.4689655172413793,82,132,422,0.6042654028436019,0.42857142857142855
8,2019-12-14-14-north-carolina-asheville,37.9,11,4.5,2,128.2,58.5,24,0.544,57,0.509,29,0.35100000000000003,20,0.5,10,6,200,101.4,22.6,7,17,72,,2.8,2,0.21100000000000002,12,0.33299999999999996,4,43.1,31,0.541,15.4,12,45,0.556,25,0.33299999999999996,3,"December 14, 2019",41.7,15,2.2,1,101.4,77.4,24,0.5670000000000001,75,0.48,36,0.147,11,0.545,6,4,200,128.2,41.5,17,21,91,,5.6,4,0.413,31,0.419,13,56.9,41,0.5670000000000001,8.1,7,44,0.523,23,0.556,5,"Kimmel Arena, Asheville, North Carolina",TENNESSEE-MARTIN,UT-Martin,70.9,Home,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,Tennessee-Martin,ovc,8,False,False,False,Away,False,4,25,57,31,72,13,23,75,0,1,71,155,498,0.5251004016064257,232,494,0.4696356275303644,93,145,472,0.6027542372881356,0.375
9,2019-12-18-22-tennessee-martin,53.8,21,17.1,7,82.9,63.9,23,0.614,70,0.557,39,0.14300000000000002,10,0.5,5,1,200,119.7,34.5,10,17,91,10.0,17.1,13,0.35700000000000004,25,0.32,8,50.8,33,0.609,12.9,11,45,0.6890000000000001,31,0.9,9,"December 18, 2019",33.3,7,8.9,4,119.7,65.5,19,0.4,60,0.35,21,0.35,21,0.7140000000000001,15,7,200,82.9,36.1,13,13,63,,5.3,4,0.317,19,0.316,6,49.2,32,0.45,21.5,19,41,0.366,15,0.3,3,"Toyota Center, Houston, Texas",TENNESSEE-MARTIN,UT-Martin,75.9,Away,BAYLOR,Baylor,Tennessee-Martin,ovc,9,False,True,True,Home,False,6,15,60,32,65,8,31,70,0,1,75,180,555,0.527027027027027,263,566,0.4646643109540636,106,168,547,0.5978062157221207,0.3333333333333333
