,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARKANSAS-LITTLE-ROCK_homegame,ARKANSAS-LITTLE-ROCK_homegame2,ARKANSAS-LITTLE-ROCK_home,ARKANSAS-LITTLE-ROCK_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-arkansas-little-rock,42.9,9,12.5,5,110.3,75.0,21,0.431,58,0.36200000000000004,21,0.466,27,0.444,12,4,200,79.5,33.3,13,28,62,,12.8,10,0.466,27,0.29600000000000004,8,50.7,34,0.43799999999999994,22.3,20,31,0.419,13,0.6,6,"December 10, 2019",55.2,16,22.6,7,79.5,66.7,26,0.602,54,0.537,29,0.593,32,0.6559999999999999,21,5,200,110.3,25.0,7,19,86,,12.8,10,0.259,14,0.5,7,49.3,33,0.621,18.1,15,40,0.55,22,0.545,6,"Jack Stephens Center, Little Rock, Arkansas",TENNESSEE-STATE,Tennessee State,77.5,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,10,True,False,True,Home,True,7,22,54,33,67,8,13,58,1,0,49,180,532,0.4765037593984962,339,633,0.5355450236966824,89,131,544,0.4862132352941176,0.5
11,2019-12-19-20-louisiana-monroe,69.6,16,5.6,2,102.9,79.2,19,0.617,47,0.489,23,0.489,23,0.652,15,5,200,104.3,12.0,3,22,73,,11.4,8,0.511,24,0.5,12,44.9,22,0.63,20.8,15,23,0.478,11,0.583,7,"December 19, 2019",57.7,15,0.0,0,104.3,88.0,22,0.615,48,0.542,26,0.45799999999999996,22,0.591,13,5,200,102.9,20.8,5,21,72,,5.7,4,0.25,12,0.583,7,55.1,27,0.616,22.8,17,36,0.528,19,0.444,4,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,70.2,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,11,False,False,False,Away,True,12,11,47,22,49,7,19,48,1,0,56,202,586,0.4880546075085324,372,700,0.5314285714285715,97,144,602,0.4808970099667774,0.5454545454545454
12,2019-12-21-20-louisiana-lafayette,64.3,18,9.1,3,98.5,73.3,22,0.546,54,0.519,28,0.24100000000000002,13,0.769,10,5,200,103.0,38.5,10,18,69,,6.0,4,0.204,11,0.273,3,57.1,32,0.573,22.2,17,43,0.581,25,0.615,8,"December 21, 2019",42.9,9,0.0,0,103.0,61.5,16,0.462,52,0.40399999999999997,21,0.442,23,0.7829999999999999,18,7,200,98.5,26.7,8,14,66,,11.9,8,0.365,19,0.316,6,42.9,24,0.524,16.2,12,33,0.455,15,0.41700000000000004,5,"Cajundome, Lafayette, Louisiana",LOUISIANA-LAFAYETTE,Louisiana,67.1,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,12,False,False,False,Away,True,3,25,54,32,56,6,15,52,1,0,68,213,633,0.4976303317535545,394,749,0.5260347129506008,104,163,650,0.4907692307692308,0.5833333333333334
13,2020-01-02-19-arkansas-little-rock,54.2,13,5.3,2,104.3,80.8,21,0.45799999999999996,60,0.4,24,0.317,19,0.684,13,7,200,98.6,15.4,6,20,68,,10.1,7,0.3,18,0.389,7,41.5,27,0.493,9.3,7,42,0.405,17,0.5,7,"January 2, 2020",50.0,13,7.1,3,98.6,84.6,33,0.561,49,0.531,26,0.449,22,0.773,17,5,200,104.3,19.2,5,16,72,,4.3,3,0.22399999999999998,11,0.273,3,58.5,38,0.606,18.1,13,38,0.605,23,0.643,9,"Jack Stephens Center, Little Rock, Arkansas",TEXAS-STATE,Texas State,68.7,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,13,True,False,True,Home,True,3,23,49,38,65,7,17,60,1,0,71,238,687,0.5014556040756915,426,805,0.529192546583851,110,178,702,0.4886039886039886,0.6153846153846154
14,2020-01-04-15-arkansas-little-rock,39.4,13,5.6,2,119.5,58.6,17,0.5760000000000001,66,0.5,33,0.242,16,0.813,13,10,200,115.6,27.6,8,25,89,,5.2,4,0.39399999999999996,26,0.385,10,43.1,25,0.605,14.1,12,40,0.575,23,0.33299999999999996,5,"January 4, 2020",46.7,14,10.0,4,115.6,72.4,21,0.62,54,0.556,30,0.611,33,0.758,25,5,200,119.5,41.4,12,17,92,,3.9,3,0.33299999999999996,18,0.389,7,56.9,33,0.66,20.8,18,36,0.639,23,0.667,10,"Jack Stephens Center, Little Rock, Arkansas",TEXAS-ARLINGTON,Texas-Arlington,76.6,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,14,True,False,True,Home,True,7,23,54,33,58,10,23,66,1,0,74,261,736,0.5054347826086957,464,870,0.5333333333333333,117,195,762,0.4862204724409449,0.6428571428571429
15,2020-01-06-19-arkansas-little-rock,29.6,8,15.8,6,108.2,72.0,18,0.508,61,0.44299999999999995,27,0.27899999999999997,17,0.647,11,7,200,100.0,21.9,7,25,73,,5.5,4,0.39299999999999996,24,0.33299999999999996,8,43.9,25,0.528,13.8,11,37,0.514,19,0.562,9,"January 6, 2020",75.0,21,10.8,4,100.0,78.1,25,0.6,50,0.56,28,0.6,30,0.633,19,5,200,108.2,28.0,7,20,79,,8.2,6,0.24,12,0.33299999999999996,4,56.1,32,0.615,19.2,15,38,0.632,24,0.688,11,"Jack Stephens Center, Little Rock, Arkansas",GEORGIA-SOUTHERN,Georgia Southern,72.7,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,15,True,False,True,Home,True,4,24,50,32,57,8,19,61,1,0,81,284,790,0.5132911392405063,497,928,0.5355603448275862,127,218,828,0.4933574879227053,0.6666666666666666
16,2020-01-09-19-troy,57.7,15,10.7,3,100.0,79.4,27,0.419,68,0.382,26,0.294,20,0.7,14,6,200,93.4,35.9,14,16,71,,9.2,7,0.33799999999999997,23,0.217,5,56.2,41,0.45799999999999996,17.2,16,45,0.467,21,0.647,11,"January 9, 2020",68.0,17,15.6,7,93.4,64.1,25,0.551,59,0.424,25,0.305,18,0.611,11,10,200,100.0,20.6,7,18,76,,7.9,6,0.525,31,0.484,15,43.8,32,0.563,15.2,12,28,0.35700000000000004,10,0.41200000000000003,7,"Trojan Arena, Troy, Alabama",ARKANSAS-LITTLE-ROCK,Little Rock,76.0,Home,TROY,Troy,Little Rock,sun-belt,16,False,False,False,Away,False,5,21,68,41,73,15,10,59,0,1,85,308,840,0.518452380952381,529,985,0.5370558375634518,135,237,889,0.4943757030371204,0.6875
17,2020-01-11-17-arkansas-little-rock,31.6,6,12.9,4,67.2,67.7,21,0.433,45,0.42200000000000004,19,0.4,18,0.722,13,7,200,81.3,11.5,3,16,52,,14.1,9,0.2,9,0.111,1,42.1,24,0.486,22.1,15,36,0.5,18,0.611,11,"January 11, 2020",87.5,14,5.6,2,81.3,88.5,23,0.39399999999999996,47,0.34,16,0.23399999999999999,11,0.545,6,7,200,67.2,32.3,10,16,43,,7.8,5,0.34,16,0.313,5,57.9,33,0.41200000000000003,28.8,21,31,0.355,11,0.611,11,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,64.4,Away,SOUTH-ALABAMA,South Alabama,Little Rock,sun-belt,17,False,True,True,Home,False,5,11,47,33,57,1,18,45,0,1,90,329,908,0.5110132158590308,570,1058,0.5387523629489603,150,247,948,0.4978902953586498,0.6470588235294118
18,2020-01-16-19-coastal-carolina,60.7,17,20.8,10,70.5,72.3,34,0.573,55,0.509,28,0.273,15,0.5329999999999999,8,7,200,91.0,23.3,7,18,71,,14.1,11,0.327,18,0.389,7,53.2,41,0.5710000000000001,25.4,21,37,0.568,21,0.632,12,"January 16, 2020",47.8,11,5.4,2,91.0,76.7,23,0.349,73,0.315,23,0.096,7,0.5710000000000001,4,8,200,70.5,27.7,13,19,55,,15.4,12,0.342,25,0.2,5,46.8,36,0.36,18.3,17,48,0.375,18,0.579,11,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,78.2,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,18,False,False,False,Away,True,7,21,55,41,77,5,18,73,1,0,95,340,955,0.5052356020942408,603,1115,0.5408071748878924,151,265,993,0.4949647532729104,0.6111111111111112
19,2020-01-18-16-appalachian-state,64.3,18,7.1,3,80.3,79.4,27,0.606,52,0.5379999999999999,28,0.25,13,0.769,10,7,200,102.8,33.3,8,19,73,,8.5,6,0.327,17,0.41200000000000003,7,60.3,35,0.627,23.8,18,35,0.6,21,0.65,13,"January 18, 2020",31.6,6,8.6,3,102.8,66.7,16,0.371,58,0.32799999999999996,19,0.397,23,0.609,14,10,200,80.3,20.6,7,16,57,,18.3,13,0.276,16,0.313,5,39.7,23,0.413,13.9,11,42,0.33299999999999996,14,0.5,10,"Holmes Convocation Center, Boone, North Carolina",APPALACHIAN-STATE,Appalachian State,70.6,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,19,False,False,False,Away,True,7,21,52,35,58,5,14,58,1,0,102,361,1010,0.5089108910891089,644,1192,0.540268456375839,156,283,1066,0.4849906191369606,0.631578947368421
20,2020-01-22-19-arkansas-little-rock,42.9,9,2.5,1,111.0,81.8,27,0.389,63,0.33299999999999996,21,0.27,17,0.8240000000000001,14,13,200,86.3,30.2,13,21,63,,4.1,3,0.413,26,0.26899999999999996,7,52.6,40,0.44299999999999995,17.5,15,37,0.37799999999999995,14,0.381,8,"January 22, 2020",58.6,17,16.2,6,86.3,69.8,30,0.551,59,0.4920000000000001,29,0.424,25,0.64,16,7,200,111.0,18.2,6,17,81,,11.0,8,0.322,19,0.368,7,47.4,36,0.5710000000000001,10.3,8,40,0.55,22,0.667,14,"Jack Stephens Center, Little Rock, Arkansas",TROY,Troy,73.0,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,20,True,False,True,Home,True,7,22,59,36,76,7,14,63,1,0,109,382,1062,0.5136534839924671,679,1250,0.5432,161,297,1124,0.4790925266903915,0.65
21,2020-01-25-20-south-alabama,56.0,14,20.0,6,112.7,90.9,20,0.585,53,0.47200000000000003,25,0.264,14,0.7859999999999999,11,7,200,115.9,30.8,8,18,73,,11.1,7,0.528,28,0.429,12,58.3,28,0.612,14.5,10,25,0.52,13,0.682,15,"January 25, 2020",47.8,11,8.0,2,115.9,69.2,18,0.598,46,0.5,23,0.391,18,0.889,16,10,200,112.7,9.1,2,15,71,,11.1,7,0.348,16,0.563,9,41.7,20,0.6509999999999999,18.2,12,30,0.467,14,0.545,12,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,63.1,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,21,False,False,False,Away,True,12,13,53,28,48,9,14,46,1,0,116,404,1121,0.5156110615521855,715,1326,0.5392156862745098,168,311,1187,0.4743049705139006,0.6666666666666666
22,2020-01-30-19-arkansas-little-rock,26.9,7,12.1,4,115.7,76.7,23,0.413,69,0.377,26,0.478,33,0.667,22,11,200,95.2,42.6,20,35,79,,8.4,7,0.435,30,0.16699999999999998,5,55.8,43,0.466,16.9,17,39,0.5379999999999999,21,0.5,11,"January 30, 2020",57.7,15,7.7,3,95.2,57.4,27,0.5379999999999999,53,0.491,26,0.887,47,0.83,39,7,200,115.7,23.3,7,25,96,,12.0,10,0.377,20,0.25,5,44.2,34,0.637,17.8,16,33,0.636,21,0.696,16,"Jack Stephens Center, Little Rock, Arkansas",COASTAL-CAROLINA,Coastal Carolina,83.0,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,22,True,False,True,Home,True,5,21,53,34,77,5,21,69,1,0,128,417,1174,0.5187393526405452,743,1374,0.5407569141193596,177,325,1233,0.4789132197891322,0.6818181818181818
23,2020-02-01-15-arkansas-little-rock,50.0,16,3.2,1,145.3,60.9,14,0.8640000000000001,44,0.727,32,0.318,14,0.7140000000000001,10,11,200,134.4,9.1,1,15,86,,9.4,6,0.4320000000000001,19,0.632,12,44.1,15,0.8490000000000001,23.0,15,25,0.8,20,0.522,12,"February 1, 2020",76.5,26,16.0,4,134.4,90.9,10,0.723,56,0.607,34,0.25,14,0.857,12,7,200,145.3,39.1,9,15,93,,14.1,9,0.446,25,0.52,13,55.9,19,0.742,12.6,9,31,0.677,21,0.708,17,"Jack Stephens Center, Little Rock, Arkansas",APPALACHIAN-STATE,Appalachian State,63.7,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,23,True,False,True,Home,True,13,21,56,19,34,12,20,44,1,0,133,438,1227,0.5195599022004891,777,1451,0.5354927636113026,182,346,1302,0.4754224270353303,0.6956521739130435
24,2020-02-08-15-arkansas-little-rock,48.3,14,8.6,3,130.4,66.7,22,0.616,56,0.518,29,0.429,24,0.75,18,10,200,126.1,28.6,8,25,87,,2.9,2,0.39299999999999996,22,0.5,11,49.2,30,0.645,10.7,8,34,0.529,18,0.6,15,"February 8, 2020",60.0,15,11.8,4,126.1,71.4,20,0.517,58,0.431,25,0.603,35,0.857,30,7,200,130.4,33.3,11,17,90,,7.2,5,0.397,23,0.435,10,50.8,31,0.603,8.7,7,35,0.429,15,0.72,18,"Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-STATE,Arkansas State,69.0,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Little Rock,sun-belt,24,True,False,True,Home,True,10,15,58,31,61,11,18,56,1,0,146,459,1283,0.5284489477786438,796,1485,0.5360269360269361,194,366,1346,0.488112927191679,0.7083333333333334
25,2020-02-13-20-texas-state,45.5,10,9.1,4,110.4,52.9,18,0.534,44,0.5,22,0.659,29,0.655,19,8,200,98.5,25.9,7,16,66,,11.9,8,0.22699999999999998,10,0.3,3,41.0,25,0.5710000000000001,22.0,16,34,0.5589999999999999,19,0.6920000000000001,18,"February 13, 2020",61.3,19,11.8,4,98.5,74.1,20,0.524,63,0.4920000000000001,31,0.23800000000000002,15,0.5329999999999999,8,10,200,110.4,47.1,16,23,74,,9.0,6,0.302,19,0.21100000000000002,4,59.0,36,0.528,16.7,14,44,0.614,27,0.615,16,"Strahan Coliseum, San Marcos, Texas",ARKANSAS-LITTLE-ROCK,Little Rock,67.5,Home,TEXAS-STATE,Texas State,Little Rock,sun-belt,25,False,False,False,Away,False,3,19,44,25,61,4,27,63,0,1,156,474,1341,0.5279642058165548,827,1546,0.5349288486416559,205,384,1402,0.4932239657631954,0.72
