,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,YALE_homegame,YALE_homegame2,YALE_home,YALE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-stony-brook,59.3,16,15.6,7,84.1,71.1,32,0.45,70,0.386,27,0.271,19,0.579,11,0,225,90.2,25.0,11,18,74,,9.8,8,0.371,26,0.34600000000000003,9,48.3,43,0.46799999999999997,13.3,12,44,0.409,18,1.0,1,"November 5, 2019",47.6,10,20.5,9,90.2,75.0,33,0.353,68,0.309,21,0.382,26,0.8079999999999999,21,1,225,84.1,28.9,13,16,69,,7.3,6,0.33799999999999997,23,0.261,6,51.7,46,0.429,16.8,16,45,0.33299999999999996,15,0.0,0,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,72.6,Away,YALE,Yale,Yale,ivy,0,False,False,False,Away,True,9,18,70,43,89,6,15,68,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-yale,64.3,9,2.7,1,128.8,50.0,13,0.39399999999999996,47,0.298,14,0.106,5,0.0,0,0,200,50.7,12.1,4,32,37,,9.6,7,0.447,21,0.429,9,28.8,17,0.375,34.6,26,26,0.192,5,0.0,0,"November 8, 2019",73.3,22,19.2,5,50.7,87.9,29,0.632,53,0.5660000000000001,30,0.8109999999999999,43,0.628,27,0,200,128.8,50.0,13,12,94,,15.1,11,0.302,16,0.43799999999999994,7,71.2,42,0.64,17.3,15,37,0.622,23,1.0,2,"John J. Lee Ampitheater, New Haven, Connecticut","Oberlin
			","Oberlin
			",73.4,Home,YALE,Yale,Yale,ivy,1,True,False,True,Home,True,7,23,53,42,59,9,5,47,1,0,9,18,70,0.45,43,89,0.4831460674157304,6,15,68,0.35294117647058826,1.0
2,2019-11-11-21-san-francisco,41.7,10,9.8,4,106.3,71.8,28,0.46,63,0.381,24,0.444,28,0.75,21,1,225,100.0,12.8,5,20,79,,6.3,5,0.429,27,0.37,10,42.3,33,0.518,8.5,7,36,0.389,14,0.667,2,"November 11, 2019",37.9,11,5.6,2,100.0,87.2,34,0.47100000000000003,70,0.414,29,0.32899999999999996,23,0.7829999999999999,18,0,225,106.3,28.2,11,17,84,,7.6,6,0.414,29,0.276,8,57.7,45,0.519,11.1,10,41,0.512,21,1.0,3,"War Memorial Gymnasium, San Francisco, California",YALE,Yale,70.3,Home,SAN-FRANCISCO,San Francisco,Yale,ivy,2,False,False,False,Away,False,10,14,63,33,78,8,21,70,0,1,16,41,123,0.5284552845528455,85,148,0.5743243243243243,15,20,115,0.3695652173913043,1.0
3,2019-11-17-14-oklahoma-state,61.9,13,8.7,4,88.9,75.0,30,0.46399999999999997,55,0.382,21,0.16399999999999998,9,0.667,6,2,200,79.2,26.5,9,16,57,,6.9,5,0.564,31,0.29,9,52.7,39,0.48100000000000004,25.3,20,24,0.5,12,0.5,2,"November 17, 2019",38.5,10,8.3,2,79.2,73.5,25,0.431,65,0.4,26,0.231,15,0.5329999999999999,8,0,200,88.9,25.0,10,12,64,,16.7,12,0.292,19,0.21100000000000002,4,47.3,35,0.444,13.3,11,46,0.478,22,1.0,4,"Gallagher-Iba Arena, Stillwater, Oklahoma",YALE,Yale,71.7,Home,OKLAHOMA-STATE,Oklahoma State,Yale,ivy,3,False,False,False,Away,False,9,12,55,39,74,4,22,65,0,1,26,55,186,0.5053763440860215,118,226,0.5221238938053098,23,41,185,0.4081081081081081,0.6666666666666666
4,2019-11-20-19-yale,51.9,14,5.1,2,107.5,87.2,34,0.354,82,0.32899999999999996,27,0.47600000000000003,39,0.795,31,3,275,95.7,27.8,15,23,89,,9.7,9,0.268,22,0.182,4,52.7,49,0.44299999999999995,8.3,9,60,0.38299999999999995,23,0.4,2,"November 20, 2019",74.3,26,16.7,10,95.7,72.2,39,0.603,68,0.515,35,0.41200000000000003,28,0.643,18,2,275,107.5,12.8,5,23,100,,3.2,3,0.426,29,0.414,12,47.3,44,0.615,16.6,16,39,0.59,23,0.6,3,"John J. Lee Ampitheater, New Haven, Connecticut",SIENA,Siena,67.9,Home,YALE,Yale,Yale,ivy,4,True,False,True,Home,True,12,23,68,44,93,4,23,82,1,0,35,67,241,0.495850622406639,157,300,0.5233333333333333,27,63,250,0.414,0.5
5,2019-11-23-16-penn-state,45.5,10,9.5,4,86.6,68.9,31,0.52,51,0.431,22,0.21600000000000005,11,0.273,3,3,200,83.6,9.4,3,15,56,,3.0,2,0.451,23,0.391,9,44.2,34,0.498,21.2,15,28,0.46399999999999997,13,0.5,3,"November 23, 2019",60.9,14,14.3,4,83.6,90.6,29,0.37,69,0.33299999999999996,23,0.13,9,0.778,7,0,200,86.6,31.1,14,15,58,,17.9,12,0.391,27,0.185,5,55.8,43,0.396,7.6,6,42,0.429,18,1.0,5,"Bryce Jordan Center, University Park, Pennsylvania",YALE,Yale,66.8,Home,PENN-STATE,Penn State,Yale,ivy,5,False,False,False,Away,False,9,13,51,34,77,5,18,69,0,1,47,90,309,0.5194174757281553,201,393,0.5114503816793893,31,86,332,0.3990963855421687,0.6
6,2019-11-25-12-western-michigan,58.3,14,9.4,3,79.7,86.5,32,0.575,53,0.45299999999999996,24,0.358,19,0.632,12,3,200,114.1,36.4,12,12,73,,1.6,1,0.491,26,0.5,13,62.9,44,0.588,17.5,13,27,0.40700000000000003,11,0.5710000000000001,4,"November 25, 2019",31.3,5,7.4,2,114.1,63.6,21,0.33299999999999996,54,0.29600000000000004,16,0.33299999999999996,18,0.833,15,3,200,79.7,13.5,5,17,51,,7.8,5,0.40700000000000003,22,0.182,4,37.1,26,0.408,11.4,8,32,0.375,12,0.5710000000000001,4,"HP Field House, Orlando, Florida",WESTERN-MICHIGAN,Western Michigan,64.3,Away,YALE,Yale,Yale,ivy,6,False,False,False,Away,True,13,11,53,44,70,4,12,54,1,0,56,103,360,0.5194444444444445,235,470,0.5,36,104,401,0.3940149625935162,0.5
7,2019-11-26-14-bucknell,41.9,13,16.0,4,87.1,86.1,31,0.623,53,0.585,31,0.321,17,0.882,15,3,200,115.7,23.8,5,8,81,,14.3,10,0.302,16,0.25,4,63.2,36,0.6629999999999999,17.7,13,37,0.73,27,0.625,5,"November 26, 2019",57.1,12,2.7,1,115.7,76.2,16,0.466,59,0.35600000000000004,21,0.16899999999999998,10,0.6,6,5,200,87.1,13.9,5,16,61,,7.1,5,0.5760000000000001,34,0.382,13,36.8,21,0.478,17.0,13,25,0.32,8,0.375,3,"HP Field House, Orlando, Florida",BUCKNELL,Bucknell,70.4,Away,YALE,Yale,Yale,ivy,7,False,False,False,Away,True,4,27,53,36,57,13,8,59,1,0,69,114,413,0.5266343825665859,279,540,0.5166666666666667,40,116,455,0.3868131868131868,0.5714285714285714
8,2019-12-01-15-yale,47.6,10,12.1,4,97.0,79.3,23,0.39799999999999996,59,0.35600000000000004,21,0.11900000000000001,7,0.7140000000000001,5,3,200,77.6,20.5,8,17,52,,13.4,9,0.475,28,0.179,5,45.6,31,0.41700000000000004,16.2,12,31,0.516,16,0.667,6,"December 1, 2019",68.2,15,3.2,1,77.6,79.5,31,0.48100000000000004,52,0.423,22,0.327,17,0.882,15,3,200,97.0,20.7,6,13,65,,11.9,8,0.365,19,0.316,6,54.4,37,0.541,17.9,13,33,0.485,16,0.667,6,"John J. Lee Ampitheater, New Haven, Connecticut",VERMONT,Vermont,66.7,Home,YALE,Yale,Yale,ivy,8,True,False,True,Home,True,6,16,52,37,68,5,16,59,1,0,73,141,466,0.5375536480686696,315,597,0.5276381909547738,53,124,514,0.3959143968871595,0.625
9,2019-12-04-19-albany-ny,56.5,13,3.7,1,83.9,84.4,27,0.5710000000000001,49,0.469,23,0.163,8,0.625,5,3,200,98.4,15.4,4,9,61,,9.7,6,0.469,23,0.435,10,53.4,31,0.578,19.8,13,26,0.5,13,0.7,7,"December 4, 2019",73.7,14,15.4,4,98.4,84.6,22,0.425,53,0.358,19,0.132,7,1.0,7,4,200,83.9,15.6,5,11,52,,11.3,7,0.491,26,0.26899999999999996,7,46.6,27,0.462,15.1,10,27,0.444,12,0.556,5,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),61.6,Away,YALE,Yale,Yale,ivy,9,False,False,False,Away,True,10,13,49,31,58,7,12,53,1,0,79,157,518,0.5318532818532818,352,665,0.5293233082706766,58,140,573,0.3961605584642234,0.6666666666666666
10,2019-12-07-19-lehigh,75.0,21,9.5,4,91.5,80.8,21,0.573,55,0.509,28,0.4,22,0.682,15,3,200,109.9,25.0,8,13,78,,9.9,7,0.418,23,0.304,7,50.0,29,0.596,14.5,11,32,0.6559999999999999,21,0.727,8,"December 7, 2019",48.1,13,3.1,1,109.9,75.0,24,0.518,55,0.491,27,0.182,10,0.8,8,7,200,91.5,19.2,5,20,65,,7.0,5,0.23600000000000002,13,0.231,3,50.0,29,0.544,23.3,18,42,0.5710000000000001,24,0.3,3,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,70.6,Away,YALE,Yale,Yale,ivy,10,False,False,False,Away,True,7,21,55,29,58,3,24,55,1,0,89,170,567,0.5352733686067019,383,723,0.5297372060857538,65,152,626,0.3985623003194888,0.7
11,2019-12-11-19-massachusetts,76.5,26,7.7,3,103.9,83.3,25,0.617,64,0.531,34,0.094,6,0.667,4,3,225,107.8,21.4,6,11,83,,7.8,6,0.42200000000000004,27,0.40700000000000003,11,53.4,31,0.621,18.4,15,37,0.622,23,0.75,9,"December 11, 2019",62.5,20,16.2,6,107.8,78.6,22,0.5760000000000001,66,0.485,32,0.061,4,1.0,4,6,225,103.9,16.7,5,12,80,,13.0,10,0.409,27,0.444,12,46.6,27,0.589,18.1,15,39,0.513,20,0.455,5,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,68.3,Away,YALE,Yale,Yale,ivy,11,False,False,False,Away,True,11,23,64,31,58,12,20,66,1,0,96,191,622,0.5385852090032154,412,781,0.5275288092189501,68,176,681,0.40822320117474303,0.7272727272727273
12,2019-12-22-16-clemson,50.0,10,3.7,1,71.4,84.4,27,0.479,47,0.426,20,0.27699999999999997,13,0.6920000000000001,9,3,200,85.7,26.1,6,16,54,,12.7,8,0.426,20,0.25,5,60.0,33,0.508,26.5,19,27,0.556,15,0.769,10,"December 22, 2019",26.7,4,3.7,1,85.7,73.9,17,0.36200000000000004,47,0.319,15,0.34,16,0.688,11,6,200,71.4,15.6,5,16,45,,17.5,11,0.426,20,0.2,4,40.0,22,0.41200000000000003,15.6,10,27,0.40700000000000003,11,0.5,6,"Littlejohn Coliseum, Clemson, South Carolina",CLEMSON,Clemson,62.9,Away,YALE,Yale,Yale,ivy,12,False,False,False,Away,True,5,15,47,33,55,4,11,47,1,0,107,214,686,0.5459183673469388,443,839,0.5280095351609059,80,196,747,0.42302543507362783,0.75
13,2019-12-30-19-north-carolina,60.0,12,13.5,7,95.9,68.8,33,0.444,54,0.37,20,0.40700000000000003,22,0.8640000000000001,19,4,200,91.8,3.2,1,17,67,,6.8,5,0.5,27,0.29600000000000004,8,43.0,34,0.52,13.6,10,27,0.444,12,0.7140000000000001,10,"December 30, 2019",53.8,14,14.8,4,91.8,96.8,30,0.408,71,0.366,26,0.239,17,0.706,12,5,200,95.9,31.3,15,19,70,,5.5,4,0.268,19,0.316,6,57.0,45,0.44299999999999995,9.3,8,52,0.385,20,0.615,8,"Dean Smith Center, Chapel Hill, North Carolina",YALE,Yale,72.8,Home,NORTH-CAROLINA,UNC,Yale,ivy,13,False,False,False,Away,False,8,12,54,34,79,6,20,71,0,1,112,229,733,0.5416098226466576,476,894,0.5324384787472036,84,207,794,0.4193954659949622,0.7692307692307693
14,2020-01-12-14-yale,57.9,11,2.2,1,144.0,42.9,12,0.3670000000000001,64,0.297,19,0.266,17,0.647,11,0,200,77.3,17.8,8,17,58,,6.7,5,0.469,30,0.3,9,27.4,20,0.402,12.3,10,34,0.294,10,0.0,0,"January 12, 2020",70.0,28,11.8,4,77.3,82.2,37,0.645,69,0.58,40,0.377,26,0.731,19,4,200,144.0,57.1,16,16,108,,4.0,3,0.348,24,0.375,9,72.6,53,0.664,11.1,10,45,0.6890000000000001,31,0.733,11,"John J. Lee Ampitheater, New Haven, Connecticut","Johnson &amp; Wales (RI)
			","Johnson &amp; Wales (RI)
			",74.7,Home,YALE,Yale,Yale,ivy,14,True,False,True,Home,True,9,31,69,53,73,9,10,64,1,0,120,241,787,0.5349428208386277,510,973,0.5241521068859198,90,227,865,0.4184971098265896,0.7142857142857143
15,2020-01-17-19-yale,55.6,10,22.9,8,97.2,73.0,27,0.375,52,0.34600000000000003,18,0.48100000000000004,25,0.68,17,7,200,77.8,24.3,9,21,56,,5.6,4,0.40399999999999997,21,0.14300000000000002,3,48.6,36,0.43799999999999994,21.3,17,31,0.484,15,0.5,7,"January 17, 2020",71.4,15,16.1,5,77.8,75.7,28,0.441,59,0.35600000000000004,21,0.40700000000000003,24,0.75,18,4,200,97.2,27.0,10,19,70,,9.7,7,0.40700000000000003,24,0.41700000000000004,10,51.4,38,0.4970000000000001,14.7,12,35,0.314,11,0.75,12,"John J. Lee Ampitheater, New Haven, Connecticut",BROWN,Brown,72.1,Home,YALE,Yale,Yale,ivy,15,True,False,True,Home,True,10,11,59,38,74,3,15,52,1,0,129,272,856,0.5438084112149533,563,1046,0.5382409177820268,99,237,929,0.41496232508073205,0.7333333333333333
16,2020-01-20-12-howard,60.0,18,0.0,0,108.7,78.4,29,0.5920000000000001,60,0.5,30,0.38299999999999995,23,0.7829999999999999,18,4,200,129.0,37.9,11,12,89,,8.7,6,0.467,28,0.39299999999999996,11,60.6,40,0.627,11.4,9,32,0.594,19,0.765,13,"January 20, 2020",44.4,12,18.8,6,129.0,62.1,18,0.5,64,0.42200000000000004,27,0.25,16,0.688,11,18,200,108.7,21.6,8,15,75,,5.8,4,0.406,26,0.385,10,39.4,26,0.524,6.6,5,38,0.447,17,0.1,2,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,68.8,Away,YALE,Yale,Yale,ivy,16,False,False,False,Away,True,11,19,60,40,66,10,17,64,1,0,139,283,915,0.5371584699453552,601,1120,0.5366071428571428,102,252,981,0.4128440366972477,0.75
17,2020-01-24-19-brown,39.1,9,8.8,3,87.3,71.1,27,0.5489999999999999,51,0.451,23,0.392,20,0.85,17,4,200,102.8,20.0,6,17,73,,12.7,9,0.5489999999999999,28,0.35700000000000004,10,48.5,33,0.603,20.1,15,23,0.565,13,0.778,14,"January 24, 2020",47.6,10,4.3,1,102.8,80.0,24,0.425,60,0.35,21,0.25,15,0.733,11,8,200,87.3,28.9,11,19,62,,5.6,4,0.433,26,0.34600000000000003,9,51.5,35,0.462,20.3,17,34,0.353,12,0.467,7,"Pizzitola Sports Center, Providence, Rhode Island",BROWN,Brown,71.3,Away,YALE,Yale,Yale,ivy,17,False,False,False,Away,True,10,13,51,33,68,9,12,60,1,0,150,302,975,0.5405128205128205,641,1186,0.5404721753794266,112,269,1045,0.41818181818181815,0.7647058823529411
18,2020-01-31-19-yale,36.0,9,2.6,1,125.7,79.2,19,0.46799999999999997,62,0.40299999999999997,25,0.113,7,0.5710000000000001,4,13,200,83.8,5.4,2,5,62,,6.8,5,0.435,27,0.29600000000000004,8,34.4,21,0.475,13.3,10,35,0.486,17,0.316,6,"January 31, 2020",68.4,26,8.6,3,83.8,94.6,35,0.672,67,0.5670000000000001,38,0.06,4,0.75,3,4,200,125.7,20.8,5,10,93,,10.8,8,0.433,29,0.483,14,65.6,40,0.675,12.7,10,38,0.632,24,0.789,15,"John J. Lee Ampitheater, New Haven, Connecticut",COLUMBIA,Columbia,73.6,Home,YALE,Yale,Yale,ivy,18,True,False,True,Home,True,14,24,67,40,61,8,17,62,1,0,160,315,1026,0.5409356725146199,674,1254,0.5374800637958532,121,281,1105,0.41855203619909503,0.7777777777777778
