,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TENNESSEE-TECH_homegame,TENNESSEE-TECH_homegame2,TENNESSEE-TECH_home,TENNESSEE-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-western-kentucky,46.2,12,5.4,2,107.0,68.0,17,0.517,58,0.44799999999999995,26,0.10300000000000001,6,0.667,4,1,200,90.1,29.0,9,21,64,,11.3,8,0.44799999999999995,26,0.308,8,46.4,26,0.526,23.9,19,32,0.563,18,0.0,0,"November 5, 2019",46.2,12,15.6,5,90.1,71.0,22,0.5479999999999999,52,0.5,26,0.5,26,0.731,19,0,200,107.0,32.0,8,9,76,,11.3,8,0.28800000000000003,15,0.33299999999999996,5,53.6,30,0.591,19.1,15,37,0.568,21,1.0,1,"E.A. Diddle Arena, Bowling Green, Kentucky",TENNESSEE-TECH,Tennessee Tech,71.1,Home,WESTERN-KENTUCKY,Western Kentucky,Tennessee Tech,ovc,0,False,False,False,Away,False,8,18,58,26,56,5,21,52,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-tennessee-tech,53.8,14,8.3,4,115.3,56.3,18,0.47600000000000003,63,0.413,26,0.222,14,0.7140000000000001,10,0,200,97.2,30.8,12,11,70,,9.7,7,0.33299999999999996,21,0.381,8,42.3,30,0.503,15.8,13,42,0.429,18,0.0,0,"November 9, 2019",65.6,21,4.8,2,97.2,69.2,27,0.562,65,0.4920000000000001,32,0.185,12,0.833,10,1,200,115.3,43.8,14,14,83,,9.7,7,0.262,17,0.529,9,57.7,41,0.5870000000000001,18.5,16,48,0.479,23,0.5,1,"Eblen Center, Cookeville, Tennessee","Martin Methodist
			","Martin Methodist
			",71.7,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc,1,True,False,True,Home,True,9,23,65,41,71,8,18,63,1,0,8,18,58,0.5172413793103449,26,56,0.4642857142857143,5,21,52,0.5480769230769231,0.0
2,2019-11-12-20-tennessee-tech,54.8,17,4.3,2,102.6,80.6,29,0.48,74,0.419,31,0.23,17,0.8240000000000001,14,0,225,109.0,46.5,20,13,85,,6.4,5,0.392,29,0.31,9,62.0,49,0.518,15.5,15,45,0.489,22,1.0,3,"November 12, 2019",48.4,15,6.7,3,109.0,53.5,23,0.531,65,0.47700000000000004,31,0.24600000000000002,16,0.688,11,2,225,102.6,19.4,7,17,80,,3.8,3,0.292,19,0.368,7,38.0,30,0.551,15.3,13,46,0.522,24,0.33299999999999996,1,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,69.2,Away,WRIGHT-STATE,Wright State,Tennessee Tech,ovc,2,False,True,True,Home,False,7,24,65,30,79,9,22,74,0,1,17,41,123,0.540650406504065,67,127,0.5275590551181102,13,39,115,0.508695652173913,0.5
3,2019-11-15-19-north-carolina-greensboro,27.3,3,5.6,2,91.4,75.0,27,0.255,49,0.22399999999999998,11,0.184,9,0.556,5,3,200,42.9,21.6,8,11,30,,4.3,3,0.449,22,0.136,3,47.9,35,0.282,32.1,25,27,0.29600000000000004,8,0.25,1,"November 15, 2019",55.6,15,22.2,6,42.9,78.4,29,0.4920000000000001,62,0.435,27,0.21,13,0.231,3,1,200,91.4,25.0,9,10,64,,20.0,14,0.419,26,0.26899999999999996,7,52.1,38,0.469,14.0,11,36,0.556,20,0.75,3,"Greensboro Coliseum, Greensboro, North Carolina",TENNESSEE-TECH,Tennessee Tech,70.2,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Tennessee Tech,ovc,3,False,False,False,Away,False,3,8,49,35,73,7,20,62,0,1,24,65,188,0.5372340425531915,97,206,0.470873786407767,22,61,189,0.4973544973544973,0.3333333333333333
4,2019-11-16-15-appalachian-state,61.1,11,3.4,1,113.1,71.4,15,0.489,47,0.38299999999999995,18,0.043,2,0.5,1,4,200,77.0,15.4,4,15,47,,9.8,6,0.511,24,0.41700000000000004,10,40.4,19,0.49,26.2,17,23,0.348,8,0.2,1,"November 16, 2019",41.7,10,21.7,5,77.0,84.6,22,0.614,44,0.545,24,0.4320000000000001,19,0.789,15,2,200,113.1,28.6,6,10,69,,16.4,10,0.341,15,0.4,6,59.6,28,0.6509999999999999,22.3,15,29,0.621,18,0.6,3,"Greensboro Coliseum, Greensboro, North Carolina",TENNESSEE-TECH,Tennessee Tech,61.5,Home,APPALACHIAN-STATE,Appalachian State,Tennessee Tech,ovc,4,False,False,False,Away,False,10,8,47,19,47,6,18,44,0,1,27,73,237,0.4789029535864978,132,279,0.4731182795698925,29,81,251,0.4960159362549801,0.25
5,2019-11-17-12-montana-state,13.3,2,11.1,3,82.5,88.5,23,0.284,58,0.259,15,0.121,7,0.857,6,5,200,61.9,38.5,15,9,39,,11.1,7,0.414,24,0.125,3,58.5,38,0.318,19.7,15,34,0.353,12,0.16699999999999998,1,"November 17, 2019",47.4,9,0.0,0,61.9,61.5,24,0.457,47,0.40399999999999997,19,0.23399999999999999,11,0.818,9,1,200,82.5,11.5,3,11,52,,14.3,9,0.426,20,0.25,5,41.5,27,0.498,22.4,15,27,0.519,14,0.8,4,"Greensboro Coliseum, Greensboro, North Carolina",TENNESSEE-TECH,Tennessee Tech,62.8,Home,MONTANA-STATE,Montana State,Tennessee Tech,ovc,5,False,False,False,Away,False,3,12,58,38,65,5,14,47,0,1,37,81,284,0.4806338028169014,151,326,0.4631901840490798,35,99,295,0.5135593220338983,0.2
6,2019-11-21-19-winthrop,64.0,16,12.1,4,85.3,75.8,25,0.5,56,0.446,25,0.107,6,0.833,5,5,200,89.7,30.0,9,9,61,,11.8,8,0.35700000000000004,20,0.3,6,54.0,34,0.518,23.5,18,36,0.528,19,0.28600000000000003,2,"November 21, 2019",54.5,12,5.6,2,89.7,70.0,21,0.439,57,0.386,22,0.175,10,0.8,8,3,200,85.3,24.2,8,14,58,,17.6,12,0.42100000000000004,24,0.25,6,46.0,29,0.47,19.6,15,33,0.485,16,0.5,3,"Winthrop Coliseum, Rock Hill, South Carolina",WINTHROP,Winthrop,68.3,Away,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc,6,False,False,False,Away,True,6,19,56,34,63,6,16,57,1,0,40,93,342,0.4473684210526316,189,391,0.4833759590792839,40,113,342,0.5058479532163743,0.16666666666666666
7,2019-11-25-19-tennessee-tech,53.3,16,2.9,1,92.9,67.4,29,0.583,60,0.5,30,0.2,12,0.667,8,4,200,111.4,22.6,7,10,78,,7.1,5,0.433,26,0.385,10,48.6,36,0.594,13.3,10,34,0.588,20,0.429,3,"November 25, 2019",40.0,10,8.8,3,111.4,77.4,24,0.436,70,0.35700000000000004,25,0.114,8,0.5,4,6,200,92.9,32.6,14,17,65,,5.7,4,0.5,35,0.314,11,51.4,38,0.44,14.0,12,35,0.4,14,0.25,2,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,70.3,Away,LIPSCOMB,Lipscomb,Tennessee Tech,ovc,7,False,True,True,Home,False,11,14,70,38,74,10,20,60,0,1,46,112,398,0.4547738693467337,223,454,0.4911894273127753,46,129,399,0.4962406015037594,0.2857142857142857
8,2019-12-02-19-tennessee-tech,57.9,11,7.7,3,116.2,63.3,19,0.365,63,0.302,19,0.063,4,0.25,1,0,200,63.5,12.8,5,16,47,,8.1,6,0.429,27,0.29600000000000004,8,34.8,24,0.36200000000000004,19.8,16,36,0.306,11,0.0,0,"December 2, 2019",67.6,23,16.7,6,63.5,87.2,34,0.598,66,0.515,34,0.212,14,0.5,7,6,200,116.2,36.7,11,5,86,,10.8,8,0.409,27,0.40700000000000003,11,65.2,45,0.5920000000000001,13.2,11,39,0.59,23,0.33299999999999996,3,"Eblen Center, Cookeville, Tennessee","Reinhardt
			","Reinhardt
			",74.3,Home,TENNESSEE-TECH,Tennessee Tech,Tennessee Tech,ovc,8,True,False,True,Home,True,11,23,66,45,69,8,11,63,1,0,57,126,468,0.4519230769230769,261,528,0.4943181818181818,56,149,459,0.5076252723311547,0.25
9,2019-12-08-14-ohio,47.4,9,10.8,4,117.4,68.6,24,0.40399999999999997,52,0.365,19,0.308,16,0.75,12,7,200,78.3,14.7,5,21,54,,8.7,6,0.40399999999999997,21,0.19,4,42.0,29,0.45299999999999996,20.3,15,31,0.484,15,0.3,3,"December 8, 2019",66.7,20,16.1,5,78.3,85.3,29,0.556,62,0.484,30,0.29,18,0.667,12,3,200,117.4,31.4,11,14,81,,14.5,10,0.40299999999999997,25,0.36,9,58.0,40,0.574,11.4,9,37,0.568,21,0.7,7,"Convocation Center, Athens, Ohio",TENNESSEE-TECH,Tennessee Tech,69.1,Home,OHIO,Ohio,Tennessee Tech,ovc,9,False,False,False,Away,False,4,15,52,29,69,9,21,62,0,1,68,149,534,0.4700374531835206,306,597,0.5125628140703518,64,160,522,0.4904214559386973,0.3333333333333333
