,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEW-ORLEANS_homegame,NEW-ORLEANS_homegame2,NEW-ORLEANS_home,NEW-ORLEANS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2020-01-29-20-new-orleans,56.3,18,11.8,6,98.7,66.7,26,0.531,65,0.4920000000000001,32,0.27699999999999997,18,0.722,13,11,200,109.3,35.3,12,21,82,,8.0,6,0.24600000000000002,16,0.313,5,52.1,38,0.557,15.1,13,49,0.551,27,0.42100000000000004,8,"January 29, 2020",62.5,15,6.1,3,109.3,64.7,22,0.42100000000000004,63,0.381,24,0.413,26,0.8079999999999999,21,15,200,98.7,33.3,13,16,74,,12.0,9,0.19,12,0.41700000000000004,5,47.9,35,0.491,14.9,13,51,0.373,19,0.28600000000000003,6,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,75.0,Away,NORTHWESTERN-STATE,Northwestern State,New Orleans,southland,20,False,True,True,Home,False,5,19,63,35,73,5,27,65,0,1,106,436,1172,0.507679180887372,567,1187,0.4776748104465038,132,413,1124,0.5435943060498221,0.3
21,2020-02-01-17-southeastern-louisiana,60.7,17,9.1,3,101.4,71.0,22,0.613,53,0.528,28,0.415,22,0.8640000000000001,19,15,200,116.7,36.4,8,16,84,,9.7,7,0.302,16,0.563,9,56.6,30,0.662,20.3,16,37,0.514,19,0.318,7,"February 1, 2020",60.0,15,13.5,5,116.7,63.6,14,0.475,61,0.41,25,0.32799999999999996,20,0.75,15,16,200,101.4,29.0,9,20,73,,11.1,8,0.45899999999999996,28,0.28600000000000003,8,43.4,23,0.518,13.6,11,33,0.515,17,0.273,6,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,72.0,Away,NEW-ORLEANS,New Orleans,New Orleans,southland,21,False,False,False,Away,True,9,19,53,30,53,8,17,61,1,0,111,455,1235,0.5032388663967612,602,1260,0.4777777777777778,137,440,1189,0.5428931875525652,0.2857142857142857
22,2020-02-08-17-stephen-f-austin,50.0,11,2.7,1,112.5,60.7,17,0.5429999999999999,47,0.46799999999999997,22,0.574,27,0.852,23,16,200,102.8,25.0,6,22,74,,6.9,5,0.319,15,0.467,7,44.2,23,0.618,23.4,18,32,0.469,15,0.304,7,"February 8, 2020",66.7,18,12.5,4,102.8,75.0,18,0.574,54,0.5,27,0.519,28,0.679,19,3,200,112.5,39.3,11,20,81,,12.5,9,0.315,17,0.47100000000000003,8,55.8,29,0.602,18.4,15,37,0.514,19,0.875,21,"William Johnson Coliseum, Nacogdoches, Texas",NEW-ORLEANS,New Orleans,71.6,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,New Orleans,southland,22,False,False,False,Away,False,7,15,47,23,52,8,19,54,0,1,120,474,1288,0.5077639751552795,632,1313,0.4813404417364813,145,457,1250,0.5396,0.3181818181818182
23,2020-02-12-20-central-arkansas,29.2,7,0.0,0,105.8,78.6,22,0.473,56,0.429,24,0.429,24,0.625,15,17,200,98.6,23.5,8,20,68,,5.8,4,0.268,15,0.33299999999999996,5,48.4,30,0.504,11.9,9,41,0.46299999999999997,19,0.292,7,"February 12, 2020",45.8,11,9.8,4,98.6,76.5,26,0.509,53,0.45299999999999996,24,0.47200000000000003,25,0.76,19,16,200,105.8,21.4,6,19,73,,2.9,2,0.415,22,0.273,6,51.6,32,0.563,13.5,10,31,0.581,18,0.36,9,"Jeff Farris Center, Conway, Arkansas",NEW-ORLEANS,New Orleans,68.6,Home,CENTRAL-ARKANSAS,Central Arkansas,New Orleans,southland,23,False,False,False,Away,False,5,19,56,30,62,6,18,53,0,1,127,489,1335,0.5089887640449439,655,1365,0.4798534798534799,153,476,1304,0.5410276073619632,0.3043478260869565
24,2020-02-15-19-new-orleans,72.0,18,7.3,3,104.8,75.0,21,0.633,45,0.556,25,0.267,12,0.833,10,17,200,106.3,26.3,5,18,67,,12.7,8,0.37799999999999995,17,0.41200000000000003,7,55.3,26,0.6609999999999999,21.8,14,28,0.643,18,0.32,8,"February 15, 2020",44.0,11,0.0,0,106.3,73.7,14,0.52,51,0.49,25,0.373,19,0.684,13,18,200,104.8,25.0,7,14,66,,9.5,6,0.196,10,0.3,3,44.7,21,0.55,18.0,13,41,0.537,22,0.28,7,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,62.9,Away,INCARNATE-WORD,Incarnate Word,New Orleans,southland,24,False,True,True,Home,False,3,22,51,21,47,7,18,45,0,1,132,508,1391,0.507548526240115,685,1427,0.4800280308339173,159,494,1357,0.5397936624907885,0.2916666666666667
25,2020-02-22-16-mcneese-state,57.1,16,3.4,1,108.5,80.8,21,0.517,59,0.475,28,0.508,30,0.7,21,18,200,115.5,28.1,9,26,82,,9.9,7,0.203,12,0.41700000000000004,5,51.7,30,0.56,12.2,10,47,0.489,23,0.308,8,"February 22, 2020",52.0,13,12.8,6,115.5,71.9,23,0.622,45,0.556,25,0.711,32,0.6559999999999999,21,15,200,108.5,19.2,5,26,77,,5.6,4,0.35600000000000004,16,0.375,6,48.3,28,0.64,18.0,13,29,0.655,19,0.444,12,"H&HP Complex, Lake Charles, Louisiana",MCNEESE-STATE,McNeese State,71.2,Away,NEW-ORLEANS,New Orleans,New Orleans,southland,25,False,False,False,Away,True,5,23,59,30,58,6,19,45,1,0,135,530,1442,0.5079750346740638,706,1474,0.4789687924016282,166,512,1402,0.5427960057061341,0.28
26,2020-02-26-20-new-orleans,62.5,20,10.2,5,110.3,72.7,24,0.6940000000000001,54,0.593,32,0.185,10,0.6,6,17,200,119.1,40.0,8,17,81,,7.4,5,0.35200000000000004,19,0.579,11,60.4,32,0.6890000000000001,23.6,18,35,0.6,21,0.39299999999999996,11,"February 26, 2020",71.0,22,5.7,2,119.1,60.0,12,0.541,61,0.508,31,0.27899999999999997,17,0.529,9,19,200,110.3,27.3,9,15,75,,10.3,7,0.19699999999999998,12,0.33299999999999996,4,39.6,21,0.5429999999999999,9.3,7,49,0.551,27,0.29600000000000004,8,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,67.9,Away,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,New Orleans,southland,26,False,True,True,Home,False,4,27,61,21,53,11,21,54,0,1,140,553,1501,0.508327781479014,736,1532,0.4804177545691906,172,531,1447,0.5452660677263304,0.3076923076923077
27,2020-02-29-16-nicholls-state,39.1,9,0.0,0,126.0,56.3,18,0.47200000000000003,54,0.426,23,0.444,24,0.708,17,20,200,93.2,18.2,6,16,68,,8.2,6,0.259,14,0.35700000000000004,5,36.9,24,0.52,15.7,12,40,0.45,18,0.28600000000000003,8,"February 29, 2020",51.4,18,7.5,3,93.2,81.8,27,0.563,72,0.486,35,0.19399999999999998,14,0.7859999999999999,11,10,200,126.0,43.8,14,17,92,,8.2,6,0.375,27,0.40700000000000003,11,63.1,41,0.585,10.3,9,45,0.5329999999999999,24,0.667,20,"David Stopher Gymnasium, Thibodaux, Louisiana",NEW-ORLEANS,New Orleans,72.5,Home,NICHOLLS-STATE,Nicholls State,New Orleans,southland,27,False,False,False,Away,False,5,18,54,24,65,11,24,72,0,1,144,580,1562,0.5096030729833547,757,1585,0.477602523659306,183,552,1501,0.5506329113924051,0.2962962962962963
28,2020-03-04-19-northwestern-state,62.5,15,6.4,3,120.3,62.2,23,0.418,61,0.39299999999999996,24,0.607,37,0.595,22,21,200,92.4,29.5,13,26,73,,8.9,7,0.19699999999999998,12,0.25,3,44.4,36,0.465,13.4,12,49,0.429,21,0.276,8,"March 4, 2020",35.7,10,6.1,3,92.4,70.5,31,0.484,63,0.444,28,0.6829999999999999,43,0.7909999999999999,34,15,200,120.3,37.8,14,25,95,,7.6,6,0.254,16,0.313,5,55.6,45,0.569,10.9,10,47,0.489,23,0.46399999999999997,13,"Prather Coliseum, Natchitoches, Louisiana",NEW-ORLEANS,New Orleans,78.5,Home,NORTHWESTERN-STATE,Northwestern State,New Orleans,southland,28,False,False,False,Away,False,3,21,61,36,81,5,23,63,0,1,149,598,1616,0.5083539603960396,781,1650,0.4733333333333333,194,576,1573,0.5511760966306422,0.2857142857142857
29,2020-03-07-19-new-orleans,52.0,13,7.9,3,102.6,57.9,11,0.426,61,0.41,25,0.41,25,0.68,17,23,200,89.6,34.3,12,19,69,,11.7,9,0.311,19,0.105,2,42.6,23,0.473,19.1,17,42,0.5479999999999999,23,0.258,8,"March 7, 2020",65.5,19,11.9,5,89.6,65.7,23,0.565,54,0.537,29,0.40700000000000003,22,0.818,18,21,200,102.6,42.1,8,23,79,,10.4,8,0.29600000000000004,16,0.188,3,57.4,31,0.613,23.0,19,38,0.684,26,0.3,9,"Kiefer Lakefront Arena, New Orleans , Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,76.7,Home,NEW-ORLEANS,New Orleans,New Orleans,southland,29,True,False,True,Home,True,3,26,54,31,54,2,23,61,1,0,152,619,1677,0.5050685748360167,817,1731,0.4719815135759676,199,599,1636,0.5485941320293398,0.27586206896551724
