,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEW-ORLEANS_homegame,NEW-ORLEANS_homegame2,NEW-ORLEANS_home,NEW-ORLEANS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-15-sam-houston-state,50.0,13,5.6,2,116.0,70.4,19,0.546,54,0.48100000000000004,26,0.40700000000000003,22,0.909,20,7,200,105.3,34.6,9,22,79,,8.0,6,0.33299999999999996,18,0.389,7,52.8,28,0.613,24.8,21,36,0.528,19,0.364,4,"December 21, 2019",74.2,23,11.1,4,105.3,65.4,17,0.608,60,0.517,31,0.28300000000000003,17,0.8240000000000001,14,4,200,116.0,29.6,8,21,87,,14.7,11,0.4,24,0.45799999999999996,11,47.2,25,0.639,16.2,13,36,0.556,20,0.667,8,"Johnson Coliseum, Huntsville, Texas",NEW-ORLEANS,New Orleans,74.8,Home,SAM-HOUSTON-STATE,Sam Houston State,New Orleans,southland,10,False,False,False,Away,False,7,19,54,28,53,11,20,60,0,1,52,245,624,0.5176282051282052,305,623,0.4895666131621188,59,196,556,0.5116906474820144,0.4
11,2019-12-28-13-memphis,62.5,10,12.5,5,110.2,60.0,18,0.318,55,0.29100000000000004,16,0.491,27,0.741,20,8,200,62.5,21.1,8,20,55,,14.8,13,0.309,17,0.17600000000000002,3,38.2,26,0.405,28.8,27,38,0.342,13,0.33299999999999996,4,"December 28, 2019",54.5,18,28.9,11,62.5,78.9,30,0.619,63,0.524,33,0.365,23,0.826,19,1,200,110.2,40.0,12,23,97,9.0,20.5,18,0.365,23,0.522,12,61.8,42,0.6559999999999999,27.0,27,40,0.525,21,0.917,11,"FedExForum, Memphis, Tennessee",NEW-ORLEANS,New Orleans,87.9,Home,MEMPHIS,Memphis,New Orleans,southland,11,False,False,False,Away,False,3,13,55,26,68,12,21,63,0,1,59,264,678,0.5199115044247787,333,676,0.49260355029585795,70,216,616,0.5211038961038961,0.3636363636363637
12,2020-01-02-20-new-orleans,42.3,11,6.3,2,91.8,81.8,18,0.536,55,0.473,26,0.382,21,0.7140000000000001,15,6,200,101.4,28.1,9,23,74,,12.3,9,0.327,18,0.389,7,50.0,27,0.569,18.9,15,37,0.514,19,0.5710000000000001,8,"January 2, 2020",50.0,11,5.4,2,101.4,71.9,23,0.521,48,0.45799999999999996,22,0.521,25,0.68,17,9,200,91.8,18.2,4,20,67,,4.1,3,0.33299999999999996,16,0.375,6,50.0,27,0.5589999999999999,24.4,19,32,0.5,16,0.308,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,72.9,Away,LAMAR,Lamar,New Orleans,southland,12,False,True,True,Home,False,6,16,48,27,54,7,19,55,0,1,62,277,733,0.504774897680764,359,744,0.4825268817204301,82,237,679,0.5301914580265096,0.3333333333333333
13,2020-01-04-19-new-orleans,48.5,16,11.1,4,95.8,78.1,25,0.629,58,0.569,33,0.32799999999999996,19,0.737,14,2,200,122.5,54.2,13,23,87,,9.9,7,0.24100000000000002,14,0.5,7,67.9,38,0.649,20.4,17,44,0.591,26,0.867,13,"January 4, 2020",45.0,9,2.3,1,122.5,45.8,11,0.45,50,0.4,20,0.62,31,0.742,23,10,200,95.8,21.9,7,17,68,,11.3,8,0.28,14,0.35700000000000004,5,32.1,18,0.525,18.0,14,36,0.41700000000000004,15,0.28600000000000003,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,71.4,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,New Orleans,southland,13,False,True,True,Home,False,5,15,50,18,56,7,26,58,0,1,68,293,781,0.5057618437900128,386,798,0.4837092731829574,89,256,734,0.5306539509536785,0.3076923076923077
14,2020-01-08-20-new-orleans,69.2,18,11.4,4,111.7,78.3,18,0.483,60,0.433,26,0.41700000000000004,25,0.8,20,12,200,101.3,25.7,9,27,78,,5.2,4,0.4,24,0.25,6,46.6,27,0.5429999999999999,15.5,13,36,0.556,20,0.25,4,"January 8, 2020",74.1,20,2.8,1,101.3,74.3,26,0.596,52,0.519,27,0.5770000000000001,30,0.8,24,10,200,111.7,21.7,5,18,86,,10.4,8,0.327,17,0.47100000000000003,8,53.4,31,0.649,19.7,16,35,0.5429999999999999,19,0.33299999999999996,5,"Kiefer Lakefront Arena, New Orleans , Louisiana",CENTRAL-ARKANSAS,Central Arkansas,76.6,Home,NEW-ORLEANS,New Orleans,New Orleans,southland,14,True,False,True,Home,True,8,19,52,31,58,6,20,60,1,0,73,308,831,0.5024067388688327,404,854,0.4730679156908666,96,282,792,0.5378787878787878,0.2857142857142857
15,2020-01-11-17-incarnate-word,73.9,17,2.6,1,105.8,67.6,23,0.5,51,0.451,23,0.451,23,0.826,19,11,200,101.4,25.0,7,27,70,,5.8,4,0.373,19,0.263,5,48.4,30,0.565,18.6,14,32,0.563,18,0.312,5,"January 11, 2020",66.7,14,9.4,3,101.4,75.0,21,0.425,53,0.396,21,0.642,34,0.8240000000000001,28,11,200,105.8,32.4,11,22,73,,8.7,6,0.28300000000000003,15,0.2,3,51.6,32,0.528,13.9,11,38,0.474,18,0.267,4,"McDermott Center, San Antonio, Texas",NEW-ORLEANS,New Orleans,69.0,Home,INCARNATE-WORD,Incarnate Word,New Orleans,southland,15,False,False,False,Away,False,5,18,51,30,62,3,18,53,0,1,81,327,883,0.5079275198187996,435,912,0.4769736842105263,102,302,852,0.534037558685446,0.3333333333333333
16,2020-01-15-20-houston-baptist,50.0,19,15.9,7,116.7,71.4,20,0.5760000000000001,72,0.528,38,0.45799999999999996,33,0.6970000000000001,23,11,200,126.2,36.1,13,21,106,,10.7,9,0.306,22,0.318,7,51.6,33,0.605,8.5,8,50,0.62,31,0.353,6,"January 15, 2020",50.0,17,10.0,5,126.2,63.9,23,0.621,62,0.5479999999999999,34,0.532,33,0.636,21,13,200,116.7,28.6,8,23,98,,4.8,4,0.29,18,0.5,9,48.4,31,0.631,17.3,16,44,0.568,25,0.071,1,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,84.2,Away,NEW-ORLEANS,New Orleans,New Orleans,southland,16,False,False,False,Away,True,7,31,72,33,64,9,25,62,1,0,86,345,934,0.5074946466809421,465,974,0.4774127310061602,105,320,905,0.5276243093922652,0.3125
17,2020-01-18-19-new-orleans,59.3,16,10.3,4,78.8,80.0,24,0.564,55,0.491,27,0.127,7,0.429,3,9,200,98.5,22.2,6,12,65,,6.1,4,0.345,19,0.42100000000000004,8,52.6,30,0.557,17.1,12,36,0.528,19,0.5,9,"January 18, 2020",54.5,12,2.8,1,98.5,77.8,21,0.4,60,0.3670000000000001,22,0.083,5,0.8,4,12,200,78.8,20.0,6,10,52,,7.6,5,0.35,21,0.19,4,47.4,27,0.41700000000000004,15.0,11,39,0.462,18,0.33299999999999996,6,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,65.9,Away,MCNEESE-STATE,McNeese State,New Orleans,southland,17,False,True,True,Home,False,4,18,60,27,57,8,19,55,0,1,93,376,1006,0.5124254473161034,498,1038,0.4797687861271676,114,345,967,0.5336091003102379,0.35294117647058826
18,2020-01-22-20-texas-am-corpus-christi,50.0,12,0.0,0,112.1,80.0,16,0.541,49,0.49,24,0.49,24,0.75,18,13,200,107.6,30.4,7,21,71,,7.6,5,0.306,15,0.33299999999999996,5,53.5,23,0.588,15.6,11,34,0.5589999999999999,19,0.316,6,"January 22, 2020",40.7,11,14.7,5,107.6,69.6,16,0.638,47,0.574,27,0.426,20,0.7,14,12,200,112.1,20.0,4,24,74,,4.5,3,0.34,16,0.375,6,46.5,20,0.655,22.3,16,31,0.677,21,0.4,8,"American Bank Center, Corpus Christi, Texas",NEW-ORLEANS,New Orleans,66.5,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,New Orleans,southland,18,False,False,False,Away,False,5,19,49,23,43,6,21,47,0,1,97,394,1066,0.5060975609756098,525,1095,0.4794520547945205,122,364,1022,0.5352250489236791,0.3333333333333333
19,2020-01-25-19-new-orleans,28.1,9,16.3,7,94.7,81.3,26,0.618,55,0.5820000000000001,32,0.218,12,0.75,9,7,200,101.3,23.5,4,22,77,,9.2,7,0.218,12,0.33299999999999996,4,61.2,30,0.634,24.9,20,43,0.6509999999999999,28,0.667,14,"January 25, 2020",51.9,14,0.0,0,101.3,76.5,13,0.509,57,0.474,27,0.474,27,0.519,14,14,200,94.7,18.8,6,18,72,,18.4,14,0.24600000000000002,14,0.28600000000000003,4,38.8,19,0.516,14.8,12,43,0.535,23,0.3,6,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,76.3,Away,NICHOLLS-STATE,Nicholls State,New Orleans,southland,19,False,True,True,Home,False,4,23,57,19,49,4,28,55,0,1,102,413,1115,0.5076233183856502,548,1138,0.4815465729349737,128,385,1069,0.539756782039289,0.3157894736842105
