,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FAIRLEIGH-DICKINSON_homegame,FAIRLEIGH-DICKINSON_homegame2,FAIRLEIGH-DICKINSON_home,FAIRLEIGH-DICKINSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-fairleigh-dickinson,52.6,10,0.0,0,124.7,62.1,18,0.366,67,0.284,19,0.06,4,0.75,3,0,200,64.2,21.7,10,15,52,,6.2,5,0.612,41,0.268,11,37.3,28,0.377,24.2,22,26,0.308,8,0.0,0,"November 5, 2019",39.0,16,23.1,6,64.2,78.3,36,0.645,69,0.594,41,0.217,15,0.8,12,0,200,124.7,37.9,11,15,101,,13.6,11,0.275,19,0.368,7,62.7,47,0.6629999999999999,16.6,15,50,0.68,34,1.0,1,"Rothman Center, Teaneck, New Jersey","Fairleigh Dickinson-Florham
			","Fairleigh Dickinson-Florham
			",80.5,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,0,True,False,True,Home,True,7,34,69,47,75,11,8,67,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-depaul,40.9,9,11.1,4,102.9,66.7,22,0.51,48,0.45799999999999996,22,0.292,14,0.7140000000000001,10,1,200,86.8,26.9,7,21,59,,5.9,4,0.292,14,0.35700000000000004,5,49.2,29,0.54,27.9,21,34,0.5,17,0.5,1,"November 8, 2019",54.2,13,11.8,4,86.8,73.1,19,0.509,54,0.444,24,0.519,28,0.536,15,0,200,102.9,33.3,11,17,70,,14.7,10,0.33299999999999996,18,0.389,7,50.8,30,0.52,15.3,12,36,0.47200000000000003,17,1.0,3,"Wintrust Arena, Chicago, Illinois",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,68.5,Home,DEPAUL,DePaul,Fairleigh Dickinson,northeast,1,False,False,False,Away,False,5,17,48,29,59,7,17,54,0,1,7,34,69,0.644927536231884,47,75,0.6266666666666667,11,8,67,0.3656716417910448,1.0
2,2019-11-13-19-fordham,50.0,9,2.8,1,79.1,70.3,26,0.37,50,0.36,18,0.34,17,0.765,13,2,200,74.6,29.0,9,18,50,,7.5,5,0.28,14,0.071,1,51.5,35,0.43,24.8,19,36,0.47200000000000003,17,0.33299999999999996,1,"November 13, 2019",65.0,13,5.6,2,74.6,71.0,22,0.39299999999999996,56,0.35700000000000004,20,0.304,17,0.529,9,0,200,79.1,29.7,11,15,53,,17.9,12,0.35700000000000004,20,0.2,4,48.5,33,0.414,17.0,13,36,0.444,16,1.0,2,"Rose Hill Gym, Bronx, New York",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,67.1,Home,FORDHAM,Fordham,Fairleigh Dickinson,northeast,2,False,False,False,Away,False,1,17,50,35,68,4,16,56,0,1,12,51,117,0.5897435897435898,76,134,0.5671641791044776,18,25,121,0.4297520661157025,0.5
3,2019-11-18-19-army,25.0,6,14.3,5,115.7,73.1,19,0.46,62,0.387,24,0.177,11,0.727,8,3,200,92.9,23.7,9,8,65,,10.0,7,0.46799999999999997,29,0.31,9,43.8,28,0.483,14.1,11,33,0.455,15,0.25,1,"November 18, 2019",68.8,22,3.0,1,92.9,76.3,29,0.653,59,0.542,32,0.136,8,0.5,4,2,200,115.7,26.9,7,12,81,,8.6,6,0.40700000000000003,24,0.542,13,56.3,36,0.645,18.3,14,35,0.5429999999999999,19,0.5,2,"Christl Arena, West Point, New York",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,69.5,Home,ARMY,Army,Fairleigh Dickinson,northeast,3,False,False,False,Away,False,9,15,62,28,64,13,19,59,0,1,13,68,167,0.5239520958083832,111,202,0.5495049504950495,22,41,177,0.4180790960451977,0.3333333333333333
4,2019-11-24-13-lafayette,40.7,11,8.8,3,119.4,60.0,15,0.615,52,0.519,27,0.365,19,0.579,11,4,200,111.9,20.8,5,17,75,,7.5,5,0.385,20,0.5,10,40.8,20,0.615,13.0,9,32,0.531,17,0.2,1,"November 24, 2019",58.6,17,6.3,2,111.9,79.2,19,0.579,57,0.509,29,0.316,18,0.778,14,2,200,119.4,40.0,10,19,80,,6.0,4,0.40399999999999997,23,0.348,8,59.2,29,0.61,17.7,14,34,0.618,21,0.667,4,"Kirby Sports Center, Easton, Pennsylvania",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,67.3,Home,LAFAYETTE,Lafayette,Fairleigh Dickinson,northeast,4,False,False,False,Away,False,10,17,52,20,49,8,21,57,0,1,22,83,229,0.5065502183406113,139,266,0.5225563909774437,35,60,236,0.4766949152542373,0.25
5,2019-11-26-19-notre-dame,45.8,11,5.3,2,133.8,61.8,21,0.43,64,0.375,24,0.25,16,0.688,11,5,200,97.1,26.2,11,17,66,,7.4,5,0.359,23,0.304,7,42.1,32,0.461,9.0,7,41,0.415,17,0.16699999999999998,1,"November 26, 2019",75.0,24,17.1,7,97.1,73.8,31,0.603,63,0.508,32,0.365,23,0.652,15,1,200,133.8,38.2,13,11,91,,7.4,5,0.397,25,0.48,12,57.9,44,0.615,8.7,7,38,0.526,20,0.857,6,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,67.8,Home,NOTRE-DAME,Notre Dame,Fairleigh Dickinson,northeast,5,False,False,False,Away,False,7,17,64,32,76,12,20,63,0,1,32,100,281,0.5266903914590747,159,315,0.5047619047619047,43,81,293,0.4965870307167236,0.2
6,2019-12-03-19-fairleigh-dickinson,48.4,15,5.3,2,108.3,82.8,24,0.5820000000000001,61,0.508,31,0.213,13,0.462,6,4,200,106.9,33.3,9,21,77,,2.8,2,0.45899999999999996,28,0.321,9,58.9,33,0.573,16.3,13,33,0.667,22,0.33299999999999996,2,"December 3, 2019",37.0,10,9.1,3,106.9,66.7,18,0.546,54,0.5,27,0.48100000000000004,26,0.731,19,5,200,108.3,17.2,5,13,78,,8.3,6,0.29600000000000004,16,0.313,5,41.1,23,0.588,14.4,11,38,0.579,22,0.28600000000000003,2,"Rothman Center, Teaneck, New Jersey",QUINNIPIAC,Quinnipiac,71.8,Home,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Fairleigh Dickinson,northeast,6,True,False,True,Home,True,5,22,54,23,56,9,22,61,1,0,39,117,345,0.508695652173913,191,391,0.4884910485933504,55,101,356,0.5154494382022472,0.16666666666666666
7,2019-12-07-16-kentucky,38.1,8,13.7,7,120.3,58.3,14,0.36200000000000004,65,0.32299999999999995,21,0.092,6,0.833,5,6,200,75.4,25.6,10,15,52,,2.9,2,0.369,24,0.20800000000000002,5,38.1,24,0.38299999999999995,14.0,11,41,0.39,16,0.25,2,"December 7, 2019",62.5,20,9.8,4,75.4,74.4,29,0.532,62,0.516,32,0.306,19,0.895,17,1,200,120.3,41.7,10,14,83,8.0,8.7,6,0.177,11,0.182,2,61.9,39,0.584,11.3,9,51,0.588,30,0.875,7,"Rupp Arena, Lexington, Kentucky",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,69.4,Home,KENTUCKY,Kentucky,Fairleigh Dickinson,northeast,7,False,False,False,Away,False,5,16,65,24,63,2,30,62,0,1,44,139,399,0.5137844611528822,214,447,0.4787472035794184,64,123,417,0.5251798561151079,0.2857142857142857
8,2019-12-11-19-saint-peters,45.5,10,12.1,4,128.4,48.1,13,0.44799999999999995,58,0.379,22,0.397,23,0.7829999999999999,18,7,200,104.5,23.1,9,21,70,,16.4,11,0.397,23,0.348,8,33.3,22,0.508,9.3,7,35,0.4,14,0.222,2,"December 11, 2019",57.7,15,14.3,5,104.5,76.9,30,0.61,50,0.52,26,0.62,31,0.8059999999999999,25,4,200,128.4,51.9,14,19,86,,6.0,4,0.34,17,0.529,9,66.7,44,0.664,20.1,16,33,0.515,17,0.33299999999999996,2,"Yanitelli Center, Jersey City, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,66.8,Home,SAINT-PETERS,St. Peter's,Fairleigh Dickinson,northeast,8,False,False,False,Away,False,8,14,58,22,66,9,17,50,0,1,49,155,464,0.4924568965517242,238,510,0.4666666666666667,66,153,479,0.5260960334029228,0.25
9,2019-12-14-13-fairleigh-dickinson,61.5,16,6.3,2,100.0,79.4,27,0.606,52,0.5,26,0.442,23,0.7390000000000001,17,7,200,123.1,45.8,11,19,80,,3.1,2,0.462,24,0.45799999999999996,11,65.5,38,0.636,19.5,15,28,0.536,15,0.222,2,"December 14, 2019",40.9,9,3.6,1,123.1,54.2,13,0.455,55,0.4,22,0.364,20,0.75,15,8,200,100.0,20.6,7,17,65,,9.2,6,0.418,23,0.261,6,34.5,20,0.504,8.6,6,32,0.5,16,0.2,2,"Rothman Center, Teaneck, New Jersey",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,65.2,Away,PRINCETON,Princeton,Fairleigh Dickinson,northeast,9,False,True,True,Home,False,6,16,55,20,58,11,15,52,0,1,57,169,522,0.4875478927203065,260,576,0.4513888888888889,75,170,529,0.5340264650283554,0.2222222222222222
