,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA_homegame,SOUTH-CAROLINA_homegame2,SOUTH-CAROLINA_home,SOUTH-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-south-carolina,46.7,7,12.5,6,92.8,71.0,22,0.262,61,0.24600000000000002,15,0.541,33,0.6970000000000001,23,1,200,66.3,32.5,13,30,55,,8.4,7,0.344,21,0.095,2,49.3,35,0.359,19.2,18,40,0.325,13,0.0,0,"November 6, 2019",46.4,13,12.5,5,66.3,67.5,27,0.509,57,0.491,28,0.632,36,0.528,19,0,200,92.8,29.0,9,27,77,,9.6,8,0.158,9,0.222,2,50.7,36,0.52,21.5,20,48,0.542,26,1.0,1,"The Colonial Life Arena, Columbia, South Carolina",NORTH-ALABAMA,North Alabama,83.4,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,0,True,False,True,Home,True,2,26,57,36,71,2,13,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-12-south-carolina,55.6,5,6.3,2,106.5,66.7,18,0.282,39,0.231,9,0.462,18,0.556,10,1,200,51.6,9.1,3,12,32,,3.2,2,0.436,17,0.235,4,35.0,21,0.336,23.0,14,22,0.22699999999999998,5,0.5,1,"November 10, 2019",56.0,14,22.7,5,51.6,90.9,30,0.5,59,0.424,25,0.203,12,0.583,7,0,200,106.5,33.3,9,20,66,,14.5,9,0.45799999999999996,27,0.33299999999999996,9,65.0,39,0.51,13.5,10,32,0.5,16,1.0,2,"The Colonial Life Arena, Columbia, South Carolina",WYOMING,Wyoming,62.1,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,1,True,False,True,Home,True,9,16,59,39,60,4,5,39,1,0,2,26,57,0.5087719298245614,36,71,0.5070422535211268,2,13,61,0.26229508196721313,1.0
2,2019-11-15-19-south-carolina,50.0,10,8.8,5,108.4,52.9,27,0.41200000000000003,51,0.392,20,0.529,27,0.778,21,3,200,75.9,31.0,9,29,63,,6.0,5,0.21600000000000005,11,0.182,2,45.0,36,0.494,31.6,29,40,0.45,18,0.25,1,"November 15, 2019",45.2,14,12.5,5,75.9,69.0,20,0.4270000000000001,82,0.37799999999999995,31,0.37799999999999995,31,0.645,20,0,200,108.4,47.1,24,20,90,,16.9,14,0.305,25,0.32,8,55.0,44,0.465,9.5,10,57,0.40399999999999997,23,1.0,3,"The Colonial Life Arena, Columbia, South Carolina",CLEVELAND-STATE,Cleveland State,83.3,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,2,True,False,True,Home,True,8,23,82,44,80,2,18,51,1,0,11,42,116,0.5043103448275862,75,131,0.5725190839694656,6,18,100,0.27,1.0
3,2019-11-19-19-south-carolina,55.6,15,4.4,2,94.6,62.5,25,0.4920000000000001,64,0.42200000000000004,27,0.344,22,0.682,15,2,200,105.4,30.6,11,17,78,,9.5,7,0.391,25,0.36,9,47.4,36,0.524,12.0,10,39,0.462,18,0.6,3,"November 19, 2019",51.9,14,12.8,5,105.4,69.4,25,0.433,67,0.40299999999999997,27,0.313,21,0.5710000000000001,12,1,200,94.6,37.5,15,16,70,,8.1,6,0.32799999999999996,22,0.182,4,52.6,40,0.455,13.6,12,45,0.511,23,0.75,3,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,73.7,Away,BOSTON-UNIVERSITY,Boston University,South Carolina,sec,3,False,True,True,Home,False,4,23,67,40,76,9,18,64,0,1,19,65,198,0.4722222222222222,119,211,0.5639810426540285,8,36,151,0.3178807947019868,1.0
4,2019-11-22-19-south-carolina,52.4,11,4.7,2,107.2,70.4,19,0.46299999999999997,54,0.389,21,0.40700000000000003,22,0.8640000000000001,19,5,200,100.0,14.8,4,21,69,,5.8,4,0.35200000000000004,19,0.42100000000000004,8,42.6,23,0.535,11.2,8,35,0.371,13,0.0,0,"November 22, 2019",63.0,17,25.7,9,100.0,85.2,23,0.47600000000000003,62,0.435,27,0.27399999999999997,17,0.882,15,1,200,107.2,29.6,8,17,74,,8.7,6,0.306,19,0.263,5,57.4,31,0.528,9.2,7,43,0.512,22,0.8,4,"The Colonial Life Arena, Columbia, South Carolina",GARDNER-WEBB,Gardner-Webb,68.8,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,4,True,False,True,Home,True,5,22,62,31,54,8,13,54,1,0,23,88,265,0.4622641509433962,159,287,0.554006968641115,17,54,215,0.3697674418604651,0.75
5,2019-11-26-18-south-carolina,73.9,17,6.5,3,64.4,74.4,29,0.473,56,0.41100000000000003,23,0.41100000000000003,23,0.7390000000000001,17,0,200,95.9,31.3,10,19,70,,12.3,9,0.48200000000000004,27,0.259,7,54.9,39,0.523,19.5,16,29,0.552,16,1.0,6,"November 26, 2019",44.4,8,13.8,4,95.9,68.8,22,0.348,56,0.321,18,0.304,17,0.47100000000000003,8,2,200,64.4,25.6,10,24,47,,12.3,9,0.179,10,0.3,3,45.1,32,0.3670000000000001,23.0,19,46,0.326,15,0.667,4,"Hard Rock Hotel Riviera Maya, Cancun",SOUTH-CAROLINA,South Carolina,73.0,Away,WICHITA-STATE,Wichita State,South Carolina,sec,5,False,True,True,Home,False,3,15,56,32,71,7,16,56,0,1,28,110,327,0.4648318042813456,190,341,0.5571847507331378,25,67,269,0.3884758364312267,0.8
6,2019-11-27-18-northern-iowa,43.3,13,12.9,4,111.4,80.0,20,0.5579999999999999,60,0.5,30,0.183,11,0.455,5,3,200,102.9,20.0,5,21,72,,10.0,7,0.317,19,0.368,7,50.0,25,0.552,12.2,9,41,0.561,23,0.5710000000000001,4,"November 27, 2019",36.0,9,0.0,0,102.9,80.0,20,0.569,51,0.49,25,0.47100000000000003,24,0.833,20,1,200,111.4,20.0,5,12,78,,4.3,3,0.392,20,0.4,8,50.0,25,0.625,18.5,14,31,0.5479999999999999,17,0.875,7,"Hard Rock Hotel Riviera Maya, Cancun",SOUTH-CAROLINA,South Carolina,70.3,Home,NORTHERN-IOWA,Northern Iowa,South Carolina,sec,6,False,False,False,Away,False,7,23,60,25,50,8,17,51,0,1,31,125,383,0.44778067885117495,222,412,0.5388349514563107,32,83,325,0.4030769230769231,0.6666666666666666
7,2019-12-01-14-south-carolina,43.5,10,7.0,3,107.2,67.9,19,0.391,69,0.33299999999999996,23,0.217,15,0.733,11,5,200,94.2,23.3,10,15,65,,10.1,7,0.522,36,0.222,8,40.8,29,0.4270000000000001,5.0,4,33,0.455,15,0.375,3,"December 1, 2019",53.3,16,18.2,6,94.2,76.7,33,0.5529999999999999,57,0.526,30,0.316,18,0.611,11,3,200,107.2,32.1,9,14,74,,1.4,1,0.24600000000000002,14,0.214,3,59.2,42,0.564,15.6,12,43,0.628,27,0.625,5,"The Colonial Life Arena, Columbia, South Carolina",GEORGE-WASHINGTON,George Washington,69.3,Home,SOUTH-CAROLINA,South Carolina,South Carolina,sec,7,True,False,True,Home,True,3,27,57,42,71,8,15,69,1,0,38,148,443,0.4627539503386005,247,462,0.5346320346320347,40,100,376,0.425531914893617,0.5714285714285714
8,2019-12-04-19-massachusetts,66.7,22,7.7,2,102.6,73.1,19,0.5670000000000001,60,0.55,33,0.433,26,0.615,16,3,200,107.7,30.0,9,26,84,,11.5,9,0.16699999999999998,10,0.2,2,50.0,28,0.581,17.4,15,50,0.62,31,0.667,6,"December 4, 2019",69.6,16,8.0,4,107.7,70.0,21,0.5710000000000001,49,0.469,23,0.6940000000000001,34,0.706,24,4,200,102.6,26.9,7,24,80,,9.0,7,0.469,23,0.435,10,50.0,28,0.614,22.9,19,26,0.5,13,0.556,5,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,77.8,Away,SOUTH-CAROLINA,South Carolina,South Carolina,sec,8,False,False,False,Away,True,2,31,60,28,56,10,13,49,1,0,41,175,500,0.473,289,533,0.5422138836772983,48,115,445,0.4202247191011236,0.625
9,2019-12-08-12-south-carolina,61.5,16,16.2,6,82.4,76.5,26,0.5870000000000001,52,0.5,26,0.423,22,0.682,15,2,200,111.8,42.9,12,15,76,,2.9,2,0.327,17,0.529,9,61.3,38,0.608,20.6,16,35,0.486,17,0.7140000000000001,5,"December 8, 2019",70.0,14,11.4,4,111.8,57.1,16,0.371,62,0.32299999999999995,20,0.258,16,0.625,10,4,200,82.4,23.5,8,20,56,,5.9,4,0.40299999999999997,25,0.24,6,38.7,24,0.402,10.4,8,37,0.37799999999999995,14,0.6,6,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,68.0,Away,HOUSTON,Houston,South Carolina,sec,9,False,True,True,Home,False,6,14,62,24,62,9,17,52,0,1,43,206,560,0.4830357142857143,317,589,0.5382003395585738,58,128,494,0.4352226720647773,0.6666666666666666
