,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,AUBURN_homegame,AUBURN_homegame2,AUBURN_home,AUBURN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-auburn,29.6,8,5.6,2,102.5,67.7,21,0.518,57,0.474,27,0.368,21,0.7140000000000001,15,1,200,91.4,12.1,4,21,74,,12.3,10,0.316,18,0.278,5,39.1,25,0.552,21.4,18,39,0.564,22,0.0,0,"November 5, 2019",44.8,13,5.1,2,91.4,87.9,29,0.56,58,0.5,29,0.431,25,0.72,18,0,200,102.5,32.3,10,21,83,24.0,7.4,6,0.379,22,0.318,7,60.9,39,0.594,23.3,21,36,0.611,22,1.0,1,"Auburn Arena, Auburn, Alabama",GEORGIA-SOUTHERN,Georgia Southern,80.9,Home,AUBURN,Auburn,Auburn,sec,0,True,False,True,Home,True,7,22,58,39,64,5,22,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-18-davidson,45.8,11,18.5,5,89.2,77.8,28,0.54,49,0.49,24,0.7,37,0.622,23,0,200,102.7,23.1,6,21,77,24.0,4.1,3,0.48,24,0.25,6,54.8,34,0.57,17.6,14,25,0.72,18,1.0,2,"November 8, 2019",61.1,11,0.0,0,102.7,76.9,20,0.418,55,0.327,18,0.418,23,0.87,20,1,200,89.2,22.2,8,27,66,,10.8,8,0.509,28,0.35700000000000004,10,45.2,28,0.501,18.7,15,27,0.29600000000000004,8,0.0,0,"Alumni Hall, Annapolis, Maryland",DAVIDSON,Davidson,73.8,Away,AUBURN,Auburn,Auburn,sec,1,False,False,False,Away,True,6,18,49,34,62,10,8,55,1,0,7,22,58,0.5603448275862069,39,64,0.609375,5,22,57,0.5175438596491229,1.0
2,2019-11-12-20-south-alabama,54.2,13,11.4,5,106.2,65.7,23,0.537,54,0.444,24,0.40700000000000003,22,0.545,12,0,200,107.7,27.8,10,16,70,22.0,4.6,3,0.444,24,0.41700000000000004,10,46.5,33,0.5429999999999999,14.7,11,30,0.467,14,1.0,3,"November 12, 2019",42.3,11,10.0,3,107.7,72.2,26,0.4920000000000001,59,0.441,26,0.28800000000000003,17,0.647,11,1,200,106.2,34.3,12,21,69,,12.3,8,0.254,15,0.4,6,53.5,38,0.514,11.9,9,44,0.455,20,0.667,2,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,64.8,Away,AUBURN,Auburn,Auburn,sec,2,False,False,False,Away,True,10,14,54,33,71,6,20,59,1,0,13,40,107,0.5560747663551402,73,126,0.5793650793650794,15,30,112,0.46875,1.0
3,2019-11-15-19-auburn,61.5,16,7.7,3,138.1,63.3,19,0.414,76,0.342,26,0.132,10,0.7,7,4,200,83.3,18.4,9,14,70,,8.3,7,0.382,29,0.379,11,35.4,28,0.433,14.8,14,47,0.319,15,0.0,0,"November 15, 2019",64.3,27,23.4,11,83.3,81.6,40,0.682,74,0.568,42,0.21600000000000005,16,0.938,15,0,200,138.1,36.7,11,14,116,22.0,9.5,8,0.473,35,0.486,17,64.6,51,0.711,12.0,11,39,0.6409999999999999,25,1.0,4,"Auburn Arena, Auburn, Alabama",CAL-STATE-NORTHRIDGE,Cal State Northridge,83.7,Home,AUBURN,Auburn,Auburn,sec,3,True,False,True,Home,True,17,25,74,51,79,11,15,76,1,0,23,54,161,0.5496894409937888,106,197,0.5380710659898477,21,50,171,0.4766081871345029,1.0
4,2019-11-18-20-auburn,26.9,7,0.0,0,126.4,65.6,21,0.43799999999999994,65,0.4,26,0.10800000000000001,7,0.7140000000000001,5,3,200,86.1,25.0,8,14,62,,9.7,7,0.369,24,0.20800000000000002,5,45.3,29,0.45399999999999996,13.9,11,41,0.512,21,0.25,1,"November 18, 2019",40.0,14,22.0,9,86.1,75.0,24,0.606,66,0.53,35,0.22699999999999998,15,0.733,11,0,200,126.4,34.4,11,14,91,19.0,9.7,7,0.424,28,0.35700000000000004,10,54.7,35,0.622,12.1,10,38,0.6579999999999999,25,1.0,5,"Auburn Arena, Auburn, Alabama",COLGATE,Colgate,71.7,Home,AUBURN,Auburn,Auburn,sec,4,True,False,True,Home,True,10,25,66,35,64,5,21,65,1,0,40,79,235,0.5914893617021276,157,276,0.5688405797101449,32,65,247,0.4574898785425101,1.0
5,2019-11-25-21-new-mexico,56.3,18,14.0,6,76.6,65.0,26,0.5,76,0.42100000000000004,32,0.263,20,0.4,8,0,200,109.1,40.0,18,16,84,18.0,18.2,14,0.5,38,0.316,12,51.8,44,0.491,10.5,10,38,0.526,20,1.0,6,"November 25, 2019",60.0,15,2.6,1,109.1,60.0,27,0.435,62,0.40299999999999997,25,0.145,9,0.556,5,2,200,76.6,35.0,14,20,59,,7.8,6,0.306,19,0.21100000000000002,4,48.2,41,0.445,26.7,24,43,0.488,21,0.7140000000000001,5,"Barclays Center, Brooklyn, New York",NEW-MEXICO,New Mexico,76.9,Away,AUBURN,Auburn,Auburn,sec,5,False,False,False,Away,True,12,20,76,44,85,4,21,62,1,0,50,104,301,0.5946843853820598,192,340,0.5647058823529412,37,86,312,0.45352564102564097,1.0
6,2019-11-26-19-richmond,46.2,12,8.5,4,90.3,73.5,25,0.475,60,0.433,26,0.517,31,0.71,22,0,200,109.7,43.2,16,17,79,18.0,9.7,7,0.317,19,0.263,5,57.7,41,0.529,15.0,13,41,0.512,21,1.0,7,"November 26, 2019",25.0,7,4.9,2,109.7,56.8,21,0.446,65,0.431,28,0.138,9,0.778,7,1,200,90.3,26.5,9,21,65,,6.9,5,0.27699999999999997,18,0.111,2,42.3,30,0.469,14.8,12,47,0.5529999999999999,26,0.833,5,"Barclays Center, Brooklyn, New York",RICHMOND,Richmond,72.0,Away,AUBURN,Auburn,Auburn,sec,6,False,False,False,Away,True,5,21,60,41,71,2,26,65,1,0,62,124,377,0.5755968169761273,236,425,0.5552941176470588,41,107,374,0.4505347593582888,1.0
7,2019-12-05-21-auburn,46.4,13,2.7,1,101.3,64.5,20,0.5660000000000001,61,0.45899999999999996,28,0.213,13,0.6920000000000001,9,3,225,97.5,12.5,4,27,78,,13.8,11,0.508,31,0.419,13,38.1,24,0.581,17.3,14,30,0.5,15,0.7,7,"December 5, 2019",48.3,14,20.0,6,97.5,87.5,28,0.5,62,0.46799999999999997,29,0.46799999999999997,29,0.655,19,0,225,101.3,35.5,11,14,81,14.0,7.5,6,0.40299999999999997,25,0.16,4,61.9,39,0.534,20.3,19,37,0.6759999999999999,25,1.0,8,"Auburn Arena, Auburn, Alabama",FURMAN,Furman,71.5,Home,AUBURN,Auburn,Auburn,sec,7,True,False,True,Home,True,4,25,62,39,63,13,15,61,1,0,67,145,437,0.5617848970251716,277,496,0.5584677419354839,43,133,439,0.4498861047835991,1.0
8,2019-12-14-16-auburn,32.0,8,8.3,3,98.5,62.2,28,0.402,66,0.379,25,0.28800000000000003,19,0.42100000000000004,8,2,200,89.7,42.1,16,18,61,,2.9,2,0.273,18,0.16699999999999998,3,53.0,44,0.40700000000000003,12.9,11,48,0.45799999999999996,22,0.8,8,"December 14, 2019",45.5,10,16.7,8,89.7,57.9,22,0.435,62,0.355,22,0.452,28,0.46399999999999997,13,0,200,98.5,37.8,17,17,67,12.0,7.4,5,0.419,26,0.385,10,47.0,39,0.445,8.6,7,36,0.33299999999999996,12,1.0,9,"Legacy Arena, Birmingham, Alabama",SAINT-LOUIS,Saint Louis,67.7,Home,AUBURN,Auburn,Auburn,sec,8,True,False,True,Home,True,10,12,62,39,83,3,22,66,1,0,71,170,499,0.5541082164328658,316,559,0.5652951699463328,56,148,500,0.46399999999999997,1.0
9,2019-12-19-21-auburn,44.4,12,8.1,3,98.8,75.7,28,0.484,63,0.429,27,0.317,20,0.6,12,3,200,91.3,30.6,11,28,73,,12.5,10,0.317,20,0.35,7,53.4,39,0.503,20.0,18,43,0.465,20,0.727,8,"December 19, 2019",52.0,13,11.6,5,91.3,69.4,25,0.5,56,0.446,25,0.643,36,0.639,23,0,200,98.8,24.3,9,22,79,12.0,13.8,11,0.33899999999999997,19,0.316,6,46.6,34,0.54,19.1,17,37,0.514,19,1.0,10,"Auburn Arena, Auburn, Alabama",NORTH-CAROLINA-STATE,NC State,80.3,Home,AUBURN,Auburn,Auburn,sec,9,True,False,True,Home,True,6,19,56,34,73,7,20,63,1,0,81,182,561,0.5409982174688057,355,642,0.5529595015576324,59,170,566,0.456713780918728,1.0
