,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MERRIMACK_homegame,MERRIMACK_homegame2,MERRIMACK_home,MERRIMACK_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,36.4,8,3.1,1,125.4,57.1,12,0.391,64,0.344,22,0.266,17,0.8240000000000001,14,1,200,95.5,35.9,14,22,64,,10.4,7,0.453,29,0.207,6,43.3,26,0.444,12.3,10,35,0.457,16,0.0,0,"November 6, 2019",75.0,21,17.1,6,95.5,64.1,25,0.62,50,0.56,28,0.54,27,0.815,22,0,200,125.4,42.9,9,15,84,,6.0,4,0.36,18,0.333,6,56.7,34,0.669,17.4,13,32,0.688,22,1.0,1,"Cross Insurance Center, Bangor, Maine",MERRIMACK,Merrimack,67.5,Home,MAINE,Maine,Merrimack,northeast,0,False,False,False,Away,False,6,16,64,26,60,6,22,50,0,1,0,0,0,,0,0,,0,0,0,,
1,68.2,15,5.4,2,89.7,75.0,24,0.541,49,0.449,22,0.51,25,0.72,18,1,200,104.4,14.3,4,19,71,,13.2,9,0.5920000000000001,29,0.31,9,46.7,28,0.583,14.3,10,20,0.65,13,0.5,1,"November 8, 2019",70.0,14,10.0,2,104.4,85.7,24,0.396,53,0.377,20,0.453,24,0.792,19,1,200,89.7,25.0,8,19,61,,1.5,1,0.302,16,0.125,2,53.3,32,0.474,17.0,13,37,0.486,18,0.0,0,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,68.1,Away,MERRIMACK,Merrimack,Merrimack,northeast,1,False,False,False,Away,True,9,13,49,28,60,2,18,53,1,0,6,16,64,0.390625,26,60,0.43333333333333335,6,22,50,0.62,0.0
2,47.1,8,10.3,3,90.2,63.3,19,0.396,53,0.321,17,0.094,5,0.8,4,2,200,75.4,6.1,2,14,46,,16.4,10,0.5660000000000001,30,0.267,8,33.3,21,0.415,12.7,8,23,0.391,9,0.333,1,"November 15, 2019",60.0,12,8.7,2,75.4,93.9,31,0.479,48,0.417,20,0.333,16,0.563,9,0,200,90.2,36.7,11,10,55,,3.3,2,0.396,19,0.316,6,66.7,42,0.495,22.5,16,29,0.483,14,1.0,3,"Costello Athletic Center, Lowell, Massachusetts",MERRIMACK,Merrimack,61.0,Home,DARTMOUTH,Dartmouth,Merrimack,northeast,2,False,False,False,Away,False,8,9,53,21,63,6,14,48,0,1,15,29,113,0.4557522123893805,54,120,0.45,8,40,103,0.5048543689320388,0.5
3,52.2,12,2.7,1,93.5,60.0,15,0.442,60,0.383,23,0.183,11,0.636,7,2,200,96.8,35.9,14,17,60,,19.4,12,0.35,21,0.333,7,45.3,29,0.46,12.2,9,39,0.41,16,0.5,2,"November 16, 2019",60.9,14,7.7,3,96.8,64.1,25,0.51,48,0.479,23,0.292,14,0.643,9,4,200,93.5,40.0,10,14,58,,4.8,3,0.229,11,0.273,3,54.7,35,0.531,27.0,20,37,0.541,20,0.333,2,"Costello Athletic Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,62.4,Away,MERRIMACK,Merrimack,Merrimack,northeast,3,False,False,False,Away,True,7,16,60,29,64,3,20,48,1,0,23,38,166,0.4367469879518072,75,183,0.4098360655737705,14,54,151,0.4966887417218543,0.3333333333333333
4,58.8,10,17.4,4,91.5,88.0,22,0.394,47,0.362,17,0.213,10,0.7,7,3,200,74.6,35.7,10,10,44,,10.2,6,0.362,17,0.17600000000000002,3,60.4,32,0.425,23.7,16,30,0.467,14,0.5,3,"November 17, 2019",66.7,12,6.7,2,74.6,64.3,18,0.489,47,0.383,18,0.213,10,0.8,8,2,200,91.5,12.0,3,11,54,,16.9,10,0.511,24,0.417,10,39.6,21,0.522,17.6,11,23,0.348,8,0.6,3,"Costello Athletic Center, Lowell, Massachusetts",JACKSONVILLE,Jacksonville,58.8,Home,MERRIMACK,Merrimack,Merrimack,northeast,4,True,False,True,Home,True,10,8,47,21,53,3,14,47,1,0,30,54,226,0.4380530973451328,104,247,0.42105263157894735,17,74,199,0.5,0.5
5,75.0,15,0.0,0,125.7,73.3,22,0.472,53,0.377,20,0.208,11,0.545,6,3,200,75.7,8.8,3,23,56,,9.5,7,0.5660000000000001,30,0.333,10,39.1,25,0.481,23.7,18,23,0.435,10,0.5,3,"November 19, 2019",73.3,22,17.4,4,75.7,91.2,31,0.618,55,0.545,30,0.6729999999999999,37,0.6759999999999999,25,1,200,125.7,26.7,8,12,93,,14.9,11,0.29100000000000004,16,0.5,8,60.9,39,0.6409999999999999,12.3,10,39,0.564,22,0.8,4,"Dunkin' Donuts Center, Providence, Rhode Island",MERRIMACK,Merrimack,73.9,Home,PROVIDENCE,Providence,Merrimack,northeast,5,False,False,False,Away,False,10,10,53,25,64,8,22,55,0,1,40,62,273,0.4468864468864469,125,300,0.4166666666666667,20,88,246,0.4796747967479675,0.6
6,80.0,4,3.4,1,142.9,76.5,26,0.13,50,0.1,5,0.14,7,0.429,3,0,200,20.8,29.3,12,12,16,,1.3,1,0.34,17,0.17600000000000002,3,50.7,38,0.15,39.7,35,33,0.061,2,0.0,0,"November 22, 2019",75.0,30,33.3,11,20.8,70.7,29,0.6579999999999999,76,0.526,40,0.145,11,0.909,10,3,200,142.9,23.5,8,9,110,,33.8,26,0.618,47,0.426,20,49.3,37,0.677,5.8,5,29,0.69,20,0.5710000000000001,4,"Hammel Court, North Andover, Massachusetts","Lesley
			","Lesley
			",77.3,Home,MERRIMACK,Merrimack,Merrimack,northeast,6,True,False,True,Home,True,20,20,76,37,75,3,2,50,1,0,50,72,326,0.45092024539877296,150,364,0.4120879120879121,28,110,301,0.5049833887043189,0.5
7,29.2,7,16.0,4,86.6,76.0,19,0.481,53,0.453,24,0.302,16,0.688,11,3,200,92.5,13.3,4,21,62,,14.9,10,0.358,19,0.158,3,41.8,23,0.512,15.5,11,34,0.618,21,0.625,5,"November 24, 2019",68.4,13,2.9,1,92.5,86.7,26,0.489,44,0.4320000000000001,19,0.5,22,0.682,15,3,200,86.6,24.0,6,17,58,,7.5,5,0.4320000000000001,19,0.263,5,58.2,32,0.5329999999999999,25.1,18,25,0.56,14,0.5710000000000001,4,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,67.0,Away,MERRIMACK,Merrimack,Merrimack,northeast,7,False,False,False,Away,True,3,21,53,23,55,5,14,44,1,0,70,92,402,0.4900497512437811,187,439,0.42596810933940776,31,112,351,0.4515669515669516,0.5714285714285714
8,35.0,7,5.3,2,98.5,75.0,18,0.368,57,0.35100000000000003,20,0.175,10,0.5,5,4,200,72.3,25.0,9,18,47,,12.3,8,0.35100000000000003,20,0.1,2,45.0,27,0.381,16.3,12,37,0.486,18,0.556,5,"November 29, 2019",60.0,15,16.2,6,72.3,75.0,27,0.55,50,0.5,25,0.22,11,0.818,9,2,200,98.5,25.0,6,14,64,,10.8,7,0.24,12,0.417,5,55.0,33,0.579,22.6,16,38,0.526,20,0.7140000000000001,5,"James A. Rhodes Arena, Akron, Ohio",MERRIMACK,Merrimack,65.0,Home,AKRON,Akron,Merrimack,northeast,8,False,False,False,Away,False,2,18,57,27,60,5,20,50,0,1,73,113,455,0.489010989010989,210,494,0.4251012145748988,36,126,395,0.4556962025316456,0.625
9,34.8,8,10.0,4,113.9,45.5,15,0.425,60,0.383,23,0.1,6,0.667,4,5,200,76.4,13.9,5,23,55,,12.5,9,0.417,25,0.2,5,29.0,20,0.438,19.3,15,35,0.514,18,0.5,5,"December 4, 2019",69.0,20,22.9,8,76.4,86.1,31,0.532,63,0.46,29,0.333,21,0.7140000000000001,15,3,200,113.9,54.5,18,15,82,,13.9,10,0.365,23,0.391,9,71.0,49,0.562,19.0,17,40,0.5,20,0.625,5,"Pizzitola Sports Center, Providence, Rhode Island",MERRIMACK,Merrimack,72.4,Home,BROWN,Brown,Merrimack,northeast,9,False,False,False,Away,False,5,18,60,20,69,9,20,63,0,1,75,131,512,0.4755859375,237,554,0.42779783393501797,41,146,445,0.4662921348314607,0.5555555555555556
10,50.0,11,2.9,1,104.5,76.7,23,0.51,48,0.458,22,0.354,17,0.647,11,5,200,90.9,26.9,7,18,60,,4.5,3,0.354,17,0.294,5,53.6,30,0.535,22.4,16,31,0.5479999999999999,17,0.444,4,"December 11, 2019",60.0,15,6.5,2,90.9,73.1,19,0.518,56,0.446,25,0.304,17,0.647,11,5,200,104.5,23.3,7,12,69,,12.1,8,0.393,22,0.364,8,46.4,26,0.5379999999999999,13.6,10,34,0.5,17,0.545,6,"Hammel Court, North Andover, Massachusetts",ARMY,Army,66.1,Home,MERRIMACK,Merrimack,Merrimack,northeast,10,True,False,True,Home,True,8,17,56,26,56,5,17,48,1,0,80,149,572,0.4702797202797202,257,623,0.4125200642054575,50,166,508,0.4744094488188976,0.5
