,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOSTON-COLLEGE_homegame,BOSTON-COLLEGE_homegame2,BOSTON-COLLEGE_home,BOSTON-COLLEGE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-18-boston-college,46.2,12,2.3,1,102.7,80.6,29,0.46,62,0.419,26,0.27399999999999997,17,0.765,13,1,200,93.3,32.4,11,23,70,,2.7,2,0.226,14,0.35700000000000004,5,57.1,40,0.499,19.7,17,48,0.43799999999999994,21,0.0,0,"November 6, 2019",48.1,13,6.3,3,93.3,67.6,23,0.484,62,0.435,27,0.435,27,0.63,17,0,200,102.7,19.4,7,20,77,,12.0,9,0.29,18,0.33299999999999996,6,42.9,30,0.515,7.5,6,44,0.47700000000000004,21,1.0,1,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",WAKE-FOREST,Wake Forest,75.0,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,0,True,False,True,Home,True,6,21,62,30,70,5,21,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-12-south-florida,64.0,16,14.7,5,78.9,71.1,27,0.58,50,0.5,25,0.48,24,0.667,16,0,200,97.4,39.3,11,15,74,,11.8,9,0.42,21,0.381,8,57.6,38,0.603,29.2,25,29,0.586,17,1.0,2,"November 10, 2019",22.7,5,13.8,4,97.4,60.7,17,0.41,61,0.361,22,0.295,18,0.556,10,1,200,78.9,28.9,11,23,60,,23.7,18,0.44299999999999995,27,0.222,6,42.4,28,0.431,21.6,19,34,0.47100000000000003,16,0.5,1,"Sun Dome, Tampa, Florida",SOUTH-FLORIDA,South Florida,76.5,Away,BOSTON-COLLEGE,Boston College,Boston College,acc,1,False,False,False,Away,True,8,17,50,38,66,6,16,61,1,0,6,21,62,0.4838709677419355,30,70,0.42857142857142855,5,21,62,0.4596774193548387,1.0
2,2019-11-13-19-boston-college,50.0,6,7.5,3,81.9,75.0,30,0.292,48,0.25,12,0.16699999999999998,8,0.625,5,3,200,45.8,25.7,9,15,33,,8.3,6,0.396,19,0.21100000000000002,4,52.0,39,0.319,35.2,28,29,0.276,8,0.0,0,"November 13, 2019",54.2,13,10.3,3,45.8,74.3,26,0.392,65,0.369,24,0.2,13,0.615,8,0,200,81.9,25.0,10,13,59,,22.2,16,0.385,25,0.12,3,48.0,36,0.414,15.5,13,40,0.525,21,1.0,3,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",HIGH-POINT,High Point,72.5,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,2,True,False,True,Home,True,3,21,65,36,75,4,8,48,1,0,14,38,112,0.5267857142857143,68,136,0.5,11,37,123,0.4349593495934959,1.0
3,2019-11-16-14-boston-college,63.6,21,4.9,2,111.8,95.5,21,0.653,62,0.532,33,0.355,22,0.8640000000000001,19,1,200,131.6,34.5,10,16,100,,7.9,6,0.419,26,0.5770000000000001,15,60.8,31,0.69,15.4,13,36,0.5,18,0.667,2,"November 16, 2019",54.5,18,2.8,1,131.6,65.5,19,0.627,59,0.5589999999999999,33,0.22,13,0.846,11,1,200,111.8,4.5,1,15,85,,9.2,7,0.305,18,0.444,8,39.2,20,0.652,15.6,12,41,0.61,25,0.75,3,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,75.8,Away,BELMONT,Belmont,Boston College,acc,3,False,True,True,Home,False,8,25,59,20,51,15,18,62,0,1,17,59,177,0.4774011299435028,104,211,0.4928909952606635,15,45,171,0.3947368421052632,1.0
4,2019-11-20-19-boston-college,53.8,14,2.6,1,92.3,77.1,27,0.47100000000000003,69,0.377,26,0.087,6,0.5,3,2,200,87.2,17.9,7,19,68,,10.3,8,0.551,38,0.342,13,45.9,34,0.473,17.3,15,31,0.419,13,0.5,2,"November 20, 2019",60.9,14,12.9,4,87.2,82.1,32,0.465,57,0.40399999999999997,23,0.456,26,0.731,19,1,200,92.3,22.9,8,11,72,,12.8,10,0.33299999999999996,19,0.368,7,54.1,40,0.519,17.0,14,38,0.42100000000000004,16,0.8,4,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",EASTERN-WASHINGTON,Eastern Washington,77.6,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,4,True,False,True,Home,True,7,16,57,40,74,13,13,69,1,0,25,84,236,0.5148305084745762,124,262,0.4732824427480916,30,63,233,0.46351931330472107,0.75
5,2019-11-23-12-boston-college,57.7,15,21.9,7,89.3,88.2,30,0.46,63,0.413,26,0.28600000000000003,18,0.778,14,0,200,96.0,43.8,14,19,72,,6.7,5,0.28600000000000003,18,0.33299999999999996,6,66.7,44,0.503,18.4,16,45,0.444,20,1.0,6,"November 23, 2019",60.0,12,15.6,7,96.0,56.3,18,0.446,56,0.35700000000000004,20,0.33899999999999997,19,0.895,17,2,200,89.3,11.8,4,15,67,,10.7,8,0.429,24,0.41700000000000004,10,33.3,22,0.515,19.9,16,32,0.313,10,0.667,4,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,75.3,Away,DEPAUL,DePaul,Boston College,acc,5,False,True,True,Home,False,10,10,56,22,66,6,20,63,0,1,32,100,293,0.5051194539249146,164,336,0.4880952380952381,43,76,302,0.4652317880794702,0.8
6,2019-11-27-14-boston-college,39.1,9,8.3,3,73.0,83.8,31,0.39799999999999996,64,0.359,23,0.359,23,0.565,13,1,200,86.5,33.3,15,17,64,,13.5,10,0.297,19,0.263,5,56.1,46,0.4270000000000001,16.8,15,45,0.4,18,0.857,6,"November 27, 2019",47.4,9,6.7,3,86.5,66.7,30,0.40700000000000003,54,0.35200000000000004,19,0.29600000000000004,16,0.625,10,3,200,73.0,16.2,6,19,54,,12.2,9,0.33299999999999996,18,0.33299999999999996,6,43.9,36,0.43799999999999994,22.8,18,36,0.361,13,0.5710000000000001,4,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,74.3,Away,SAINT-LOUIS,Saint Louis,Boston College,acc,6,False,True,True,Home,False,6,13,54,36,82,5,18,64,0,1,42,110,349,0.495702005730659,186,402,0.4626865671641791,49,96,365,0.4643835616438356,0.6666666666666666
7,2019-11-30-14-richmond,68.8,11,8.8,3,94.1,90.6,29,0.355,55,0.29100000000000004,16,0.2,11,0.455,5,4,200,64.7,23.8,10,6,44,,2.9,2,0.509,28,0.25,7,52.7,39,0.365,21.1,16,27,0.33299999999999996,9,0.5,4,"November 30, 2019",72.0,18,7.4,2,64.7,76.2,32,0.509,58,0.431,25,0.086,5,1.0,5,1,200,94.1,9.4,3,13,64,,16.2,11,0.414,24,0.375,9,47.3,35,0.53,17.8,13,34,0.47100000000000003,16,0.857,6,"Robins Center, Richmond, Virginia",BOSTON-COLLEGE,Boston College,68.3,Home,RICHMOND,Richmond,Boston College,acc,7,False,False,False,Away,False,7,9,55,39,74,9,16,58,0,1,48,123,403,0.4838709677419355,222,484,0.4586776859504133,54,114,429,0.4545454545454545,0.5714285714285714
8,2019-12-03-19-boston-college,56.3,18,0.0,0,94.1,83.9,26,0.664,55,0.5820000000000001,32,0.182,10,0.9,9,3,200,120.6,33.3,6,15,82,,7.4,5,0.364,20,0.45,9,65.3,32,0.6859999999999999,18.0,13,35,0.657,23,0.5710000000000001,4,"December 3, 2019",53.8,14,2.9,1,120.6,66.7,12,0.517,58,0.44799999999999995,26,0.155,9,0.444,4,5,200,94.1,16.1,5,12,64,,7.4,5,0.466,27,0.29600000000000004,8,34.7,17,0.514,15.1,11,31,0.581,18,0.444,4,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,67.5,Away,NORTHWESTERN,Northwestern,Boston College,acc,8,False,True,True,Home,False,8,18,58,17,49,9,23,55,0,1,55,132,458,0.4683406113537118,261,558,0.4677419354838709,63,130,487,0.4609856262833675,0.5
9,2019-12-07-14-notre-dame,43.3,13,0.0,0,100.0,71.0,22,0.5820000000000001,61,0.4920000000000001,30,0.066,4,0.5,2,5,200,101.4,28.1,9,21,73,,9.7,7,0.377,23,0.478,11,49.2,31,0.58,20.3,16,38,0.5,19,0.5,5,"December 7, 2019",69.6,16,10.5,4,101.4,71.9,23,0.466,58,0.397,23,0.397,23,0.7829999999999999,18,3,200,100.0,29.0,9,13,72,,6.9,5,0.5,29,0.276,8,50.8,32,0.522,18.0,15,29,0.517,15,0.667,6,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,72.4,Away,BOSTON-COLLEGE,Boston College,Boston College,acc,9,False,False,False,Away,True,11,19,61,31,63,8,15,58,1,0,63,150,516,0.4738372093023256,278,607,0.4579901153212521,72,153,542,0.481549815498155,0.4444444444444444
