,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DELAWARE-STATE_homegame,DELAWARE-STATE_homegame2,DELAWARE-STATE_home,DELAWARE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-delaware-state,46.7,14,6.1,2,73.0,90.0,36,0.586,58,0.517,30,0.36200000000000004,21,0.619,13,0,200,109.5,29.0,9,16,81,,5.4,4,0.345,20,0.4,8,63.4,45,0.596,17.2,14,38,0.579,22,1.0,2,"November 8, 2019",40.0,8,0.0,0,109.5,71.0,22,0.371,62,0.32299999999999995,20,0.21,13,0.615,8,1,200,73.0,10.0,4,14,54,,8.1,6,0.46799999999999997,29,0.207,6,36.6,26,0.396,14.0,11,33,0.424,14,0.0,0,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,74.1,Away,RIDER,Rider,Delaware State,meac,0,False,True,True,Home,False,6,14,62,26,71,8,22,58,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-19-manhattan,59.1,13,11.5,3,103.7,73.0,27,0.5429999999999999,47,0.46799999999999997,22,0.6809999999999999,32,0.7190000000000001,23,2,200,90.2,18.5,5,28,74,,7.3,6,0.38299999999999995,18,0.389,7,50.0,32,0.595,29.0,25,29,0.517,15,0.0,0,"November 12, 2019",70.8,17,13.8,4,90.2,81.5,22,0.475,59,0.40700000000000003,24,0.627,37,0.784,29,0,200,103.7,27.0,10,25,85,,19.5,16,0.5589999999999999,33,0.242,8,50.0,32,0.555,16.6,15,26,0.615,16,1.0,1,"Draddy Gymnasium, Riverdale, New York",DELAWARE-STATE,Delaware State,81.9,Home,MANHATTAN,Manhattan,Delaware State,meac,1,False,False,False,Away,False,7,15,47,32,64,8,16,59,0,1,6,14,62,0.3709677419354839,26,71,0.3661971830985916,8,22,58,0.5862068965517241,0.0
2,2019-11-15-19-georgia,24.0,6,4.3,2,135.1,51.7,15,0.491,57,0.439,25,0.281,16,0.625,10,3,201,89.2,27.3,9,20,66,,6.8,5,0.281,16,0.375,6,38.7,24,0.511,21.0,17,41,0.46299999999999997,19,0.0,0,"November 15, 2019",75.0,30,4.9,2,89.2,72.7,24,0.649,67,0.597,40,0.358,24,0.542,13,0,201,135.1,48.3,14,16,100,,17.6,13,0.299,20,0.35,7,61.3,38,0.638,12.4,11,47,0.7020000000000001,33,1.0,3,"Stegeman Coliseum, Athens, Georgia",DELAWARE-STATE,Delaware State,73.6,Home,GEORGIA,Georgia,Delaware State,meac,2,False,False,False,Away,False,6,19,57,24,62,7,33,67,0,1,13,29,109,0.44495412844036697,58,135,0.4296296296296296,16,38,117,0.5299145299145299,0.0
3,2019-11-18-19-delaware-state,54.8,17,14.9,7,103.7,77.1,27,0.617,60,0.517,31,0.38299999999999995,23,0.7829999999999999,18,3,200,113.6,7.4,2,17,92,,7.4,6,0.467,28,0.429,12,46.8,29,0.649,12.5,10,32,0.594,19,0.25,1,"November 18, 2019",38.7,12,6.3,2,113.6,92.6,25,0.486,70,0.44299999999999995,31,0.314,22,0.727,16,4,200,103.7,22.9,8,21,84,,7.4,6,0.32899999999999996,23,0.261,6,53.2,33,0.522,12.1,11,47,0.532,25,0.0,0,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,81.2,Away,LONG-ISLAND-UNIVERSITY,LIU,Delaware State,meac,3,False,True,True,Home,False,6,25,70,33,62,12,19,60,0,1,19,48,166,0.4608433734939759,82,197,0.4162436548223351,23,71,184,0.5733695652173914,0.0
4,2019-11-20-19-virginia-tech,57.7,15,4.0,1,142.9,66.7,18,0.4920000000000001,62,0.419,26,0.113,7,0.429,3,5,200,91.4,13.9,5,12,64,,7.1,5,0.435,27,0.33299999999999996,9,36.5,23,0.49,14.5,11,35,0.486,17,0.0,0,"November 20, 2019",82.9,29,8.6,3,91.4,86.1,31,0.7340000000000001,62,0.565,35,0.226,14,0.643,9,0,200,142.9,33.3,9,13,100,,5.7,4,0.597,37,0.568,21,63.5,40,0.728,12.8,10,25,0.56,14,1.0,5,"Cassell Coliseum, Blacksburg, Virginia",DELAWARE-STATE,Delaware State,70.5,Home,VIRGINIA-TECH,Virginia Tech,Delaware State,meac,4,False,False,False,Away,False,9,17,62,23,63,21,14,62,0,1,25,73,236,0.4682203389830508,115,259,0.444015444015444,35,90,244,0.5840163934426229,0.0
5,2019-11-23-14-east-tennessee-state,50.0,11,8.6,3,125.6,53.1,17,0.426,61,0.361,22,0.32799999999999996,20,0.7,14,6,200,84.6,20.5,8,26,66,,7.7,6,0.426,26,0.308,8,35.2,25,0.46799999999999997,19.6,17,35,0.4,14,0.0,0,"November 23, 2019",67.7,21,20.0,7,84.6,79.5,31,0.583,60,0.517,31,0.6,36,0.778,28,1,200,125.6,46.9,15,17,98,,16.7,13,0.41700000000000004,25,0.32,8,64.8,46,0.636,15.6,14,35,0.657,23,0.8,4,"Freedom Hall Civic Center, Johnson City, Tennessee",DELAWARE-STATE,Delaware State,77.8,Home,EAST-TENNESSEE-STATE,ETSU,Delaware State,meac,5,False,False,False,Away,False,8,14,61,25,71,8,23,60,0,1,34,90,298,0.4731543624161074,138,322,0.42857142857142855,56,104,306,0.6143790849673203,0.0
6,2019-11-24-11-charleston-southern,52.2,12,3.6,1,97.3,73.0,27,0.4270000000000001,62,0.371,23,0.145,9,0.889,8,7,200,83.6,21.1,8,21,61,,13.7,10,0.355,22,0.318,7,46.7,35,0.46,16.5,13,40,0.4,16,0.0,0,"November 24, 2019",54.5,12,5.0,2,83.6,78.9,30,0.45799999999999996,59,0.373,22,0.39,23,0.7390000000000001,17,5,200,97.3,27.0,10,13,71,,8.2,6,0.525,31,0.32299999999999995,10,53.3,40,0.508,17.8,15,28,0.429,12,0.28600000000000003,2,"Freedom Hall Civic Center, Johnson City, Tennessee",DELAWARE-STATE,Delaware State,73.1,Home,CHARLESTON-SOUTHERN,Charleston Southern,Delaware State,meac,6,False,False,False,Away,False,7,16,62,35,75,10,12,59,0,1,42,104,359,0.4651810584958218,163,393,0.41475826972010177,64,127,366,0.6092896174863388,0.0
7,2019-11-26-19-delaware-state,21.1,4,2.3,1,112.5,54.3,19,0.5,43,0.442,19,0.419,18,0.556,10,0,200,66.3,20.0,5,15,53,,15.0,12,0.326,14,0.35700000000000004,5,40.0,24,0.514,37.8,31,29,0.483,14,0.0,0,"November 26, 2019",54.5,18,6.9,2,66.3,80.0,20,0.52,74,0.446,33,0.21600000000000005,16,0.813,13,7,200,112.5,45.7,16,14,90,,21.3,17,0.419,31,0.355,11,60.0,36,0.551,16.5,16,43,0.512,22,0.125,1,"Memorial Hall, Dover, Delaware","St. Elizabeth
			","St. Elizabeth
			",79.6,Home,DELAWARE-STATE,Delaware State,Delaware State,meac,7,True,False,True,Home,True,11,22,74,36,60,5,14,43,1,0,49,120,421,0.4596199524940617,198,468,0.4230769230769231,74,139,425,0.5882352941176471,0.0
8,2019-11-30-18-delaware-state,55.2,16,11.8,4,92.8,90.0,36,0.581,62,0.46799999999999997,29,0.484,30,0.667,20,4,200,110.8,33.3,11,23,92,,6.0,5,0.435,27,0.519,14,64.4,47,0.603,19.3,18,35,0.429,15,0.5,4,"November 30, 2019",45.5,10,0.0,0,110.8,66.7,22,0.42100000000000004,63,0.349,22,0.524,33,0.727,24,8,200,92.8,10.0,4,24,77,,8.4,7,0.46,29,0.31,9,35.6,26,0.489,10.4,9,34,0.382,13,0.111,1,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,83.5,Away,COASTAL-CAROLINA,Coastal Carolina,Delaware State,meac,8,False,True,True,Home,False,9,13,63,26,73,14,15,62,0,1,60,142,495,0.4686868686868687,234,528,0.4431818181818182,79,153,468,0.5801282051282052,0.125
9,2019-12-04-19-delaware-state,65.4,17,8.8,3,101.3,74.2,23,0.5539999999999999,56,0.46399999999999997,26,0.518,29,0.759,22,4,200,112.0,31.0,9,24,84,,6.7,5,0.446,25,0.4,10,53.3,32,0.602,17.9,15,31,0.516,16,0.556,5,"December 4, 2019",34.8,8,9.7,3,112.0,69.0,20,0.491,54,0.426,23,0.537,29,0.7929999999999999,23,9,200,101.3,25.8,8,24,76,,8.0,6,0.37,20,0.35,7,46.7,28,0.561,17.3,14,34,0.47100000000000003,16,0.1,1,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,74.8,Away,LOYOLA-MD,Loyola (MD),Delaware State,meac,9,False,True,True,Home,False,7,16,54,28,60,10,16,56,0,1,69,155,558,0.4632616487455197,260,601,0.43261231281198,93,168,530,0.5801886792452831,0.1111111111111111
