,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-KENTUCKY_homegame,EASTERN-KENTUCKY_homegame2,EASTERN-KENTUCKY_home,EASTERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-eastern-kentucky,50.0,11,0.0,0,96.3,72.0,18,0.39,68,0.324,22,0.25,17,0.882,15,1,200,82.9,27.3,12,22,68,,9.8,8,0.368,25,0.36,9,43.5,30,0.447,20.9,20,43,0.302,13,0.0,0,"November 5, 2019",37.0,10,16.3,7,82.9,72.7,32,0.5770000000000001,52,0.519,27,0.48100000000000004,25,0.76,19,0,200,96.3,28.0,7,21,79,,7.3,6,0.26899999999999996,14,0.429,6,56.5,39,0.618,27.6,24,38,0.5529999999999999,21,1.0,1,"McBrayer Arena, Richmond, Kentucky",CHATTANOOGA,Chattanooga,82.5,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,0,True,False,True,Home,True,6,21,52,39,69,9,13,68,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-kentucky,43.8,7,0.0,0,107.1,61.3,19,0.313,64,0.25,16,0.172,11,0.818,9,1,200,57.6,7.1,3,21,49,,11.8,10,0.516,33,0.242,8,30.1,22,0.354,23.4,21,31,0.258,8,0.5,1,"November 8, 2019",50.0,17,19.4,6,57.6,92.9,39,0.565,62,0.5479999999999999,34,0.516,32,0.6559999999999999,21,0,200,107.1,38.7,12,13,91,2.0,9.4,8,0.226,14,0.14300000000000002,2,69.9,51,0.589,19.1,18,48,0.667,32,1.0,2,"Rupp Arena, Lexington, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,85.2,Home,KENTUCKY,Kentucky,Eastern Kentucky,ovc,1,False,False,False,Away,False,8,8,64,22,73,2,32,62,0,1,6,21,52,0.5769230769230769,39,69,0.5652173913043478,9,13,68,0.3897058823529412,1.0
2,2019-11-12-19-eastern-kentucky,80.0,12,7.3,3,157.3,46.2,18,0.389,45,0.33299999999999996,15,0.244,11,0.727,8,0,200,52.4,23.3,7,13,43,,8.5,7,0.42200000000000004,19,0.263,5,36.2,25,0.428,41.9,36,26,0.385,10,0.0,0,"November 12, 2019",57.4,27,7.7,2,52.4,76.7,23,0.6509999999999999,86,0.547,47,0.233,20,0.85,17,1,200,157.3,53.8,21,12,129,,32.9,27,0.523,45,0.4,18,63.8,44,0.675,9.5,10,41,0.7070000000000001,29,0.667,2,"McBrayer Arena, Richmond, Kentucky","Ohio-Chillicothe
			","Ohio-Chillicothe
			",81.9,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,2,True,False,True,Home,True,18,29,86,44,69,5,10,45,1,0,14,29,116,0.4310344827586207,61,142,0.4295774647887324,11,45,130,0.4730769230769231,0.5
3,2019-11-15-19-eastern-kentucky,67.9,19,11.8,4,87.7,81.3,26,0.555,55,0.509,28,0.436,24,0.75,18,0,200,97.5,30.0,9,14,79,,12.3,10,0.327,18,0.278,5,56.5,35,0.595,26.0,23,37,0.622,23,1.0,3,"November 15, 2019",33.3,9,5.4,2,97.5,70.0,21,0.5,61,0.44299999999999995,27,0.23,14,0.7140000000000001,10,2,200,87.7,18.8,6,20,71,,11.1,9,0.44299999999999995,27,0.259,7,43.5,27,0.525,22.1,19,34,0.588,20,0.5,2,"McBrayer Arena, Richmond, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,80.5,Away,WESTERN-KENTUCKY,Western Kentucky,Eastern Kentucky,ovc,3,False,True,True,Home,False,7,20,61,27,62,5,23,55,0,1,32,58,202,0.5247524752475248,105,211,0.4976303317535545,16,55,175,0.4514285714285714,0.6666666666666666
4,2019-11-19-19-eastern-kentucky,42.9,9,7.7,3,111.2,81.0,34,0.331,74,0.284,21,0.243,18,0.778,14,0,200,70.8,28.6,14,18,63,,6.7,6,0.35100000000000003,26,0.26899999999999996,7,52.7,48,0.382,18.8,19,48,0.292,14,0.0,0,"November 19, 2019",77.1,27,4.2,2,70.8,71.4,35,0.5379999999999999,79,0.44299999999999995,35,0.253,20,0.7,14,2,200,111.2,19.0,8,20,99,,10.1,9,0.506,40,0.375,15,47.3,43,0.5589999999999999,9.3,9,39,0.513,20,0.6,3,"McBrayer Arena, Richmond, Kentucky","Alice Lloyd
			","Alice Lloyd
			",88.5,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc,4,True,False,True,Home,True,15,20,79,43,91,7,14,74,1,0,39,78,263,0.5190114068441065,132,273,0.4835164835164835,21,78,230,0.4760869565217392,0.5
5,2019-11-22-15-eastern-kentucky,52.9,18,20.0,8,83.3,64.3,27,0.617,60,0.5670000000000001,34,0.33299999999999996,20,0.75,15,2,200,106.0,30.0,9,20,89,,17.9,15,0.35,21,0.28600000000000003,6,50.0,36,0.64,23.4,21,39,0.718,28,0.6,3,"November 22, 2019",52.4,11,2.6,1,106.0,70.0,21,0.38299999999999995,64,0.32799999999999996,21,0.43799999999999994,28,0.75,21,3,200,83.3,35.7,15,22,70,,13.1,11,0.375,24,0.292,7,50.0,36,0.45299999999999996,23.9,24,40,0.35,14,0.5,3,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",EASTERN-KENTUCKY,Eastern Kentucky,83.9,Away,FLORIDA-INTERNATIONAL,Florida International,Eastern Kentucky,ovc,5,False,True,True,Home,False,7,14,64,36,72,6,28,60,0,1,54,98,342,0.5233918128654971,175,364,0.4807692307692308,28,92,304,0.4407894736842105,0.6
6,2019-11-23-15-cleveland-state,30.8,4,12.1,4,90.3,70.0,21,0.284,51,0.255,13,0.608,31,0.71,22,4,200,70.8,17.5,7,25,51,,11.1,8,0.314,16,0.188,3,40.0,28,0.38799999999999996,16.7,13,35,0.28600000000000003,10,0.429,3,"November 23, 2019",52.6,10,8.6,3,70.8,82.5,33,0.4270000000000001,48,0.396,19,0.6459999999999999,31,0.774,24,4,200,90.3,30.0,9,25,65,,11.1,8,0.313,15,0.2,3,60.0,42,0.518,22.6,18,33,0.485,16,0.429,3,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",EASTERN-KENTUCKY,Eastern Kentucky,71.7,Home,CLEVELAND-STATE,Cleveland State,Eastern Kentucky,ovc,6,False,False,False,Away,False,3,10,51,28,70,3,16,48,0,1,61,112,406,0.5012315270935961,211,436,0.4839449541284404,34,120,364,0.4697802197802198,0.5
7,2019-12-03-18-south-carolina-upstate,57.9,11,2.9,1,94.0,88.6,31,0.38799999999999996,58,0.32799999999999996,19,0.5,29,0.759,22,5,200,79.8,12.8,5,25,67,,9.5,8,0.483,28,0.25,7,48.6,36,0.467,20.3,18,30,0.4,12,0.375,3,"December 3, 2019",61.9,13,6.7,2,79.8,87.2,34,0.45399999999999996,54,0.389,21,0.7040000000000001,38,0.789,30,7,200,94.0,11.4,4,24,79,,6.0,5,0.37,20,0.35,7,51.4,38,0.5479999999999999,18.5,16,34,0.41200000000000003,14,0.222,2,"G.B. Hodge Center, Spartanburg, South Carolina",EASTERN-KENTUCKY,Eastern Kentucky,84.4,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,Eastern Kentucky,ovc,7,False,False,False,Away,False,7,12,58,36,74,7,14,54,0,1,64,122,457,0.4770240700218818,239,506,0.4723320158102767,37,136,412,0.4648058252427185,0.42857142857142855
8,2019-12-08-19-northern-kentucky,56.5,13,3.8,1,111.8,68.2,15,0.45799999999999996,60,0.38299999999999995,23,0.1,6,0.33299999999999996,2,6,200,83.8,16.7,6,18,57,,16.2,11,0.433,26,0.34600000000000003,9,36.2,21,0.45299999999999996,17.2,13,34,0.41200000000000003,14,0.33299999999999996,3,"December 8, 2019",60.7,17,2.9,1,83.8,83.3,30,0.667,48,0.583,28,0.313,15,0.8,12,3,200,111.8,31.8,7,11,76,,14.7,10,0.45799999999999996,22,0.364,8,63.8,37,0.6890000000000001,24.8,18,26,0.769,20,0.7,7,"Bank of Kentucky Center, Highland Heights, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,68.0,Home,NORTHERN-KENTUCKY,Northern Kentucky,Eastern Kentucky,ovc,8,False,False,False,Away,False,9,14,60,21,58,8,20,48,0,1,71,134,515,0.4669902912621359,275,580,0.4741379310344828,44,150,466,0.46351931330472107,0.375
9,2019-12-14-12-louisville,52.2,12,0.0,0,143.5,40.0,8,0.4370000000000001,63,0.365,23,0.23800000000000002,15,0.8,12,7,200,97.1,37.8,14,20,67,,11.6,8,0.429,27,0.33299999999999996,9,38.6,22,0.478,15.7,13,36,0.389,14,0.3,3,"December 14, 2019",64.7,22,5.6,2,97.1,62.2,23,0.713,54,0.63,34,0.426,23,0.9570000000000001,22,1,200,143.5,60.0,12,14,99,1.0,10.1,7,0.35200000000000004,19,0.474,9,61.4,35,0.762,20.0,16,35,0.7140000000000001,25,0.909,10,"KFC Yum! Center, Louisville, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,69.0,Home,LOUISVILLE,Louisville,Eastern Kentucky,ovc,9,False,False,False,Away,False,9,14,63,22,57,9,25,54,0,1,80,148,575,0.4660869565217392,296,638,0.4639498432601881,52,170,514,0.4824902723735409,0.3333333333333333
