,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KENTUCKY_homegame,KENTUCKY_homegame2,KENTUCKY_home,KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-kentucky,63.6,14,6.3,2,97.2,82.1,23,0.43799999999999994,56,0.39299999999999996,22,0.321,18,0.722,13,1,200,87.3,21.9,7,22,62,1.0,5.6,4,0.46399999999999997,26,0.192,5,50.0,30,0.48,19.0,15,30,0.5670000000000001,17,0.0,0,"November 5, 2019",47.4,9,10.0,3,87.3,78.1,25,0.44,50,0.38,19,0.64,32,0.7809999999999999,25,0,200,97.2,17.9,5,20,69,2.0,5.6,4,0.36,18,0.33299999999999996,6,50.0,30,0.529,13.5,10,32,0.406,13,1.0,1,"Madison Square Garden (IV), New York, New York",MICHIGAN-STATE,Michigan State,71.4,Home,KENTUCKY,Kentucky,Kentucky,sec,0,True,False,True,Home,True,6,13,50,30,60,5,17,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-kentucky,43.8,7,0.0,0,107.1,61.3,19,0.313,64,0.25,16,0.172,11,0.818,9,1,200,57.6,7.1,3,21,49,,11.8,10,0.516,33,0.242,8,30.1,22,0.354,23.4,21,31,0.258,8,0.5,1,"November 8, 2019",50.0,17,19.4,6,57.6,92.9,39,0.565,62,0.5479999999999999,34,0.516,32,0.6559999999999999,21,0,200,107.1,38.7,12,13,91,2.0,9.4,8,0.226,14,0.14300000000000002,2,69.9,51,0.589,19.1,18,48,0.667,32,1.0,2,"Rupp Arena, Lexington, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,85.2,Home,KENTUCKY,Kentucky,Kentucky,sec,1,True,False,True,Home,True,2,32,62,51,73,8,8,64,1,0,6,13,50,0.44,30,60,0.5,5,17,56,0.4375,1.0
2,2019-11-12-19-kentucky,43.5,10,0.0,0,91.4,74.2,23,0.45799999999999996,60,0.38299999999999995,23,0.217,13,0.9229999999999999,12,0,200,95.7,25.7,9,18,67,,2.9,2,0.5,30,0.3,9,48.5,32,0.506,14.3,11,30,0.467,14,1.0,2,"November 12, 2019",30.0,6,6.7,2,95.7,74.3,26,0.40700000000000003,54,0.37,20,0.46299999999999997,25,0.8,20,1,200,91.4,25.8,8,18,64,1.0,8.6,6,0.315,17,0.235,4,51.5,34,0.486,16.7,13,37,0.4320000000000001,16,0.667,2,"Rupp Arena, Lexington, Kentucky",KENTUCKY,Kentucky,69.5,Away,EVANSVILLE,Evansville,Kentucky,sec,2,False,True,True,Home,False,4,16,54,34,66,9,14,60,0,1,8,45,112,0.5089285714285714,81,133,0.6090225563909775,13,25,120,0.37083333333333335,1.0
3,2019-11-18-19-kentucky,53.8,14,11.1,5,110.8,63.0,17,0.4920000000000001,64,0.406,26,0.281,18,0.611,11,2,200,100.0,17.5,7,24,74,,5.4,4,0.484,31,0.355,11,35.8,24,0.51,6.5,5,33,0.455,15,0.6,3,"November 18, 2019",44.0,11,6.1,2,100.0,82.5,33,0.447,57,0.439,25,0.596,34,0.912,31,1,200,110.8,37.0,10,13,82,9.0,2.7,2,0.21100000000000002,12,0.083,1,64.2,43,0.56,16.3,14,45,0.5329999999999999,24,0.75,3,"Rupp Arena, Lexington, Kentucky",UTAH-VALLEY,Utah Valley,73.9,Home,KENTUCKY,Kentucky,Kentucky,sec,3,True,False,True,Home,True,1,24,57,43,67,11,15,64,1,0,12,61,166,0.4759036144578313,115,199,0.5778894472361809,22,39,180,0.4,0.6666666666666666
4,2019-11-22-19-kentucky,36.4,8,5.0,2,117.1,77.8,21,0.402,61,0.361,22,0.295,18,0.722,13,5,200,88.6,25.0,9,18,62,,7.1,5,0.39299999999999996,24,0.20800000000000002,5,47.6,30,0.446,11.6,9,37,0.45899999999999996,17,0.16699999999999998,1,"November 22, 2019",70.0,21,8.1,3,88.6,75.0,27,0.6,55,0.545,30,0.327,18,0.889,16,1,200,117.1,22.2,6,14,82,9.0,5.7,4,0.273,15,0.4,6,52.4,33,0.645,16.0,12,40,0.6,24,0.8,4,"Rupp Arena, Lexington, Kentucky",MOUNT-ST-MARYS,Mount St. Mary's,69.6,Home,KENTUCKY,Kentucky,Kentucky,sec,4,True,False,True,Home,True,6,24,55,33,63,5,17,61,1,0,13,85,223,0.468609865470852,158,266,0.5939849624060151,33,54,244,0.4241803278688525,0.75
5,2019-11-24-18-kentucky,38.1,8,5.7,2,117.4,71.4,20,0.38299999999999995,64,0.32799999999999996,21,0.23399999999999999,15,0.467,7,2,200,81.2,27.5,11,16,56,,8.7,6,0.266,17,0.41200000000000003,7,45.6,31,0.39399999999999996,11.3,9,47,0.298,14,0.667,4,"November 24, 2019",65.5,19,27.7,13,81.2,72.5,29,0.596,57,0.509,29,0.33299999999999996,19,0.684,13,1,200,117.4,28.6,8,14,81,9.0,8.7,6,0.386,22,0.455,10,54.4,37,0.613,14.4,11,35,0.5429999999999999,19,0.833,5,"Rupp Arena, Lexington, Kentucky",LAMAR,Lamar,69.1,Home,KENTUCKY,Kentucky,Kentucky,sec,5,True,False,True,Home,True,10,19,57,37,68,7,14,64,1,0,19,109,278,0.4946043165467626,191,329,0.5805471124620061,38,71,305,0.41967213114754104,0.8
6,2019-11-29-19-kentucky,45.8,11,7.5,3,106.2,64.3,18,0.483,58,0.414,24,0.086,5,0.4,2,2,200,89.2,19.4,6,18,58,,4.6,3,0.276,16,0.5,8,40.7,24,0.48,16.6,12,42,0.381,16,0.667,4,"November 29, 2019",73.1,19,7.1,3,89.2,80.6,25,0.518,55,0.473,26,0.29100000000000004,16,0.75,12,1,200,106.2,35.7,10,13,69,9.0,3.1,2,0.273,15,0.33299999999999996,5,59.3,35,0.551,15.1,11,40,0.525,21,0.857,6,"Rupp Arena, Lexington, Kentucky",ALABAMA-BIRMINGHAM,Alabama-Birmingham,65.0,Home,KENTUCKY,Kentucky,Kentucky,sec,6,True,False,True,Home,True,5,21,55,35,59,8,16,58,1,0,29,128,335,0.5119402985074627,228,397,0.5743073047858942,45,85,369,0.4132791327913279,0.8333333333333334
7,2019-12-07-16-kentucky,38.1,8,13.7,7,120.3,58.3,14,0.36200000000000004,65,0.32299999999999995,21,0.092,6,0.833,5,6,200,75.4,25.6,10,15,52,,2.9,2,0.369,24,0.20800000000000002,5,38.1,24,0.38299999999999995,14.0,11,41,0.39,16,0.25,2,"December 7, 2019",62.5,20,9.8,4,75.4,74.4,29,0.532,62,0.516,32,0.306,19,0.895,17,1,200,120.3,41.7,10,14,83,8.0,8.7,6,0.177,11,0.182,2,61.9,39,0.584,11.3,9,51,0.588,30,0.875,7,"Rupp Arena, Lexington, Kentucky",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,69.4,Home,KENTUCKY,Kentucky,Kentucky,sec,7,True,False,True,Home,True,2,30,62,39,63,5,16,65,1,0,34,149,390,0.5128205128205128,263,456,0.5767543859649122,53,101,427,0.4227166276346605,0.8571428571428571
8,2019-12-14-17-kentucky,47.8,11,10.3,4,98.5,73.1,19,0.48100000000000004,53,0.434,23,0.113,6,0.33299999999999996,2,4,200,77.9,11.1,3,18,53,,7.4,5,0.321,17,0.294,5,41.5,22,0.474,21.2,15,36,0.5,18,0.5,4,"December 14, 2019",75.0,18,13.9,5,77.9,88.9,24,0.51,51,0.47100000000000003,24,0.353,18,0.833,15,1,200,98.5,26.9,7,13,67,8.0,11.8,8,0.235,12,0.33299999999999996,4,58.5,31,0.563,21.4,16,39,0.513,20,0.889,8,"Rupp Arena, Lexington, Kentucky",GEORGIA-TECH,Georgia Tech,68.2,Home,KENTUCKY,Kentucky,Kentucky,sec,8,True,False,True,Home,True,4,20,51,31,53,5,18,53,1,0,36,179,452,0.5154867256637168,302,519,0.581888246628131,58,117,492,0.4146341463414634,0.875
9,2019-12-18-23-kentucky,65.2,15,2.2,1,97.1,66.7,24,0.643,42,0.5479999999999999,23,0.5479999999999999,23,0.652,15,2,200,101.5,15.8,3,19,69,,2.9,2,0.35700000000000004,15,0.5329999999999999,8,49.1,27,0.652,22.3,15,27,0.556,15,0.818,9,"December 18, 2019",53.8,14,11.1,3,101.5,84.2,16,0.429,63,0.413,26,0.254,16,0.75,12,2,200,97.1,33.3,12,22,66,6.0,10.3,7,0.27,17,0.11800000000000001,2,50.9,28,0.467,14.6,12,46,0.522,24,0.8,8,"T-Mobile Arena, Las Vegas, Nevada",KENTUCKY,Kentucky,67.8,Away,UTAH,Utah,Kentucky,sec,9,False,True,True,Home,False,2,24,63,28,55,8,15,42,0,1,40,199,503,0.5149105367793241,333,572,0.5821678321678322,63,135,545,0.4211009174311927,0.8888888888888888
