,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WICHITA-STATE_homegame,WICHITA-STATE_homegame2,WICHITA-STATE_home,WICHITA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-wichita-state,45.5,10,5.0,2,97.1,70.5,31,0.43799999999999994,56,0.39299999999999996,22,0.179,10,0.5,5,1,200,77.1,12.5,4,10,54,,5.7,4,0.33899999999999997,19,0.263,5,46.1,35,0.444,17.7,13,37,0.45899999999999996,17,0.0,0,"November 5, 2019",57.7,15,18.9,7,77.1,87.5,28,0.444,71,0.366,26,0.16899999999999998,12,0.41700000000000004,5,0,200,97.1,29.5,13,14,68,,11.4,8,0.4370000000000001,31,0.355,11,53.9,41,0.44299999999999995,8.4,7,40,0.375,15,1.0,1,"Charles Koch Arena, Wichita, Kansas",NEBRASKA-OMAHA,Omaha,70.2,Home,WICHITA-STATE,Wichita State,Wichita State,aac,0,True,False,True,Home,True,11,15,71,41,76,5,17,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-15-wichita-state,33.3,7,16.0,8,86.3,64.9,24,0.418,55,0.382,21,0.491,27,0.63,17,2,200,78.8,22.2,8,28,63,,5.0,4,0.273,15,0.267,4,43.8,32,0.46399999999999997,22.1,19,40,0.425,17,0.0,0,"November 9, 2019",37.5,6,17.5,7,78.8,77.8,28,0.265,66,0.242,16,0.636,42,0.81,34,0,200,86.3,35.1,13,23,69,,12.5,10,0.242,16,0.188,3,56.2,41,0.401,8.7,8,50,0.26,13,1.0,2,"Charles Koch Arena, Wichita, Kansas",TEXAS-SOUTHERN,Texas Southern,79.9,Home,WICHITA-STATE,Wichita State,Wichita State,aac,1,True,False,True,Home,True,3,13,66,41,73,4,17,55,1,0,11,15,71,0.4436619718309859,41,76,0.5394736842105263,5,17,56,0.4375,1.0
2,2019-11-16-15-wichita-state,45.5,10,2.3,1,143.1,62.1,18,0.491,57,0.386,22,0.175,10,0.6,6,2,200,86.1,19.4,7,12,62,,5.6,4,0.544,31,0.387,12,38.5,25,0.502,21.7,17,26,0.385,10,0.5,2,"November 16, 2019",72.5,29,7.7,2,86.1,80.6,29,0.669,71,0.563,40,0.141,10,0.8,8,0,200,143.1,37.9,11,15,103,,11.1,8,0.39399999999999996,28,0.536,15,61.5,40,0.68,9.6,8,43,0.581,25,1.0,3,"Charles Koch Arena, Wichita, Kansas",TENNESSEE-MARTIN,UT-Martin,72.3,Home,WICHITA-STATE,Wichita State,Wichita State,aac,2,True,False,True,Home,True,15,25,71,40,65,12,10,57,1,0,14,28,137,0.35766423357664234,82,149,0.5503355704697986,9,34,111,0.427927927927928,1.0
3,2019-11-19-20-wichita-state,93.8,15,3.6,1,115.6,63.0,17,0.478,45,0.35600000000000004,16,0.33299999999999996,15,0.6,9,4,200,81.3,14.8,4,14,52,,10.9,7,0.467,21,0.524,11,38.9,21,0.499,22.5,15,24,0.20800000000000002,5,0.0,0,"November 19, 2019",59.3,16,8.3,2,81.3,85.2,23,0.5529999999999999,57,0.474,27,0.263,15,0.733,11,0,200,115.6,37.0,10,15,74,,9.4,6,0.509,29,0.31,9,61.1,33,0.5770000000000001,14.7,11,28,0.643,18,1.0,4,"Charles Koch Arena, Wichita, Kansas",GARDNER-WEBB,Gardner-Webb,64.1,Home,WICHITA-STATE,Wichita State,Wichita State,aac,3,True,False,True,Home,True,9,18,57,33,54,11,5,45,1,0,29,53,208,0.4639423076923077,122,214,0.5700934579439252,21,44,168,0.4494047619047619,1.0
4,2019-11-23-15-wichita-state,33.3,7,4.7,2,98.6,71.0,22,0.34600000000000003,65,0.32299999999999995,21,0.262,17,0.8240000000000001,14,4,200,85.5,29.3,12,16,59,,10.1,7,0.354,23,0.13,3,47.2,34,0.40399999999999997,11.0,9,42,0.429,18,0.33299999999999996,2,"November 23, 2019",60.7,17,19.0,8,85.5,70.7,29,0.526,58,0.483,28,0.207,12,0.583,7,0,200,98.6,29.0,9,16,68,,1.4,1,0.259,15,0.33299999999999996,5,52.8,38,0.534,17.0,13,43,0.535,23,1.0,5,"Charles Koch Arena, Wichita, Kansas",ORAL-ROBERTS,Oral Roberts,68.9,Home,WICHITA-STATE,Wichita State,Wichita State,aac,4,True,False,True,Home,True,5,23,58,38,72,3,18,65,1,0,38,71,265,0.4830188679245283,155,268,0.5783582089552238,32,49,213,0.4553990610328639,1.0
5,2019-11-26-18-south-carolina,73.9,17,6.5,3,64.4,74.4,29,0.473,56,0.41100000000000003,23,0.41100000000000003,23,0.7390000000000001,17,0,200,95.9,31.3,10,19,70,,12.3,9,0.48200000000000004,27,0.259,7,54.9,39,0.523,19.5,16,29,0.552,16,1.0,6,"November 26, 2019",44.4,8,13.8,4,95.9,68.8,22,0.348,56,0.321,18,0.304,17,0.47100000000000003,8,2,200,64.4,25.6,10,24,47,,12.3,9,0.179,10,0.3,3,45.1,32,0.3670000000000001,23.0,19,46,0.326,15,0.667,4,"Hard Rock Hotel Riviera Maya, Cancun",SOUTH-CAROLINA,South Carolina,73.0,Away,WICHITA-STATE,Wichita State,Wichita State,aac,5,False,False,False,Away,True,7,16,56,39,71,3,15,56,1,0,43,94,323,0.4907120743034056,193,340,0.5676470588235294,35,67,278,0.4298561151079137,1.0
6,2019-11-27-20-west-virginia,31.6,6,11.4,5,102.7,55.9,19,0.355,62,0.306,19,0.452,28,0.679,19,1,200,86.3,26.8,11,26,63,,4.1,3,0.40299999999999997,25,0.24,6,40.0,30,0.418,10.8,9,37,0.35100000000000003,13,0.857,6,"November 27, 2019",44.0,11,21.6,8,86.3,73.2,30,0.467,61,0.41,25,0.4920000000000001,30,0.6,18,0,200,102.7,44.1,15,25,75,,6.8,5,0.27899999999999997,17,0.41200000000000003,7,60.0,45,0.498,13.9,12,44,0.409,18,1.0,6,"Hard Rock Hotel Riviera Maya, Cancun",WICHITA-STATE,Wichita State,72.8,Home,WEST-VIRGINIA,West Virginia,Wichita State,aac,6,False,False,False,Away,False,6,13,62,30,75,7,18,61,0,1,50,110,379,0.4881266490765172,232,411,0.5644768856447688,38,82,334,0.4161676646706587,1.0
7,2019-12-05-20-wichita-state,54.2,13,13.0,6,108.0,71.9,23,0.5710000000000001,49,0.49,24,0.49,24,0.542,13,7,200,78.4,10.7,3,20,69,,2.3,2,0.429,21,0.381,8,43.3,26,0.5710000000000001,33.5,30,28,0.5710000000000001,16,0.125,1,"December 5, 2019",62.9,22,7.1,2,78.4,89.3,25,0.547,74,0.473,35,0.243,18,0.778,14,1,200,108.0,28.1,9,22,95,,18.2,16,0.37799999999999995,28,0.39299999999999996,11,56.7,34,0.575,16.3,16,46,0.522,24,0.875,7,"Charles Koch Arena, Wichita, Kansas",CENTRAL-ARKANSAS,Central Arkansas,88.5,Home,WICHITA-STATE,Wichita State,Wichita State,aac,7,True,False,True,Home,True,11,24,74,34,60,8,16,49,1,0,56,123,441,0.4693877551020408,262,486,0.5390946502057613,45,100,395,0.4240506329113924,0.8571428571428571
8,2019-12-08-14-oklahoma-state,64.3,18,11.1,4,82.4,73.0,27,0.532,63,0.444,28,0.317,20,0.65,13,1,200,108.1,37.5,12,20,80,,13.5,10,0.413,26,0.423,11,56.5,39,0.552,18.2,16,37,0.45899999999999996,17,0.889,8,"December 8, 2019",45.0,9,5.4,2,108.1,62.5,20,0.413,52,0.385,20,0.5,26,0.6920000000000001,18,2,200,82.4,27.0,10,18,61,,8.1,6,0.308,16,0.188,3,43.5,30,0.474,22.1,18,36,0.47200000000000003,17,0.778,7,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,74.4,Away,WICHITA-STATE,Wichita State,Wichita State,aac,8,False,False,False,Away,True,11,17,63,39,69,3,17,52,1,0,67,147,515,0.4805825242718447,296,546,0.5421245421245421,53,116,444,0.4403153153153153,0.875
9,2019-12-14-18-wichita-state,60.0,15,9.1,4,105.3,67.6,25,0.478,67,0.373,25,0.209,14,0.7859999999999999,11,2,200,98.7,7.9,3,19,75,,10.5,8,0.46299999999999997,31,0.452,14,37.3,28,0.509,8.7,7,36,0.306,11,0.778,7,"December 14, 2019",51.9,14,8.3,3,98.7,92.1,35,0.47,66,0.409,27,0.303,20,0.9,18,1,200,105.3,32.4,12,14,80,,2.6,2,0.33299999999999996,22,0.364,8,62.7,47,0.53,11.8,10,44,0.4320000000000001,19,0.9,9,"Intrust Bank Arena, Wichita, Kansas",OKLAHOMA,Oklahoma,75.6,Home,WICHITA-STATE,Wichita State,Wichita State,aac,9,True,False,True,Home,True,8,19,66,47,75,14,11,67,1,0,78,164,578,0.48615916955017296,335,615,0.5447154471544715,56,133,496,0.4375,0.8888888888888888
10,2019-12-21-12-wichita-state,30.0,6,6.7,3,98.6,61.9,26,0.415,53,0.377,20,0.491,26,0.731,19,3,200,85.1,29.4,10,27,63,,13.5,10,0.358,19,0.21100000000000002,4,47.4,36,0.48200000000000004,21.8,18,34,0.47100000000000003,16,0.75,9,"December 21, 2019",60.0,15,17.6,6,85.1,70.6,24,0.466,59,0.424,25,0.525,31,0.581,18,1,200,98.6,38.1,16,20,73,,12.2,9,0.237,14,0.35700000000000004,5,52.6,40,0.495,18.1,16,45,0.444,20,0.909,10,"Charles Koch Arena, Wichita, Kansas",VIRGINIA-COMMONWEALTH,VCU,73.5,Home,WICHITA-STATE,Wichita State,Wichita State,aac,10,True,False,True,Home,True,5,20,59,40,76,4,16,53,1,0,86,183,644,0.484472049689441,382,690,0.5536231884057969,70,144,563,0.4422735346358792,0.9
11,2019-12-29-15-wichita-state,42.9,9,10.0,4,110.5,60.6,20,0.435,54,0.389,21,0.426,23,0.826,19,6,200,86.8,16.7,5,23,66,,10.5,8,0.389,21,0.23800000000000002,5,39.7,25,0.508,21.9,18,33,0.485,16,0.5379999999999999,7,"December 29, 2019",55.2,16,15.2,5,86.8,83.3,25,0.561,57,0.509,29,0.509,29,0.69,20,1,200,110.5,39.4,13,20,84,,10.5,8,0.298,17,0.353,6,60.3,38,0.593,18.7,16,40,0.575,23,0.917,11,"Charles Koch Arena, Wichita, Kansas",ABILENE-CHRISTIAN,Abilene Christian,75.9,Home,WICHITA-STATE,Wichita State,Wichita State,aac,11,True,False,True,Home,True,6,23,57,38,63,5,16,54,1,0,91,203,703,0.4829302987197724,422,766,0.5509138381201044,74,160,616,0.43993506493506496,0.9090909090909092
