,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PORTLAND-STATE_homegame,PORTLAND-STATE_homegame2,PORTLAND-STATE_home,PORTLAND-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-portland-state,76.9,20,1.5,1,102.2,55.0,22,0.462,65,0.4,26,0.16899999999999998,11,0.818,9,0,200,75.0,26.7,8,22,69,,7.6,7,0.385,25,0.32,8,42.9,30,0.491,30.0,30,40,0.45,18,0.0,0,"November 5, 2019",27.8,10,22.5,9,75.0,73.3,22,0.46299999999999997,80,0.45,36,0.38799999999999996,31,0.645,20,0,200,102.2,45.0,18,17,94,,19.6,18,0.188,15,0.133,2,57.1,40,0.496,13.8,15,65,0.523,34,1.0,1,"Peter W. Stott Center, Portland, Oregon","Puget Sound
			","Puget Sound
			",92.0,Home,PORTLAND-STATE,Portland State,Portland State,big-sky,0,True,False,True,Home,True,2,34,80,40,70,8,18,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-indiana,38.1,8,10.9,5,121.4,46.2,12,0.49,51,0.41200000000000003,21,0.627,32,0.75,24,1,200,105.7,17.9,5,22,74,,10.0,7,0.314,16,0.5,8,31.5,17,0.5589999999999999,12.1,9,35,0.371,13,0.5,1,"November 9, 2019",36.7,11,11.4,4,105.7,82.1,23,0.525,60,0.5,30,0.5,30,0.733,22,0,200,121.4,53.8,14,22,85,,5.7,4,0.233,14,0.214,3,68.5,37,0.5720000000000001,12.0,10,46,0.5870000000000001,27,1.0,2,"Assembly Hall, Bloomington, Indiana",PORTLAND-STATE,Portland State,70.2,Home,INDIANA,Indiana,Portland State,big-sky,1,False,False,False,Away,False,8,13,51,17,54,3,27,60,0,1,2,34,80,0.4625,40,70,0.5714285714285714,8,18,65,0.4615384615384616,1.0
2,2019-11-15-23-hawaii,29.6,8,2.6,1,109.2,63.0,17,0.428,69,0.391,27,0.348,24,0.667,16,2,200,98.7,37.5,15,20,75,,13.2,10,0.24600000000000002,17,0.294,5,47.8,32,0.466,15.0,14,52,0.423,22,0.33299999999999996,1,"November 15, 2019",63.3,19,1.9,1,98.7,62.5,25,0.602,59,0.508,30,0.28800000000000003,17,0.706,12,1,200,109.2,37.0,10,21,83,,2.6,2,0.33899999999999997,20,0.55,11,52.2,35,0.619,19.4,16,39,0.48700000000000004,19,0.75,3,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND-STATE,Portland State,76.2,Home,HAWAII,Hawaii,Portland State,big-sky,2,False,False,False,Away,False,5,22,69,32,67,11,19,59,0,1,10,47,131,0.4732824427480916,57,124,0.4596774193548387,11,45,125,0.49200000000000005,0.5
3,2019-11-20-22-portland-state,75.0,21,8.3,4,96.2,60.0,21,0.594,53,0.528,28,0.5660000000000001,30,0.633,19,1,200,105.1,8.3,2,19,82,,5.1,4,0.302,16,0.43799999999999994,7,39.0,23,0.61,17.5,14,37,0.568,21,0.8,4,"November 20, 2019",44.4,12,0.0,0,105.1,91.7,22,0.439,66,0.409,27,0.39399999999999996,26,0.654,17,3,200,96.2,40.0,14,29,75,,11.5,9,0.273,18,0.222,4,61.0,36,0.479,13.4,12,48,0.479,23,0.25,1,"Peter W. Stott Center, Portland, Oregon",PORTLAND-STATE,Portland State,77.8,Away,PORTLAND,Portland,Portland State,big-sky,3,False,True,True,Home,False,4,23,66,36,59,7,21,53,0,1,15,69,200,0.4575,89,191,0.4659685863874346,22,64,184,0.5271739130434783,0.3333333333333333
4,2019-11-23-22-san-jose-state,68.6,24,7.9,3,90.5,63.9,23,0.48100000000000004,79,0.44299999999999995,35,0.29100000000000004,23,0.652,15,3,200,108.3,39.0,16,21,91,,17.9,15,0.215,17,0.353,6,50.6,39,0.506,11.9,12,62,0.46799999999999997,29,0.4,2,"November 23, 2019",60.0,15,6.5,4,108.3,61.0,25,0.452,63,0.397,25,0.397,25,0.76,19,3,200,90.5,36.1,13,21,76,,3.6,3,0.397,25,0.28,7,49.4,38,0.508,21.3,20,38,0.474,18,0.5,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,83.9,Away,PORTLAND-STATE,Portland State,Portland State,big-sky,4,False,False,False,Away,True,6,29,79,39,77,7,18,63,1,0,19,92,266,0.4530075187969925,125,250,0.5,29,85,237,0.5421940928270043,0.25
5,2019-11-26-15-portland-state,67.7,21,8.7,4,113.5,57.6,19,0.5579999999999999,60,0.517,31,0.15,9,0.778,7,3,200,100.0,30.8,8,20,74,,8.1,6,0.183,11,0.455,5,45.8,27,0.5760000000000001,22.9,19,49,0.531,26,0.5,3,"November 26, 2019",43.3,13,8.2,4,100.0,69.2,18,0.493,67,0.44799999999999995,30,0.284,19,0.9470000000000001,18,3,200,113.5,42.4,14,15,84,,14.9,11,0.313,21,0.28600000000000003,6,54.2,32,0.552,12.7,11,46,0.522,24,0.5,3,"The Thunderdome, Santa Barbara, California",GRAMBLING,Grambling,74.2,Home,PORTLAND-STATE,Portland State,Portland State,big-sky,5,True,False,True,Home,True,6,24,67,32,59,5,26,60,1,0,25,121,345,0.4594202898550725,164,327,0.5015290519877675,36,103,300,0.5233333333333333,0.4
6,2019-11-27-22-california-santa-barbara,44.0,11,2.4,1,124.6,60.0,18,0.475,60,0.41700000000000004,25,0.3,18,0.722,13,4,200,107.7,36.8,14,20,70,,3.1,2,0.38299999999999995,23,0.304,7,47.1,32,0.511,13.9,11,37,0.486,18,0.429,3,"November 27, 2019",58.1,18,16.2,6,107.7,63.2,24,0.5760000000000001,59,0.525,31,0.322,19,0.684,13,3,200,124.6,40.0,12,17,81,,6.2,4,0.28800000000000003,17,0.353,6,52.9,36,0.595,11.8,9,42,0.595,25,0.5,3,"The Thunderdome, Santa Barbara, California",PORTLAND-STATE,Portland State,65.3,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Portland State,big-sky,6,False,False,False,Away,False,7,18,60,32,68,6,25,59,0,1,31,145,412,0.4648058252427185,196,386,0.5077720207253886,41,129,360,0.5291666666666667,0.5
7,2019-12-01-18-oregon-state,28.6,8,7.5,3,114.1,80.8,21,0.44299999999999995,70,0.4,28,0.22899999999999998,16,0.875,14,5,200,107.0,33.3,13,23,76,,8.5,6,0.271,19,0.316,6,52.3,34,0.49,9.4,8,51,0.431,22,0.375,3,"December 1, 2019",60.0,18,15.7,8,107.0,66.7,26,0.611,54,0.556,30,0.40700000000000003,22,0.682,15,1,200,114.1,19.2,5,19,81,,5.6,4,0.259,14,0.429,6,47.7,31,0.628,12.4,9,40,0.6,24,0.875,7,"Gill Coliseum, Corvallis, Oregon",PORTLAND-STATE,Portland State,70.5,Home,OREGON-STATE,Oregon State,Portland State,big-sky,7,False,False,False,Away,False,6,22,70,34,65,6,24,54,0,1,38,163,472,0.4661016949152542,228,454,0.5022026431718062,47,154,419,0.535799522673031,0.42857142857142855
8,2019-12-06-22-portland-state,57.7,15,5.1,2,105.8,53.8,21,0.483,60,0.433,26,0.2,12,0.75,9,8,200,97.1,27.3,9,12,67,,10.1,7,0.3,18,0.33299999999999996,6,41.7,30,0.51,15.5,12,42,0.47600000000000003,20,0.2,2,"December 6, 2019",71.4,20,9.5,4,97.1,72.7,24,0.486,71,0.39399999999999996,28,0.127,9,0.444,4,5,200,105.8,46.2,18,14,73,,8.7,6,0.451,32,0.406,13,58.3,42,0.485,14.8,13,39,0.385,15,0.444,4,"Peter W. Stott Center, Portland, Oregon",CAL-STATE-NORTHRIDGE,Cal State Northridge,69.5,Home,PORTLAND-STATE,Portland State,Portland State,big-sky,8,True,False,True,Home,True,13,15,71,42,72,6,20,60,1,0,44,185,542,0.46309963099631,262,519,0.5048169556840078,53,178,473,0.5443974630021141,0.375
9,2019-12-12-22-portland-state,85.7,18,2.0,1,131.2,45.0,18,0.355,62,0.33899999999999997,21,0.065,4,1.0,4,0,200,62.3,15.8,6,11,48,,6.5,5,0.32299999999999995,20,0.1,2,30.8,24,0.376,23.9,20,42,0.452,19,0.0,0,"December 12, 2019",46.3,19,9.5,4,62.3,84.2,32,0.5760000000000001,79,0.519,41,0.177,14,0.7140000000000001,10,5,200,131.2,55.0,22,10,101,,16.9,13,0.354,28,0.321,9,69.2,54,0.59,13.2,13,51,0.627,32,0.5,5,"Peter W. Stott Center, Portland, Oregon","Portland Bible
			","Portland Bible
			",77.3,Home,PORTLAND-STATE,Portland State,Portland State,big-sky,9,True,False,True,Home,True,9,32,79,54,78,2,19,62,1,0,57,200,613,0.4657422512234911,304,591,0.5143824027072758,59,198,533,0.5375234521575984,0.4444444444444444
